Datetime,Open,High,Low,Close,Volume
2025-12-01 09:14:00+00:00,5.27,5.28,5.27,5.28,580.0
2025-12-01 09:16:00+00:00,5.28,5.28,5.28,5.28,415.0
2025-12-01 12:06:00+00:00,4.91,5.05,4.91,4.95,21000.0
2025-12-01 12:08:00+00:00,4.81,4.83,4.81,4.81,21093.0
2025-12-01 12:10:00+00:00,4.8,4.82,4.8,4.8,51326.0
2025-12-01 12:12:00+00:00,4.89,4.98,4.8,4.85,16000.0
2025-12-01 12:14:00+00:00,4.82,4.85,4.76,4.83,43180.0
2025-12-01 12:16:00+00:00,4.8,4.89,4.8,4.85,24151.0
2025-12-01 12:18:00+00:00,4.87,4.9,4.8,4.83,23312.0
2025-12-01 12:20:00+00:00,4.8,4.84,4.8,4.82,28263.0
2025-12-01 12:22:00+00:00,4.8,4.81,4.7,4.7,8644.0
2025-12-01 12:24:00+00:00,4.75,4.75,4.7,4.75,25170.0
2025-12-01 12:26:00+00:00,4.7,4.75,4.7,4.75,9700.0
2025-12-01 12:28:00+00:00,4.71,4.75,4.71,4.74,20600.0
2025-12-01 12:30:00+00:00,4.86,5.0,4.8,5.0,8470.0
2025-12-01 12:32:00+00:00,4.96,5.05,4.96,5.0,21002.0
2025-12-01 12:34:00+00:00,4.97,5.0,4.96,4.97,14184.0
2025-12-01 12:36:00+00:00,5.0,5.0,4.96,4.96,8900.0
2025-12-01 12:38:00+00:00,5.0,5.0,4.96,5.0,10605.0
2025-12-01 12:40:00+00:00,4.98,5.0,4.98,5.0,5800.0
2025-12-01 12:42:00+00:00,4.98,5.154,4.98,5.0,18098.0
2025-12-01 12:44:00+00:00,5.0,5.0,5.0,5.0,5310.0
2025-12-01 12:46:00+00:00,5.0,5.0,4.98,4.98,11000.0
2025-12-01 12:48:00+00:00,5.0,5.03,4.97,5.0,12809.0
2025-12-01 12:50:00+00:00,5.0,5.0,4.97,5.0,13900.0
2025-12-01 12:52:00+00:00,4.95,4.95,4.95,4.95,5200.0
2025-12-01 12:54:00+00:00,4.95,5.05,4.95,5.05,7000.0
2025-12-01 12:56:00+00:00,5.05,5.05,5.05,5.05,14090.0
2025-12-01 13:00:00+00:00,4.95,5.0,4.891,5.0,11511.0
