Datetime,Open,High,Low,Close,Volume
2024-01-02 14:18:00+00:00,0.5071,0.5071,0.5071,0.5071,502.0
2024-01-02 14:30:00+00:00,0.46,0.46,0.46,0.46,769.0
2024-01-02 14:38:00+00:00,0.483,0.483,0.483,0.483,208.0
2024-01-02 14:44:00+00:00,0.474,0.474,0.455,0.474,700.0
2024-01-02 15:16:00+00:00,0.455,0.455,0.455,0.455,100.0
2024-01-02 17:32:00+00:00,0.4763,0.4763,0.4763,0.4763,400.0
2024-01-02 18:30:00+00:00,0.47,0.47,0.47,0.47,285.0
2024-01-02 18:38:00+00:00,0.4801,0.4801,0.4801,0.4801,146.0
2024-01-02 19:12:00+00:00,0.49,0.49,0.4801,0.4801,1150.0
2024-01-02 19:16:00+00:00,0.49,0.49,0.489,0.489,500.0
2024-01-02 19:20:00+00:00,0.461,0.475,0.461,0.475,500.0
2024-01-02 20:46:00+00:00,0.485638,0.485638,0.485638,0.485638,500.0
2024-01-02 20:48:00+00:00,0.475,0.475,0.475,0.475,100.0
2024-01-02 20:58:00+00:00,0.47,0.47,0.47,0.47,100.0
2024-01-03 14:18:00+00:00,0.4804,0.4804,0.4804,0.4804,155.0
2024-01-03 14:30:00+00:00,0.451,0.451,0.4503,0.451,500.0
2024-01-03 14:36:00+00:00,0.4735,0.4735,0.4735,0.4735,100.0
2024-01-03 17:22:00+00:00,0.4804,0.4804,0.4804,0.4804,112.0
2024-01-03 17:30:00+00:00,0.431201,0.431201,0.431201,0.431201,416.0
2024-01-03 18:42:00+00:00,0.48,0.48,0.48,0.48,100.0
2024-01-03 18:44:00+00:00,0.46,0.46,0.46,0.46,170.0
2024-01-03 21:54:00+00:00,0.4805,0.4805,0.4805,0.4805,113.0
2024-01-04 12:56:00+00:00,0.451,0.451,0.451,0.451,100.0
2024-01-04 14:46:00+00:00,0.480006,0.480006,0.480006,0.480006,217.0
2024-01-04 15:18:00+00:00,0.4736,0.4736,0.4736,0.4736,140.0
2024-01-04 15:28:00+00:00,0.4735,0.4735,0.4453,0.4453,422.0
2024-01-04 15:34:00+00:00,0.4473,0.4473,0.4473,0.4473,485.0
2024-01-04 16:00:00+00:00,0.4676,0.4676,0.4676,0.4676,1000.0
2024-01-04 17:02:00+00:00,0.4801,0.4801,0.4481,0.4481,1470.0
2024-01-04 17:22:00+00:00,0.4555,0.456,0.4453,0.4453,768.0
2024-01-04 17:26:00+00:00,0.4499,0.4499,0.449899,0.449899,2222.0
2024-01-04 17:42:00+00:00,0.44745,0.44745,0.44745,0.44745,147.0
2024-01-04 18:16:00+00:00,0.449372,0.449372,0.449372,0.449372,300.0
2024-01-04 18:20:00+00:00,0.448881,0.448881,0.448881,0.448881,1000.0
2024-01-04 18:22:00+00:00,0.4495,0.45,0.448,0.45,897.0
2024-01-04 18:24:00+00:00,0.448,0.448,0.448,0.448,500.0
2024-01-04 18:52:00+00:00,0.4499,0.4499,0.4499,0.4499,200.0
2024-01-04 19:04:00+00:00,0.4461,0.4461,0.4461,0.4461,550.0
2024-01-04 19:06:00+00:00,0.4461,0.4461,0.4461,0.4461,100.0
2024-01-04 19:10:00+00:00,0.4461,0.4461,0.4461,0.4461,100.0
2024-01-04 19:14:00+00:00,0.448,0.448,0.448,0.448,200.0
2024-01-04 19:30:00+00:00,0.448201,0.448201,0.448201,0.448201,100.0
2024-01-04 19:32:00+00:00,0.448,0.448,0.448,0.448,1100.0
2024-01-04 19:48:00+00:00,0.446,0.446,0.4451,0.4451,1100.0
2024-01-04 20:44:00+00:00,0.4451,0.4451,0.4451,0.4451,769.0
2024-01-04 20:46:00+00:00,0.4453,0.4453,0.4453,0.4453,100.0
2024-01-04 20:54:00+00:00,0.4499,0.4499,0.4499,0.4499,100.0
2024-01-04 20:56:00+00:00,0.4499,0.4499,0.4499,0.4499,100.0
2024-01-04 20:58:00+00:00,0.45,0.45,0.45,0.45,194.0
2024-01-05 15:24:00+00:00,0.44,0.44,0.44,0.44,250.0
2024-01-05 15:38:00+00:00,0.44,0.44,0.44,0.44,200.0
2024-01-05 15:42:00+00:00,0.44,0.44,0.44,0.44,300.0
2024-01-05 15:52:00+00:00,0.44,0.44,0.44,0.44,103.0
2024-01-05 15:56:00+00:00,0.45,0.45,0.45,0.45,100.0
2024-01-05 16:00:00+00:00,0.44,0.44,0.44,0.44,300.0
2024-01-05 17:18:00+00:00,0.4445,0.4445,0.4445,0.4445,155.0
2024-01-05 18:32:00+00:00,0.439,0.439,0.439,0.439,100.0
