Datetime,Open,High,Low,Close,Volume
2025-03-11 13:20:00+00:00,1.34,1.34,1.34,1.34,580.0
2025-03-11 13:22:00+00:00,1.28,1.34,1.28,1.34,1248.0
2025-03-11 13:26:00+00:00,1.34,1.34,1.34,1.34,145.0
2025-03-11 13:28:00+00:00,1.38,1.41,1.38,1.41,1393.0
2025-03-11 13:30:00+00:00,1.38,1.38,1.2401,1.2401,8980.0
2025-03-11 13:40:00+00:00,1.13,1.13,1.09,1.09,1284.0
2025-03-11 13:52:00+00:00,1.1001,1.185,1.1001,1.185,1321.0
2025-03-11 13:56:00+00:00,1.11,1.16,1.1001,1.16,495.0
2025-03-11 13:58:00+00:00,1.1,1.185,1.1,1.185,2338.0
2025-03-11 14:12:00+00:00,1.21,1.21,1.2,1.2,538.0
2025-03-11 14:22:00+00:00,1.2,1.2,1.2,1.2,204.0
2025-03-11 14:24:00+00:00,1.145,1.145,1.145,1.145,100.0
2025-03-11 14:28:00+00:00,1.145,1.2,1.145,1.2,303.0
2025-03-11 14:30:00+00:00,1.0803,1.0803,1.0803,1.0803,200.0
2025-03-11 14:34:00+00:00,1.15,1.15,1.15,1.15,396.0
2025-03-11 14:36:00+00:00,1.21,1.21,1.21,1.21,203.0
2025-03-11 14:42:00+00:00,1.2,1.2,1.2,1.2,394.0
2025-03-11 14:44:00+00:00,1.2,1.2,1.2,1.2,190.0
2025-03-11 14:48:00+00:00,1.15,1.15,1.15,1.15,100.0
2025-03-11 14:54:00+00:00,1.18,1.18,1.18,1.18,100.0
2025-03-11 14:56:00+00:00,1.2,1.2,1.2,1.2,276.0
2025-03-11 15:14:00+00:00,1.215,1.32,1.215,1.27,738.0
2025-03-11 15:16:00+00:00,1.205,1.205,1.205,1.205,192.0
2025-03-11 15:24:00+00:00,1.235,1.295,1.235,1.295,399.0
2025-03-11 15:26:00+00:00,1.25,1.35,1.25,1.35,664.0
2025-03-11 15:38:00+00:00,1.25,1.25,1.25,1.25,1396.0
2025-03-11 15:44:00+00:00,1.33,1.34,1.33,1.34,627.0
2025-03-11 16:00:00+00:00,1.33,1.33,1.33,1.33,116.0
2025-03-11 16:04:00+00:00,1.25,1.33,1.25,1.32,544.0
2025-03-11 16:10:00+00:00,1.32,1.38,1.32,1.38,644.0
2025-03-11 16:12:00+00:00,1.28,1.28,1.28,1.28,100.0
2025-03-11 16:14:00+00:00,1.35,1.35,1.35,1.35,141.0
2025-03-11 16:16:00+00:00,1.35,1.36,1.35,1.35,407.0
2025-03-11 16:20:00+00:00,1.315,1.315,1.315,1.315,351.0
2025-03-11 16:36:00+00:00,1.37,1.37,1.31,1.31,302.0
2025-03-11 16:42:00+00:00,1.3899,1.3899,1.35,1.35,2868.0
2025-03-11 16:44:00+00:00,1.38,1.4,1.38,1.4,521.0
2025-03-11 16:46:00+00:00,1.39,1.4,1.39,1.4,459.0
2025-03-11 16:48:00+00:00,1.2587,1.2587,1.2587,1.2587,600.0
2025-03-11 16:50:00+00:00,1.39,1.4,1.35,1.35,1301.0
2025-03-11 16:52:00+00:00,1.39,1.39,1.2317,1.3,1325.0
2025-03-11 16:54:00+00:00,1.32,1.4,1.32,1.4,1607.0
2025-03-11 17:04:00+00:00,1.32,1.32,1.32,1.32,118.0
2025-03-11 17:06:00+00:00,1.4,1.41,1.39,1.41,861.0
2025-03-11 17:10:00+00:00,1.42,1.42,1.42,1.42,100.0
2025-03-11 17:14:00+00:00,1.45,1.45,1.28,1.365,865.0
2025-03-11 17:16:00+00:00,1.29,1.29,1.29,1.29,150.0
2025-03-11 17:18:00+00:00,1.37,1.44,1.37,1.43,402.0
2025-03-11 17:22:00+00:00,1.3131,1.3131,1.3131,1.3131,103.0
2025-03-11 17:24:00+00:00,1.42,1.42,1.37,1.37,445.0
2025-03-11 17:26:00+00:00,1.43,1.44,1.43,1.44,592.0
2025-03-11 17:36:00+00:00,1.31,1.31,1.31,1.31,152.0
2025-03-11 17:38:00+00:00,1.43,1.43,1.37,1.37,398.0
2025-03-11 17:40:00+00:00,1.37,1.37,1.37,1.37,181.0
2025-03-11 17:44:00+00:00,1.37,1.37,1.37,1.37,100.0
2025-03-11 17:46:00+00:00,1.44,1.44,1.44,1.44,588.0
2025-03-11 17:48:00+00:00,1.37,1.37,1.37,1.37,930.0
2025-03-11 17:50:00+00:00,1.43,1.43,1.43,1.43,100.0
2025-03-11 18:06:00+00:00,1.43,1.46,1.43,1.46,3033.0
