Datetime,Open,High,Low,Close,Volume
2025-10-22 08:00:00+00:00,37.0,37.0,32.4,32.8,2224.85
2025-10-22 08:02:00+00:00,32.8,33.4,31.4,31.4,2495.2
2025-10-22 08:04:00+00:00,31.4,32.2,31.2,32.0,928.15
2025-10-22 08:06:00+00:00,32.2,34.0,32.2,33.0,1656.4
2025-10-22 08:08:00+00:00,33.1,33.2,31.4,32.8,3029.65
2025-10-22 08:10:00+00:00,32.8,36.6,32.6,35.4,6820.599999999999
2025-10-22 08:12:00+00:00,35.4,35.8,31.6,31.6,12834.4
2025-10-22 08:14:00+00:00,31.6,31.6,29.2,30.0,6704.05
2025-10-22 08:16:00+00:00,30.2,30.2,29.4,30.2,2199.2
2025-10-22 08:18:00+00:00,30.4,30.8,29.4,29.4,2050.05
2025-10-22 08:20:00+00:00,29.4,30.5,29.4,30.2,1449.35
2025-10-22 08:22:00+00:00,30.4,30.4,29.8,30.4,409.7000000000001
2025-10-22 08:24:00+00:00,30.4,31.8,30.2,31.4,1845.45
2025-10-22 08:26:00+00:00,31.4,32.6,31.2,31.4,2148.0
2025-10-22 08:28:00+00:00,31.4,31.6,30.3,30.4,1334.9499999999998
2025-10-22 08:30:00+00:00,30.6,31.4,30.6,31.3,926.0
2025-10-22 08:32:00+00:00,31.3,31.4,31.2,31.4,468.4500000000001
2025-10-22 08:34:00+00:00,31.2,31.2,30.3,30.3,618.25
2025-10-22 08:36:00+00:00,30.3,30.8,30.3,30.8,373.05
2025-10-22 08:38:00+00:00,30.6,31.6,30.3,31.6,929.95
2025-10-22 08:40:00+00:00,31.6,31.6,31.0,31.2,343.6
2025-10-22 08:42:00+00:00,31.4,31.4,31.0,31.0,239.05
2025-10-22 08:44:00+00:00,30.8,30.8,30.4,30.6,445.15
2025-10-22 08:46:00+00:00,30.4,30.8,30.2,30.6,1309.65
2025-10-22 08:48:00+00:00,30.4,30.4,30.0,30.3,2763.65
2025-10-22 08:50:00+00:00,30.2,30.3,30.2,30.2,204.0
2025-10-22 08:52:00+00:00,30.2,30.3,29.0,29.8,1815.1
2025-10-22 08:54:00+00:00,29.8,30.2,29.7,30.0,861.05
2025-10-22 08:56:00+00:00,30.0,30.0,29.4,29.4,402.4500000000001
2025-10-22 08:58:00+00:00,29.2,29.4,28.0,29.0,2413.7
2025-10-22 09:00:00+00:00,29.0,29.0,28.6,28.6,559.15
2025-10-22 09:02:00+00:00,28.6,28.6,28.2,28.6,400.15
2025-10-22 09:04:00+00:00,28.6,28.8,28.0,28.8,962.85
2025-10-22 09:06:00+00:00,29.0,29.0,28.0,28.0,717.35
2025-10-22 09:08:00+00:00,28.0,28.6,28.0,28.4,375.4
2025-10-22 09:10:00+00:00,28.4,28.6,28.4,28.6,467.95
2025-10-22 09:12:00+00:00,28.6,28.6,28.5,28.5,233.8
2025-10-22 09:14:00+00:00,28.4,28.8,28.2,28.6,863.5
2025-10-22 09:16:00+00:00,28.5,29.0,28.5,29.0,567.85
2025-10-22 09:18:00+00:00,29.4,29.4,29.2,29.2,166.8
2025-10-22 09:20:00+00:00,29.0,29.4,29.0,29.4,396.75
2025-10-22 09:22:00+00:00,29.6,29.6,29.4,29.4,299.4
2025-10-22 09:24:00+00:00,29.4,29.6,29.4,29.6,90.3
2025-10-22 09:26:00+00:00,29.4,29.4,28.8,28.8,578.45
2025-10-22 09:28:00+00:00,28.8,28.8,28.6,28.6,306.2
2025-10-22 09:30:00+00:00,28.6,28.6,27.4,28.2,1790.85
2025-10-22 09:32:00+00:00,28.2,28.4,26.8,26.8,2340.6000000000004
2025-10-22 09:34:00+00:00,26.8,27.7,26.8,27.7,712.3
2025-10-22 09:36:00+00:00,27.6,27.6,27.0,27.2,501.45
2025-10-22 09:38:00+00:00,27.2,27.2,26.6,26.8,850.7
2025-10-22 09:40:00+00:00,26.8,27.0,26.2,27.0,923.75
2025-10-22 09:42:00+00:00,27.0,28.0,27.0,27.6,1048.25
2025-10-22 09:44:00+00:00,27.8,28.0,27.6,28.0,483.45
2025-10-22 09:46:00+00:00,28.0,28.2,28.0,28.0,457.55
2025-10-22 09:48:00+00:00,28.0,28.2,28.0,28.2,134.7
2025-10-22 09:50:00+00:00,28.4,28.6,28.4,28.4,319.8
2025-10-22 09:52:00+00:00,28.6,29.0,28.4,28.4,315.4
2025-10-22 09:54:00+00:00,28.4,28.4,28.2,28.2,427.05
2025-10-22 09:56:00+00:00,28.2,28.2,28.2,28.2,142.0
2025-10-22 09:58:00+00:00,28.2,28.2,27.9,28.0,922.1
2025-10-22 10:00:00+00:00,28.1,28.1,28.0,28.0,161.9
2025-10-22 10:02:00+00:00,28.0,28.0,27.0,27.2,480.7
2025-10-22 10:04:00+00:00,27.6,27.6,27.2,27.2,245.05
2025-10-22 10:06:00+00:00,27.4,27.8,27.3,27.8,212.95
2025-10-22 10:08:00+00:00,27.8,28.0,27.8,27.9,110.05
2025-10-22 10:10:00+00:00,27.8,27.8,27.8,27.8,116.6
2025-10-22 10:12:00+00:00,27.9,27.9,27.8,27.8,50.3
2025-10-22 10:14:00+00:00,27.8,29.0,27.7,28.8,920.85
2025-10-22 10:16:00+00:00,28.8,29.6,28.8,29.4,929.5
2025-10-22 10:18:00+00:00,29.4,29.4,29.0,29.0,194.8
2025-10-22 10:20:00+00:00,29.2,29.6,29.2,29.4,645.15
2025-10-22 10:22:00+00:00,29.4,29.6,29.2,29.6,369.6
2025-10-22 10:24:00+00:00,29.4,29.4,29.0,29.0,341.79999999999995
2025-10-22 10:26:00+00:00,28.9,29.4,28.9,29.4,199.2
2025-10-22 10:28:00+00:00,29.2,29.4,29.2,29.2,123.2
2025-10-22 10:30:00+00:00,29.1,30.2,29.1,30.2,423.1
2025-10-22 10:32:00+00:00,30.0,30.2,29.7,30.2,1342.0
2025-10-22 10:34:00+00:00,30.0,30.3,29.7,29.9,1399.0500000000002
2025-10-22 10:36:00+00:00,29.6,29.8,29.4,29.5,173.55
2025-10-22 10:38:00+00:00,29.4,29.5,29.4,29.4,147.5
2025-10-22 10:40:00+00:00,29.3,29.4,29.0,29.0,513.8
2025-10-22 10:42:00+00:00,29.1,29.2,28.8,28.8,354.6
2025-10-22 10:44:00+00:00,28.8,29.0,28.6,28.6,496.05
2025-10-22 10:46:00+00:00,28.5,28.8,28.4,28.6,177.4
2025-10-22 10:48:00+00:00,28.6,28.8,28.6,28.6,168.55
2025-10-22 10:50:00+00:00,28.6,29.1,28.6,29.0,287.85
2025-10-22 10:52:00+00:00,29.0,29.0,29.0,29.0,69.9
2025-10-22 10:54:00+00:00,29.0,29.0,28.9,28.9,38.95
2025-10-22 10:56:00+00:00,29.0,29.2,28.8,28.8,367.75
2025-10-22 10:58:00+00:00,28.8,28.8,28.8,28.8,80.0
2025-10-22 11:00:00+00:00,28.8,29.2,28.2,29.2,1686.75
2025-10-22 11:02:00+00:00,29.4,32.1,29.4,31.4,4095.4
2025-10-22 11:04:00+00:00,31.4,36.0,31.4,35.8,7741.4
2025-10-22 11:06:00+00:00,35.6,40.9,35.4,40.4,54242.100000000006
2025-10-22 11:08:00+00:00,40.4,41.6,36.0,36.9,39378.6
2025-10-22 11:10:00+00:00,37.0,38.0,33.8,34.2,31761.45
2025-10-22 11:12:00+00:00,34.4,34.6,33.4,33.8,13243.25
2025-10-22 11:14:00+00:00,33.6,33.6,29.4,31.4,23208.9
2025-10-22 11:16:00+00:00,31.4,33.0,31.0,32.4,7108.0
2025-10-22 11:18:00+00:00,32.4,32.6,31.6,31.8,3266.75
2025-10-22 11:20:00+00:00,32.0,32.4,31.2,31.4,2389.0
2025-10-22 11:22:00+00:00,31.4,32.0,31.0,32.0,1555.15
2025-10-22 11:24:00+00:00,32.1,32.2,31.2,31.2,1018.25
2025-10-22 11:26:00+00:00,31.4,32.4,31.3,32.2,2804.0
2025-10-22 11:28:00+00:00,32.2,32.2,30.4,30.6,2666.05
2025-10-22 11:30:00+00:00,30.4,31.4,30.2,31.2,2785.65
2025-10-22 11:32:00+00:00,31.2,31.6,30.6,31.0,2218.25
2025-10-22 11:34:00+00:00,31.1,31.4,30.8,31.4,905.35
2025-10-22 11:36:00+00:00,31.2,32.0,30.8,31.8,1602.5500000000002
2025-10-22 11:38:00+00:00,31.8,32.6,31.4,32.2,1884.1
2025-10-22 11:40:00+00:00,32.2,33.8,32.2,32.2,4826.55
2025-10-22 11:42:00+00:00,32.0,32.2,31.6,31.8,769.1
2025-10-22 11:44:00+00:00,31.8,34.0,31.8,33.9,4080.6
2025-10-22 11:46:00+00:00,33.8,35.4,33.8,34.4,8168.3
2025-10-22 11:48:00+00:00,34.6,34.6,32.4,33.3,4464.8
2025-10-22 11:50:00+00:00,33.3,33.6,31.6,32.0,3963.1
2025-10-22 11:52:00+00:00,31.8,33.4,31.2,33.2,2802.9
2025-10-22 11:54:00+00:00,33.2,33.8,32.8,32.8,1682.65
2025-10-22 11:56:00+00:00,32.8,32.8,31.8,32.2,1408.0
2025-10-22 11:58:00+00:00,32.0,32.4,31.4,31.4,1908.15
2025-10-22 12:00:00+00:00,34.0,39.402,26.2,32.6,166395.80000000002
2025-10-22 12:02:00+00:00,34.794,41.2,26.2,32.8,5930.7
2025-10-22 12:04:00+00:00,32.8,40.4,32.8,34.0,3934.5
2025-10-22 12:06:00+00:00,34.0,35.2,33.6,33.626,8096.099999999999
2025-10-22 12:08:00+00:00,33.6,41.6,33.6,34.8,11652.75
2025-10-22 12:10:00+00:00,35.0,35.0,33.0,33.812,6124.3
2025-10-22 12:12:00+00:00,33.9,36.8,33.9,36.4,16155.35
2025-10-22 12:14:00+00:00,36.4,36.6,34.6,35.2,14985.05
2025-10-22 12:16:00+00:00,35.3,36.0,34.0,34.0,7054.85
2025-10-22 12:18:00+00:00,34.0,35.0,33.6,35.0,8687.55
2025-10-22 12:20:00+00:00,34.8,34.8,34.2,34.2,2507.15
2025-10-22 12:22:00+00:00,34.3,34.4,33.6,33.8,2079.1
