Datetime,Open,High,Low,Close,Volume
2025-04-14 11:00:00+00:00,5.8128,5.8128,5.8122,5.8128,666.666667
2025-04-14 11:08:00+00:00,5.736,5.76,5.736,5.76,606.166667
2025-04-14 11:18:00+00:00,5.8122,5.8122,5.8122,5.8122,100.0
2025-04-14 11:26:00+00:00,5.8128,5.8128,5.8128,5.8128,184.333333
2025-04-14 11:28:00+00:00,5.8776,5.8776,5.76,5.76,150.0
2025-04-14 11:30:00+00:00,5.8776,6.0,5.5422,5.5428,1192.5
2025-04-14 11:32:00+00:00,5.7,5.7,5.7,5.7,64.0
2025-04-14 11:34:00+00:00,6.0,6.0,5.9394,6.0,604.5
2025-04-14 11:36:00+00:00,5.88,5.88,5.5236,5.88,494.0
2025-04-14 11:38:00+00:00,5.88,5.88,5.82,5.82,232.333333
2025-04-14 11:40:00+00:00,5.94,5.94,5.88,5.94,100.0
2025-04-14 11:42:00+00:00,5.88,6.0,5.76,6.0,2952.5
2025-04-14 11:44:00+00:00,5.9394,5.9394,5.9394,5.9394,53.0
2025-04-14 11:46:00+00:00,5.91,5.91,5.91,5.91,181.166667
2025-04-14 11:48:00+00:00,5.7318,5.7324,5.7318,5.7324,357.0
2025-04-14 11:50:00+00:00,5.88,5.88,5.88,5.88,164.833333
2025-04-14 11:58:00+00:00,5.9058,5.9058,5.9058,5.9058,35.666667
2025-04-14 12:00:00+00:00,5.76,6.0,5.4,5.88,4269.166667
2025-04-14 12:02:00+00:00,5.88,6.24,5.88,6.2394,4142.8333330000005
2025-04-14 12:04:00+00:00,6.1806,6.24,5.88,5.934,6449.5
2025-04-14 12:06:00+00:00,5.88,5.994,5.88,5.934,1621.0
2025-04-14 12:08:00+00:00,5.994,5.994,5.88,5.88,731.3333339999999
2025-04-14 12:10:00+00:00,5.94,5.9406,5.88,5.88,350.333333
2025-04-14 12:12:00+00:00,5.8794,5.88,5.826,5.826,207.5
2025-04-14 12:14:00+00:00,5.88,5.8806,5.88,5.8806,256.166667
2025-04-14 12:16:00+00:00,5.994,5.994,5.8806,5.8806,155.166666
2025-04-14 12:18:00+00:00,5.994,5.994,5.994,5.994,183.666667
2025-04-14 12:20:00+00:00,5.994,5.994,5.76,5.76,655.666667
2025-04-14 12:22:00+00:00,5.7852,5.94,5.7096,5.94,812.833333
2025-04-14 12:26:00+00:00,5.88,5.88,5.82,5.82,104.333333
2025-04-14 12:28:00+00:00,5.82,5.82,5.4,5.4126,2380.5
2025-04-14 12:30:00+00:00,5.4126,5.8194,5.3424,5.3424,1003.5
2025-04-14 12:36:00+00:00,5.46,5.46,5.46,5.46,166.666667
2025-04-14 12:38:00+00:00,5.6844,5.7582,5.6844,5.7,333.333334
2025-04-14 12:40:00+00:00,5.76,5.76,5.76,5.76,589.666667
2025-04-14 12:42:00+00:00,5.76,5.76,5.76,5.76,321.0
2025-04-14 12:44:00+00:00,5.76,5.76,5.76,5.76,75.166667
2025-04-14 12:50:00+00:00,5.76,5.76,5.76,5.76,125.0
2025-04-14 12:52:00+00:00,5.76,5.76,5.76,5.76,166.666667
2025-04-14 12:56:00+00:00,5.76,5.76,5.76,5.76,50.0
2025-04-14 12:58:00+00:00,5.76,5.76,5.76,5.76,16.666667
2025-04-14 13:04:00+00:00,5.76,5.76,5.76,5.76,80.666667
2025-04-14 13:06:00+00:00,5.76,5.76,5.76,5.76,268.333333
2025-04-14 13:12:00+00:00,5.46,5.46,5.46,5.46,39.166667
