Datetime,Open,High,Low,Close,Volume
2025-11-18 10:44:00+00:00,11.04,11.04,11.04,11.04,199
2025-11-18 11:46:00+00:00,11.19,11.26,11.19,11.26,2009
2025-11-18 11:48:00+00:00,11.39,11.55,11.39,11.55,2051
2025-11-18 11:52:00+00:00,12.0,13.06,12.0,13.05,1822
2025-11-18 11:54:00+00:00,12.78,12.93,12.69,12.93,3519
2025-11-18 11:56:00+00:00,12.63,13.42,12.63,13.32,8694
2025-11-18 11:58:00+00:00,13.35,13.42,13.34,13.42,1715
2025-11-18 12:00:00+00:00,13.11,13.11,13.0,13.0,13213
2025-11-18 12:02:00+00:00,13.0,13.02,13.0,13.0,10546
2025-11-18 12:04:00+00:00,12.68,12.68,11.7,11.7,16497
2025-11-18 12:08:00+00:00,12.35,12.35,12.35,12.35,551
2025-11-18 12:10:00+00:00,12.35,12.35,12.35,12.35,1600
2025-11-18 12:12:00+00:00,12.43,12.43,12.43,12.43,902
2025-11-18 12:14:00+00:00,12.35,12.35,12.35,12.35,423
2025-11-18 12:16:00+00:00,12.35,12.35,12.35,12.35,2161
2025-11-18 12:20:00+00:00,12.38,12.38,12.38,12.38,210
2025-11-18 12:24:00+00:00,12.3,12.3,12.12,12.12,385
2025-11-18 12:28:00+00:00,12.04,12.04,12.03,12.03,778
2025-11-18 12:34:00+00:00,11.9,11.9,11.9,11.9,418
2025-11-18 12:36:00+00:00,12.03,12.08,11.9,11.9,3788
2025-11-18 12:38:00+00:00,11.9,11.9,11.9,11.9,1174
2025-11-18 12:40:00+00:00,11.92,11.92,11.9,11.9,1403
2025-11-18 12:44:00+00:00,11.91,11.91,11.9,11.91,4416
2025-11-18 12:46:00+00:00,11.91,11.91,11.91,11.91,494
2025-11-18 12:52:00+00:00,12.0,12.0,12.0,12.0,106
2025-11-18 12:54:00+00:00,12.0,12.0,12.0,12.0,340
2025-11-18 13:00:00+00:00,12.0,13.44,11.66,12.1014,18423
2025-11-18 13:02:00+00:00,13.4397,13.4397,12.11,12.11,1662
2025-11-18 13:04:00+00:00,12.28,12.48,12.28,12.47,1344
2025-11-18 13:06:00+00:00,12.5,12.55,12.44,12.5006,38707
2025-11-18 13:08:00+00:00,12.57,12.62,12.5,12.62,8172
2025-11-18 13:10:00+00:00,12.61,12.61,12.6,12.6039,7122
2025-11-18 13:12:00+00:00,12.61,12.84,12.6,12.78,14253
