Datetime,Open,High,Low,Close,Volume
2025-08-07 08:00:00+00:00,7.1,7.1,7.08,7.08,2200
2025-08-07 09:24:00+00:00,7.15,7.15,7.15,7.15,2390
2025-08-07 09:36:00+00:00,7.39,7.39,7.39,7.39,238
2025-08-07 09:40:00+00:00,7.4,7.4,7.39,7.4,575
2025-08-07 09:42:00+00:00,7.4,7.4,7.24,7.24,702
2025-08-07 09:48:00+00:00,7.24,7.24,7.24,7.24,176
2025-08-07 09:52:00+00:00,7.38,7.38,7.38,7.38,280
2025-08-07 09:58:00+00:00,7.25,7.25,7.25,7.25,274
2025-08-07 11:00:00+00:00,7.21,7.21,7.14,7.2,738
2025-08-07 11:04:00+00:00,7.37,7.37,7.37,7.37,428
2025-08-07 11:34:00+00:00,7.55,7.55,7.49,7.49,500
2025-08-07 11:48:00+00:00,7.53,7.53,7.53,7.53,164
2025-08-07 12:00:00+00:00,7.37,7.54,7.25,7.25,3705
2025-08-07 12:02:00+00:00,7.49,7.49,7.37,7.4199,7593
2025-08-07 12:04:00+00:00,7.42,7.42,7.42,7.42,114
2025-08-07 12:16:00+00:00,7.3,7.3,7.3,7.3,103
2025-08-07 12:38:00+00:00,7.29,7.3,7.29,7.3,200
2025-08-07 12:54:00+00:00,7.26,7.26,7.01,7.05,6520
2025-08-07 12:56:00+00:00,7.1,7.1,7.1,7.1,304
2025-08-07 12:58:00+00:00,7.09,7.09,7.09,7.09,100
2025-08-07 13:16:00+00:00,7.11,7.11,7.11,7.11,186
2025-08-07 13:26:00+00:00,7.47,7.47,7.18,7.18,588
2025-08-07 13:28:00+00:00,7.5,7.5,7.42,7.5,3331
2025-08-07 13:30:00+00:00,7.54,7.9425,7.5165,7.83,110835
2025-08-07 13:32:00+00:00,7.83,7.89,7.7,7.775,70844
2025-08-07 13:34:00+00:00,7.73,7.83,7.6,7.645,27834
2025-08-07 13:36:00+00:00,7.62,7.62,7.42,7.465,13620
2025-08-07 13:38:00+00:00,7.465,7.465,7.25,7.38,16907
2025-08-07 13:40:00+00:00,7.295,7.45,7.29,7.37,4687
2025-08-07 13:42:00+00:00,7.33,7.33,7.26,7.3,8153
2025-08-07 13:44:00+00:00,7.329,7.3499,7.27,7.27,10033
2025-08-07 13:46:00+00:00,7.27,7.27,7.07,7.075,8655
2025-08-07 13:48:00+00:00,7.041,7.0985,7.0,7.005,28656
2025-08-07 13:50:00+00:00,7.0,7.0125,6.95,6.95,22773
2025-08-07 13:52:00+00:00,6.965,6.9975,6.94,6.95,6388
2025-08-07 13:54:00+00:00,6.97,6.97,6.88,6.9,15237
2025-08-07 13:56:00+00:00,6.915,6.965,6.915,6.963,12259
2025-08-07 13:58:00+00:00,6.967,7.04,6.94,7.04,17536
2025-08-07 14:00:00+00:00,7.075,7.135,7.075,7.135,3281
2025-08-07 14:02:00+00:00,7.1485,7.1699,7.02,7.11,18555
2025-08-07 14:04:00+00:00,7.1,7.1,7.06,7.07,3140
2025-08-07 14:06:00+00:00,7.07,7.17,7.07,7.12,4563
2025-08-07 14:08:00+00:00,7.1,7.12,7.0906,7.1,4070
2025-08-07 14:10:00+00:00,7.121,7.165,7.115,7.165,1830
2025-08-07 14:12:00+00:00,7.1675,7.1855,7.155,7.17,1985
2025-08-07 14:14:00+00:00,7.19,7.21,7.15,7.21,13413
2025-08-07 14:16:00+00:00,7.2,7.2698,7.2,7.23,6651
2025-08-07 14:18:00+00:00,7.25,7.2501,7.19,7.19,12891
2025-08-07 14:20:00+00:00,7.22,7.23,7.22,7.23,1802
2025-08-07 14:22:00+00:00,7.235,7.25,7.22,7.25,13206
2025-08-07 14:24:00+00:00,7.25,7.27,7.225,7.23,7029
2025-08-07 14:26:00+00:00,7.24,7.24,7.24,7.24,886
2025-08-07 14:28:00+00:00,7.24,7.25,7.215,7.25,3075
2025-08-07 14:30:00+00:00,7.25,7.335,7.25,7.31,14619
2025-08-07 14:32:00+00:00,7.3252,7.35,7.32,7.35,2157
2025-08-07 14:34:00+00:00,7.355,7.37,7.355,7.3681,1619
2025-08-07 14:36:00+00:00,7.37,7.39,7.35,7.39,7106
2025-08-07 14:38:00+00:00,7.4,7.4169,7.355,7.39,4422
2025-08-07 14:40:00+00:00,7.4024,7.4024,7.36,7.375,3381
2025-08-07 14:42:00+00:00,7.3623,7.395,7.3623,7.3925,2905
2025-08-07 14:44:00+00:00,7.4,7.4,7.37,7.37,2470
2025-08-07 14:46:00+00:00,7.395,7.395,7.36,7.37,3203
2025-08-07 14:48:00+00:00,7.37,7.42,7.37,7.41,21909
2025-08-07 14:50:00+00:00,7.41,7.445,7.4,7.445,9527
2025-08-07 14:52:00+00:00,7.465,7.47,7.44,7.465,2407
2025-08-07 14:54:00+00:00,7.4808,7.4808,7.44,7.47,943
2025-08-07 14:56:00+00:00,7.465,7.48,7.43,7.43,2407
2025-08-07 14:58:00+00:00,7.4855,7.4855,7.485,7.485,1014
2025-08-07 15:00:00+00:00,7.485,7.485,7.44,7.4771,6958
2025-08-07 15:02:00+00:00,7.48,7.53,7.48,7.52,11756
2025-08-07 15:04:00+00:00,7.54,7.56,7.54,7.56,25538
2025-08-07 15:06:00+00:00,7.57,7.59,7.52,7.53,6192
2025-08-07 15:08:00+00:00,7.54,7.56,7.52,7.5405,8027
2025-08-07 15:10:00+00:00,7.545,7.59,7.54,7.5801,2454
2025-08-07 15:12:00+00:00,7.59,7.59,7.57,7.57,2985
2025-08-07 15:14:00+00:00,7.565,7.57,7.51,7.52,9751
2025-08-07 15:16:00+00:00,7.53,7.54,7.47,7.47,21579
2025-08-07 15:18:00+00:00,7.4786,7.4786,7.476,7.476,3944
2025-08-07 15:20:00+00:00,7.5,7.62,7.5,7.59,26240
2025-08-07 15:22:00+00:00,7.615,7.615,7.59,7.61,12460
2025-08-07 15:24:00+00:00,7.61,7.64,7.61,7.62,9500
2025-08-07 15:26:00+00:00,7.63,7.63,7.585,7.5901,5111
2025-08-07 15:28:00+00:00,7.5901,7.61,7.59,7.6,3080
2025-08-07 15:30:00+00:00,7.605,7.605,7.59,7.59,2222
2025-08-07 15:32:00+00:00,7.5883,7.6,7.58,7.6,1953
2025-08-07 15:34:00+00:00,7.6,7.6,7.545,7.55,7683
2025-08-07 15:36:00+00:00,7.55,7.5514,7.55,7.5514,2059
2025-08-07 15:38:00+00:00,7.57,7.58,7.54,7.55,8775
2025-08-07 15:40:00+00:00,7.54,7.55,7.52,7.52,9012
2025-08-07 15:42:00+00:00,7.52,7.535,7.51,7.525,4313
2025-08-07 15:44:00+00:00,7.53,7.56,7.53,7.56,2688
2025-08-07 15:46:00+00:00,7.56,7.565,7.5559,7.56,1152
2025-08-07 15:48:00+00:00,7.565,7.5753,7.56,7.5753,2886
2025-08-07 15:50:00+00:00,7.58,7.585,7.555,7.565,9554
2025-08-07 15:52:00+00:00,7.57,7.57,7.54,7.54,2378
2025-08-07 15:54:00+00:00,7.55,7.56,7.55,7.56,2227
2025-08-07 15:56:00+00:00,7.57,7.63,7.569,7.62,17495
2025-08-07 15:58:00+00:00,7.61,7.65,7.61,7.65,9296
2025-08-07 16:00:00+00:00,7.66,7.66,7.61,7.64,10057
2025-08-07 16:02:00+00:00,7.63,7.63,7.55,7.56,8372
2025-08-07 16:04:00+00:00,7.57,7.59,7.55,7.55,5291
2025-08-07 16:06:00+00:00,7.56,7.59,7.56,7.58,793
2025-08-07 16:08:00+00:00,7.6063,7.62,7.6063,7.62,3643
2025-08-07 16:10:00+00:00,7.62,7.62,7.62,7.62,798
2025-08-07 16:12:00+00:00,7.6276,7.63,7.58,7.59,11577
2025-08-07 16:14:00+00:00,7.6,7.6,7.57,7.57,2356
2025-08-07 16:16:00+00:00,7.59,7.6,7.575,7.575,3959
2025-08-07 16:18:00+00:00,7.575,7.575,7.5708,7.5708,761
