Datetime,Open,High,Low,Close,Volume
2025-08-05 08:00:00+00:00,13.04,13.04,13.04,13.04,120
2025-08-05 11:00:00+00:00,13.0,13.0,13.0,13.0,500
2025-08-05 11:04:00+00:00,13.29,13.29,13.29,13.29,202
2025-08-05 11:06:00+00:00,13.49,13.49,13.49,13.49,100
2025-08-05 11:14:00+00:00,13.5,13.5,13.5,13.5,5054
2025-08-05 11:24:00+00:00,13.53,13.53,13.52,13.52,500
2025-08-05 11:30:00+00:00,13.63,13.76,13.61,13.75,1000
2025-08-05 11:34:00+00:00,13.95,13.95,13.95,13.95,173
2025-08-05 11:38:00+00:00,14.41,14.91,14.4,14.91,450
2025-08-05 11:40:00+00:00,14.91,15.0,14.9,15.0,2712
2025-08-05 11:42:00+00:00,14.6,14.8,14.6,14.6,1505
2025-08-05 11:44:00+00:00,14.42,14.42,14.42,14.42,987
2025-08-05 11:46:00+00:00,14.42,14.42,14.42,14.42,887
2025-08-05 11:50:00+00:00,14.7,14.8,14.5,14.5,3888
2025-08-05 11:52:00+00:00,14.5,14.5,14.4,14.48,18604
2025-08-05 11:54:00+00:00,14.47,14.5,14.46,14.46,29793
2025-08-05 11:56:00+00:00,14.69,14.69,14.69,14.69,254
2025-08-05 11:58:00+00:00,14.79,14.79,14.79,14.79,210
2025-08-05 12:00:00+00:00,14.9,14.9,13.06,14.69,39447
2025-08-05 12:02:00+00:00,14.75,14.75,14.5,14.5101,7728
2025-08-05 12:04:00+00:00,14.53,14.53,14.53,14.53,162
2025-08-05 12:06:00+00:00,14.53,14.53,14.47,14.5,5400
2025-08-05 12:08:00+00:00,14.5,14.6,14.5,14.5,2252
2025-08-05 12:10:00+00:00,14.44,14.55,14.44,14.55,850
2025-08-05 12:12:00+00:00,14.55,14.55,14.5,14.55,2411
2025-08-05 12:14:00+00:00,14.55,14.6,14.55,14.6,20031
2025-08-05 12:16:00+00:00,14.6,14.6,14.58,14.6,3442
2025-08-05 12:18:00+00:00,14.66,14.7,14.64,14.7,1288
2025-08-05 12:20:00+00:00,14.75,14.75,14.75,14.75,555
2025-08-05 12:22:00+00:00,14.7,14.7,14.7,14.7,2016
2025-08-05 12:24:00+00:00,14.8499,14.8499,14.8499,14.8499,2000
2025-08-05 12:26:00+00:00,14.841,14.841,14.841,14.841,210
2025-08-05 12:28:00+00:00,14.84,14.85,14.84,14.8499,951
2025-08-05 12:30:00+00:00,14.85,14.9,14.85,14.9,19202
2025-08-05 12:32:00+00:00,15.0,15.28,15.0,15.28,10671
2025-08-05 12:34:00+00:00,15.28,15.28,15.22,15.22,343
2025-08-05 12:36:00+00:00,15.05,15.05,14.99,15.05,10165
2025-08-05 12:38:00+00:00,15.04,15.04,14.65,15.0,33537
2025-08-05 12:40:00+00:00,15.05,15.1,15.05,15.1,14658
2025-08-05 12:42:00+00:00,15.08,15.08,14.99,14.9999,8420
2025-08-05 12:44:00+00:00,15.0,15.1,15.0,15.1,12376
2025-08-05 12:46:00+00:00,15.07,15.07,15.0,15.0,1520
2025-08-05 12:52:00+00:00,14.9305,15.0,14.93,14.93,7297
2025-08-05 12:54:00+00:00,14.65,14.65,14.65,14.65,1057
2025-08-05 12:58:00+00:00,14.7,14.7,14.65,14.65,2879
2025-08-05 13:00:00+00:00,14.53,14.65,14.53,14.65,1494
2025-08-05 13:02:00+00:00,14.5,14.65,14.25,14.58,5167
2025-08-05 13:04:00+00:00,14.75,14.8,14.75,14.8,3651
2025-08-05 13:06:00+00:00,14.65,14.66,14.6,14.6,445
