Datetime,Open,High,Low,Close,Volume
2025-06-16 08:00:00+00:00,2.69,4.19,2.27,3.97,945603.0
2025-06-16 08:02:00+00:00,3.96,4.79,3.7,4.73,1022970.0
2025-06-16 08:04:00+00:00,4.73,6.0,4.72,5.21,1000922.0
2025-06-16 08:06:00+00:00,5.2,5.23,4.83,5.01,554278.0
2025-06-16 08:08:00+00:00,5.0,5.03,4.55,4.61,382255.0
2025-06-16 08:10:00+00:00,4.6,4.76,4.22,4.72,614426.0
2025-06-16 08:12:00+00:00,4.72,4.95,4.64,4.79,569353.0
2025-06-16 08:14:00+00:00,4.8,5.06,4.61,4.74,513074.0
2025-06-16 08:16:00+00:00,4.76,5.04,4.72,4.89,339393.0
2025-06-16 08:18:00+00:00,4.9,4.95,4.66,4.8,303972.0
2025-06-16 08:20:00+00:00,4.8,4.82,4.53,4.71,350837.0
2025-06-16 08:22:00+00:00,4.7,4.74,4.6,4.71,164802.0
2025-06-16 08:24:00+00:00,4.71,4.75,4.62,4.71,147269.0
2025-06-16 08:26:00+00:00,4.71,5.21,4.69,5.09,848248.0
2025-06-16 08:28:00+00:00,5.09,5.1,4.82,4.96,539701.0
2025-06-16 08:30:00+00:00,4.96,5.25,4.93,4.97,674690.0
2025-06-16 08:32:00+00:00,4.98,5.01,4.7,4.78,432365.0
2025-06-16 08:34:00+00:00,4.78,4.84,4.68,4.77,232728.0
2025-06-16 08:36:00+00:00,4.78,4.79,4.3,4.51,441299.0
2025-06-16 08:38:00+00:00,4.51,4.67,4.49,4.55,196239.0
2025-06-16 08:40:00+00:00,4.54,4.59,4.32,4.36,224151.0
2025-06-16 08:42:00+00:00,4.36,4.62,4.35,4.49,178975.0
2025-06-16 08:44:00+00:00,4.49,4.59,4.4,4.48,105348.0
2025-06-16 08:46:00+00:00,4.48,4.62,4.42,4.62,120121.0
2025-06-16 08:48:00+00:00,4.61,4.61,4.43,4.53,95869.0
2025-06-16 08:50:00+00:00,4.54,4.65,4.48,4.49,145155.0
2025-06-16 08:52:00+00:00,4.5,4.52,4.41,4.46,100108.0
2025-06-16 08:54:00+00:00,4.46,4.49,4.33,4.46,110627.0
2025-06-16 08:56:00+00:00,4.46,4.64,4.41,4.56,141214.0
2025-06-16 08:58:00+00:00,4.56,4.59,4.51,4.51,60114.0
2025-06-16 09:00:00+00:00,4.51,4.53,4.4,4.43,64854.0
2025-06-16 09:02:00+00:00,4.43,4.52,4.41,4.51,75098.0
2025-06-16 09:04:00+00:00,4.52,4.52,4.39,4.42,101291.0
2025-06-16 09:06:00+00:00,4.42,4.43,4.335,4.36,111965.0
2025-06-16 09:08:00+00:00,4.36,4.42,4.35,4.36,52797.0
2025-06-16 09:10:00+00:00,4.36,4.36,4.22,4.22,125133.0
2025-06-16 09:12:00+00:00,4.22,4.37,4.19,4.28,135229.0
2025-06-16 09:14:00+00:00,4.29,4.29,4.12,4.23,151921.0
2025-06-16 09:16:00+00:00,4.23,4.33,4.16,4.33,92190.0
2025-06-16 09:18:00+00:00,4.33,4.42,4.29,4.39,135216.0
2025-06-16 09:20:00+00:00,4.39,4.4,4.27,4.3,52701.0
2025-06-16 09:22:00+00:00,4.3,4.34,4.29,4.29,44545.0
2025-06-16 09:24:00+00:00,4.3,4.35,4.29,4.34,24696.0
2025-06-16 09:26:00+00:00,4.35,4.38,4.2,4.21,59214.0
2025-06-16 09:28:00+00:00,4.21,4.28,4.12,4.27,84959.0
2025-06-16 09:30:00+00:00,4.27,4.29,4.21,4.25,26988.0
2025-06-16 09:32:00+00:00,4.26,4.26,4.17,4.21,30653.0
2025-06-16 09:34:00+00:00,4.21,4.35,4.21,4.33,51728.0
2025-06-16 09:36:00+00:00,4.34,4.4,4.31,4.35,64926.0
2025-06-16 09:38:00+00:00,4.35,4.36,4.19,4.21,59855.0
2025-06-16 09:40:00+00:00,4.21,4.22,4.18,4.2,38282.0
2025-06-16 09:42:00+00:00,4.2,4.27,4.19,4.27,24136.0
2025-06-16 09:44:00+00:00,4.27,4.32,4.27,4.29,34742.0
2025-06-16 09:46:00+00:00,4.29,4.29,4.21,4.21,40656.0
2025-06-16 09:48:00+00:00,4.2,4.27,4.2,4.24,47928.0
2025-06-16 09:50:00+00:00,4.24,4.39,4.24,4.3,79462.0
2025-06-16 09:52:00+00:00,4.3,4.37,4.29,4.34,25564.0
2025-06-16 09:54:00+00:00,4.35,4.61,4.34,4.5,328462.0
2025-06-16 09:56:00+00:00,4.5,4.59,4.43,4.59,197684.0
2025-06-16 09:58:00+00:00,4.58,4.66,4.41,4.43,279320.0
2025-06-16 10:00:00+00:00,4.43,4.46,4.23,4.25,115525.0
2025-06-16 10:02:00+00:00,4.27,4.35,4.22,4.29,60203.0
2025-06-16 10:04:00+00:00,4.28,4.35,4.28,4.3,33938.0
2025-06-16 10:06:00+00:00,4.3,4.35,4.28,4.33,23087.0
2025-06-16 10:08:00+00:00,4.34,4.43,4.33,4.33,52976.0
2025-06-16 10:10:00+00:00,4.33,4.35,4.31,4.32,18687.0
2025-06-16 10:12:00+00:00,4.33,4.36,4.29,4.29,15629.0
2025-06-16 10:14:00+00:00,4.28,4.3,4.23,4.26,52849.0
2025-06-16 10:16:00+00:00,4.26,4.33,4.22,4.31,37901.0
2025-06-16 10:18:00+00:00,4.32,4.38,4.32,4.35,34703.0
2025-06-16 10:20:00+00:00,4.35,4.35,4.23,4.27,35893.0
2025-06-16 10:22:00+00:00,4.27,4.27,4.23,4.24,20407.0
