Datetime,Open,High,Low,Close,Volume
2026-02-11 09:02:00+00:00,19.84,19.86,19.84,19.86,1517
2026-02-11 09:26:00+00:00,19.6,19.6,19.6,19.6,100
2026-02-11 09:36:00+00:00,19.95,19.95,19.95,19.95,199
2026-02-11 09:38:00+00:00,19.82,19.82,19.82,19.82,324
2026-02-11 10:02:00+00:00,19.7,19.94,19.7,19.94,476
2026-02-11 10:10:00+00:00,19.52,19.52,19.52,19.52,176
2026-02-11 10:12:00+00:00,19.75,19.75,19.75,19.75,110
2026-02-11 10:52:00+00:00,19.77,19.77,19.52,19.52,605
2026-02-11 10:54:00+00:00,19.52,19.6,19.5,19.52,2289
2026-02-11 11:12:00+00:00,19.36,19.36,19.36,19.36,114
2026-02-11 11:18:00+00:00,19.24,19.24,19.24,19.24,326
2026-02-11 11:22:00+00:00,19.3,19.3,19.3,19.3,100
2026-02-11 11:30:00+00:00,19.33,19.75,19.33,19.75,2158
2026-02-11 11:32:00+00:00,19.85,19.85,19.82,19.82,500
2026-02-11 11:34:00+00:00,19.82,20.6,19.82,20.45,11421
2026-02-11 11:36:00+00:00,20.48,20.78,20.35,20.35,5517
2026-02-11 11:38:00+00:00,20.37,20.4,20.37,20.4,632
2026-02-11 11:40:00+00:00,20.3,20.4,20.13,20.31,6784
2026-02-11 11:42:00+00:00,20.48,20.51,20.03,20.09,5689
2026-02-11 11:48:00+00:00,20.12,20.12,20.12,20.12,601
2026-02-11 11:50:00+00:00,20.12,20.12,20.12,20.12,154
2026-02-11 11:52:00+00:00,20.12,20.12,20.0,20.05,5876
2026-02-11 11:58:00+00:00,19.93,19.93,19.93,19.93,506
2026-02-11 12:00:00+00:00,20.0,20.48,19.95,20.2,14851
2026-02-11 12:02:00+00:00,20.2,20.2,20.15,20.2,766
2026-02-11 12:04:00+00:00,20.4,20.42,20.4,20.42,2892
2026-02-11 12:06:00+00:00,20.13,20.13,20.0,20.0,3905
2026-02-11 12:08:00+00:00,19.97,19.97,19.8,19.81,6239
2026-02-11 12:10:00+00:00,19.98,19.98,19.98,19.98,120
2026-02-11 12:12:00+00:00,19.91,19.91,19.82,19.82,1921
