Datetime,Open,High,Low,Close,Volume
2025-02-10 09:00:00+00:00,3.08,3.085,2.91,2.91,2121
2025-02-10 09:02:00+00:00,3.0,3.07,3.0,3.07,1200
2025-02-10 09:04:00+00:00,3.06,3.06,2.92,2.92,1672
2025-02-10 09:06:00+00:00,2.92,2.92,2.92,2.92,201
2025-02-10 09:08:00+00:00,2.91,2.91,2.91,2.91,813
2025-02-10 09:12:00+00:00,2.92,2.92,2.92,2.92,336
2025-02-10 09:16:00+00:00,2.92,2.92,2.92,2.92,1100
2025-02-10 09:20:00+00:00,2.92,2.93,2.92,2.93,6970
2025-02-10 09:22:00+00:00,3.07,3.07,3.07,3.07,213
2025-02-10 09:40:00+00:00,3.03,3.03,3.03,3.03,100
2025-02-10 09:44:00+00:00,3.03,3.03,3.03,3.03,100
2025-02-10 09:50:00+00:00,3.06,3.06,3.06,3.06,225
2025-02-10 09:52:00+00:00,3.07,3.07,3.07,3.07,150
2025-02-10 09:54:00+00:00,3.05,3.05,3.0,3.0,2971
2025-02-10 09:58:00+00:00,3.06,3.07,3.06,3.07,300
2025-02-10 10:08:00+00:00,3.01,3.01,3.01,3.01,143
2025-02-10 10:14:00+00:00,3.07,3.08,3.07,3.08,834
2025-02-10 10:22:00+00:00,3.01,3.01,3.01,3.01,184
2025-02-10 10:38:00+00:00,3.01,3.01,3.01,3.01,140
2025-02-10 10:42:00+00:00,3.0,3.0,3.0,3.0,200
2025-02-10 11:02:00+00:00,3.07,3.08,3.07,3.07,500
2025-02-10 11:10:00+00:00,3.05,3.05,3.04,3.04,350
2025-02-10 11:24:00+00:00,3.07,3.07,3.07,3.07,580
2025-02-10 11:42:00+00:00,3.07,3.07,3.07,3.07,100
2025-02-10 11:58:00+00:00,3.06,3.06,3.05,3.05,4089
2025-02-10 12:02:00+00:00,3.04,3.04,3.03,3.03,2250
2025-02-10 12:06:00+00:00,3.05,3.05,3.05,3.05,650
2025-02-10 12:08:00+00:00,3.03,3.03,3.03,3.03,746
2025-02-10 12:10:00+00:00,3.04,3.04,2.87,2.89,30221
