Datetime,Open,High,Low,Close,Volume
2024-01-02 14:30:00+00:00,1.22,1.22,1.22,1.22,341.0
2024-01-02 17:42:00+00:00,1.27,1.32,1.27,1.285,1000.0
2024-01-02 17:46:00+00:00,1.28,1.28,1.28,1.28,157.0
2024-01-03 14:30:00+00:00,1.31,1.31,1.31,1.31,208.0
2024-01-03 15:18:00+00:00,1.28,1.28,1.28,1.28,100.0
2024-01-03 15:20:00+00:00,1.35,1.35,1.35,1.35,100.0
2024-01-04 15:02:00+00:00,1.3776,1.3776,1.34,1.34,200.0
2024-01-04 19:20:00+00:00,1.3,1.3,1.27,1.27,500.0
2024-01-05 15:00:00+00:00,1.2201,1.2201,1.2201,1.2201,1000.0
2024-01-05 15:30:00+00:00,1.25,1.25,1.2201,1.2201,500.0
2024-01-05 15:44:00+00:00,1.2201,1.2201,1.2201,1.2201,100.0
2024-01-05 18:02:00+00:00,1.2672,1.2672,1.2672,1.2672,100.0
2024-01-05 19:06:00+00:00,1.3727,1.3727,1.3727,1.3727,100.0
2024-01-05 19:56:00+00:00,1.36,1.37,1.36,1.37,854.0
2024-01-05 20:10:00+00:00,1.435,1.4404,1.3892,1.3892,500.0
2024-01-05 20:12:00+00:00,1.4404,1.4404,1.4404,1.4404,100.0
2024-01-05 20:14:00+00:00,1.44,1.5,1.44,1.5,200.0
2024-01-05 20:22:00+00:00,1.3892,1.5,1.3892,1.5,300.0
2024-01-05 20:38:00+00:00,1.39,1.39,1.39,1.39,100.0
2024-01-05 20:40:00+00:00,1.39,1.4404,1.3801,1.4404,300.0
2024-01-05 20:42:00+00:00,1.37,1.3842,1.37,1.3821,4364.0
2024-01-05 20:44:00+00:00,1.4126,1.4126,1.37,1.382,301.0
2024-01-05 20:50:00+00:00,1.37,1.37,1.37,1.37,260.0
2024-01-05 20:52:00+00:00,1.37,1.37,1.37,1.37,250.0
2024-01-05 20:54:00+00:00,1.37,1.41,1.37,1.37,1090.0
2024-01-05 20:56:00+00:00,1.4,1.4,1.35,1.3725,788.0
2024-01-08 16:16:00+00:00,1.28,1.35,1.28,1.35,500.0
2024-01-08 16:22:00+00:00,1.3,1.3,1.3,1.3,500.0
2024-01-08 16:52:00+00:00,1.35,1.35,1.35,1.35,3674.0
2024-01-08 17:36:00+00:00,1.23,1.23,1.23,1.23,500.0
2024-01-08 18:20:00+00:00,1.2301,1.2301,1.2301,1.2301,100.0
2024-01-08 20:34:00+00:00,1.2401,1.27,1.2401,1.27,1000.0
2024-01-08 20:50:00+00:00,1.2401,1.2401,1.2401,1.2401,1000.0
2024-01-08 20:52:00+00:00,1.2493,1.2493,1.2493,1.2493,404.0
