Datetime,Open,High,Low,Close,Volume
2025-05-02 08:00:00+00:00,15.0,15.0,15.0,15.0,200
2025-05-02 08:58:00+00:00,17.6,17.6,17.6,17.6,314
2025-05-02 10:00:00+00:00,19.0,19.0,19.0,19.0,395
2025-05-02 11:42:00+00:00,19.03,19.03,19.03,19.03,800
2025-05-02 11:46:00+00:00,19.03,19.03,19.03,19.03,1133
2025-05-02 12:08:00+00:00,19.25,19.25,19.25,19.25,200
2025-05-02 12:40:00+00:00,19.4,19.4,19.4,19.4,2000
2025-05-02 13:18:00+00:00,19.9,19.9,19.9,19.9,475
2025-05-02 13:30:00+00:00,20.36,20.95,20.01,20.04,96261
2025-05-02 13:32:00+00:00,20.495,20.95,20.42,20.42,6399
2025-05-02 13:34:00+00:00,20.63,20.9499,20.04,20.275,61294
2025-05-02 13:36:00+00:00,20.275,20.49,19.4,19.41,68893
2025-05-02 13:38:00+00:00,19.75,20.04,19.41,19.88,20977
2025-05-02 13:40:00+00:00,19.88,19.89,19.73,19.855,13763
2025-05-02 13:42:00+00:00,19.855,20.04,19.73,20.0,38816
2025-05-02 13:44:00+00:00,20.0,20.05,19.86,20.0,5778
2025-05-02 13:46:00+00:00,20.01,20.11,19.88,20.025,91990
2025-05-02 13:48:00+00:00,20.12,20.13,19.93,20.0,22945
2025-05-02 13:50:00+00:00,20.0,20.17,19.92,20.01,47002
2025-05-02 13:52:00+00:00,20.005,20.19,19.96,20.19,54552
2025-05-02 13:54:00+00:00,20.045,20.1,20.0,20.055,10255
2025-05-02 13:56:00+00:00,20.055,20.055,19.94,19.995,24966
2025-05-02 13:58:00+00:00,19.995,20.065,19.97,20.065,13282
2025-05-02 14:00:00+00:00,20.02,20.0825,19.93,20.02,21066
2025-05-02 14:02:00+00:00,20.05,20.05,19.99,20.015,22252
2025-05-02 14:04:00+00:00,20.04,20.225,19.99,20.09,39109
2025-05-02 14:06:00+00:00,20.145,20.205,19.99,20.035,16736
2025-05-02 14:08:00+00:00,20.035,20.035,19.84,19.96,12858
2025-05-02 14:10:00+00:00,19.92,20.08,19.92,20.04,10959
2025-05-02 14:12:00+00:00,20.065,20.065,19.915,19.94,18815
2025-05-02 14:14:00+00:00,19.95,19.96,19.9,19.92,7652
2025-05-02 14:16:00+00:00,19.89,19.97,19.865,19.865,28260
2025-05-02 14:18:00+00:00,19.865,19.94,19.84,19.935,11467
2025-05-02 14:20:00+00:00,19.93,19.935,19.77,19.78,19720
2025-05-02 14:22:00+00:00,19.785,19.84,19.73,19.84,11529
2025-05-02 14:24:00+00:00,19.825,19.85,19.79,19.81,20095
2025-05-02 14:26:00+00:00,19.8225,20.0,19.8225,19.98,20772
2025-05-02 14:28:00+00:00,19.98,20.025,19.96,19.99,19040
2025-05-02 14:30:00+00:00,20.02,20.03,19.97,20.01,14064
2025-05-02 14:32:00+00:00,20.01,20.01,19.97,19.98,40048
2025-05-02 14:34:00+00:00,20.02,20.025,19.94,20.0,20648
2025-05-02 14:36:00+00:00,20.0,20.01,19.98,19.98,6155
2025-05-02 14:38:00+00:00,20.01,20.05,19.98,19.98,18589
2025-05-02 14:40:00+00:00,19.98,20.01,19.81,19.87,24222
2025-05-02 14:42:00+00:00,19.875,19.9,19.875,19.885,2843
2025-05-02 14:44:00+00:00,19.885,19.93,19.87,19.88,9466
2025-05-02 14:46:00+00:00,19.88,20.04,19.88,19.99,85284
2025-05-02 14:48:00+00:00,20.005,20.005,20.0,20.0,2676
2025-05-02 14:50:00+00:00,20.0,20.0038,19.91,19.92,9760
2025-05-02 14:52:00+00:00,19.945,20.08,19.945,20.035,17145
2025-05-02 14:54:00+00:00,20.08,20.08,20.03,20.045,6278
2025-05-02 14:56:00+00:00,20.045,20.065,20.0,20.01,19601
2025-05-02 14:58:00+00:00,20.04,20.05,20.01,20.05,6519
2025-05-02 15:00:00+00:00,20.05,20.1575,20.05,20.1,13006
2025-05-02 15:02:00+00:00,20.09,20.11,20.03,20.05,15167
2025-05-02 15:04:00+00:00,20.05,20.07,20.02,20.025,8843
2025-05-02 15:06:00+00:00,20.01,20.11,20.01,20.0825,18990
2025-05-02 15:08:00+00:00,20.11,20.13,20.05,20.05,20502
2025-05-02 15:10:00+00:00,20.045,20.095,20.045,20.065,8403
2025-05-02 15:12:00+00:00,20.065,20.065,19.92,19.925,22018
2025-05-02 15:14:00+00:00,19.91,19.935,19.87,19.92,10473
2025-05-02 15:16:00+00:00,19.92,19.95,19.91,19.94,7146
2025-05-02 15:18:00+00:00,19.94,20.02,19.94,19.99,13666
2025-05-02 15:20:00+00:00,19.97,19.97,19.85,19.86,9259
2025-05-02 15:22:00+00:00,19.86,19.95,19.85,19.91,11214
2025-05-02 15:24:00+00:00,19.93,19.93,19.88,19.885,8512
2025-05-02 15:26:00+00:00,19.89,19.89,19.84,19.845,9811
2025-05-02 15:28:00+00:00,19.855,19.855,19.81,19.825,7724
2025-05-02 15:30:00+00:00,19.82,19.83,19.76,19.83,13757
2025-05-02 15:32:00+00:00,19.81,19.86,19.81,19.8375,3695
2025-05-02 15:34:00+00:00,19.855,19.88,19.84,19.84,6330
2025-05-02 15:36:00+00:00,19.86,19.89,19.84,19.89,14306
2025-05-02 15:38:00+00:00,19.9,19.955,19.89,19.92,11200
2025-05-02 15:40:00+00:00,19.91,19.915,19.825,19.825,11021
2025-05-02 15:42:00+00:00,19.81,19.87,19.81,19.87,5086
2025-05-02 15:44:00+00:00,19.87,20.025,19.87,20.025,29694
2025-05-02 15:46:00+00:00,20.0,20.02,19.96,19.995,15999
2025-05-02 15:48:00+00:00,19.995,20.04,19.99,20.04,4771
2025-05-02 15:50:00+00:00,20.04,20.04,19.99,20.04,10597
2025-05-02 15:52:00+00:00,20.035,20.14,20.035,20.14,5249
2025-05-02 15:54:00+00:00,20.135,20.21,20.135,20.185,8994
2025-05-02 15:56:00+00:00,20.185,20.25,20.185,20.22,6555
2025-05-02 15:58:00+00:00,20.245,20.245,20.22,20.23,5561
2025-05-02 16:00:00+00:00,20.21,20.27,20.21,20.235,18258
2025-05-02 16:02:00+00:00,20.23,20.29,20.22,20.24,22934
2025-05-02 16:04:00+00:00,20.275,20.37,20.27,20.36,38149
2025-05-02 16:06:00+00:00,20.365,20.39,20.3445,20.3445,18300
2025-05-02 16:08:00+00:00,20.345,20.455,20.345,20.39,13935
2025-05-02 16:10:00+00:00,20.38,20.38,20.3,20.35,19745
2025-05-02 16:12:00+00:00,20.355,20.41,20.335,20.355,27452
2025-05-02 16:14:00+00:00,20.355,20.38,20.32,20.32,20591
2025-05-02 16:16:00+00:00,20.33,20.35,20.29,20.305,17094
2025-05-02 16:18:00+00:00,20.28,20.305,20.22,20.305,12142
2025-05-02 16:20:00+00:00,20.27,20.295,20.2,20.2,11847
2025-05-02 16:22:00+00:00,20.23,20.27,20.2,20.26,11934
2025-05-02 16:24:00+00:00,20.26,20.28,20.24,20.24,16053
2025-05-02 16:26:00+00:00,20.26,20.31,20.25,20.29,11920
2025-05-02 16:28:00+00:00,20.32,20.33,20.29,20.29,7863
2025-05-02 16:30:00+00:00,20.3,20.59,20.29,20.54,26435
2025-05-02 16:32:00+00:00,20.56,20.6,20.52,20.575,21051
2025-05-02 16:34:00+00:00,20.575,20.588,20.52,20.52,7490
2025-05-02 16:36:00+00:00,20.52,20.545,20.43,20.505,14947
2025-05-02 16:38:00+00:00,20.505,20.505,20.47,20.47,3544
2025-05-02 16:40:00+00:00,20.485,20.485,20.43,20.435,12162
2025-05-02 16:42:00+00:00,20.44,20.46,20.43,20.445,4149
2025-05-02 16:44:00+00:00,20.45,20.4996,20.42,20.45,20692
2025-05-02 16:46:00+00:00,20.46,20.475,20.42,20.43,17939
2025-05-02 16:48:00+00:00,20.435,20.46,20.43,20.44,12913
2025-05-02 16:50:00+00:00,20.455,20.47,20.43,20.465,9992
2025-05-02 16:52:00+00:00,20.465,20.465,20.465,20.465,2902
2025-05-02 16:54:00+00:00,20.46,20.53,20.46,20.505,16548
2025-05-02 16:56:00+00:00,20.5,20.5,20.48,20.48,2942
2025-05-02 16:58:00+00:00,20.48,20.515,20.46,20.48,18156
2025-05-02 17:00:00+00:00,20.48,20.505,20.475,20.48,8605
2025-05-02 17:02:00+00:00,20.475,20.475,20.425,20.44,6722
2025-05-02 17:04:00+00:00,20.43,20.445,20.42,20.43,6763
2025-05-02 17:06:00+00:00,20.43,20.46,20.43,20.445,5941
2025-05-02 17:08:00+00:00,20.445,20.515,20.445,20.497,14996
2025-05-02 17:10:00+00:00,20.51,20.51,20.48,20.48,5444
2025-05-02 17:12:00+00:00,20.48,20.535,20.47,20.535,10113
2025-05-02 17:14:00+00:00,20.5526,20.5526,20.51,20.51,6502
2025-05-02 17:16:00+00:00,20.525,20.525,20.45,20.45,12562
2025-05-02 17:18:00+00:00,20.45,20.52,20.45,20.515,12869
2025-05-02 17:20:00+00:00,20.515,20.57,20.515,20.565,7620
2025-05-02 17:22:00+00:00,20.565,20.58,20.51,20.56,22618
2025-05-02 17:24:00+00:00,20.585,20.61,20.56,20.6,8307
2025-05-02 17:26:00+00:00,20.59,20.66,20.55,20.66,20935
2025-05-02 17:28:00+00:00,20.66,20.7,20.62,20.665,17008
2025-05-02 17:30:00+00:00,20.67,20.72,20.64,20.64,8058
2025-05-02 17:32:00+00:00,20.63,20.72,20.59,20.72,10017
2025-05-02 17:34:00+00:00,20.71,20.72,20.66,20.685,11871
2025-05-02 17:36:00+00:00,20.7,20.72,20.63,20.635,10185
2025-05-02 17:38:00+00:00,20.635,20.65,20.585,20.585,21007
2025-05-02 17:40:00+00:00,20.57,20.59,20.48,20.505,11966
2025-05-02 17:42:00+00:00,20.5,20.63,20.5,20.58,133845
2025-05-02 17:44:00+00:00,20.585,20.635,20.585,20.635,6511
2025-05-02 17:46:00+00:00,20.66,20.71,20.66,20.7,9664
2025-05-02 17:48:00+00:00,20.705,20.715,20.7,20.7,5309
2025-05-02 17:50:00+00:00,20.705,20.75,20.705,20.74,14443
2025-05-02 17:52:00+00:00,20.74,20.74,20.7,20.7,5525
2025-05-02 17:54:00+00:00,20.7,20.705,20.68,20.68,8213
2025-05-02 17:56:00+00:00,20.7,20.7,20.63,20.65,10733
2025-05-02 17:58:00+00:00,20.65,20.67,20.63,20.65,23593
2025-05-02 18:00:00+00:00,20.65,20.6665,20.63,20.65,13338
2025-05-02 18:02:00+00:00,20.65,20.7,20.63,20.65,17635
2025-05-02 18:04:00+00:00,20.65,20.655,20.63,20.65,7682
2025-05-02 18:06:00+00:00,20.65,20.67,20.63,20.64,16181
2025-05-02 18:08:00+00:00,20.64,20.64,20.57,20.585,12325
2025-05-02 18:10:00+00:00,20.57,20.62,20.57,20.605,8824
2025-05-02 18:12:00+00:00,20.605,20.605,20.58,20.605,5356
2025-05-02 18:14:00+00:00,20.605,20.605,20.49,20.49,14221
2025-05-02 18:16:00+00:00,20.495,20.52,20.46,20.515,13818
2025-05-02 18:18:00+00:00,20.52,20.52,20.46,20.46,9630
2025-05-02 18:20:00+00:00,20.46,20.46,20.4,20.41,11780
2025-05-02 18:22:00+00:00,20.41,20.43,20.41,20.41,9436
2025-05-02 18:24:00+00:00,20.41,20.45,20.385,20.44,10443
2025-05-02 18:26:00+00:00,20.44,20.47,20.44,20.465,10843
2025-05-02 18:28:00+00:00,20.45,20.62,20.43,20.62,19490
2025-05-02 18:30:00+00:00,20.62,20.62,20.49,20.55,16803
2025-05-02 18:32:00+00:00,20.57,20.57,20.53,20.53,5871
2025-05-02 18:34:00+00:00,20.53,20.56,20.52,20.55,13428
2025-05-02 18:36:00+00:00,20.56,20.64,20.56,20.61,11965
2025-05-02 18:38:00+00:00,20.6275,20.6275,20.59,20.59,4361
2025-05-02 18:40:00+00:00,20.59,20.6,20.58,20.58,9905
2025-05-02 18:42:00+00:00,20.58,20.6,20.57,20.6,8350
2025-05-02 18:44:00+00:00,20.6,20.6,20.58,20.58,6431
2025-05-02 18:46:00+00:00,20.59,20.61,20.5,20.55,40681
2025-05-02 18:48:00+00:00,20.55,20.56,20.47,20.47,33329
2025-05-02 18:50:00+00:00,20.475,20.5,20.47,20.47,14533
2025-05-02 18:52:00+00:00,20.475,20.475,20.41,20.43,6826
2025-05-02 18:54:00+00:00,20.41,20.41,20.35,20.35,14427
2025-05-02 18:56:00+00:00,20.35,20.42,20.35,20.415,15393
2025-05-02 18:58:00+00:00,20.43,20.52,20.43,20.52,19822
2025-05-02 19:00:00+00:00,20.52,20.53,20.5184,20.52,4498
2025-05-02 19:02:00+00:00,20.525,20.54,20.5,20.515,21384
2025-05-02 19:04:00+00:00,20.515,20.515,20.49,20.51,11987
2025-05-02 19:06:00+00:00,20.51,20.61,20.505,20.61,22134
2025-05-02 19:08:00+00:00,20.615,20.6197,20.56,20.58,21654
2025-05-02 19:10:00+00:00,20.58,20.58,20.52,20.535,13629
2025-05-02 19:12:00+00:00,20.535,20.57,20.535,20.55,15905
2025-05-02 19:14:00+00:00,20.57,20.57,20.48,20.495,31615
2025-05-02 19:16:00+00:00,20.5,20.53,20.35,20.35,26911
2025-05-02 19:18:00+00:00,20.38,20.515,20.38,20.51,32275
2025-05-02 19:20:00+00:00,20.51,20.51,20.425,20.47,25074
2025-05-02 19:22:00+00:00,20.475,20.5,20.44,20.49,27701
2025-05-02 19:24:00+00:00,20.49,20.53,20.48,20.49,25234
2025-05-02 19:26:00+00:00,20.49,20.5,20.44,20.445,16583
2025-05-02 19:28:00+00:00,20.445,20.52,20.4,20.4,54301
2025-05-02 19:30:00+00:00,20.39,20.58,20.37,20.565,77875
2025-05-02 19:32:00+00:00,20.58,20.6,20.55,20.6,22190
2025-05-02 19:34:00+00:00,20.6,20.69,20.6,20.69,15797
2025-05-02 19:36:00+00:00,20.7,20.74,20.68,20.725,18913
2025-05-02 19:38:00+00:00,20.72,20.725,20.59,20.69,33705
2025-05-02 19:40:00+00:00,20.69,20.7,20.67,20.7,18588
2025-05-02 19:42:00+00:00,20.685,20.75,20.67,20.74,22517
2025-05-02 19:44:00+00:00,20.74,20.75,20.72,20.725,23782
2025-05-02 19:46:00+00:00,20.725,20.89,20.72,20.89,24835
2025-05-02 19:48:00+00:00,20.8837,20.89,20.82,20.84,26628
2025-05-02 19:50:00+00:00,20.84,20.89,20.8,20.82,31902
2025-05-02 19:52:00+00:00,20.81,20.895,20.8,20.87,39093
2025-05-02 19:54:00+00:00,20.88,20.93,20.84,20.87,64170
2025-05-02 19:56:00+00:00,20.865,20.89,20.835,20.885,59338
2025-05-02 19:58:00+00:00,20.88,20.885,20.835,20.86,95698
2025-05-02 20:00:00+00:00,20.87,20.87,20.87,20.87,34199
2025-05-02 20:06:00+00:00,20.77,20.77,20.77,20.77,181
2025-05-02 22:28:00+00:00,20.9,20.9,20.9,20.9,175
