Datetime,Open,High,Low,Close,Volume
2025-04-03 12:00:00+00:00,8.0,8.0,8.0,8.0,2037
2025-04-03 12:04:00+00:00,8.25,8.25,8.25,8.25,100
2025-04-03 13:02:00+00:00,8.15,8.15,8.15,8.15,1200
2025-04-03 13:30:00+00:00,7.76,7.76,7.6,7.63,8317
2025-04-03 13:32:00+00:00,7.6,7.6,7.41,7.41,33567
2025-04-03 13:34:00+00:00,7.44,7.45,7.4,7.4,12758
2025-04-03 13:36:00+00:00,7.4,7.41,7.4,7.4,2538
2025-04-03 13:40:00+00:00,7.4,7.4,7.395,7.395,1150
2025-04-03 13:44:00+00:00,7.435,7.47,7.4163,7.43,1740
2025-04-03 13:52:00+00:00,7.45,7.45,7.45,7.45,200
2025-04-03 13:54:00+00:00,7.4895,7.4895,7.4895,7.4895,500
2025-04-03 14:00:00+00:00,7.5486,7.5486,7.5486,7.5486,153
2025-04-03 14:02:00+00:00,7.59,7.62,7.515,7.62,541
2025-04-03 14:12:00+00:00,7.645,7.645,7.645,7.645,100
2025-04-03 14:16:00+00:00,7.6437,7.6437,7.6411,7.6411,410
2025-04-03 14:20:00+00:00,7.72,7.7999,7.7144,7.7999,3070
2025-04-03 14:24:00+00:00,7.78,7.78,7.78,7.78,250
2025-04-03 14:26:00+00:00,7.785,7.785,7.785,7.785,900
2025-04-03 14:48:00+00:00,8.0,8.0,8.0,8.0,200
2025-04-03 14:50:00+00:00,8.02,8.08,8.02,8.08,1044
2025-04-03 14:56:00+00:00,8.03,8.0347,8.03,8.0347,1600
2025-04-03 14:58:00+00:00,8.015,8.015,7.9801,7.9801,200
2025-04-03 15:02:00+00:00,8.04,8.04,8.04,8.04,100
2025-04-03 15:04:00+00:00,8.06,8.0624,8.06,8.0624,633
2025-04-03 15:08:00+00:00,8.06,8.06,8.06,8.06,240
2025-04-03 15:14:00+00:00,8.0599,8.0599,8.0,8.0,966
2025-04-03 15:16:00+00:00,7.985,7.985,7.96,7.96,424
2025-04-03 15:18:00+00:00,7.97,7.97,7.97,7.97,100
2025-04-03 15:24:00+00:00,7.985,7.985,7.97,7.9745,2115
2025-04-03 15:30:00+00:00,7.96,7.966,7.96,7.966,1926
2025-04-03 15:34:00+00:00,7.95,7.95,7.95,7.95,356
2025-04-03 15:36:00+00:00,7.9601,7.9601,7.9601,7.9601,217
2025-04-03 15:44:00+00:00,7.8789,7.8789,7.87,7.87,1167
2025-04-03 15:50:00+00:00,7.9596,7.9596,7.9596,7.9596,400
2025-04-03 15:52:00+00:00,7.9877,7.9877,7.9877,7.9877,250
2025-04-03 15:54:00+00:00,7.94,7.94,7.94,7.94,208
2025-04-03 15:58:00+00:00,7.87,7.87,7.87,7.87,500
2025-04-03 16:16:00+00:00,7.798,7.798,7.798,7.798,227
2025-04-03 16:20:00+00:00,7.75,7.75,7.75,7.75,100
2025-04-03 16:26:00+00:00,7.795,7.795,7.795,7.795,150
2025-04-03 16:56:00+00:00,7.935,7.935,7.935,7.935,100
2025-04-03 17:16:00+00:00,7.945,7.945,7.945,7.945,100
2025-04-03 17:18:00+00:00,7.96,7.96,7.96,7.96,250
2025-04-03 17:26:00+00:00,8.04,8.04,8.04,8.04,1026
2025-04-03 17:32:00+00:00,8.0,8.0001,8.0,8.0001,436
2025-04-03 17:34:00+00:00,7.94,7.9479,7.94,7.9479,1200
2025-04-03 17:54:00+00:00,7.99,7.99,7.99,7.99,101
2025-04-03 17:56:00+00:00,8.0,8.0,8.0,8.0,1082
2025-04-03 18:06:00+00:00,8.0544,8.072,8.0544,8.072,491
2025-04-03 18:10:00+00:00,8.07,8.1299,8.07,8.1299,772
2025-04-03 18:12:00+00:00,8.091,8.091,8.091,8.091,1000
2025-04-03 18:22:00+00:00,8.1,8.1012,8.1,8.1,489
2025-04-03 18:42:00+00:00,8.05,8.05,8.05,8.05,125
2025-04-03 19:14:00+00:00,8.055,8.055,8.055,8.055,100
2025-04-03 19:18:00+00:00,8.13,8.15,8.13,8.15,218
2025-04-03 19:20:00+00:00,8.13,8.13,8.13,8.13,100
2025-04-03 19:22:00+00:00,8.16,8.16,8.16,8.16,250
2025-04-03 19:24:00+00:00,8.19,8.2,8.19,8.2,200
2025-04-03 19:30:00+00:00,8.24,8.24,8.24,8.24,108
2025-04-03 19:32:00+00:00,8.24,8.24,8.24,8.24,100
2025-04-03 19:36:00+00:00,8.17,8.2,8.17,8.2,864
2025-04-03 19:38:00+00:00,8.23,8.24,8.23,8.24,444
2025-04-03 19:42:00+00:00,8.16,8.16,8.16,8.16,200
2025-04-03 19:44:00+00:00,8.17,8.17,8.17,8.17,200
2025-04-03 19:52:00+00:00,8.1205,8.145,8.1205,8.135,1411
2025-04-03 19:54:00+00:00,8.12,8.12,8.12,8.12,100
2025-04-03 19:56:00+00:00,8.08,8.1,8.08,8.1,1875
2025-04-03 19:58:00+00:00,8.1,8.1,8.1,8.1,203
2025-04-03 20:30:00+00:00,8.51,8.51,8.51,8.51,160
2025-04-03 21:36:00+00:00,8.28,8.28,8.28,8.28,225
2025-04-03 22:24:00+00:00,8.5,8.5,8.5,8.5,215
2025-04-10 11:16:00+00:00,8.0,8.0,8.0,8.0,100
2025-04-10 11:20:00+00:00,8.0,8.0,7.28,7.32,1613
2025-04-10 11:28:00+00:00,7.5,7.68,7.5,7.68,250
2025-04-10 11:44:00+00:00,7.01,7.01,7.01,7.01,101
2025-04-10 11:56:00+00:00,7.5,7.68,7.5,7.68,500
2025-04-10 12:26:00+00:00,7.49,7.49,7.49,7.49,1002
2025-04-10 12:30:00+00:00,7.07,7.07,7.07,7.07,400
2025-04-10 12:34:00+00:00,7.07,7.07,7.07,7.07,200
2025-04-10 12:58:00+00:00,7.48,7.48,7.48,7.48,225
2025-04-10 13:02:00+00:00,7.5,7.5,7.5,7.5,500
2025-04-10 13:08:00+00:00,7.36,7.36,7.36,7.36,283
2025-04-10 13:12:00+00:00,8.0,8.0,8.0,8.0,2000
2025-04-10 13:28:00+00:00,7.4,7.4,7.4,7.4,200
2025-04-10 13:30:00+00:00,7.42,7.42,7.3185,7.3185,3598
2025-04-10 13:32:00+00:00,7.41,7.41,7.394,7.394,1236
2025-04-10 13:34:00+00:00,7.36,7.4,7.36,7.4,1115
