Datetime,Open,High,Low,Close,Volume
2025-12-08 09:00:00+00:00,29.5,29.52,27.5,29.5,25101.0
2025-12-08 09:02:00+00:00,29.84,30.51,29.56,30.07,15605.0
2025-12-08 09:04:00+00:00,30.02,30.54,29.61,30.53,12793.0
2025-12-08 09:06:00+00:00,30.73,30.81,30.73,30.81,2423.0
2025-12-08 09:08:00+00:00,30.8,30.8,30.55,30.55,853.0
2025-12-08 09:10:00+00:00,30.65,30.68,30.65,30.67,1851.0
2025-12-08 09:12:00+00:00,30.66,30.66,30.49,30.5,7532.0
2025-12-08 09:14:00+00:00,30.53,30.6,30.5,30.51,1753.0
2025-12-08 09:16:00+00:00,30.42,30.61,30.42,30.61,2598.0
2025-12-08 09:20:00+00:00,30.59,30.59,30.59,30.59,318.0
2025-12-08 09:22:00+00:00,30.57,30.68,30.57,30.61,1319.0
2025-12-08 09:24:00+00:00,30.55,30.55,30.51,30.51,14265.0
2025-12-08 09:26:00+00:00,30.51,30.51,30.41,30.42,4299.0
2025-12-08 09:28:00+00:00,30.42,30.46,30.42,30.46,497.0
2025-12-08 09:32:00+00:00,30.42,30.42,30.41,30.41,1922.0
2025-12-08 09:34:00+00:00,30.44,30.44,30.44,30.44,385.0
2025-12-08 09:36:00+00:00,30.44,30.46,30.41,30.46,8705.0
2025-12-08 09:38:00+00:00,30.45,30.45,30.45,30.45,100.0
2025-12-08 09:40:00+00:00,30.46,30.46,30.46,30.46,272.0
2025-12-08 09:42:00+00:00,30.45,30.46,30.45,30.46,396.0
2025-12-08 09:44:00+00:00,30.44,30.46,30.44,30.44,2149.0
2025-12-08 09:46:00+00:00,30.44,30.44,30.44,30.44,954.0
2025-12-08 09:48:00+00:00,30.44,30.44,30.41,30.41,10000.0
2025-12-08 09:52:00+00:00,30.44,30.45,30.43,30.45,3401.0
2025-12-08 09:54:00+00:00,30.46,30.5,30.46,30.5,6965.0
2025-12-08 09:56:00+00:00,30.55,30.55,30.5,30.5,570.0
2025-12-08 10:02:00+00:00,30.49,30.49,30.43,30.43,985.0
2025-12-08 10:06:00+00:00,30.43,30.43,30.31,30.31,7756.0
2025-12-08 10:08:00+00:00,30.23,30.24,30.21,30.22,1728.0
2025-12-08 10:10:00+00:00,30.18,30.2,30.18,30.2,600.0
2025-12-08 10:12:00+00:00,30.16,30.16,30.1,30.13,55345.0
2025-12-08 10:14:00+00:00,30.19,30.19,30.175,30.175,659.0
2025-12-08 10:16:00+00:00,30.15,30.15,30.0,30.0,31246.0
2025-12-08 10:20:00+00:00,29.89,29.89,29.7,29.7,2902.0
2025-12-08 10:22:00+00:00,29.56,29.56,29.5,29.5,44318.0
2025-12-08 10:24:00+00:00,29.675,29.75,29.675,29.74,996.0
2025-12-08 10:26:00+00:00,29.76,29.76,29.75,29.75,4742.0
2025-12-08 10:30:00+00:00,29.6,29.6,29.6,29.6,389.0
2025-12-08 10:36:00+00:00,29.62,29.62,29.51,29.51,21801.0
2025-12-08 10:40:00+00:00,29.49,29.59,29.48,29.59,1320.0
2025-12-08 10:42:00+00:00,29.59,29.8,29.59,29.8,1775.0
2025-12-08 10:44:00+00:00,29.7,29.7,29.69,29.69,558.0
2025-12-08 10:46:00+00:00,29.68,29.7,29.68,29.7,999.0
2025-12-08 10:48:00+00:00,29.7,29.7,29.61,29.61,290.0
2025-12-08 10:50:00+00:00,29.51,29.53,29.51,29.53,547.0
2025-12-08 10:52:00+00:00,29.59,29.59,29.59,29.59,465.0
2025-12-08 10:58:00+00:00,29.68,29.7,29.66,29.66,1028.0
2025-12-08 11:00:00+00:00,29.66,29.66,29.505,29.505,511.0
2025-12-08 11:04:00+00:00,29.52,29.52,29.46,29.46,5914.0
2025-12-08 11:06:00+00:00,29.46,29.55,29.46,29.52,23489.0
2025-12-08 11:08:00+00:00,29.51,29.52,29.5,29.5,2313.0
2025-12-08 11:10:00+00:00,29.65,29.66,29.65,29.65,971.0
2025-12-08 11:12:00+00:00,29.68,29.71,29.64,29.65,35372.0
2025-12-08 11:16:00+00:00,29.65,29.66,29.65,29.65,8334.0
2025-12-08 11:18:00+00:00,29.66,29.71,29.65,29.65,21517.0
2025-12-08 11:20:00+00:00,29.64,29.68,29.63,29.66,21076.0
2025-12-08 11:22:00+00:00,29.675,29.75,29.65,29.66,21674.0
2025-12-08 11:24:00+00:00,29.66,29.66,29.65,29.65,616.0
2025-12-08 11:26:00+00:00,29.65,29.66,29.65,29.66,6431.0
2025-12-08 11:28:00+00:00,29.66,29.69,29.66,29.66,12482.0
2025-12-08 11:30:00+00:00,29.66,29.66,29.66,29.66,2295.0
2025-12-08 11:32:00+00:00,29.66,29.67,29.61,29.65,15048.0
2025-12-08 11:34:00+00:00,29.65,29.78,29.65,29.78,12118.0
2025-12-08 11:36:00+00:00,29.79,29.8,29.79,29.8,550.0
2025-12-08 11:38:00+00:00,29.71,29.85,29.68,29.85,2549.0
2025-12-08 11:40:00+00:00,29.8,29.8,29.8,29.8,870.0
2025-12-08 11:42:00+00:00,29.84,29.86,29.84,29.85,3421.0
2025-12-08 11:44:00+00:00,29.825,29.915,29.8,29.91,8069.0
2025-12-08 11:46:00+00:00,29.95,29.98,29.91,29.97,3384.0
2025-12-08 11:48:00+00:00,29.96,29.96,29.9,29.95,1344.0
2025-12-08 11:50:00+00:00,29.93,29.98,29.85,29.85,56213.0
2025-12-08 11:52:00+00:00,29.85,29.85,29.85,29.85,47118.0
2025-12-08 11:54:00+00:00,29.86,29.98,29.83,29.85,2136.0
2025-12-08 11:56:00+00:00,29.82,29.82,29.55,29.62,16180.0
2025-12-08 11:58:00+00:00,29.66,29.66,29.57,29.57,901.0
2025-12-08 12:00:00+00:00,29.55,29.65,29.27,29.32,13755.0
2025-12-08 12:02:00+00:00,29.27,29.35,29.27,29.34,3133.0
2025-12-08 12:04:00+00:00,29.375,29.44,29.35,29.425,6888.0
2025-12-08 12:06:00+00:00,29.45,29.6,29.45,29.52,17637.0
2025-12-08 12:08:00+00:00,29.52,29.52,29.5,29.52,4472.0
2025-12-08 12:10:00+00:00,29.54,29.65,29.54,29.6,4679.0
2025-12-08 12:12:00+00:00,29.6,29.61,29.16,29.31,45739.0
2025-12-08 12:14:00+00:00,29.3,29.5,29.3,29.34,11052.0
2025-12-08 12:16:00+00:00,29.35,29.51,29.34,29.51,4507.0
2025-12-08 12:18:00+00:00,29.55,29.7,29.51,29.7,47305.0
2025-12-08 12:20:00+00:00,29.69,29.8,29.69,29.76,4796.0
2025-12-08 12:22:00+00:00,29.8,29.82,29.6,29.6,42748.0
2025-12-08 12:24:00+00:00,29.6,29.67,29.5,29.6,39250.0
2025-12-08 12:28:00+00:00,29.61,29.62,29.51,29.6,22779.0
2025-12-08 12:30:00+00:00,29.6,29.6,29.54,29.54,3762.0
2025-12-08 12:32:00+00:00,29.55,29.6,29.53,29.6,4321.0
2025-12-08 12:34:00+00:00,29.61,29.65,29.54,29.55,9394.0
2025-12-08 12:36:00+00:00,29.55,29.65,29.55,29.58,16438.0
2025-12-08 12:40:00+00:00,29.57,29.57,29.57,29.57,674.0
2025-12-08 12:42:00+00:00,29.57,29.585,29.0,29.03,77009.0
2025-12-08 12:44:00+00:00,29.11,29.53,29.11,29.42,9572.0
2025-12-08 12:46:00+00:00,29.48,29.48,29.3,29.4,25819.0
2025-12-08 12:48:00+00:00,29.42,29.49,29.3,29.37,13858.0
2025-12-08 12:50:00+00:00,29.36,29.37,29.26,29.34,7240.0
2025-12-08 12:52:00+00:00,29.35,29.36,29.31,29.36,1596.0
2025-12-08 12:54:00+00:00,29.36,29.36,29.28,29.31,7419.0
2025-12-08 13:00:00+00:00,29.4,30.8775,28.14,28.28,166817.0
2025-12-08 13:02:00+00:00,30.66,30.66,29.3,29.3203,2141.0
2025-12-08 13:20:00+00:00,29.75,30.0,29.66,29.899,627054.0
2025-12-08 13:22:00+00:00,29.889,29.9,29.76,29.81,273223.0
2025-12-08 13:24:00+00:00,29.81,29.887,29.79,29.835,1259696.0
2025-12-08 13:26:00+00:00,29.87,29.9,29.8084,29.8792,742305.0
2025-12-08 13:28:00+00:00,29.87,29.89,29.84,29.8501,642000.0
2025-12-08 13:30:00+00:00,29.86,29.89,29.85,29.89,870185.0
2025-12-08 13:32:00+00:00,29.89,29.9,29.83,29.83,2069866.0
2025-12-08 13:34:00+00:00,29.83,29.9,29.83,29.88,626337.0
2025-12-08 13:36:00+00:00,29.88,29.98,29.88,29.98,507147.0
2025-12-08 13:38:00+00:00,29.99,29.99,29.88,29.9298,765543.0
2025-12-08 13:40:00+00:00,29.93,29.93,29.9,29.92,126449.0
2025-12-08 13:42:00+00:00,29.9202,29.93,29.88,29.88,158045.0
2025-12-08 13:44:00+00:00,29.89,29.91,29.88,29.91,361352.0
2025-12-08 13:46:00+00:00,29.91,29.93,29.9,29.92,704350.0
2025-12-08 13:48:00+00:00,29.92,29.9501,29.89,29.9501,811264.0
2025-12-08 13:50:00+00:00,29.95,29.95,29.9,29.92,933823.0
2025-12-08 13:52:00+00:00,29.92,29.93,29.91,29.92,281959.0
2025-12-08 13:54:00+00:00,29.93,29.95,29.92,29.93,342310.0
2025-12-08 13:56:00+00:00,29.92,29.94,29.92,29.93,378219.0
2025-12-08 13:58:00+00:00,29.935,29.94,29.93,29.93,208186.0
2025-12-08 14:00:00+00:00,29.9397,29.94,29.92,29.93,279494.0
2025-12-08 14:02:00+00:00,29.93,29.95,29.93,29.94,265089.0
2025-12-08 14:04:00+00:00,29.95,29.95,29.935,29.94,375175.0
2025-12-08 14:06:00+00:00,29.95,29.95,29.94,29.94,197743.0
2025-12-08 14:08:00+00:00,29.9401,29.95,29.92,29.93,868798.0
2025-12-08 14:10:00+00:00,29.93,29.9399,29.91,29.91,374514.0
2025-12-08 14:12:00+00:00,29.91,29.92,29.9,29.9,156772.0
2025-12-08 14:14:00+00:00,29.9,29.9,29.88,29.88,433897.0
2025-12-08 14:16:00+00:00,29.885,29.89,29.855,29.86,1507288.0
2025-12-08 14:18:00+00:00,29.86,29.87,29.85,29.85,1034492.0
2025-12-08 14:20:00+00:00,29.87,29.88,29.86,29.87,250296.0
2025-12-08 14:22:00+00:00,29.87,29.89,29.87,29.88,910168.0
2025-12-08 14:24:00+00:00,29.88,29.88,29.75,29.84,3081128.0
2025-12-08 14:26:00+00:00,29.83,29.86,29.83,29.84,697838.0
2025-12-08 14:28:00+00:00,29.83,29.85,29.83,29.84,358335.0
2025-12-08 14:30:00+00:00,29.84,29.86,29.75,29.805,2986767.0
2025-12-08 14:32:00+00:00,29.81,29.84,29.78,29.835,1492376.0
2025-12-08 14:34:00+00:00,29.835,29.84,29.78,29.8248,6927032.0
2025-12-08 14:36:00+00:00,29.825,29.8255,29.75,29.79,2230623.0
2025-12-08 14:38:00+00:00,29.785,29.8,29.76,29.77,2158106.0
2025-12-08 14:40:00+00:00,29.77,29.81,29.77,29.79,3382364.0
2025-12-08 14:42:00+00:00,29.785,29.805,29.76,29.765,1941530.0
2025-12-08 14:44:00+00:00,29.765,29.78,29.7,29.705,3185909.0
2025-12-08 14:46:00+00:00,29.7056,29.75,29.7,29.735,2000281.0
2025-12-08 14:48:00+00:00,29.735,29.75,29.72,29.745,1536339.0
