Datetime,Open,High,Low,Close,Volume
2026-02-19 14:44:00+00:00,1.72,1.72,1.72,1.72,100
2026-02-19 14:48:00+00:00,1.41,1.41,1.41,1.41,254
2026-02-19 14:50:00+00:00,1.42,1.48,1.42,1.48,313
2026-02-19 15:20:00+00:00,1.5368,1.5368,1.5368,1.5368,250
2026-02-19 15:32:00+00:00,1.5813,1.5813,1.5813,1.5813,500
2026-02-19 20:02:00+00:00,1.495,1.495,1.495,1.495,202
2026-02-19 20:38:00+00:00,1.5178,1.5178,1.5178,1.5178,200
2026-02-19 20:50:00+00:00,1.51,1.51,1.51,1.51,221
2026-02-19 21:48:00+00:00,1.55,1.55,1.55,1.55,100
2026-02-19 21:50:00+00:00,1.56,1.56,1.56,1.56,100
