Datetime,Open,High,Low,Close,Volume
2025-05-07 08:00:00+00:00,4.09,4.1,4.09,4.1,500
2025-05-07 08:10:00+00:00,4.01,4.01,4.01,4.01,1585
2025-05-07 08:12:00+00:00,3.96,3.97,3.96,3.97,720
2025-05-07 08:18:00+00:00,4.08,4.09,4.08,4.09,500
2025-05-07 08:20:00+00:00,4.1,4.1,4.1,4.1,550
2025-05-07 08:26:00+00:00,4.0,4.0,4.0,4.0,814
2025-05-07 08:36:00+00:00,4.08,4.08,4.08,4.08,280
2025-05-07 08:52:00+00:00,4.1,4.1,4.1,4.1,598
2025-05-07 08:58:00+00:00,4.1,4.1,4.09,4.09,315
2025-05-07 09:00:00+00:00,4.07,4.08,4.07,4.08,528
2025-05-07 09:10:00+00:00,4.09,4.09,4.09,4.09,127
2025-05-07 09:12:00+00:00,4.1,4.1,4.09,4.09,1621
2025-05-07 09:14:00+00:00,4.1,4.11,4.09,4.11,3806
2025-05-07 09:16:00+00:00,4.11,4.11,4.11,4.11,1320
2025-05-07 09:20:00+00:00,4.11,4.11,4.11,4.11,368
2025-05-07 09:22:00+00:00,4.12,4.13,4.12,4.12,1360
2025-05-07 09:26:00+00:00,4.05,4.06,4.04,4.06,2059
2025-05-07 09:30:00+00:00,4.05,4.05,4.05,4.05,955
2025-05-07 09:32:00+00:00,4.09,4.09,4.09,4.09,115
2025-05-07 09:34:00+00:00,4.1,4.12,4.1,4.12,1807
2025-05-07 09:36:00+00:00,4.12,4.15,4.12,4.13,5332
2025-05-07 09:38:00+00:00,4.12,4.14,4.12,4.14,804
2025-05-07 09:40:00+00:00,4.13,4.13,3.96,4.0,1510
2025-05-07 09:42:00+00:00,3.99,3.99,3.99,3.99,100
2025-05-07 09:44:00+00:00,3.99,3.99,3.99,3.99,628
2025-05-07 09:46:00+00:00,4.0,4.0,3.96,3.96,672
2025-05-07 10:04:00+00:00,3.96,3.96,3.96,3.96,100
2025-05-07 10:06:00+00:00,3.98,3.99,3.98,3.99,481
2025-05-07 10:14:00+00:00,4.0,4.0,4.0,4.0,200
2025-05-07 10:16:00+00:00,3.97,3.97,3.97,3.97,210
2025-05-07 10:24:00+00:00,4.13,4.13,4.13,4.13,154
2025-05-07 10:28:00+00:00,4.09,4.09,4.09,4.09,677
2025-05-07 10:30:00+00:00,4.09,4.09,4.09,4.09,138
2025-05-07 10:32:00+00:00,4.09,4.09,4.09,4.09,303
2025-05-07 10:36:00+00:00,4.06,4.09,4.06,4.07,2364
2025-05-07 10:38:00+00:00,4.06,4.08,4.04,4.05,1150
2025-05-07 10:42:00+00:00,4.05,4.05,4.05,4.05,1223
2025-05-07 11:00:00+00:00,4.07,4.09,4.07,4.09,1489
2025-05-07 11:02:00+00:00,4.13,4.15,4.04,4.04,6450
2025-05-07 11:08:00+00:00,4.06,4.06,4.06,4.06,250
2025-05-07 11:16:00+00:00,4.0,4.0,4.0,4.0,2297
2025-05-07 11:20:00+00:00,4.04,4.04,4.04,4.04,100
2025-05-07 11:30:00+00:00,4.07,4.15,4.07,4.14,5944
2025-05-07 11:32:00+00:00,4.13,4.13,4.13,4.13,117
2025-05-07 11:34:00+00:00,4.14,4.2,4.14,4.2,31978
2025-05-07 11:36:00+00:00,4.19,4.2,4.18,4.18,3878
2025-05-07 11:38:00+00:00,4.17,4.17,4.17,4.17,400
2025-05-07 11:42:00+00:00,4.16,4.17,4.16,4.17,6029
2025-05-07 11:44:00+00:00,4.2,4.2,4.2,4.2,1500
2025-05-07 11:46:00+00:00,4.2,4.2,4.2,4.2,995
2025-05-07 11:48:00+00:00,4.2,4.2,4.2,4.2,887
2025-05-07 11:50:00+00:00,4.17,4.17,4.17,4.17,622
2025-05-07 11:58:00+00:00,4.18,4.19,4.18,4.19,700
2025-05-07 12:00:00+00:00,4.1,4.2,3.9298,4.19,92066
2025-05-07 12:02:00+00:00,4.2,4.21,4.16,4.21,4208
2025-05-07 12:04:00+00:00,4.25,4.25,4.25,4.25,4050
2025-05-07 12:06:00+00:00,4.25,4.25,4.22,4.22,9009
2025-05-07 12:08:00+00:00,4.22,4.3,4.21,4.3,9679
2025-05-07 12:10:00+00:00,4.25,4.35,4.24,4.3,17753
2025-05-07 12:12:00+00:00,4.33,4.35,4.3001,4.35,2158
2025-05-07 12:14:00+00:00,4.23,4.33,4.19,4.19,8774
2025-05-07 12:16:00+00:00,4.2,4.33,4.2,4.33,1777
2025-05-07 12:18:00+00:00,4.3,4.3,4.3,4.3,429
2025-05-07 12:22:00+00:00,4.25,4.26,4.25,4.26,313
2025-05-07 12:24:00+00:00,4.23,4.23,4.22,4.22,5336
2025-05-07 12:26:00+00:00,4.19,4.29,4.17,4.29,5694
2025-05-07 12:28:00+00:00,4.29,4.32,4.27,4.27,2966
2025-05-07 12:30:00+00:00,4.315,4.32,4.315,4.32,2498
2025-05-07 12:32:00+00:00,4.3,4.3,4.2992,4.3,1511
2025-05-07 12:36:00+00:00,4.2997,4.2997,4.2997,4.2997,366
2025-05-07 12:38:00+00:00,4.3,4.35,4.3,4.35,9160
2025-05-07 12:40:00+00:00,4.35,4.45,4.34,4.45,10615
2025-05-07 12:42:00+00:00,4.45,4.46,4.3888,4.39,8496
2025-05-07 12:44:00+00:00,4.38,4.46,4.36,4.46,20113
2025-05-07 12:46:00+00:00,4.46,4.46,4.45,4.45,2704
