Datetime,Open,High,Low,Close,Volume
2025-01-27 09:02:00+00:00,1.41,1.41,1.41,1.41,1190
2025-01-27 09:12:00+00:00,1.42,1.42,1.42,1.42,438
2025-01-27 09:16:00+00:00,1.45,1.45,1.45,1.45,2062
2025-01-27 10:22:00+00:00,1.44,1.47,1.44,1.47,5915
2025-01-27 10:24:00+00:00,1.47,1.5,1.47,1.5,3200
2025-01-27 10:44:00+00:00,1.53,1.53,1.53,1.53,100
2025-01-27 10:50:00+00:00,1.46,1.46,1.41,1.41,30000
2025-01-27 10:56:00+00:00,1.44,1.44,1.44,1.44,1100
2025-01-27 11:10:00+00:00,1.44,1.74,1.44,1.7,130079
2025-01-27 11:12:00+00:00,1.7,1.75,1.615,1.72,93390
2025-01-27 11:14:00+00:00,1.73,1.75,1.68,1.71,56160
2025-01-27 11:16:00+00:00,1.71,1.75,1.71,1.75,16627
2025-01-27 11:18:00+00:00,1.74,1.9,1.74,1.89,271094
2025-01-27 11:20:00+00:00,1.89,1.92,1.79,1.92,278248
2025-01-27 11:22:00+00:00,1.91,1.92,1.81,1.82,187552
2025-01-27 11:24:00+00:00,1.82,1.84,1.61,1.69,256351
2025-01-27 11:26:00+00:00,1.685,1.75,1.66,1.71,118437
2025-01-27 11:28:00+00:00,1.71,1.79,1.7,1.79,78110
2025-01-27 11:30:00+00:00,1.79,1.88,1.78,1.87,190453
2025-01-27 11:32:00+00:00,1.88,1.89,1.76,1.79,147681
2025-01-27 11:34:00+00:00,1.79,1.86,1.71,1.73,129959
2025-01-27 11:36:00+00:00,1.74,1.76,1.71,1.73,67231
2025-01-27 11:38:00+00:00,1.73,1.78,1.72,1.78,75359
2025-01-27 11:40:00+00:00,1.77,1.78,1.73,1.74,54782
2025-01-27 11:42:00+00:00,1.74,1.77,1.74,1.76,29228
2025-01-27 11:44:00+00:00,1.75,1.76,1.71,1.75,82536
2025-01-27 11:46:00+00:00,1.76,1.79,1.71,1.79,63890
2025-01-27 11:48:00+00:00,1.8,1.88,1.8,1.86,64720
2025-01-27 11:50:00+00:00,1.86,1.9,1.85,1.85,148350
2025-01-27 11:52:00+00:00,1.85,1.85,1.8,1.82,57585
2025-01-27 11:54:00+00:00,1.82,1.85,1.81,1.85,14822
2025-01-27 11:56:00+00:00,1.85,1.85,1.81,1.81,34795
2025-01-27 11:58:00+00:00,1.82,1.82,1.76,1.78,66803
2025-01-27 12:00:00+00:00,1.78,1.79,1.76,1.78,104179
2025-01-27 12:02:00+00:00,1.78,1.8,1.78,1.78,5323
2025-01-27 12:04:00+00:00,1.78,1.8,1.78,1.8,37993
2025-01-27 12:06:00+00:00,1.8,1.82,1.78,1.8,95316
2025-01-27 12:08:00+00:00,1.79,1.81,1.79,1.8,22783
2025-01-27 12:10:00+00:00,1.79,1.79,1.76,1.76,40432
2025-01-27 12:12:00+00:00,1.77,1.77,1.76,1.76,17412
2025-01-27 12:14:00+00:00,1.76,1.77,1.75,1.77,43742
2025-01-27 12:16:00+00:00,1.77,1.77,1.76,1.76,18873
2025-01-27 12:18:00+00:00,1.76,1.76,1.75,1.76,4407
2025-01-27 12:20:00+00:00,1.76,1.77,1.76,1.77,14771
2025-01-27 12:22:00+00:00,1.78,1.78,1.78,1.78,3152
2025-01-27 12:24:00+00:00,1.78,1.8,1.78,1.8,22466
2025-01-27 12:26:00+00:00,1.8,1.8,1.8,1.8,66686
2025-01-27 12:28:00+00:00,1.8,1.8,1.79,1.8,45083
2025-01-27 12:30:00+00:00,1.8,1.8,1.79,1.79,25876
