Datetime,Open,High,Low,Close,Volume
2025-09-23 12:10:00+00:00,8.04,8.04,8.04,8.04,212
2025-09-23 13:00:00+00:00,8.49,23.32,8.49,12.54,340440
2025-09-23 13:02:00+00:00,12.54,12.71,9.64,10.79,323149
2025-09-23 13:04:00+00:00,10.8,11.48,10.3,10.65,228958
2025-09-23 13:06:00+00:00,10.65,10.65,9.56,10.44,215234
2025-09-23 13:08:00+00:00,10.32,10.75,9.6135,10.07,157732
2025-09-23 13:10:00+00:00,10.02,10.95,10.0,10.39,172109
2025-09-23 13:12:00+00:00,10.46,10.6,10.02,10.17,108110
2025-09-23 13:14:00+00:00,10.2,10.35,10.04,10.069,56099
2025-09-23 13:16:00+00:00,10.0537,10.13,9.25,9.7665,120862
2025-09-23 13:18:00+00:00,9.68,9.8497,9.35,9.8497,75413
2025-09-23 13:20:00+00:00,9.84,9.9,9.24,9.34,62693
2025-09-23 13:22:00+00:00,9.5,9.61,9.4359,9.45,21806
2025-09-23 13:24:00+00:00,9.5599,9.7,9.48,9.6492,21090
2025-09-23 13:26:00+00:00,9.59,9.65,9.24,9.38,27259
2025-09-23 13:28:00+00:00,9.31,9.4,9.13,9.3,23491
2025-09-23 13:30:00+00:00,9.13,9.5,8.24,8.8,123703
2025-09-23 13:32:00+00:00,8.9399,9.49,8.35,8.66,61369
2025-09-23 13:34:00+00:00,8.8615,8.8615,8.1,8.4048,62395
2025-09-23 13:36:00+00:00,8.4318,8.68,8.3,8.42,40304
2025-09-23 13:38:00+00:00,8.43,8.5,8.04,8.3299,46753
2025-09-23 13:40:00+00:00,8.17,8.3,7.24,7.31,107515
2025-09-23 13:42:00+00:00,7.391,7.8322,7.3709,7.61,43675
2025-09-23 13:44:00+00:00,7.61,7.8,7.5279,7.59,21855
2025-09-23 13:46:00+00:00,7.59,7.65,7.25,7.385,35488
2025-09-23 13:48:00+00:00,7.4042,7.68,7.38,7.46,12868
2025-09-23 13:50:00+00:00,7.45,7.45,7.0501,7.15,35462
2025-09-23 13:52:00+00:00,7.14,7.2668,6.8,6.85,60105
2025-09-23 13:54:00+00:00,6.805,6.9255,6.64,6.8899,31493
2025-09-23 13:56:00+00:00,6.85,7.1786,6.85,7.1,26976
