Datetime,Open,High,Low,Close,Volume
2025-07-16 10:44:00+00:00,3.7,4.13,3.7,3.9,16779.0
2025-07-16 10:46:00+00:00,3.9,4.08,3.82,3.89,45551.0
2025-07-16 10:48:00+00:00,3.94,3.94,3.86,3.92,4517.0
2025-07-16 10:50:00+00:00,3.9,4.1,3.88,3.88,29916.0
2025-07-16 10:52:00+00:00,3.88,3.99,3.88,3.93,3974.0
2025-07-16 10:54:00+00:00,3.93,4.22,3.93,3.99,25072.0
2025-07-16 10:56:00+00:00,4.08,4.1,4.01,4.01,1261.0
2025-07-16 10:58:00+00:00,4.09,4.1,4.05,4.05,2863.0
2025-07-16 11:00:00+00:00,4.05,4.05,3.88,3.88,14341.0
2025-07-16 11:02:00+00:00,3.87,3.89,3.85,3.87,3163.0
2025-07-16 11:04:00+00:00,3.87,4.01,3.87,4.0,5507.0
2025-07-16 11:06:00+00:00,4.0,4.0,3.87,3.87,4804.0
2025-07-16 11:08:00+00:00,3.89,3.94,3.89,3.94,277.0
2025-07-16 11:10:00+00:00,3.9,3.9,3.89,3.89,1058.0
2025-07-16 11:12:00+00:00,3.92,3.94,3.92,3.94,411.0
2025-07-16 11:14:00+00:00,3.91,4.21,3.91,4.06,45969.0
2025-07-16 11:16:00+00:00,4.08,4.08,3.91,4.02,30902.0
2025-07-16 11:18:00+00:00,4.03,4.13,4.03,4.13,10198.0
2025-07-16 11:20:00+00:00,4.13,4.68,4.1,4.58,276020.0
2025-07-16 11:22:00+00:00,4.59,4.9,4.11,4.599,854643.0
2025-07-16 11:24:00+00:00,4.58,4.78,4.16,4.33,541279.0
2025-07-16 11:26:00+00:00,4.32,4.63,4.22,4.48,342703.0
2025-07-16 11:28:00+00:00,4.49,4.71,4.45,4.495,431259.0
2025-07-16 11:30:00+00:00,4.49,4.69,4.35,4.69,395742.0
2025-07-16 11:32:00+00:00,4.68,4.82,4.445,4.63,609898.0
2025-07-16 11:34:00+00:00,4.635,4.75,4.33,4.46,363254.0
2025-07-16 11:36:00+00:00,4.46,4.63,4.43,4.58,175760.0
2025-07-16 11:38:00+00:00,4.57,4.74,4.485,4.72,287479.0
2025-07-16 11:40:00+00:00,4.72,4.84,4.56,4.65,468481.0
2025-07-16 11:42:00+00:00,4.65,4.77,4.6,4.71,183782.0
2025-07-16 11:44:00+00:00,4.71,4.76,4.54,4.66,370186.0
2025-07-16 11:46:00+00:00,4.65,4.67,4.45,4.45,307996.0
2025-07-16 11:48:00+00:00,4.455,4.48,4.35,4.35,292591.0
2025-07-16 11:50:00+00:00,4.35,4.36,4.12,4.26,520223.0
2025-07-16 11:52:00+00:00,4.25,4.37,4.21,4.27,200880.0
2025-07-16 11:54:00+00:00,4.27,4.28,4.16,4.25,184912.0
2025-07-16 11:56:00+00:00,4.26,4.32,4.25,4.31,79707.0
2025-07-16 11:58:00+00:00,4.32,4.43,4.32,4.38,261928.0
2025-07-16 12:00:00+00:00,3.89,4.9,3.58,4.3512,3390618.0
2025-07-16 12:02:00+00:00,4.6197,4.8297,4.22,4.38,157524.0
2025-07-16 12:04:00+00:00,4.37,4.43,4.37,4.4,123705.0
2025-07-16 12:06:00+00:00,4.4,4.4,4.22,4.265,184770.0
2025-07-16 12:08:00+00:00,4.26,4.2812,4.2,4.27,125751.0
2025-07-16 12:10:00+00:00,4.27,4.31,4.24,4.3,105847.0
2025-07-16 12:12:00+00:00,4.3,4.31,4.15,4.165,165978.0
2025-07-16 12:14:00+00:00,4.16,4.33,4.16,4.21,194561.0
2025-07-16 12:16:00+00:00,4.22,4.23,4.17,4.1812,90847.0
2025-07-16 12:18:00+00:00,4.19,4.2,4.07,4.11,233470.0
2025-07-16 12:20:00+00:00,4.11,4.19,4.07,4.13,147177.0
2025-07-16 12:22:00+00:00,4.1312,4.2,4.12,4.18,54117.0
2025-07-16 12:24:00+00:00,4.19,4.22,4.12,4.17,55541.0
2025-07-16 12:26:00+00:00,4.17,4.26,4.17,4.19,84273.0
2025-07-16 12:28:00+00:00,4.19,4.31,4.1888,4.2501,89535.0
2025-07-16 12:30:00+00:00,4.25,4.31,4.21,4.2702,71476.0
2025-07-16 12:32:00+00:00,4.28,4.3201,4.22,4.31,140832.0
2025-07-16 12:34:00+00:00,4.31,4.43,4.3,4.3412,229916.0
2025-07-16 12:36:00+00:00,4.35,4.38,4.27,4.31,88849.0
2025-07-16 12:38:00+00:00,4.3,4.31,4.27,4.28,55683.0
2025-07-16 12:40:00+00:00,4.29,4.37,4.29,4.3598,55851.0
2025-07-16 12:42:00+00:00,4.3512,4.39,4.35,4.36,49152.0
2025-07-16 12:44:00+00:00,4.37,4.37,4.27,4.29,71040.0
2025-07-16 12:46:00+00:00,4.29,4.2988,4.27,4.29,17563.0
2025-07-16 12:48:00+00:00,4.28,4.33,4.28,4.3,26006.0
2025-07-16 12:50:00+00:00,4.31,4.32,4.26,4.26,30572.0
2025-07-16 12:52:00+00:00,4.265,4.28,4.19,4.2,66485.0
2025-07-16 12:54:00+00:00,4.2,4.3,4.19,4.3,42708.0
2025-07-16 12:56:00+00:00,4.3,4.3,4.21,4.23,33554.0
2025-07-16 12:58:00+00:00,4.2212,4.25,4.2,4.22,68692.0
2025-07-16 13:00:00+00:00,4.22,4.26,4.17,4.25,46551.0
2025-07-16 13:02:00+00:00,4.2488,4.35,4.2488,4.29,46495.0
