Datetime,Open,High,Low,Close,Volume
2025-03-06 09:50:00+00:00,2.49,2.49,2.49,2.49,500
2025-03-06 09:52:00+00:00,2.5,2.5,2.5,2.5,100
2025-03-06 10:22:00+00:00,2.64,2.69,2.57,2.57,5608
2025-03-06 10:28:00+00:00,2.69,2.69,2.69,2.69,502
2025-03-06 10:54:00+00:00,2.66,2.66,2.66,2.66,200
2025-03-06 11:24:00+00:00,2.63,2.63,2.62,2.63,900
2025-03-06 12:00:00+00:00,2.63,2.63,2.62,2.63,6211
2025-03-06 12:02:00+00:00,2.65,2.65,2.65,2.65,190
2025-03-06 12:14:00+00:00,2.64,2.64,2.64,2.64,300
2025-03-06 12:16:00+00:00,2.65,2.65,2.65,2.65,400
2025-03-06 12:26:00+00:00,2.68,2.68,2.68,2.68,1000
2025-03-06 12:48:00+00:00,2.7,2.7,2.7,2.7,300
2025-03-06 12:50:00+00:00,2.71,2.71,2.71,2.71,100
2025-03-06 12:58:00+00:00,2.7,2.7,2.7,2.7,1100
2025-03-06 13:00:00+00:00,2.68,2.7,2.67,2.6793,8204
2025-03-06 13:04:00+00:00,2.7,2.71,2.7,2.7,6033
2025-03-06 13:08:00+00:00,2.7,2.7,2.7,2.7,2789
2025-03-06 13:14:00+00:00,2.7001,2.7001,2.7001,2.7001,1380
2025-03-06 13:16:00+00:00,2.7,2.7,2.67,2.6701,2423
2025-03-06 13:18:00+00:00,2.68,2.69,2.68,2.69,3351
2025-03-06 13:20:00+00:00,2.7,2.71,2.7,2.71,560
2025-03-06 13:26:00+00:00,2.7,2.7,2.7,2.7,200
2025-03-06 13:32:00+00:00,2.73,2.73,2.73,2.73,400
2025-03-06 13:34:00+00:00,2.74,2.75,2.74,2.74,1148
2025-03-06 13:36:00+00:00,2.74,2.77,2.74,2.77,444
2025-03-06 13:38:00+00:00,2.77,2.81,2.77,2.81,9057
2025-03-06 13:40:00+00:00,2.81,2.9,2.81,2.83,4995
2025-03-06 13:42:00+00:00,2.8499,2.9,2.84,2.87,10172
2025-03-06 13:44:00+00:00,2.87,2.9,2.87,2.87,14514
2025-03-06 13:46:00+00:00,2.86,2.94,2.86,2.91,37490
2025-03-06 13:48:00+00:00,2.95,3.0,2.95,3.0,51949
2025-03-06 13:50:00+00:00,3.0,3.0,2.95,2.95,31406
2025-03-06 13:52:00+00:00,2.96,2.96,2.9,2.9,36497
2025-03-06 13:54:00+00:00,2.92,2.93,2.9111,2.93,1896
2025-03-06 13:56:00+00:00,2.94,2.95,2.93,2.95,4665
2025-03-06 13:58:00+00:00,2.99,3.0,2.96,2.96,34783
2025-03-06 14:00:00+00:00,2.9501,2.9698,2.94,2.94,2781
2025-03-06 14:02:00+00:00,2.94,2.9797,2.94,2.9797,5799
2025-03-06 14:04:00+00:00,2.97,3.01,2.97,2.98,6461
2025-03-06 14:06:00+00:00,2.9797,2.98,2.97,2.98,15125
2025-03-06 14:08:00+00:00,2.97,2.98,2.97,2.98,7613
2025-03-06 14:10:00+00:00,2.9797,2.9797,2.9797,2.9797,1010
2025-03-06 14:12:00+00:00,2.97,3.0,2.97,3.0,14867
2025-03-06 14:14:00+00:00,2.99,3.0,2.97,2.97,57717
2025-03-06 14:16:00+00:00,2.98,3.0,2.97,3.0,12500
2025-03-06 14:18:00+00:00,2.98,2.9989,2.95,2.95,27536
2025-03-06 14:20:00+00:00,2.95,2.95,2.9,2.9,13953
2025-03-06 14:22:00+00:00,2.91,2.93,2.9,2.91,13904
2025-03-06 14:24:00+00:00,2.91,2.93,2.9,2.9111,9400
2025-03-06 14:26:00+00:00,2.91,2.92,2.89,2.89,36671
2025-03-06 14:28:00+00:00,2.87,2.89,2.83,2.87,29449
2025-03-06 14:30:00+00:00,2.8697,2.9799,2.85,2.88,240659
2025-03-06 14:32:00+00:00,2.865,2.8762,2.71,2.7215,201686
2025-03-06 14:34:00+00:00,2.72,2.7599,2.612,2.637,197845
2025-03-06 14:36:00+00:00,2.64,2.66,2.56,2.595,89791
2025-03-06 14:38:00+00:00,2.59,2.66,2.59,2.6,50861
2025-03-06 14:40:00+00:00,2.59,2.65,2.582,2.63,33823
2025-03-06 14:42:00+00:00,2.64,2.72,2.632,2.71,72448
2025-03-06 14:44:00+00:00,2.71,2.73,2.7,2.7,70056
2025-03-06 14:46:00+00:00,2.71,2.71,2.6536,2.66,74516
2025-03-06 14:48:00+00:00,2.67,2.71,2.67,2.68,42715
2025-03-06 14:50:00+00:00,2.69,2.705,2.66,2.7,64307
2025-03-06 14:52:00+00:00,2.702,2.76,2.69,2.69,86953
2025-03-06 14:54:00+00:00,2.699,2.73,2.699,2.715,40336
2025-03-06 14:56:00+00:00,2.715,2.7398,2.71,2.7375,11864
2025-03-06 14:58:00+00:00,2.7203,2.76,2.7203,2.7305,45841
2025-03-06 15:00:00+00:00,2.74,2.7479,2.725,2.741,18926
2025-03-06 15:02:00+00:00,2.7401,2.76,2.74,2.76,22387
2025-03-06 15:04:00+00:00,2.76,2.81,2.76,2.805,27463
2025-03-06 15:06:00+00:00,2.805,2.82,2.79,2.81,40483
2025-03-06 15:08:00+00:00,2.8099,2.82,2.8,2.8054,9681
2025-03-06 15:10:00+00:00,2.8097,2.83,2.805,2.8108,31446
2025-03-06 15:12:00+00:00,2.8101,2.835,2.8101,2.835,13199
2025-03-06 15:14:00+00:00,2.835,2.84,2.8,2.8016,32782
2025-03-06 15:16:00+00:00,2.801,2.855,2.8,2.8379,51407
2025-03-06 15:18:00+00:00,2.84,2.85,2.8244,2.825,61827
2025-03-06 15:20:00+00:00,2.83,2.85,2.82,2.845,18223
2025-03-06 15:22:00+00:00,2.845,2.85,2.84,2.845,10408
2025-03-06 15:24:00+00:00,2.848,2.87,2.841,2.8669,19499
2025-03-06 15:26:00+00:00,2.87,2.8799,2.86,2.86,46364
2025-03-06 15:28:00+00:00,2.855,2.86,2.81,2.8302,53895
2025-03-06 15:30:00+00:00,2.831,2.88,2.82,2.879,23693
2025-03-06 15:32:00+00:00,2.8701,2.879,2.85,2.86,13800
2025-03-06 15:34:00+00:00,2.86,2.93,2.86,2.925,138449
2025-03-06 15:36:00+00:00,2.93,2.93,2.8545,2.865,67345
2025-03-06 15:38:00+00:00,2.87,2.88,2.8506,2.875,19042
2025-03-06 15:40:00+00:00,2.8718,2.875,2.87,2.8744,9772
2025-03-06 15:42:00+00:00,2.8701,2.88,2.865,2.875,19781
2025-03-06 15:44:00+00:00,2.875,2.88,2.8706,2.875,5883
2025-03-06 15:46:00+00:00,2.8705,2.88,2.87,2.87,10502
2025-03-06 15:48:00+00:00,2.87,2.88,2.86,2.88,27284
2025-03-06 15:50:00+00:00,2.88,2.88,2.85,2.8502,31179
2025-03-06 15:52:00+00:00,2.85,2.875,2.85,2.865,18467
2025-03-06 15:54:00+00:00,2.87,2.87,2.86,2.865,3214
2025-03-06 15:56:00+00:00,2.865,2.8698,2.865,2.865,3356
2025-03-06 15:58:00+00:00,2.87,2.88,2.86,2.8694,15774
2025-03-06 16:00:00+00:00,2.865,2.87,2.865,2.87,861
2025-03-06 16:02:00+00:00,2.87,2.87,2.8645,2.87,5707
