Datetime,Open,High,Low,Close,Volume
2025-11-05 09:00:00+00:00,2.6,2.67,2.44,2.57,55203
2025-11-05 09:02:00+00:00,2.55,2.55,2.46,2.48,4944
2025-11-05 09:04:00+00:00,2.51,2.53,2.51,2.52,2206
2025-11-05 09:06:00+00:00,2.52,2.52,2.52,2.52,589
2025-11-05 09:10:00+00:00,2.51,2.55,2.51,2.55,3002
2025-11-05 09:12:00+00:00,2.54,2.54,2.53,2.54,1604
2025-11-05 09:14:00+00:00,2.56,2.56,2.56,2.56,257
2025-11-05 09:16:00+00:00,2.57,2.58,2.57,2.58,4932
2025-11-05 09:18:00+00:00,2.57,2.57,2.54,2.54,2726
2025-11-05 09:20:00+00:00,2.54,2.54,2.54,2.54,472
2025-11-05 09:22:00+00:00,2.54,2.54,2.54,2.54,145
2025-11-05 09:24:00+00:00,2.54,2.55,2.54,2.55,426
2025-11-05 09:28:00+00:00,2.54,2.54,2.54,2.54,282
2025-11-05 09:32:00+00:00,2.55,2.55,2.55,2.55,271
2025-11-05 09:40:00+00:00,2.55,2.55,2.55,2.55,184
2025-11-05 09:42:00+00:00,2.56,2.59,2.56,2.59,600
2025-11-05 09:44:00+00:00,2.56,2.56,2.56,2.56,128
2025-11-05 09:52:00+00:00,2.57,2.65,2.55,2.62,20560
2025-11-05 09:54:00+00:00,2.54,2.54,2.54,2.54,451
2025-11-05 09:56:00+00:00,2.54,2.54,2.54,2.54,241
2025-11-05 09:58:00+00:00,2.51,2.51,2.47,2.48,1615
2025-11-05 10:06:00+00:00,2.47,2.47,2.47,2.47,195
2025-11-05 10:08:00+00:00,2.48,2.56,2.48,2.55,3522
2025-11-05 10:14:00+00:00,2.55,2.55,2.55,2.55,2028
2025-11-05 10:16:00+00:00,2.55,2.55,2.55,2.55,100
2025-11-05 10:22:00+00:00,2.56,2.58,2.56,2.58,3450
2025-11-05 10:30:00+00:00,2.57,2.57,2.57,2.57,137
2025-11-05 10:38:00+00:00,2.57,2.6,2.57,2.58,1828
2025-11-05 10:40:00+00:00,2.58,2.59,2.58,2.58,9700
2025-11-05 10:42:00+00:00,2.58,2.58,2.55,2.56,2595
2025-11-05 10:46:00+00:00,2.56,2.62,2.56,2.62,2398
2025-11-05 10:48:00+00:00,2.6,2.6,2.6,2.6,113
2025-11-05 10:52:00+00:00,2.6,2.6,2.6,2.6,502
2025-11-05 10:54:00+00:00,2.6,2.6,2.56,2.56,542
2025-11-05 10:56:00+00:00,2.62,2.63,2.62,2.63,579
2025-11-05 10:58:00+00:00,2.61,2.61,2.61,2.61,302
2025-11-05 11:00:00+00:00,2.62,2.64,2.61,2.64,1756
2025-11-05 11:02:00+00:00,2.61,2.62,2.61,2.62,485
2025-11-05 11:04:00+00:00,2.63,2.63,2.63,2.63,382
2025-11-05 11:06:00+00:00,2.62,2.62,2.61,2.61,528
2025-11-05 11:14:00+00:00,2.62,2.62,2.62,2.62,143
2025-11-05 11:16:00+00:00,2.62,2.62,2.62,2.62,117
2025-11-05 11:20:00+00:00,2.63,2.63,2.63,2.63,434
2025-11-05 11:22:00+00:00,2.61,2.61,2.61,2.61,433
2025-11-05 11:24:00+00:00,2.61,2.61,2.59,2.6,1458
2025-11-05 11:26:00+00:00,2.62,2.64,2.62,2.63,1355
2025-11-05 11:28:00+00:00,2.65,2.65,2.65,2.65,238
2025-11-05 11:30:00+00:00,2.64,2.64,2.64,2.64,169
2025-11-05 11:34:00+00:00,2.67,2.68,2.64,2.65,2281
2025-11-05 11:36:00+00:00,2.64,2.64,2.64,2.64,2493
2025-11-05 11:38:00+00:00,2.63,2.63,2.63,2.63,109
2025-11-05 11:40:00+00:00,2.62,2.62,2.62,2.62,132
2025-11-05 11:42:00+00:00,2.62,2.68,2.62,2.68,683
2025-11-05 11:44:00+00:00,2.68,2.68,2.63,2.63,1501
2025-11-05 11:46:00+00:00,2.64,2.67,2.64,2.67,536
2025-11-05 11:48:00+00:00,2.67,2.73,2.67,2.73,5708
2025-11-05 11:50:00+00:00,2.72,2.72,2.72,2.72,630
2025-11-05 11:52:00+00:00,2.68,2.69,2.67,2.67,2798
2025-11-05 11:54:00+00:00,2.66,2.66,2.64,2.64,761
2025-11-05 11:56:00+00:00,2.64,2.66,2.62,2.63,1556
2025-11-05 11:58:00+00:00,2.63,2.63,2.6,2.6,2875
2025-11-05 12:00:00+00:00,2.59,2.59,2.52,2.54,11656
2025-11-05 12:02:00+00:00,2.52,2.53,2.51,2.511,9625
2025-11-05 12:08:00+00:00,2.53,2.53,2.52,2.53,851
2025-11-05 12:10:00+00:00,2.53,2.53,2.53,2.53,177
2025-11-05 12:14:00+00:00,2.53,2.53,2.53,2.53,113
2025-11-05 12:18:00+00:00,2.58,2.58,2.58,2.58,511
2025-11-05 12:20:00+00:00,2.62,2.62,2.55,2.55,2266
2025-11-05 12:22:00+00:00,2.57,2.58,2.57,2.58,600
2025-11-05 12:32:00+00:00,2.53,2.53,2.52,2.52,2841
2025-11-05 12:34:00+00:00,2.52,2.52,2.51,2.51,803
2025-11-05 12:38:00+00:00,2.51,2.51,2.51,2.51,450
2025-11-05 12:40:00+00:00,2.51,2.51,2.51,2.51,4400
2025-11-05 12:42:00+00:00,2.52,2.52,2.52,2.52,2477
2025-11-05 12:46:00+00:00,2.51,2.51,2.51,2.51,204
2025-11-05 12:48:00+00:00,2.51,2.51,2.51,2.51,295
2025-11-05 12:56:00+00:00,2.55,2.55,2.55,2.55,263
2025-11-05 13:00:00+00:00,2.53,2.73,2.42,2.55,82139
2025-11-05 13:02:00+00:00,2.5997,2.6997,2.53,2.53,5582
2025-11-05 13:04:00+00:00,2.58,2.58,2.58,2.58,1071
2025-11-05 13:08:00+00:00,2.5248,2.53,2.5248,2.53,972
2025-11-05 13:10:00+00:00,2.53,2.53,2.52,2.52,411
2025-11-05 13:14:00+00:00,2.52,2.5201,2.52,2.5201,660
2025-11-05 13:16:00+00:00,2.52,2.52,2.52,2.52,3250
2025-11-05 13:24:00+00:00,2.52,2.52,2.52,2.52,243
2025-11-05 13:26:00+00:00,2.5403,2.5403,2.5403,2.5403,125
2025-11-05 13:28:00+00:00,2.5495,2.55,2.5495,2.55,1311
2025-11-05 13:32:00+00:00,2.56,2.56,2.56,2.56,172
2025-11-05 13:34:00+00:00,2.55,2.55,2.55,2.55,1034
2025-11-05 13:38:00+00:00,2.56,2.57,2.55,2.55,1930
2025-11-05 13:42:00+00:00,2.58,2.58,2.55,2.58,542
2025-11-05 13:44:00+00:00,2.55,2.56,2.55,2.56,1350
2025-11-05 13:46:00+00:00,2.56,2.59,2.5524,2.5524,462
2025-11-05 13:48:00+00:00,2.56,2.56,2.56,2.56,200
2025-11-05 13:50:00+00:00,2.5606,2.6,2.5606,2.6,1251
2025-11-05 13:54:00+00:00,2.5598,2.56,2.55,2.55,6255
2025-11-05 13:56:00+00:00,2.5402,2.5402,2.5402,2.5402,2993
2025-11-05 13:58:00+00:00,2.55,2.55,2.55,2.55,1010
2025-11-05 14:00:00+00:00,2.56,2.58,2.56,2.57,1662
2025-11-05 14:02:00+00:00,2.59,2.6,2.58,2.59,5396
2025-11-05 14:04:00+00:00,2.5845,2.59,2.5845,2.59,2309
2025-11-05 14:06:00+00:00,2.55,2.58,2.55,2.58,1781
2025-11-05 14:08:00+00:00,2.56,2.56,2.56,2.56,378
2025-11-05 14:10:00+00:00,2.55,2.55,2.54,2.54,4552
2025-11-05 14:12:00+00:00,2.54,2.54,2.54,2.54,1815
2025-11-05 14:14:00+00:00,2.54,2.58,2.54,2.58,4161
2025-11-05 14:20:00+00:00,2.57,2.6,2.56,2.595,6600
2025-11-05 14:22:00+00:00,2.56,2.56,2.48,2.48,16585
2025-11-05 14:24:00+00:00,2.5,2.5,2.5,2.5,2359
2025-11-05 14:26:00+00:00,2.5,2.5,2.5,2.5,201
2025-11-05 14:28:00+00:00,2.47,2.47,2.45,2.45,8946
2025-11-05 14:30:00+00:00,2.51,2.51,2.38,2.4,55386
2025-11-05 14:32:00+00:00,2.4,2.53,2.3826,2.53,52074
2025-11-05 14:34:00+00:00,2.5226,2.58,2.491,2.57,74363
2025-11-05 14:36:00+00:00,2.5574,2.57,2.49,2.52,54911
2025-11-05 14:38:00+00:00,2.52,2.5699,2.5001,2.515,62163
2025-11-05 14:40:00+00:00,2.5,2.55,2.5,2.5499,47627
2025-11-05 14:42:00+00:00,2.54,2.543,2.53,2.543,4381
2025-11-05 14:44:00+00:00,2.54,2.55,2.5397,2.55,51941
2025-11-05 14:46:00+00:00,2.545,2.545,2.5,2.5052,18804
2025-11-05 14:48:00+00:00,2.51,2.53,2.51,2.52,13875
2025-11-05 14:50:00+00:00,2.5007,2.5799,2.5007,2.57,138749
2025-11-05 14:52:00+00:00,2.57,2.58,2.5626,2.571,29235
2025-11-05 14:54:00+00:00,2.57,2.6,2.57,2.59,20908
2025-11-05 14:56:00+00:00,2.6,2.655,2.6,2.639,74356
2025-11-05 14:58:00+00:00,2.64,2.68,2.6351,2.68,34967
2025-11-05 15:00:00+00:00,2.68,2.7,2.58,2.6144,49674
2025-11-05 15:02:00+00:00,2.6,2.63,2.5942,2.625,14149
2025-11-05 15:04:00+00:00,2.62,2.63,2.5752,2.59,17818
2025-11-05 15:06:00+00:00,2.59,2.62,2.5844,2.615,13308
2025-11-05 15:08:00+00:00,2.6101,2.6101,2.6001,2.61,10136
2025-11-05 15:10:00+00:00,2.6085,2.6099,2.6,2.6,12235
2025-11-05 15:12:00+00:00,2.5911,2.595,2.58,2.58,16262
2025-11-05 15:14:00+00:00,2.59,2.59,2.53,2.538,14328
2025-11-05 15:16:00+00:00,2.54,2.58,2.54,2.58,11747
2025-11-05 15:18:00+00:00,2.5885,2.6299,2.5885,2.6266,22220
2025-11-05 15:20:00+00:00,2.63,2.67,2.63,2.6699,56715
2025-11-05 15:22:00+00:00,2.6611,2.695,2.61,2.6789,137026
2025-11-05 15:24:00+00:00,2.675,2.69,2.66,2.6648,13273
2025-11-05 15:26:00+00:00,2.6611,2.6798,2.65,2.6511,16454
2025-11-05 15:28:00+00:00,2.6599,2.685,2.6546,2.685,46748
2025-11-05 15:30:00+00:00,2.6877,2.73,2.68,2.7,180847
