Datetime,Open,High,Low,Close,Volume
2025-02-28 14:34:00+00:00,19.69,19.69,19.69,19.69,102
2025-02-28 14:46:00+00:00,18.04,18.04,18.04,18.04,133
2025-02-28 15:24:00+00:00,17.52,17.52,17.51,17.51,603
2025-02-28 16:56:00+00:00,17.8,17.8,17.8,17.8,102
2025-02-28 17:12:00+00:00,17.2,17.2,17.2,17.2,2000
2025-02-28 17:18:00+00:00,17.33,17.33,17.33,17.33,326
2025-02-28 17:50:00+00:00,17.0,17.0,17.0,17.0,301
2025-02-28 18:30:00+00:00,17.035,17.035,17.035,17.035,334
2025-02-28 20:20:00+00:00,17.22,17.22,17.22,17.22,672
2025-02-28 20:56:00+00:00,16.66,16.66,16.66,16.66,131
2025-04-14 13:30:00+00:00,12.94,12.94,12.94,12.94,154
2025-04-14 16:02:00+00:00,11.8596,11.8596,11.8596,11.8596,271
2025-04-14 17:30:00+00:00,11.82,11.82,11.5,11.5,596
