Datetime,Open,High,Low,Close,Volume
2025-08-25 13:26:00+00:00,1.81,1.83,1.81,1.83,400
2025-08-25 13:30:00+00:00,2.08,2.1,2.08,2.1,13080
2025-08-25 13:32:00+00:00,2.1,2.1,2.05,2.05,403
2025-08-25 13:34:00+00:00,2.05,2.6618,2.05,2.6618,11137
2025-08-25 13:36:00+00:00,2.68,2.71,2.68,2.71,8666
2025-08-25 13:40:00+00:00,2.58,2.58,2.36,2.54,68093
2025-08-25 13:42:00+00:00,2.4609,2.48,2.23,2.3073,76452
2025-08-25 13:44:00+00:00,2.31,2.32,2.13,2.175,46913
2025-08-25 13:46:00+00:00,2.1801,2.24,2.18,2.185,12394
2025-08-25 13:48:00+00:00,2.1997,2.1997,2.0601,2.0739,19255
2025-08-25 13:50:00+00:00,2.0651,2.22,2.02,2.1,24498
2025-08-25 13:52:00+00:00,2.1025,2.21,2.0984,2.13,6654
2025-08-25 13:54:00+00:00,2.13,2.198,2.0601,2.0601,3732
2025-08-25 13:56:00+00:00,2.135,2.32,2.135,2.32,31149
2025-08-25 13:58:00+00:00,2.42,2.42,2.2,2.2482,11552
2025-08-25 14:00:00+00:00,2.25,2.25,2.08,2.11,17479
2025-08-25 14:02:00+00:00,2.1799,2.18,2.11,2.159,13882
2025-08-25 14:04:00+00:00,2.21,2.25,2.1515,2.2099,11475
2025-08-25 14:06:00+00:00,2.1699,2.19,2.1699,2.17,3254
2025-08-25 14:08:00+00:00,2.17,2.25,2.17,2.21,10372
2025-08-25 14:10:00+00:00,2.19,2.19,2.1504,2.1599,3224
2025-08-25 14:12:00+00:00,2.1899,2.22,2.17,2.195,12291
2025-08-25 14:14:00+00:00,2.19,2.19,2.1708,2.1708,769
2025-08-25 14:16:00+00:00,2.18,2.22,2.18,2.22,4753
2025-08-25 14:18:00+00:00,2.2176,2.2176,2.21,2.21,1304
2025-08-25 14:20:00+00:00,2.17,2.2,2.1501,2.1501,823
2025-08-25 14:22:00+00:00,2.16,2.205,2.16,2.205,3315
