Datetime,Open,High,Low,Close,Volume
2025-05-21 16:08:00+00:00,2.24,2.24,2.24,2.24,101.0
2025-05-21 16:20:00+00:00,2.24,2.24,2.24,2.24,567.0
2025-05-21 19:50:00+00:00,2.15,2.15,2.14,2.14,400.0
2025-05-21 19:54:00+00:00,2.14,2.14,2.14,2.14,168.0
2025-11-06 12:24:00+00:00,2.16,2.16,2.16,2.16,111.0
2025-11-06 13:00:00+00:00,2.14,2.45,2.14,2.38,1944.0
2025-11-06 13:02:00+00:00,2.43,2.43,2.43,2.43,5306.0
2025-11-06 13:04:00+00:00,2.39,2.39,2.39,2.39,458.0
2025-11-06 13:06:00+00:00,2.38,2.5,2.38,2.5,7541.0
2025-11-06 13:08:00+00:00,2.52,2.6,2.24,2.29,9278.0
2025-11-06 13:10:00+00:00,2.29,2.32,2.29,2.32,1296.0
2025-11-06 13:12:00+00:00,2.32,2.32,2.31,2.31,273.0
2025-11-06 13:16:00+00:00,2.2301,2.2301,2.22,2.22,1851.0
2025-11-06 13:18:00+00:00,2.25,2.25,2.25,2.25,2196.0
2025-11-06 13:20:00+00:00,2.25,2.33,2.25,2.33,2196.0
2025-11-06 13:22:00+00:00,2.39,2.4,2.39,2.4,5110.0
2025-11-06 13:24:00+00:00,2.3999,2.45,2.35,2.445,7531.0
2025-11-06 13:26:00+00:00,2.44,2.55,2.44,2.5,7294.0
2025-11-06 13:28:00+00:00,2.5,2.51,2.45,2.45,1143.0
2025-11-06 13:30:00+00:00,2.5,2.51,2.5,2.51,498.0
2025-11-06 13:32:00+00:00,2.32,2.45,2.32,2.41,1792.0
2025-11-06 13:34:00+00:00,2.41,2.46,2.41,2.46,2140.0
2025-11-06 13:36:00+00:00,2.5,2.5362,2.48,2.51,2518.0
2025-11-06 13:38:00+00:00,2.51,2.55,2.51,2.54,5215.0
2025-11-06 13:40:00+00:00,2.48,2.49,2.4,2.41,2784.0
2025-11-06 13:42:00+00:00,2.33,2.33,2.33,2.33,525.0
2025-11-06 13:52:00+00:00,2.37,2.37,2.37,2.37,344.0
2025-11-06 13:54:00+00:00,2.37,2.41,2.37,2.41,637.0
2025-11-06 13:56:00+00:00,2.407,2.41,2.37,2.37,660.0
2025-11-06 13:58:00+00:00,2.37,2.37,2.37,2.37,1127.0
2025-11-06 14:06:00+00:00,2.41,2.41,2.41,2.41,231.0
2025-11-06 14:08:00+00:00,2.41,2.41,2.41,2.41,835.0
2025-11-06 14:10:00+00:00,2.41,2.41,2.41,2.41,2485.0
2025-11-06 14:18:00+00:00,2.4971,2.4971,2.49,2.49,519.0
2025-11-06 14:20:00+00:00,2.48,2.48,2.46,2.46,2144.0
2025-11-06 14:22:00+00:00,2.46,2.51,2.46,2.51,2745.0
2025-11-06 14:24:00+00:00,2.52,2.52,2.5189,2.5189,522.0
2025-11-06 14:28:00+00:00,2.52,2.52,2.51,2.52,1144.0
2025-11-06 14:30:00+00:00,2.53,2.6799,2.49,2.67,22230.0
2025-11-06 14:32:00+00:00,2.68,2.7,2.55,2.65,11511.0
2025-11-06 14:34:00+00:00,2.61,3.1,2.61,2.76,455544.0
2025-11-06 14:36:00+00:00,2.7547,2.79,2.33,2.36,335331.0
2025-11-06 14:38:00+00:00,2.345,2.43,2.16,2.16,105166.0
2025-11-06 14:40:00+00:00,2.1601,2.17,2.1501,2.1501,3797.0
2025-11-06 14:44:00+00:00,2.1,2.15,2.02,2.03,45775.0
2025-11-06 14:46:00+00:00,2.03,2.0696,1.89,1.98,68407.0
2025-11-06 14:48:00+00:00,1.97,2.0,1.88,1.88,28419.0
2025-11-06 14:50:00+00:00,1.8999,2.06,1.89,2.036,24409.0
2025-11-06 14:52:00+00:00,1.99,2.19,1.99,2.1202,22582.0
2025-11-06 14:54:00+00:00,2.11,2.17,2.09,2.16,12286.0
2025-11-06 14:56:00+00:00,2.14,2.17,2.1304,2.17,3019.0
2025-11-06 14:58:00+00:00,2.1304,2.1304,2.0,2.01,12481.0
2025-11-06 15:00:00+00:00,2.0,2.0,2.0,2.0,497.0
2025-11-06 15:02:00+00:00,2.09,2.15,2.09,2.15,2828.0
2025-11-06 15:04:00+00:00,2.12,2.13,2.105,2.13,2282.0
2025-11-06 15:06:00+00:00,2.0613,2.0613,2.0613,2.0613,504.0
2025-11-06 15:08:00+00:00,2.12,2.12,2.08,2.12,1210.0
2025-11-06 15:10:00+00:00,2.13,2.16,2.07,2.07,7016.0
2025-11-06 15:12:00+00:00,2.1,2.1,2.1,2.1,255.0
2025-11-06 15:16:00+00:00,2.115,2.14,2.08,2.13,1703.0
2025-11-06 15:18:00+00:00,2.1,2.1,2.0706,2.0706,1284.0
2025-11-06 15:20:00+00:00,2.07,2.08,1.9604,2.05,11703.0
