Datetime,Open,High,Low,Close,Volume
2024-01-02 09:30:00+00:00,5.41,5.41,5.41,5.41,110.0
2024-01-02 10:18:00+00:00,5.56,5.56,5.56,5.56,229.0
2024-01-02 11:54:00+00:00,5.41,5.41,5.41,5.41,180.0
2024-01-02 12:00:00+00:00,5.41,5.41,5.41,5.41,113.0
2024-01-02 12:06:00+00:00,5.4,5.4,5.4,5.4,938.0
2024-01-02 12:16:00+00:00,5.4,5.4,5.4,5.4,468.0
2024-01-02 12:20:00+00:00,5.3,5.3,5.3,5.3,1095.0
2024-01-02 12:22:00+00:00,5.39,5.39,5.39,5.39,384.0
2024-01-02 12:26:00+00:00,5.32,5.32,5.32,5.32,170.0
2024-01-02 12:30:00+00:00,5.31,5.31,5.31,5.31,244.0
2024-01-02 12:44:00+00:00,5.31,5.31,5.31,5.31,417.0
2024-01-02 12:54:00+00:00,5.31,5.31,5.31,5.31,609.0
2024-01-02 13:00:00+00:00,5.3115,5.4,5.3,5.3,1945.0
2024-01-02 13:02:00+00:00,5.5574,5.5574,5.5574,5.5574,394.0
2024-01-02 13:24:00+00:00,5.49,5.49,5.49,5.49,138.0
2024-01-02 13:54:00+00:00,5.4,5.4,5.4,5.4,300.0
2024-01-02 13:56:00+00:00,5.4,5.4,5.4,5.4,103.0
2024-01-02 13:58:00+00:00,5.53,5.53,5.33,5.33,423.0
2024-01-02 14:04:00+00:00,5.39,5.5,5.39,5.5,907.0
2024-01-02 14:16:00+00:00,5.42,5.42,5.42,5.42,158.0
2024-01-02 14:24:00+00:00,5.45,5.45,5.45,5.45,115.0
2024-01-02 14:26:00+00:00,5.42,5.42,5.42,5.42,131.0
2024-01-02 14:28:00+00:00,5.45,5.45,5.45,5.45,197.0
2024-01-02 14:30:00+00:00,5.52,5.52,5.41,5.41,3274.0
2024-01-02 14:32:00+00:00,5.41,5.41,5.32,5.34,550.0
2024-01-02 14:34:00+00:00,5.34,5.34,5.32,5.33,3116.0
2024-01-02 14:36:00+00:00,5.33,5.33,5.32,5.32,591.0
2024-01-02 14:38:00+00:00,5.325,5.325,5.25,5.25,3510.0
2024-01-02 14:40:00+00:00,5.19,5.19,5.05,5.05,5718.0
2024-01-02 14:42:00+00:00,5.06,5.1,5.0,5.03,5537.0
2024-01-02 14:44:00+00:00,5.05,5.05,5.04,5.04,702.0
2024-01-02 14:46:00+00:00,5.0698,5.0698,4.8647,4.99,3651.0
2024-01-02 14:48:00+00:00,4.99,4.99,4.98,4.99,2281.0
2024-01-02 14:50:00+00:00,4.9,4.9,4.9,4.9,313.0
2024-01-02 14:52:00+00:00,5.0,5.0,5.0,5.0,3836.0
2024-01-02 14:54:00+00:00,5.0956,5.0956,5.0956,5.0956,232.0
2024-01-02 14:56:00+00:00,5.1,5.1,5.055,5.0992,1404.0
2024-01-02 14:58:00+00:00,5.0999,5.0999,5.0999,5.0999,137.0
2024-01-02 15:00:00+00:00,5.01,5.0961,5.01,5.0961,1362.0
2024-01-02 15:02:00+00:00,5.1599,5.1599,5.1599,5.1599,130.0
2024-01-02 15:04:00+00:00,5.1,5.1,5.06,5.06,1048.0
2024-01-02 15:06:00+00:00,5.0888,5.1,5.055,5.07,754.0
2024-01-02 15:08:00+00:00,5.08,5.08,5.08,5.08,745.0
2024-01-02 15:10:00+00:00,5.08,5.12,5.04,5.12,4067.0
2024-01-02 15:12:00+00:00,5.06,5.08,5.06,5.08,1021.0
2024-01-02 15:14:00+00:00,5.09,5.12,5.09,5.09,2922.0
2024-01-02 15:16:00+00:00,5.095,5.14,5.0906,5.14,1108.0
2024-01-02 15:18:00+00:00,5.14,5.14,5.1399,5.14,1215.0
2024-01-02 15:22:00+00:00,5.08,5.0839,5.035,5.0839,924.0
2024-01-02 15:24:00+00:00,5.0015,5.0015,5.0015,5.0015,247.0
2024-01-02 15:28:00+00:00,5.0001,5.01,5.0001,5.01,829.0
2024-01-02 15:30:00+00:00,5.04,5.05,5.0,5.01,2170.0
2024-01-02 15:32:00+00:00,5.06,5.06,5.06,5.06,350.0
2024-01-02 15:34:00+00:00,5.07,5.12,5.06,5.08,2457.0
2024-01-02 15:36:00+00:00,5.0999,5.1,5.095,5.1,1152.0
2024-01-02 15:38:00+00:00,5.11,5.1384,5.11,5.11,2108.0
2024-01-02 15:40:00+00:00,5.1,5.2,5.1,5.17,4378.0
2024-01-02 15:42:00+00:00,5.15,5.184,5.15,5.18,2400.0
2024-01-02 15:44:00+00:00,5.19,5.22,5.19,5.2,1056.0
2024-01-02 15:46:00+00:00,5.2383,5.2383,5.2383,5.2383,503.0
2024-01-02 15:48:00+00:00,5.2,5.2,5.18,5.18,1107.0
2024-01-02 15:50:00+00:00,5.14,5.14,5.14,5.14,283.0
2024-01-02 15:52:00+00:00,5.14,5.14,5.1157,5.1157,625.0
2024-01-02 15:54:00+00:00,5.12,5.12,5.12,5.12,412.0
2024-01-02 15:56:00+00:00,5.1,5.14,5.1,5.14,1151.0
2024-01-02 15:58:00+00:00,5.14,5.19,5.14,5.17,918.0
2024-01-02 16:00:00+00:00,5.18,5.18,5.16,5.18,407.0
2024-01-02 16:04:00+00:00,5.21,5.23,5.21,5.23,200.0
