Datetime,Open,High,Low,Close,Volume
2025-02-07 12:14:00+00:00,4.38,4.38,4.38,4.38,501.0
2025-02-07 13:00:00+00:00,4.08,4.08,4.08,4.08,280.0
2025-02-07 14:02:00+00:00,4.29,4.29,4.29,4.29,100.0
2025-02-07 14:30:00+00:00,4.41,4.41,4.14,4.15,1314.0
2025-02-07 14:52:00+00:00,4.15,4.15,4.15,4.15,105.0
2025-02-07 15:00:00+00:00,4.0,4.0,4.0,4.0,266.0
2025-02-07 15:04:00+00:00,3.91,3.91,3.91,3.91,148.0
2025-02-07 15:14:00+00:00,3.89,3.89,3.88,3.88,747.0
2025-02-07 15:48:00+00:00,3.9294,3.9294,3.9294,3.9294,111.0
2025-02-07 15:54:00+00:00,3.82,3.82,3.75,3.75,2696.0
2025-02-07 16:00:00+00:00,3.76,3.76,3.76,3.76,118.0
2025-02-07 16:06:00+00:00,3.7506,3.7506,3.7506,3.7506,210.0
2025-02-07 16:12:00+00:00,3.75,3.75,3.75,3.75,922.0
2025-02-07 16:14:00+00:00,3.75,3.75,3.73,3.73,835.0
2025-02-07 16:16:00+00:00,3.7299,3.7299,3.7299,3.7299,180.0
2025-02-07 16:20:00+00:00,3.74,3.74,3.74,3.74,323.0
2025-02-07 16:22:00+00:00,3.777,3.777,3.777,3.777,500.0
2025-02-07 16:24:00+00:00,3.74,3.74,3.74,3.74,240.0
2025-02-07 16:26:00+00:00,3.74,3.74,3.73,3.73,313.0
2025-02-07 16:34:00+00:00,3.7001,3.7111,3.7,3.7111,890.0
2025-02-07 16:36:00+00:00,3.6701,3.73,3.6701,3.6849,1236.0
2025-02-07 17:02:00+00:00,3.63,3.63,3.63,3.63,114.0
2025-02-07 17:10:00+00:00,3.675,3.675,3.67,3.67,405.0
2025-02-07 17:14:00+00:00,3.68,3.68,3.68,3.68,210.0
2025-02-07 17:18:00+00:00,3.6896,3.6896,3.6896,3.6896,200.0
2025-02-07 17:34:00+00:00,3.8,3.8,3.8,3.8,653.0
2025-02-07 17:56:00+00:00,3.82,3.8297,3.81,3.8297,1315.0
2025-02-07 17:58:00+00:00,3.82,3.8288,3.82,3.8288,522.0
2025-02-07 18:02:00+00:00,3.65,3.65,3.65,3.65,707.0
2025-02-07 18:48:00+00:00,3.7212,3.88,3.7212,3.88,2144.0
2025-02-07 18:52:00+00:00,3.87,3.87,3.87,3.87,101.0
2025-02-07 19:44:00+00:00,3.7721,3.7721,3.7721,3.7721,1000.0
2025-02-07 19:58:00+00:00,3.695,3.695,3.695,3.695,501.0
2025-02-07 20:02:00+00:00,3.75,3.7699,3.75,3.7699,1000.0
2025-02-07 20:46:00+00:00,3.63,3.63,3.63,3.63,200.0
2025-02-07 20:48:00+00:00,3.63,3.63,3.62,3.62,689.0
2025-02-07 20:50:00+00:00,3.65,3.65,3.65,3.65,100.0
2025-02-07 20:56:00+00:00,3.62,3.62,3.62,3.62,100.0
2025-02-07 20:58:00+00:00,3.61,3.655,3.61,3.655,525.0
2025-02-07 22:16:00+00:00,3.52,3.52,3.52,3.52,121.0
2025-03-27 10:48:00+00:00,2.86,2.9,2.84,2.84,1562.0
2025-03-27 11:48:00+00:00,2.82,2.82,2.82,2.82,991.0
