Datetime,Open,High,Low,Close,Volume
2025-01-23 11:46:00+00:00,28.97,28.97,28.97,28.97,100
2025-01-23 11:48:00+00:00,28.98,28.98,28.98,28.98,367
2025-01-23 12:32:00+00:00,30.4,30.44,30.4,30.44,232
2025-01-23 12:34:00+00:00,30.5,30.5,30.5,30.5,545
2025-01-23 12:36:00+00:00,30.5,30.5,30.5,30.5,228
2025-01-23 12:56:00+00:00,30.36,30.36,30.35,30.35,432
2025-01-23 12:58:00+00:00,29.02,30.0,29.02,29.99,349
2025-01-23 13:00:00+00:00,30.5,30.5,30.5,30.5,286
2025-01-23 13:02:00+00:00,29.96,29.96,29.96,29.96,100
2025-01-23 13:04:00+00:00,30.3,30.3,30.3,30.3,100
2025-01-23 13:52:00+00:00,30.21,30.21,30.2,30.2,3000
2025-01-23 13:56:00+00:00,30.22,30.22,30.22,30.22,215
2025-01-23 14:26:00+00:00,31.29,31.87,31.0,31.37,2548
2025-01-23 14:28:00+00:00,31.97,32.21,31.87,32.21,1122
2025-01-23 14:32:00+00:00,31.89,31.89,31.3,31.53,6242
2025-01-23 14:34:00+00:00,31.74,31.74,30.72,30.72,2313
2025-01-23 14:36:00+00:00,30.2529,30.85,29.98,30.6127,15077
2025-01-23 14:38:00+00:00,30.82,31.43,30.8,31.1,4196
2025-01-23 14:40:00+00:00,31.185,31.84,31.185,31.535,7846
2025-01-23 14:42:00+00:00,31.07,31.38,30.51,30.51,17362
2025-01-23 14:44:00+00:00,30.75,30.95,30.39,30.95,14278
2025-01-23 14:46:00+00:00,30.6973,30.815,30.65,30.745,2807
2025-01-23 14:48:00+00:00,30.735,31.24,30.64,30.64,14246
2025-01-23 14:50:00+00:00,30.64,30.68,30.29,30.29,3890
2025-01-23 14:52:00+00:00,30.29,30.38,30.24,30.3,3087
2025-01-23 14:54:00+00:00,30.045,30.36,30.01,30.23,4588
2025-01-23 14:56:00+00:00,30.225,30.49,30.225,30.315,3127
2025-01-23 14:58:00+00:00,30.15,30.15,29.825,29.88,5770
2025-01-23 15:00:00+00:00,29.88,30.38,29.81,30.38,4570
2025-01-23 15:02:00+00:00,30.48,30.48,30.1,30.315,11898
2025-01-23 15:04:00+00:00,30.32,30.32,30.14,30.155,8479
2025-01-23 15:06:00+00:00,30.26,30.36,30.075,30.075,2900
2025-01-23 15:08:00+00:00,29.96,30.1,29.8,29.99,5245
2025-01-23 15:10:00+00:00,30.01,30.6,30.01,30.6,4010
2025-01-23 15:12:00+00:00,30.74,31.0,30.74,30.985,2307
2025-01-23 15:14:00+00:00,31.205,31.42,30.98,31.2,13861
2025-01-23 15:16:00+00:00,31.32,31.5,31.2,31.5,4385
2025-01-23 15:18:00+00:00,31.61,31.91,31.61,31.6675,2548
2025-01-23 15:20:00+00:00,31.76,31.9494,31.34,31.63,9558
2025-01-23 15:22:00+00:00,31.52,31.56,31.36,31.42,2950
2025-01-23 15:24:00+00:00,31.43,31.65,31.425,31.48,1546
2025-01-23 15:26:00+00:00,31.69,31.72,31.625,31.625,1238
2025-01-23 15:28:00+00:00,31.78,32.34,31.615,32.165,8335
2025-01-23 15:30:00+00:00,31.99,32.3,31.99,32.1225,5297
2025-01-23 15:32:00+00:00,32.3,32.3,31.89,32.04,3146
2025-01-23 15:34:00+00:00,31.91,32.09,31.91,32.065,11835
2025-01-23 15:36:00+00:00,32.025,32.09,32.0,32.09,3278
2025-01-23 15:38:00+00:00,32.11,32.22,31.92,32.1,4373
2025-01-23 15:40:00+00:00,32.11,32.15,32.11,32.15,2633
2025-01-23 15:42:00+00:00,32.15,32.2,32.095,32.15,3349
2025-01-23 15:44:00+00:00,32.15,32.21,32.0,32.07,8817
2025-01-23 15:46:00+00:00,32.15,32.15,31.91,31.925,8575
2025-01-23 15:48:00+00:00,32.0,32.1,31.92,31.97,10010
2025-01-23 15:50:00+00:00,32.0,32.223,31.96,32.223,9803
2025-01-23 15:52:00+00:00,32.17,32.17,31.91,32.1,8626
2025-01-23 15:54:00+00:00,32.15,32.215,32.15,32.215,453
2025-01-23 15:56:00+00:00,32.21,32.22,32.13,32.155,2793
2025-01-23 15:58:00+00:00,32.3,32.45,32.105,32.105,13055
2025-01-23 16:00:00+00:00,31.99,32.11,31.68,31.68,2814
2025-01-23 16:02:00+00:00,31.65,31.98,31.55,31.82,5470
2025-01-23 16:04:00+00:00,31.77,31.82,31.04,31.04,5157
2025-01-23 16:06:00+00:00,31.27,31.39,31.1086,31.37,1980
2025-01-23 16:08:00+00:00,31.47,31.6067,31.445,31.6067,2942
2025-01-23 16:10:00+00:00,31.4044,31.53,31.37,31.49,2127
2025-01-23 16:12:00+00:00,31.415,31.53,31.13,31.53,3607
2025-01-23 16:14:00+00:00,31.53,31.53,31.53,31.53,644
2025-01-23 16:16:00+00:00,31.51,31.88,31.41,31.82,7621
2025-01-23 16:18:00+00:00,31.85,32.01,31.85,32.01,5722
2025-01-23 16:20:00+00:00,31.99,32.305,31.99,32.21,3986
2025-01-23 16:22:00+00:00,32.34,32.35,32.19,32.34,7696
2025-01-23 16:24:00+00:00,32.36,32.39,32.34,32.37,1234
2025-01-23 16:26:00+00:00,32.34,32.36,32.245,32.245,1513
2025-01-23 16:28:00+00:00,32.3,32.41,32.23,32.41,4011
2025-01-23 16:30:00+00:00,32.46,32.65,32.46,32.65,3932
2025-01-23 16:32:00+00:00,32.48,32.57,32.39,32.53,3834
