Datetime,Open,High,Low,Close,Volume
2026-01-08 09:02:00+00:00,1.3,1.3,1.3,1.3,132.0
2026-01-08 11:44:00+00:00,1.27,1.27,1.27,1.27,400.0
2026-01-08 12:00:00+00:00,1.27,1.27,1.27,1.27,1359.0
2026-01-08 12:22:00+00:00,1.3,1.3,1.3,1.3,200.0
2026-01-08 12:26:00+00:00,1.28,1.28,1.28,1.28,310.0
2026-01-08 13:00:00+00:00,1.3,1.65,1.26,1.37,77432.0
2026-01-08 13:02:00+00:00,1.4,1.4,1.29,1.31,26041.0
2026-01-08 13:04:00+00:00,1.3851,1.41,1.33,1.38,90292.0
2026-01-08 13:06:00+00:00,1.34,1.4191,1.33,1.4,17849.0
2026-01-08 13:08:00+00:00,1.41,1.4936,1.41,1.4936,74111.0
2026-01-08 13:10:00+00:00,1.4899,1.4899,1.4,1.4201,69679.0
2026-01-08 13:12:00+00:00,1.4209,1.47,1.42,1.45,26281.0
2026-01-08 13:14:00+00:00,1.45,1.5,1.43,1.4936,105848.0
2026-01-08 13:16:00+00:00,1.49,1.71,1.46,1.66,310202.0
2026-01-08 13:18:00+00:00,1.66,1.67,1.52,1.5988,206735.0
2026-01-08 13:20:00+00:00,1.58,1.73,1.5403,1.71,198758.0
2026-01-08 13:22:00+00:00,1.71,1.9,1.56,1.5687,1051180.0
2026-01-08 13:24:00+00:00,1.565,1.6,1.44,1.45,658805.0
2026-01-08 13:26:00+00:00,1.4584,1.49,1.41,1.4598,201831.0
2026-01-08 13:28:00+00:00,1.4513,1.51,1.45,1.49,107109.0
2026-01-08 13:30:00+00:00,1.4997,1.57,1.49,1.4998,213090.0
2026-01-08 13:32:00+00:00,1.5,1.57,1.5,1.5599,95915.0
2026-01-08 13:34:00+00:00,1.555,1.56,1.53,1.56,77196.0
2026-01-08 13:36:00+00:00,1.56,1.56,1.51,1.55,82165.0
2026-01-08 13:38:00+00:00,1.55,1.5558,1.49,1.4912,87546.0
2026-01-08 13:40:00+00:00,1.49,1.51,1.47,1.5094,62028.0
2026-01-08 13:42:00+00:00,1.5,1.51,1.48,1.49,46633.0
2026-01-08 13:44:00+00:00,1.495,1.53,1.48,1.52,96299.0
2026-01-08 13:46:00+00:00,1.51,1.52,1.5,1.5099,42817.0
2026-01-08 13:48:00+00:00,1.51,1.55,1.5,1.55,96180.0
2026-01-08 13:50:00+00:00,1.55,1.57,1.54,1.57,93453.0
2026-01-08 13:52:00+00:00,1.58,1.58,1.52,1.52,145977.0
2026-01-08 13:54:00+00:00,1.52,1.5303,1.51,1.51,31163.0
2026-01-08 13:56:00+00:00,1.52,1.53,1.51,1.53,73015.0
2026-01-08 13:58:00+00:00,1.5298,1.53,1.51,1.52,158871.0
2026-01-08 14:00:00+00:00,1.52,1.52,1.51,1.51,32964.0
2026-01-08 14:02:00+00:00,1.51,1.53,1.51,1.53,105475.0
2026-01-08 14:04:00+00:00,1.53,1.55,1.53,1.53,45325.0
2026-01-08 14:06:00+00:00,1.53,1.53,1.51,1.51,25420.0
2026-01-08 14:08:00+00:00,1.52,1.54,1.51,1.54,91707.0
2026-01-08 14:10:00+00:00,1.5301,1.54,1.53,1.54,43845.0
2026-01-08 14:12:00+00:00,1.5303,1.55,1.53,1.54,74742.0
2026-01-08 14:14:00+00:00,1.5399,1.54,1.53,1.5301,35842.0
2026-01-08 14:16:00+00:00,1.54,1.54,1.53,1.53,37400.0
2026-01-08 14:18:00+00:00,1.53,1.56,1.52,1.55,155144.0
2026-01-08 14:20:00+00:00,1.55,1.56,1.54,1.55,26289.0
2026-01-08 14:22:00+00:00,1.5499,1.5598,1.54,1.5497,38021.0
2026-01-08 14:24:00+00:00,1.55,1.55,1.53,1.5499,42186.0
2026-01-08 14:26:00+00:00,1.55,1.56,1.54,1.5503,119793.0
2026-01-08 14:28:00+00:00,1.55,1.6,1.55,1.59,249160.0
2026-01-08 14:30:00+00:00,1.595,1.72,1.58,1.695,1400488.0
2026-01-08 14:32:00+00:00,1.6997,1.73,1.59,1.6272,830879.0
2026-01-08 14:34:00+00:00,1.6294,1.725,1.55,1.705,677070.0
2026-01-08 14:36:00+00:00,1.705,1.74,1.68,1.725,533773.0
2026-01-08 14:38:00+00:00,1.7284,1.76,1.71,1.7166,541886.0
2026-01-08 14:40:00+00:00,1.7101,1.8,1.71,1.76,648762.0
2026-01-08 14:42:00+00:00,1.755,1.77,1.74,1.7501,367768.0
2026-01-08 14:44:00+00:00,1.76,1.76,1.6814,1.705,322433.0
2026-01-08 14:46:00+00:00,1.71,1.72,1.69,1.71,181651.0
2026-01-08 14:48:00+00:00,1.705,1.71,1.68,1.69,153074.0
2026-01-08 14:50:00+00:00,1.6901,1.76,1.69,1.756,267852.0
2026-01-08 14:52:00+00:00,1.75,1.75,1.71,1.715,151548.0
2026-01-08 14:54:00+00:00,1.7182,1.72,1.69,1.705,84779.0
2026-01-08 14:56:00+00:00,1.71,1.76,1.7,1.75,127239.0
2026-01-08 14:58:00+00:00,1.7501,1.79,1.73,1.7401,262330.0
2026-01-08 15:00:00+00:00,1.75,1.79,1.74,1.79,148538.0
2026-01-08 15:02:00+00:00,1.785,1.79,1.73,1.7684,117349.0
2026-01-08 15:04:00+00:00,1.76,1.79,1.74,1.7601,213615.0
2026-01-08 15:06:00+00:00,1.76,1.78,1.73,1.7702,115919.0
2026-01-08 15:08:00+00:00,1.77,1.78,1.75,1.775,98572.0
2026-01-08 15:10:00+00:00,1.7716,1.79,1.76,1.7801,144545.0
2026-01-08 15:12:00+00:00,1.7884,1.7884,1.77,1.775,78343.0
2026-01-08 15:14:00+00:00,1.77,1.84,1.77,1.7901,361347.0
2026-01-08 15:16:00+00:00,1.7999,1.83,1.79,1.8254,206741.0
2026-01-08 15:18:00+00:00,1.8236,1.83,1.81,1.825,168366.0
2026-01-08 15:20:00+00:00,1.825,1.8486,1.8,1.815,189478.0
2026-01-08 15:22:00+00:00,1.8111,1.84,1.81,1.8375,82562.0
2026-01-08 15:24:00+00:00,1.835,1.85,1.8087,1.81,230158.0
2026-01-08 15:26:00+00:00,1.81,1.81,1.74,1.7845,280768.0
2026-01-08 15:28:00+00:00,1.78,1.7812,1.75,1.7501,175372.0
2026-01-08 15:30:00+00:00,1.755,1.79,1.745,1.7768,132335.0
2026-01-08 15:32:00+00:00,1.775,1.78,1.74,1.7754,148476.0
2026-01-08 15:34:00+00:00,1.7797,1.79,1.76,1.7701,87803.0
2026-01-08 15:36:00+00:00,1.77,1.81,1.77,1.795,144354.0
2026-01-08 15:38:00+00:00,1.795,1.805,1.78,1.8,59888.0
2026-01-08 15:40:00+00:00,1.795,1.81,1.79,1.7901,39080.0
2026-01-08 15:42:00+00:00,1.7999,1.85,1.7928,1.825,138787.0
2026-01-08 15:44:00+00:00,1.83,1.84,1.81,1.83,48347.0
2026-01-08 15:46:00+00:00,1.8285,1.83,1.81,1.8275,43543.0
2026-01-08 15:48:00+00:00,1.825,1.825,1.79,1.81,108145.0
2026-01-08 15:50:00+00:00,1.8046,1.82,1.8046,1.815,17403.0
2026-01-08 15:52:00+00:00,1.81,1.83,1.8,1.8,47663.0
2026-01-08 15:54:00+00:00,1.8,1.81,1.79,1.795,64092.0
2026-01-08 15:56:00+00:00,1.795,1.82,1.79,1.82,54230.0
2026-01-08 15:58:00+00:00,1.8254,1.83,1.78,1.79,59071.0
2026-01-08 16:00:00+00:00,1.798,1.8057,1.76,1.795,75632.0
2026-01-08 16:02:00+00:00,1.798,1.825,1.7916,1.8,38408.0
2026-01-08 16:04:00+00:00,1.8065,1.825,1.8,1.82,22734.0
2026-01-08 16:06:00+00:00,1.82,1.83,1.8124,1.83,42024.0
2026-01-08 16:08:00+00:00,1.82,1.83,1.81,1.8201,34666.0
2026-01-08 16:10:00+00:00,1.83,1.85,1.825,1.8495,71572.0
2026-01-08 16:12:00+00:00,1.85,1.85,1.83,1.84,51891.0
2026-01-08 16:14:00+00:00,1.835,1.85,1.83,1.84,48504.0
2026-01-08 16:16:00+00:00,1.84,1.84,1.82,1.8201,59984.0
2026-01-08 16:18:00+00:00,1.825,1.84,1.82,1.835,17864.0
2026-01-08 16:20:00+00:00,1.84,1.85,1.8,1.825,73735.0
2026-01-08 16:22:00+00:00,1.83,1.84,1.82,1.82,25777.0
2026-01-08 16:24:00+00:00,1.8213,1.85,1.8213,1.84,35815.0
2026-01-08 16:26:00+00:00,1.84,1.88,1.84,1.87,171165.0
2026-01-08 16:28:00+00:00,1.87,1.88,1.86,1.865,61225.0
2026-01-08 16:30:00+00:00,1.86,1.88,1.8515,1.86,50288.0
2026-01-08 16:32:00+00:00,1.86,1.865,1.841,1.8591,52127.0
2026-01-08 16:34:00+00:00,1.855,1.86,1.84,1.845,39111.0
2026-01-08 16:36:00+00:00,1.845,1.85,1.83,1.845,40148.0
2026-01-08 16:38:00+00:00,1.84,1.84,1.81,1.8201,37046.0
2026-01-08 16:40:00+00:00,1.8223,1.83,1.81,1.82,26391.0
2026-01-08 16:42:00+00:00,1.815,1.83,1.815,1.83,10905.0
2026-01-08 16:44:00+00:00,1.83,1.8399,1.8101,1.83,20125.0
2026-01-08 16:46:00+00:00,1.826,1.8286,1.81,1.815,33347.0
2026-01-08 16:48:00+00:00,1.8116,1.8287,1.8116,1.8201,7995.0
2026-01-08 16:50:00+00:00,1.8225,1.85,1.8225,1.845,61182.0
2026-01-08 16:52:00+00:00,1.845,1.85,1.8201,1.83,21324.0
2026-01-08 16:54:00+00:00,1.83,1.83,1.82,1.8299,5426.0
2026-01-08 16:56:00+00:00,1.8233,1.83,1.82,1.825,28921.0
2026-01-08 16:58:00+00:00,1.83,1.85,1.8297,1.835,9939.0
2026-01-08 17:00:00+00:00,1.84,1.84,1.825,1.83,11663.0
2026-01-08 17:02:00+00:00,1.83,1.83,1.82,1.826,6048.0
2026-01-08 17:04:00+00:00,1.83,1.83,1.77,1.7712,135514.0
2026-01-08 17:06:00+00:00,1.775,1.78,1.75,1.78,46817.0
2026-01-08 17:08:00+00:00,1.77,1.8,1.77,1.7855,25049.0
2026-01-08 17:10:00+00:00,1.78,1.79,1.78,1.78,2495.0
2026-01-08 17:12:00+00:00,1.78,1.79,1.78,1.78,21966.0
2026-01-08 17:14:00+00:00,1.7853,1.8,1.78,1.79,14639.0
2026-01-08 17:16:00+00:00,1.7801,1.7899,1.78,1.7873,7985.0
2026-01-08 17:18:00+00:00,1.7888,1.8,1.7801,1.79,13473.0
2026-01-08 17:20:00+00:00,1.79,1.79,1.77,1.7887,11663.0
2026-01-08 17:22:00+00:00,1.78,1.78,1.77,1.775,3325.0
2026-01-08 17:24:00+00:00,1.775,1.78,1.76,1.775,22009.0
2026-01-08 17:26:00+00:00,1.771,1.7735,1.76,1.7613,3250.0
2026-01-08 17:28:00+00:00,1.76,1.79,1.76,1.79,12779.0
2026-01-08 17:30:00+00:00,1.78,1.805,1.76,1.805,97536.0
2026-01-08 17:32:00+00:00,1.805,1.81,1.79,1.8013,23013.0
2026-01-08 17:34:00+00:00,1.8,1.8,1.79,1.79,3244.0
2026-01-08 17:36:00+00:00,1.8,1.81,1.7901,1.7903,14395.0
2026-01-08 17:38:00+00:00,1.795,1.7978,1.79,1.795,15462.0
2026-01-08 17:40:00+00:00,1.795,1.81,1.795,1.8085,16831.0
2026-01-08 17:42:00+00:00,1.8089,1.812,1.8,1.812,7183.0
2026-01-08 17:44:00+00:00,1.81,1.82,1.81,1.8195,12135.0
2026-01-08 17:46:00+00:00,1.82,1.825,1.81,1.81,13993.0
2026-01-08 17:48:00+00:00,1.81,1.81,1.8097,1.81,2513.0
2026-01-08 17:50:00+00:00,1.8199,1.82,1.8102,1.8102,4545.0
2026-01-08 17:52:00+00:00,1.81,1.8185,1.81,1.8185,1551.0
2026-01-08 17:54:00+00:00,1.8102,1.8102,1.795,1.8,36053.0
2026-01-08 17:56:00+00:00,1.8,1.8,1.7912,1.795,2272.0
2026-01-08 17:58:00+00:00,1.795,1.8,1.79,1.795,14919.0
2026-01-08 18:00:00+00:00,1.8,1.8072,1.8,1.8072,18501.0
2026-01-08 18:02:00+00:00,1.809,1.809,1.8001,1.805,2549.0
2026-01-08 18:04:00+00:00,1.8,1.8001,1.79,1.7902,7873.0
2026-01-08 18:06:00+00:00,1.79,1.795,1.78,1.78,43992.0
2026-01-08 18:08:00+00:00,1.78,1.7876,1.765,1.765,13924.0
2026-01-08 18:10:00+00:00,1.7605,1.77,1.76,1.7669,10197.0
2026-01-08 18:12:00+00:00,1.76,1.78,1.7532,1.78,17549.0
2026-01-08 18:14:00+00:00,1.775,1.78,1.76,1.7709,6768.0
2026-01-08 18:16:00+00:00,1.78,1.78,1.7601,1.7601,6244.0
2026-01-08 18:18:00+00:00,1.77,1.78,1.77,1.78,7026.0
2026-01-08 18:20:00+00:00,1.7692,1.787,1.7692,1.787,5348.0
2026-01-08 18:22:00+00:00,1.781,1.79,1.77,1.77,6405.0
2026-01-08 18:24:00+00:00,1.77,1.77,1.76,1.767,6468.0
2026-01-08 18:26:00+00:00,1.7654,1.7799,1.765,1.775,10606.0
2026-01-08 18:28:00+00:00,1.7756,1.7756,1.77,1.77,1952.0
2026-01-08 18:30:00+00:00,1.777,1.78,1.77,1.78,3370.0
2026-01-08 18:32:00+00:00,1.77,1.78,1.77,1.7784,12207.0
2026-01-08 18:34:00+00:00,1.7784,1.78,1.775,1.78,1754.0
2026-01-08 18:36:00+00:00,1.7857,1.7857,1.78,1.78,647.0
2026-01-08 18:38:00+00:00,1.77,1.8,1.77,1.785,36880.0
2026-01-08 18:40:00+00:00,1.79,1.79,1.785,1.79,5022.0
2026-01-08 18:42:00+00:00,1.7884,1.8,1.785,1.8,5527.0
2026-01-08 18:44:00+00:00,1.795,1.795,1.785,1.785,5720.0
2026-01-08 18:46:00+00:00,1.78,1.79,1.78,1.79,4037.0
2026-01-08 18:48:00+00:00,1.79,1.79,1.7807,1.7888,8246.0
2026-01-08 18:50:00+00:00,1.785,1.7854,1.78,1.78,6826.0
2026-01-08 18:52:00+00:00,1.7701,1.7799,1.76,1.7799,23472.0
2026-01-08 18:54:00+00:00,1.7601,1.7788,1.7601,1.77,1360.0
2026-01-08 18:56:00+00:00,1.77,1.77,1.755,1.765,22222.0
2026-01-08 18:58:00+00:00,1.76,1.76,1.75,1.75,10719.0
2026-01-08 19:00:00+00:00,1.7501,1.7599,1.75,1.7599,2015.0
2026-01-08 19:02:00+00:00,1.7599,1.77,1.7599,1.7675,7557.0
2026-01-08 19:04:00+00:00,1.76,1.765,1.76,1.7602,2922.0
2026-01-08 19:06:00+00:00,1.765,1.78,1.76,1.78,24375.0
2026-01-08 19:08:00+00:00,1.78,1.78,1.77,1.77,5204.0
