Datetime,Open,High,Low,Close,Volume
2025-06-20 13:28:00+00:00,5.9,6.25,5.9,6.25,1120.0
2025-06-20 13:30:00+00:00,6.36,6.4,6.36,6.4,7510.0
2025-06-20 13:42:00+00:00,5.61,5.99,5.61,5.99,1988.0
2025-06-20 13:44:00+00:00,5.9669,5.9669,5.9669,5.9669,2156.0
2025-06-20 13:46:00+00:00,5.765,5.765,5.765,5.765,1119.0
2025-06-20 13:54:00+00:00,5.88,5.998,5.78,5.78,2117.0
2025-06-20 13:58:00+00:00,5.8,5.8,5.8,5.8,349.0
2025-06-20 14:00:00+00:00,5.65,5.65,5.21,5.21,2941.0
2025-06-20 14:02:00+00:00,5.25,5.595,5.25,5.595,1640.0
2025-06-20 14:10:00+00:00,5.42,5.42,5.42,5.42,500.0
2025-06-20 14:12:00+00:00,5.42,5.42,5.42,5.42,151.0
2025-06-20 14:18:00+00:00,5.65,5.65,5.5656,5.5656,1294.0
2025-06-20 14:24:00+00:00,5.6,5.61,5.6,5.61,331.0
2025-06-20 14:26:00+00:00,5.62,5.62,5.62,5.62,227.0
2025-06-20 14:28:00+00:00,5.62,5.62,5.62,5.62,159.0
2025-06-20 14:30:00+00:00,5.69,5.7,5.69,5.69,501.0
2025-06-20 14:36:00+00:00,5.5584,5.5584,5.5584,5.5584,155.0
2025-06-20 14:46:00+00:00,5.68,5.68,5.68,5.68,491.0
2025-06-20 14:50:00+00:00,5.4268,5.4387,5.4268,5.4387,670.0
2025-06-20 14:56:00+00:00,5.6819,5.6819,5.68,5.68,300.0
2025-06-20 14:58:00+00:00,5.5575,5.6819,5.5575,5.6819,310.0
2025-06-20 15:00:00+00:00,5.6819,5.6819,5.6819,5.6819,150.0
2025-06-20 15:02:00+00:00,5.69,5.7,5.69,5.7,3483.0
2025-06-20 15:06:00+00:00,5.9328,5.9328,5.9328,5.9328,2002.0
2025-06-20 15:10:00+00:00,5.7403,5.7403,5.49,5.49,376.0
2025-06-20 15:12:00+00:00,5.71,5.71,5.71,5.71,2200.0
2025-06-20 15:16:00+00:00,5.71,5.71,5.71,5.71,700.0
2025-06-20 15:18:00+00:00,5.49,5.49,5.49,5.49,101.0
2025-06-20 17:22:00+00:00,5.45,5.47,5.45,5.47,392.0
2025-06-20 17:36:00+00:00,5.47,5.47,5.47,5.47,930.0
2025-06-20 17:58:00+00:00,5.9107,5.9107,5.7326,5.7326,750.0
2025-06-20 18:00:00+00:00,5.7326,5.7326,5.7326,5.7326,250.0
2025-06-20 18:28:00+00:00,5.73,5.73,5.73,5.73,501.0
2025-06-20 18:36:00+00:00,5.76,5.76,5.75,5.75,1094.0
2025-06-20 19:02:00+00:00,5.725,5.725,5.725,5.725,251.0
2025-06-20 19:12:00+00:00,5.715,5.715,5.715,5.715,1000.0
2025-06-20 19:14:00+00:00,5.75,5.77,5.6995,5.6995,2000.0
2025-06-20 19:18:00+00:00,5.57,5.57,5.57,5.57,124.0
2025-06-20 19:38:00+00:00,5.6199,5.6199,5.6199,5.6199,200.0
2025-06-20 19:42:00+00:00,5.58,5.58,5.58,5.58,187.0
2025-06-20 19:52:00+00:00,5.5841,5.5841,5.5841,5.5841,922.0
2025-06-20 19:54:00+00:00,5.58,5.58,5.55,5.55,712.0
2025-06-20 23:48:00+00:00,5.05,5.05,5.05,5.05,400.0
2025-09-29 08:00:00+00:00,12.38,13.26,11.23,11.23,126355.0
2025-09-29 08:02:00+00:00,11.4,11.57,11.09,11.42,71419.0
2025-09-29 08:04:00+00:00,11.42,11.67,11.14,11.14,39524.0
2025-09-29 08:06:00+00:00,11.13,11.45,11.0,11.4,45631.0
2025-09-29 08:08:00+00:00,11.38,11.7,11.13,11.23,35045.0
2025-09-29 08:10:00+00:00,11.29,12.0,11.21,11.91,47857.0
2025-09-29 08:12:00+00:00,11.88,13.0,11.83,12.55,221555.0
2025-09-29 08:14:00+00:00,12.51,12.53,11.56,11.99,147235.0
2025-09-29 08:16:00+00:00,11.96,12.71,11.65,12.63,114441.0
2025-09-29 08:18:00+00:00,12.6,13.5,12.56,13.2,316520.0
2025-09-29 08:20:00+00:00,13.26,13.26,12.11,12.46,149295.0
2025-09-29 08:22:00+00:00,12.46,12.8,12.28,12.66,107107.0
2025-09-29 08:24:00+00:00,12.73,12.95,12.16,12.36,85708.0
2025-09-29 08:26:00+00:00,12.4,12.4,11.8,12.0,78804.0
2025-09-29 08:28:00+00:00,12.0,12.07,11.65,11.82,67938.0
2025-09-29 08:30:00+00:00,11.88,12.3,11.87,12.1,64734.0
2025-09-29 08:32:00+00:00,12.15,12.15,11.62,11.87,40652.0
2025-09-29 08:34:00+00:00,11.86,11.86,11.61,11.61,43942.0
2025-09-29 08:36:00+00:00,11.64,11.64,11.41,11.59,50376.0
2025-09-29 08:38:00+00:00,11.55,11.95,11.55,11.61,31353.0
2025-09-29 08:40:00+00:00,11.66,11.88,11.5,11.5,23866.0
2025-09-29 08:42:00+00:00,11.5,11.6,11.37,11.46,41683.0
2025-09-29 08:44:00+00:00,11.39,11.58,11.37,11.44,29892.0
2025-09-29 08:46:00+00:00,11.4,11.74,11.4,11.66,27032.0
2025-09-29 08:48:00+00:00,11.68,11.74,11.34,11.37,32231.0
2025-09-29 08:50:00+00:00,11.37,11.6,11.37,11.6,21176.0
2025-09-29 08:52:00+00:00,11.6,11.9,11.52,11.84,40490.0
2025-09-29 08:54:00+00:00,11.82,11.82,11.38,11.48,25754.0
2025-09-29 08:56:00+00:00,11.53,11.6,11.45,11.45,12603.0
2025-09-29 08:58:00+00:00,11.45,11.94,11.45,11.9,18131.0
2025-09-29 09:00:00+00:00,11.9,11.95,11.59,11.77,35850.0
2025-09-29 09:02:00+00:00,11.71,11.77,11.61,11.63,13803.0
2025-09-29 09:04:00+00:00,11.63,11.72,11.6,11.6,11206.0
2025-09-29 09:06:00+00:00,11.6,11.62,11.43,11.49,18541.0
2025-09-29 09:08:00+00:00,11.49,11.51,11.4,11.49,11270.0
2025-09-29 09:10:00+00:00,11.55,11.62,11.09,11.34,40231.0
2025-09-29 09:12:00+00:00,11.3,11.3,11.13,11.28,29364.0
2025-09-29 09:14:00+00:00,11.27,11.28,11.19,11.24,10723.0
2025-09-29 09:16:00+00:00,11.25,11.3,11.17,11.29,9867.0
2025-09-29 09:18:00+00:00,11.3,11.31,11.15,11.17,12190.0
2025-09-29 09:20:00+00:00,11.24,11.33,11.2,11.33,9310.0
2025-09-29 09:22:00+00:00,11.33,11.42,11.25,11.25,11846.0
2025-09-29 09:24:00+00:00,11.27,11.28,11.22,11.28,6461.0
2025-09-29 09:26:00+00:00,11.22,11.25,11.16,11.19,7672.0
2025-09-29 09:28:00+00:00,11.18,11.24,11.15,11.24,5005.0
