Datetime,Open,High,Low,Close,Volume
2025-08-06 08:20:00+00:00,34.19,34.2,34.19,34.2,1300
2025-08-06 08:42:00+00:00,34.5,34.5,34.5,34.5,155
2025-08-06 09:52:00+00:00,34.47,34.47,34.47,34.47,300
2025-08-06 10:34:00+00:00,34.46,34.46,34.46,34.46,250
2025-08-06 10:54:00+00:00,34.06,34.06,34.06,34.06,100
2025-08-06 10:56:00+00:00,34.06,34.06,34.06,34.06,200
2025-08-06 11:34:00+00:00,34.11,34.11,34.11,34.11,100
2025-08-06 11:36:00+00:00,34.01,34.01,34.01,34.01,115
2025-08-06 11:42:00+00:00,34.04,34.2,34.03,34.2,867
2025-08-06 11:54:00+00:00,34.22,34.22,34.22,34.22,206
2025-08-06 12:00:00+00:00,34.25,34.4,34.0,34.0001,3325
2025-08-06 12:04:00+00:00,34.33,34.33,34.33,34.33,100
2025-08-06 12:06:00+00:00,34.2,34.2,34.2,34.2,380
2025-08-06 12:10:00+00:00,34.34,34.4,34.34,34.4,2828
2025-08-06 12:12:00+00:00,35.04,35.04,35.04,35.04,514
2025-08-06 12:14:00+00:00,34.99,34.99,34.99,34.99,500
2025-08-06 12:16:00+00:00,34.99,34.99,34.99,34.99,125
2025-08-06 12:18:00+00:00,34.99,34.99,34.99,34.99,100
2025-08-06 12:56:00+00:00,34.6,34.6,34.6,34.6,905
2025-08-06 12:58:00+00:00,34.8999,34.8999,34.8999,34.8999,5006
2025-08-06 13:06:00+00:00,34.9,34.9,34.9,34.9,209
2025-08-06 13:12:00+00:00,34.9,35.25,34.88,35.25,2896
2025-08-06 13:22:00+00:00,35.36,35.99,35.3003,35.99,4731
2025-08-06 13:28:00+00:00,35.9,36.0,35.9,36.0,2588
2025-08-06 13:30:00+00:00,35.47,35.605,35.33,35.605,2762
2025-08-06 13:32:00+00:00,35.33,35.35,34.82,34.945,151202
2025-08-06 13:34:00+00:00,34.945,35.91,34.86,35.805,80601
2025-08-06 13:36:00+00:00,35.868,36.2874,35.73,36.03,92489
2025-08-06 13:38:00+00:00,36.01,36.5,35.81,35.885,125795
2025-08-06 13:40:00+00:00,35.89,36.2,35.82,35.95,43794
2025-08-06 13:42:00+00:00,35.83,36.04,35.7223,35.84,48391
2025-08-06 13:44:00+00:00,35.84,36.05,35.3,35.39,43070
2025-08-06 13:46:00+00:00,35.39,35.94,35.39,35.9,45314
2025-08-06 13:48:00+00:00,35.855,36.0,35.42,35.57,40985
2025-08-06 13:50:00+00:00,35.6,35.67,35.23,35.3558,36302
2025-08-06 13:52:00+00:00,35.345,35.59,35.28,35.35,43933
2025-08-06 13:54:00+00:00,35.3,35.34,35.08,35.165,32871
2025-08-06 13:56:00+00:00,35.21,35.3,35.052,35.115,19281
2025-08-06 13:58:00+00:00,35.115,35.205,34.89,35.01,61327
2025-08-06 14:00:00+00:00,35.02,35.12,34.9035,35.12,26588
2025-08-06 14:02:00+00:00,35.135,35.38,35.135,35.205,28047
2025-08-06 14:04:00+00:00,35.205,35.25,35.04,35.16,23797
2025-08-06 14:06:00+00:00,35.16,35.24,35.05,35.165,21149
2025-08-06 14:08:00+00:00,35.165,35.2,35.05,35.1,16890
2025-08-06 14:10:00+00:00,35.1,35.33,35.07,35.255,23771
2025-08-06 14:12:00+00:00,35.255,35.4,35.255,35.37,89578
2025-08-06 14:14:00+00:00,35.37,35.52,35.31,35.465,31733
2025-08-06 14:16:00+00:00,35.465,35.57,35.35,35.57,41544
2025-08-06 14:18:00+00:00,35.51,35.64,35.47,35.61,24169
2025-08-06 14:20:00+00:00,35.61,35.68,35.27,35.5,72308
2025-08-06 14:22:00+00:00,35.54,35.57,35.4108,35.435,20697
2025-08-06 14:24:00+00:00,35.435,35.5,35.37,35.42,21960
2025-08-06 14:26:00+00:00,35.42,35.59,35.42,35.5315,22309
2025-08-06 14:28:00+00:00,35.525,35.66,35.435,35.625,15552
2025-08-06 14:30:00+00:00,35.625,35.625,35.405,35.43,14876
2025-08-06 14:32:00+00:00,35.43,35.53,35.38,35.5,13404
2025-08-06 14:34:00+00:00,35.46,35.56,35.425,35.425,17277
2025-08-06 14:36:00+00:00,35.475,35.59,35.394,35.41,20456
2025-08-06 14:38:00+00:00,35.405,35.47,35.38,35.43,19213
2025-08-06 14:40:00+00:00,35.46,35.555,35.43,35.55,13241
2025-08-06 14:42:00+00:00,35.49,35.515,34.93,35.03,118043
2025-08-06 14:44:00+00:00,35.06,35.305,35.06,35.255,84220
2025-08-06 14:46:00+00:00,35.255,35.255,35.195,35.195,6179
2025-08-06 14:48:00+00:00,35.195,35.41,35.16,35.365,41826
2025-08-06 14:50:00+00:00,35.365,35.405,35.31,35.36,15999
2025-08-06 14:52:00+00:00,35.36,35.37,35.315,35.33,9252
2025-08-06 14:54:00+00:00,35.335,35.47,35.335,35.47,19836
2025-08-06 14:56:00+00:00,35.46,35.54,35.35,35.385,109152
2025-08-06 14:58:00+00:00,35.34,35.54,35.28,35.525,51717
2025-08-06 15:00:00+00:00,35.525,35.63,35.4619,35.57,11746
2025-08-06 15:02:00+00:00,35.585,35.77,35.57,35.69,7725
2025-08-06 15:04:00+00:00,35.76,35.85,35.72,35.78,6706
2025-08-06 15:06:00+00:00,35.78,35.83,35.74,35.785,7313
2025-08-06 15:08:00+00:00,35.785,35.97,35.7409,35.875,77724
2025-08-06 15:10:00+00:00,35.9,35.93,35.8,35.86,46342
2025-08-06 15:12:00+00:00,35.885,35.91,35.8722,35.875,8318
2025-08-06 15:14:00+00:00,35.9,35.92,35.8,35.92,25998
2025-08-06 15:16:00+00:00,35.95,35.98,35.88,35.94,14584
2025-08-06 15:18:00+00:00,35.97,36.0,35.89,35.975,18164
2025-08-06 15:20:00+00:00,35.98,36.02,35.94,35.975,16914
2025-08-06 15:22:00+00:00,35.97,36.005,35.94,35.965,31068
2025-08-06 15:24:00+00:00,35.965,35.965,35.85,35.955,26270
2025-08-06 15:26:00+00:00,35.93,35.93,35.48,35.48,8543
2025-08-06 15:28:00+00:00,35.5,35.5,35.28,35.3015,7854
2025-08-06 15:30:00+00:00,35.34,35.34,35.24,35.29,10381
2025-08-06 15:32:00+00:00,35.295,35.34,35.03,35.04,59460
2025-08-06 15:34:00+00:00,35.055,35.23,35.055,35.18,33246
2025-08-06 15:36:00+00:00,35.17,35.25,35.09,35.16,29928
2025-08-06 15:38:00+00:00,35.305,35.48,35.305,35.4,10787
2025-08-06 15:40:00+00:00,35.395,35.6,35.395,35.6,10036
2025-08-06 15:42:00+00:00,35.61,35.77,35.61,35.665,11100
2025-08-06 15:44:00+00:00,35.665,35.776,35.66,35.776,8334
2025-08-06 15:46:00+00:00,35.83,35.87,35.8,35.85,10799
2025-08-06 15:48:00+00:00,35.865,35.96,35.8307,35.95,18733
2025-08-06 15:50:00+00:00,35.96,36.09,35.925,36.07,24228
2025-08-06 15:52:00+00:00,36.065,36.17,36.01,36.13,50903
2025-08-06 15:54:00+00:00,36.11,36.13,35.96,36.07,35957
2025-08-06 15:56:00+00:00,36.075,36.3,36.0,36.3,36363
2025-08-06 15:58:00+00:00,36.3,36.5,36.27,36.45,32428
2025-08-06 16:00:00+00:00,36.44,36.44,36.33,36.35,20472
2025-08-06 16:02:00+00:00,36.35,36.35,36.255,36.31,22728
2025-08-06 16:04:00+00:00,36.31,36.39,36.21,36.22,48432
2025-08-06 16:06:00+00:00,36.22,36.25,36.13,36.195,18059
2025-08-06 16:08:00+00:00,36.22,36.315,36.18,36.26,25232
2025-08-06 16:10:00+00:00,36.3,36.38,36.26,36.35,23842
2025-08-06 16:12:00+00:00,36.36,36.4016,36.29,36.34,17079
2025-08-06 16:14:00+00:00,36.34,36.39,36.3,36.305,11314
2025-08-06 16:16:00+00:00,36.295,36.295,36.25,36.265,7607
2025-08-06 16:18:00+00:00,36.265,36.265,36.155,36.205,25523
2025-08-06 16:20:00+00:00,36.2491,36.3,36.205,36.25,11310
2025-08-06 16:22:00+00:00,36.26,36.325,35.96,35.96,18329
2025-08-06 16:24:00+00:00,35.92,36.013,35.92,35.925,12527
2025-08-06 16:26:00+00:00,35.925,35.97,35.82,35.87,11740
2025-08-06 16:28:00+00:00,35.87,35.94,35.79,35.92,8699
2025-08-06 16:30:00+00:00,35.92,36.03,35.86,35.88,18196
2025-08-06 16:32:00+00:00,35.91,35.97,35.8901,35.945,6084
2025-08-06 16:34:00+00:00,35.94,36.01,35.94,36.0,14903
2025-08-06 16:36:00+00:00,36.0,36.0,35.83,35.955,34163
2025-08-06 16:38:00+00:00,35.9,36.0,35.73,35.8048,12763
2025-08-06 16:40:00+00:00,35.78,35.8,35.73,35.75,8384
2025-08-06 16:42:00+00:00,35.75,35.75,35.58,35.6,5158
2025-08-06 16:44:00+00:00,35.57,35.69,35.43,35.69,15967
2025-08-06 16:46:00+00:00,35.695,35.795,35.695,35.73,9515
2025-08-06 16:48:00+00:00,35.73,35.82,35.73,35.81,7370
2025-08-06 16:50:00+00:00,35.81,35.85,35.8,35.82,16970
2025-08-06 16:52:00+00:00,35.81,35.845,35.755,35.81,5030
2025-08-06 16:54:00+00:00,35.815,35.835,35.81,35.825,11953
2025-08-06 16:56:00+00:00,35.82,35.82,35.745,35.745,11668
2025-08-06 16:58:00+00:00,35.77,35.87,35.72,35.87,13857
2025-08-06 17:00:00+00:00,35.86,35.945,35.835,35.92,7879
2025-08-06 17:02:00+00:00,35.87,35.92,35.86,35.89,5473
2025-08-06 17:04:00+00:00,35.89,36.0,35.89,36.0,9342
2025-08-06 17:06:00+00:00,35.98,36.0,35.95,35.97,5641
2025-08-06 17:08:00+00:00,35.95,36.01,35.4,35.6206,215115
2025-08-06 17:10:00+00:00,35.65,35.77,35.56,35.65,17974
2025-08-06 17:12:00+00:00,35.6,35.65,35.59,35.615,3088
2025-08-06 17:14:00+00:00,35.615,35.73,35.59,35.73,8478
2025-08-06 17:16:00+00:00,35.685,35.755,35.675,35.675,6998
2025-08-06 17:18:00+00:00,35.675,35.81,35.675,35.79,9390
2025-08-06 17:20:00+00:00,35.81,35.82,35.775,35.81,7885
2025-08-06 17:22:00+00:00,35.795,35.81,35.75,35.79,9701
2025-08-06 17:24:00+00:00,35.741,35.76,35.615,35.615,6964
2025-08-06 17:26:00+00:00,35.615,35.615,35.57,35.595,2672
2025-08-06 17:28:00+00:00,35.59,35.66,35.59,35.635,12961
2025-08-06 17:30:00+00:00,35.63,35.645,35.5,35.565,18535
2025-08-06 17:32:00+00:00,35.565,35.605,35.5,35.52,17076
2025-08-06 17:34:00+00:00,35.52,35.655,35.5,35.655,23641
2025-08-06 17:36:00+00:00,35.65,35.88,35.65,35.825,28899
2025-08-06 17:38:00+00:00,35.825,35.825,35.67,35.67,14298
2025-08-06 17:40:00+00:00,35.7,35.75,35.68,35.715,10687
2025-08-06 17:42:00+00:00,35.73,35.76,35.68,35.725,13809
2025-08-06 17:44:00+00:00,35.725,35.735,35.67,35.72,17745
2025-08-06 17:46:00+00:00,35.71,35.74,35.7,35.715,9696
2025-08-06 17:48:00+00:00,35.715,35.72,35.565,35.57,32960
2025-08-06 17:50:00+00:00,35.57,35.57,35.37,35.39,38305
2025-08-06 17:52:00+00:00,35.39,35.4,35.3375,35.375,20623
2025-08-06 17:54:00+00:00,35.375,35.515,35.31,35.5,65551
2025-08-06 17:56:00+00:00,35.47,35.63,35.35,35.605,23811
2025-08-06 17:58:00+00:00,35.5975,35.7,35.57,35.7,19273
2025-08-06 18:00:00+00:00,35.685,35.69,35.63,35.69,13307
2025-08-06 18:02:00+00:00,35.677,35.74,35.66,35.71,18868
2025-08-06 18:04:00+00:00,35.655,35.68,35.58,35.58,8075
2025-08-06 18:06:00+00:00,35.59,35.705,35.59,35.7,12007
2025-08-06 18:08:00+00:00,35.705,35.73,35.41,35.43,30117
