Datetime,Open,High,Low,Close,Volume
2025-03-18 13:14:00+00:00,1.5096,1.62,1.49,1.62,4985
2025-03-18 13:16:00+00:00,1.62,1.97,1.46,1.51,47397
2025-03-18 13:18:00+00:00,1.49,1.74,1.41,1.73,59364
2025-03-18 13:20:00+00:00,1.73,1.75,1.64,1.67,44106
2025-03-18 13:22:00+00:00,1.69,1.75,1.68,1.74,30457
2025-03-18 13:24:00+00:00,1.73,1.78,1.67,1.73,65551
2025-03-18 13:26:00+00:00,1.74,1.75,1.69,1.72,41524
2025-03-18 13:28:00+00:00,1.72,1.77,1.59,1.65,44857
2025-03-18 13:30:00+00:00,1.68,1.73,1.41,1.4601,137918
2025-03-18 13:32:00+00:00,1.48,1.52,1.4174,1.4174,36609
2025-03-18 13:34:00+00:00,1.4189,1.44,1.3701,1.43,29684
2025-03-18 13:36:00+00:00,1.3901,1.42,1.33,1.42,38659
2025-03-18 13:38:00+00:00,1.413,1.5399,1.4047,1.52,31650
2025-03-18 13:40:00+00:00,1.4801,1.52,1.46,1.46,8240
2025-03-18 13:42:00+00:00,1.46,1.5099,1.37,1.43,3036
2025-03-18 13:44:00+00:00,1.48,1.48,1.4274,1.47,1660
2025-03-18 13:46:00+00:00,1.4497,1.4497,1.39,1.4199,4433
2025-03-18 13:48:00+00:00,1.4,1.4129,1.4,1.4129,1144
2025-03-18 13:50:00+00:00,1.3901,1.4175,1.37,1.4175,34187
2025-03-18 13:52:00+00:00,1.37,1.41,1.2681,1.3,61288
2025-03-18 13:54:00+00:00,1.28,1.4,1.27,1.4,13005
2025-03-18 13:56:00+00:00,1.345,1.345,1.345,1.345,600
2025-03-18 14:00:00+00:00,1.33,1.33,1.285,1.29,3326
2025-03-18 14:02:00+00:00,1.285,1.285,1.2849,1.2849,1079
2025-03-18 14:04:00+00:00,1.2899,1.29,1.2801,1.285,2936
2025-03-18 14:06:00+00:00,1.285,1.2892,1.285,1.285,600
2025-03-18 14:08:00+00:00,1.29,1.29,1.2854,1.29,2774
2025-03-18 14:10:00+00:00,1.285,1.29,1.285,1.285,2863
2025-03-18 14:12:00+00:00,1.29,1.32,1.29,1.319,2267
2025-03-18 14:14:00+00:00,1.3,1.3,1.3,1.3,212
2025-03-18 14:18:00+00:00,1.3101,1.3101,1.3101,1.3101,400
2025-03-18 14:20:00+00:00,1.33,1.33,1.32,1.32,320
2025-03-18 14:22:00+00:00,1.32,1.33,1.3154,1.33,1575
2025-03-18 14:24:00+00:00,1.34,1.3577,1.34,1.3577,2381
2025-03-18 14:26:00+00:00,1.36,1.36,1.36,1.36,100
2025-03-18 14:28:00+00:00,1.34,1.34,1.33,1.33,1044
2025-03-18 14:30:00+00:00,1.33,1.33,1.33,1.33,2374
2025-03-18 14:32:00+00:00,1.34,1.34,1.34,1.34,250
2025-03-18 14:34:00+00:00,1.345,1.345,1.345,1.345,180
2025-03-18 14:36:00+00:00,1.35,1.36,1.345,1.36,1814
2025-03-18 14:40:00+00:00,1.36,1.38,1.36,1.38,1050
2025-03-18 14:44:00+00:00,1.3898,1.3898,1.3898,1.3898,1010
2025-03-18 14:48:00+00:00,1.398,1.41,1.3814,1.3824,7184
2025-03-18 14:54:00+00:00,1.39,1.39,1.3802,1.3802,600
2025-03-18 14:56:00+00:00,1.3802,1.3802,1.36,1.36,3000
2025-03-18 14:58:00+00:00,1.38,1.38,1.375,1.375,750
2025-03-18 15:00:00+00:00,1.3678,1.3678,1.3678,1.3678,475
2025-03-18 15:04:00+00:00,1.362,1.3648,1.362,1.3648,381
2025-03-18 15:10:00+00:00,1.3553,1.3553,1.3553,1.3553,2400
2025-03-18 15:12:00+00:00,1.352,1.352,1.352,1.352,813
2025-03-18 15:20:00+00:00,1.38,1.38,1.38,1.38,110
2025-03-18 15:24:00+00:00,1.37,1.38,1.37,1.38,7272
2025-03-18 15:26:00+00:00,1.37,1.37,1.35,1.35,1100
2025-03-18 15:28:00+00:00,1.38,1.38,1.38,1.38,200
2025-03-18 15:30:00+00:00,1.38,1.38,1.372,1.3722,1154
2025-03-18 15:32:00+00:00,1.35,1.35,1.35,1.35,505
2025-03-18 15:52:00+00:00,1.3922,1.3922,1.3922,1.3922,3000
2025-03-18 16:06:00+00:00,1.39,1.44,1.39,1.43,11558
2025-03-18 16:08:00+00:00,1.43,1.43,1.428,1.43,5449
2025-03-18 16:10:00+00:00,1.42,1.42,1.42,1.42,600
2025-03-18 16:12:00+00:00,1.4,1.4,1.372,1.38,766
2025-03-18 16:14:00+00:00,1.4197,1.4199,1.4197,1.4199,4473
2025-03-18 16:20:00+00:00,1.38,1.38,1.3716,1.3716,3000
2025-03-18 16:34:00+00:00,1.4,1.42,1.4,1.42,526
2025-03-18 17:08:00+00:00,1.3896,1.3896,1.3896,1.3896,200
2025-03-18 17:22:00+00:00,1.38,1.45,1.38,1.45,6037
2025-03-18 17:28:00+00:00,1.3823,1.3823,1.3823,1.3823,1000
2025-03-18 17:36:00+00:00,1.4,1.4,1.4,1.4,100
2025-03-18 18:08:00+00:00,1.4,1.4,1.4,1.4,1000
2025-03-18 18:10:00+00:00,1.4,1.4,1.4,1.4,268
2025-03-18 18:18:00+00:00,1.4093,1.4093,1.4093,1.4093,100
2025-03-18 18:24:00+00:00,1.409,1.409,1.409,1.409,2255
2025-03-18 18:26:00+00:00,1.4,1.4,1.38,1.38,4438
2025-03-18 18:28:00+00:00,1.3801,1.45,1.33,1.39,18351
2025-03-18 18:40:00+00:00,1.4,1.4,1.4,1.4,105
2025-03-18 18:42:00+00:00,1.342,1.342,1.342,1.342,500
2025-03-18 18:44:00+00:00,1.34,1.34,1.34,1.34,1254
2025-03-18 18:46:00+00:00,1.3906,1.42,1.3906,1.42,566
2025-03-18 19:00:00+00:00,1.39,1.39,1.39,1.39,595
2025-03-18 19:02:00+00:00,1.39,1.39,1.39,1.39,4300
2025-03-18 19:04:00+00:00,1.3914,1.3914,1.39,1.39,501
2025-03-18 19:06:00+00:00,1.4091,1.41,1.4091,1.41,509
2025-03-18 19:18:00+00:00,1.3904,1.3904,1.3904,1.3904,200
2025-03-18 19:24:00+00:00,1.3978,1.3978,1.3978,1.3978,153
2025-03-18 19:32:00+00:00,1.395,1.395,1.395,1.395,143
2025-03-18 19:36:00+00:00,1.3962,1.3962,1.3962,1.3962,504
2025-03-18 19:38:00+00:00,1.3994,1.4,1.395,1.4,722
2025-03-18 19:44:00+00:00,1.4,1.4,1.4,1.4,2653
2025-03-18 19:46:00+00:00,1.4,1.4,1.4,1.4,202
2025-03-18 19:48:00+00:00,1.4,1.41,1.4,1.4099,589
2025-03-18 19:50:00+00:00,1.41,1.41,1.405,1.4099,3814
2025-03-18 19:54:00+00:00,1.41,1.41,1.4,1.4,9197
2025-03-18 19:56:00+00:00,1.39,1.4,1.39,1.39,3100
2025-03-18 19:58:00+00:00,1.3907,1.4,1.3907,1.4,2666
2025-03-18 20:00:00+00:00,1.34,1.34,1.34,1.34,710
2025-03-18 20:38:00+00:00,1.33,1.33,1.33,1.33,100
2025-03-18 20:42:00+00:00,1.3301,1.3301,1.3301,1.3301,800
2025-03-18 23:36:00+00:00,1.35,1.35,1.35,1.35,1000
2025-03-18 23:44:00+00:00,1.42,1.42,1.42,1.42,200
