Datetime,Open,High,Low,Close,Volume
2026-01-30 09:06:00+00:00,35.59,35.59,35.59,35.59,150
2026-01-30 10:08:00+00:00,36.49,36.49,36.11,36.11,650
2026-01-30 10:12:00+00:00,35.97,35.98,35.97,35.98,1631
2026-01-30 10:16:00+00:00,36.79,36.79,36.52,36.52,330
2026-01-30 11:04:00+00:00,36.505,36.505,36.505,36.505,181
2026-01-30 11:22:00+00:00,36.8,36.8,36.8,36.8,100
2026-01-30 11:26:00+00:00,37.73,37.74,37.73,37.74,558
2026-01-30 11:28:00+00:00,37.47,37.48,37.47,37.48,1720
2026-01-30 11:30:00+00:00,37.29,37.29,37.29,37.29,190
2026-01-30 11:32:00+00:00,37.16,37.17,37.16,37.17,1600
2026-01-30 11:40:00+00:00,36.6,36.6,36.37,36.37,1201
2026-01-30 11:50:00+00:00,37.1,37.1,37.1,37.1,1714
2026-01-30 11:58:00+00:00,37.1,37.1,37.1,37.1,2568
2026-01-30 12:00:00+00:00,37.1,37.1,37.0,37.1,5570
2026-01-30 12:02:00+00:00,38.12,38.69,37.9,37.9,1560
2026-01-30 12:04:00+00:00,38.32,38.98,38.3,38.98,8985
2026-01-30 12:06:00+00:00,38.9,39.12,38.9,38.92,3630
2026-01-30 12:08:00+00:00,38.6,38.87,38.6,38.87,1174
2026-01-30 12:10:00+00:00,38.6,38.939,38.6,38.93,1846
2026-01-30 12:12:00+00:00,39.08,39.08,39.08,39.08,140
2026-01-30 12:14:00+00:00,39.15,39.15,39.15,39.15,484
2026-01-30 12:16:00+00:00,38.5,38.5,38.5,38.5,335
2026-01-30 12:18:00+00:00,38.63,38.63,38.63,38.63,211
2026-01-30 12:22:00+00:00,38.74,38.76,38.74,38.76,1712
2026-01-30 12:24:00+00:00,38.76,38.76,38.76,38.76,661
2026-01-30 12:28:00+00:00,39.5,39.96,39.5,39.5,11725
2026-01-30 12:30:00+00:00,39.445,39.445,39.445,39.445,1278
2026-01-30 12:32:00+00:00,39.45,39.45,39.45,39.45,964
2026-01-30 12:36:00+00:00,39.61,39.7,39.61,39.7,1453
2026-01-30 12:38:00+00:00,39.6,39.6,39.45,39.45,2225
2026-01-30 12:42:00+00:00,39.42,39.43,39.41,39.43,1450
2026-01-30 12:44:00+00:00,39.42,39.42,38.97,38.97,548
2026-01-30 12:46:00+00:00,38.97,38.97,38.97,38.97,4752
2026-01-30 12:50:00+00:00,39.13,39.14,38.5,38.5,633
2026-01-30 12:52:00+00:00,38.58,38.58,38.23,38.23,830
2026-01-30 12:54:00+00:00,38.97,38.98,38.97,38.97,1000
2026-01-30 12:56:00+00:00,38.5,38.5,38.5,38.5,100
2026-01-30 13:00:00+00:00,37.2,39.6,34.99,35.23,81607
2026-01-30 13:02:00+00:00,35.99,38.25,35.99,38.25,2767
2026-01-30 13:10:00+00:00,38.89,38.89,38.89,38.89,110
2026-01-30 13:12:00+00:00,39.28,39.28,39.21,39.21,498
2026-01-30 13:16:00+00:00,38.6,38.6,38.6,38.6,425
2026-01-30 13:18:00+00:00,38.7,38.78,38.46,38.78,763
2026-01-30 13:20:00+00:00,38.7,38.9,38.7,38.9,1460
2026-01-30 13:22:00+00:00,38.96,38.96,38.5,38.84,747
2026-01-30 13:24:00+00:00,39.24,39.24,39.24,39.24,198
2026-01-30 13:28:00+00:00,39.1,39.1,38.13,38.13,1889
2026-01-30 13:30:00+00:00,38.02,38.02,38.0,38.0,1835
2026-01-30 13:32:00+00:00,37.8,37.8,37.8,37.8,1201
2026-01-30 13:34:00+00:00,37.51,37.85,37.51,37.85,10173
2026-01-30 13:36:00+00:00,38.0,38.0,38.0,38.0,241
2026-01-30 13:38:00+00:00,38.13,38.13,37.5,37.75,2337
2026-01-30 13:40:00+00:00,37.3,37.44,37.217,37.217,1837
2026-01-30 13:46:00+00:00,37.74,37.74,37.74,37.74,1213
2026-01-30 13:48:00+00:00,37.38,37.38,37.21,37.26,623
2026-01-30 13:58:00+00:00,37.2,37.2,37.2,37.2,100
2026-01-30 14:04:00+00:00,37.72,37.72,37.72,37.72,175
2026-01-30 14:08:00+00:00,37.75,37.75,37.75,37.75,1020
2026-01-30 14:10:00+00:00,37.75,37.75,37.75,37.75,107
2026-01-30 14:12:00+00:00,37.74,37.75,37.6,37.75,1130
2026-01-30 14:14:00+00:00,37.75,37.75,37.75,37.75,1320
2026-01-30 14:16:00+00:00,37.75,37.75,37.74,37.74,2002
2026-01-30 14:18:00+00:00,37.72,37.73,37.5,37.5,1102
2026-01-30 14:22:00+00:00,37.64,37.64,37.64,37.64,517
2026-01-30 14:24:00+00:00,37.5,37.5,37.5,37.5,796
2026-01-30 14:26:00+00:00,37.24,37.24,37.24,37.24,395
2026-01-30 14:28:00+00:00,37.239,37.25,37.239,37.25,1402
2026-01-30 14:30:00+00:00,38.75,39.0,37.0,38.9949,47539
2026-01-30 14:32:00+00:00,39.6,41.4,39.6,41.4,55494
2026-01-30 14:34:00+00:00,41.99,42.32,41.0,41.7099,26765
2026-01-30 14:36:00+00:00,41.5,41.5494,40.87,41.1653,16212
2026-01-30 14:38:00+00:00,41.41,42.29,41.4,41.77,11311
2026-01-30 14:40:00+00:00,42.16,44.15,42.16,43.34,32687
2026-01-30 14:42:00+00:00,43.33,43.85,43.17,43.82,29941
2026-01-30 14:44:00+00:00,43.69,43.69,42.84,43.2,31159
2026-01-30 14:46:00+00:00,42.8,42.8996,40.83,41.45,21935
2026-01-30 14:48:00+00:00,41.26,41.45,40.4,40.59,15009
2026-01-30 14:50:00+00:00,41.55,42.21,41.55,42.16,2928
2026-01-30 14:52:00+00:00,42.07,42.07,41.0,41.0,32271
2026-01-30 14:54:00+00:00,41.22,41.22,40.59,40.6,5342
2026-01-30 14:56:00+00:00,40.96,41.16,40.5101,40.5101,1928
2026-01-30 14:58:00+00:00,40.63,40.63,39.3901,39.4,10563
2026-01-30 15:00:00+00:00,39.5089,39.8065,39.0,39.8065,6263
2026-01-30 15:02:00+00:00,39.45,39.7,38.56,38.6688,8779
2026-01-30 15:04:00+00:00,39.1831,39.2899,38.78,39.16,2745
2026-01-30 15:06:00+00:00,39.53,39.76,39.22,39.22,48383
2026-01-30 15:08:00+00:00,39.1881,39.1881,39.02,39.14,11019
2026-01-30 15:10:00+00:00,39.15,39.17,38.0,38.37,5593
2026-01-30 15:12:00+00:00,38.0,38.0,37.19,37.19,35081
2026-01-30 15:14:00+00:00,37.0,37.0,36.0,36.01,23366
2026-01-30 15:16:00+00:00,36.0,36.93,36.0,36.9,43947
2026-01-30 15:18:00+00:00,37.66,38.87,37.66,38.87,82352
2026-01-30 15:20:00+00:00,38.8,39.02,38.0,38.0,18314
2026-01-30 15:22:00+00:00,37.5,37.52,37.2,37.2,2464
2026-01-30 15:24:00+00:00,37.0001,37.22,36.76,36.76,4027
2026-01-30 15:26:00+00:00,36.8297,37.18,36.44,37.18,19196
2026-01-30 15:28:00+00:00,37.17,37.22,37.17,37.22,3057
2026-01-30 15:30:00+00:00,37.185,37.185,36.4425,36.55,6943
2026-01-30 15:34:00+00:00,36.5,36.7,36.0,36.4,8777
2026-01-30 15:36:00+00:00,36.95,36.95,36.59,36.59,3076
2026-01-30 15:38:00+00:00,37.13,37.3,37.13,37.3,1077
2026-01-30 15:40:00+00:00,37.42,38.4899,37.42,37.802,3507
2026-01-30 15:42:00+00:00,38.0,38.0,37.65,37.65,1719
2026-01-30 15:44:00+00:00,37.86,37.86,37.66,37.66,3291
2026-01-30 15:46:00+00:00,38.045,38.23,38.01,38.15,4865
2026-01-30 15:48:00+00:00,38.15,38.15,37.7,37.8,2430
2026-01-30 15:50:00+00:00,37.77,37.77,37.77,37.77,224
2026-01-30 15:52:00+00:00,38.14,38.14,37.8,37.8,1570
2026-01-30 15:54:00+00:00,37.8488,37.8488,37.8488,37.8488,267
2026-01-30 15:56:00+00:00,37.6,37.6,36.8,36.885,3122
2026-01-30 15:58:00+00:00,36.86,37.0047,36.86,37.0047,390
2026-01-30 16:00:00+00:00,36.81,36.81,36.8,36.8,854
2026-01-30 16:02:00+00:00,36.945,36.945,36.945,36.945,623
2026-01-30 16:04:00+00:00,37.2735,37.2735,37.2,37.2,1028
2026-01-30 16:06:00+00:00,36.94,37.39,36.58,37.35,32719
2026-01-30 16:08:00+00:00,37.1789,37.1789,37.0,37.0,439
2026-01-30 16:10:00+00:00,37.2,37.43,37.2,37.42,1162
2026-01-30 16:14:00+00:00,37.44,37.68,37.44,37.68,5018
2026-01-30 16:16:00+00:00,37.31,37.33,37.31,37.33,338
2026-01-30 16:18:00+00:00,37.145,37.145,36.45,36.451,91622
2026-01-30 16:20:00+00:00,36.45,36.5,36.1,36.1,26025
2026-01-30 16:22:00+00:00,36.15,36.31,36.04,36.31,3091
2026-01-30 16:24:00+00:00,36.31,36.4,36.17,36.2239,1929
2026-01-30 16:26:00+00:00,36.6,36.76,36.56,36.65,2316
2026-01-30 16:28:00+00:00,36.5,36.57,36.5,36.57,489
2026-01-30 16:32:00+00:00,36.9,37.0,36.86,37.0,1068
2026-01-30 16:34:00+00:00,37.0,37.0,37.0,37.0,102
2026-01-30 16:36:00+00:00,36.98,37.175,36.98,37.175,407
2026-01-30 16:38:00+00:00,37.32,37.47,37.3,37.47,866
2026-01-30 16:40:00+00:00,37.5,37.88,37.5,37.88,774
2026-01-30 16:44:00+00:00,37.8468,37.8468,37.8468,37.8468,120
2026-01-30 16:46:00+00:00,37.1,37.1,36.76,36.76,584
