Datetime,Open,High,Low,Close,Volume
2025-09-02 09:48:00+00:00,4.51,4.51,4.51,4.51,150
2025-09-02 11:00:00+00:00,4.58,5.56,4.58,5.5,56303
2025-09-02 11:02:00+00:00,5.5,5.67,5.31,5.5,37076
2025-09-02 11:04:00+00:00,5.46,5.53,5.4,5.5,20513
2025-09-02 11:06:00+00:00,5.5,5.65,5.5,5.53,22987
2025-09-02 11:08:00+00:00,5.51,5.79,5.51,5.59,50641
2025-09-02 11:10:00+00:00,5.54,5.56,5.5,5.51,58322
2025-09-02 11:12:00+00:00,5.51,5.55,5.5,5.5,24449
2025-09-02 11:14:00+00:00,5.51,5.54,5.47,5.5,7189
2025-09-02 11:16:00+00:00,5.5,5.6,5.49,5.6,65367
2025-09-02 11:18:00+00:00,5.58,5.64,5.58,5.64,11371
2025-09-02 11:20:00+00:00,5.64,5.79,5.64,5.7,22432
2025-09-02 11:22:00+00:00,5.72,5.89,5.6,5.7,72665
2025-09-02 11:24:00+00:00,5.67,5.99,5.66,5.9,46658
2025-09-02 11:26:00+00:00,5.9,6.08,5.9,6.0,142185
2025-09-02 11:28:00+00:00,6.0,6.1,5.95,6.05,112160
2025-09-02 11:30:00+00:00,6.03,6.06,5.97,5.98,32441
2025-09-02 11:32:00+00:00,5.97,6.14,5.97,6.04,46583
2025-09-02 11:34:00+00:00,6.04,6.06,6.0,6.04,29873
2025-09-02 11:36:00+00:00,6.03,6.13,6.01,6.1,41023
2025-09-02 11:38:00+00:00,6.11,6.12,6.09,6.1,23102
2025-09-02 11:40:00+00:00,6.1,6.3,6.09,6.25,42473
2025-09-02 11:42:00+00:00,6.24,6.5,6.22,6.43,131600
2025-09-02 11:44:00+00:00,6.43,6.63,6.23,6.44,126982
2025-09-02 11:46:00+00:00,6.44,6.48,6.0,6.03,82786
2025-09-02 11:48:00+00:00,6.05,6.3,6.03,6.11,57768
2025-09-02 11:50:00+00:00,6.15,6.21,6.01,6.055,26171
2025-09-02 11:52:00+00:00,6.05,6.13,5.91,6.06,54643
2025-09-02 11:54:00+00:00,6.06,6.08,5.99,6.045,31617
2025-09-02 11:56:00+00:00,6.04,6.04,5.85,5.92,19584
2025-09-02 11:58:00+00:00,5.91,6.03,5.88,6.03,65403
2025-09-02 12:00:00+00:00,4.75,6.65,4.56,6.06,578044
2025-09-02 12:02:00+00:00,6.4301,6.4503,6.0,6.02,87739
2025-09-02 12:04:00+00:00,6.02,6.03,6.0,6.01,97570
2025-09-02 12:06:00+00:00,6.0001,6.0601,6.0,6.0,302682
2025-09-02 12:08:00+00:00,6.0,6.0891,5.911,6.0,233916
2025-09-02 12:10:00+00:00,6.088,6.09,6.05,6.05,48264
2025-09-02 12:12:00+00:00,6.06,6.11,6.05,6.1,196531
2025-09-02 12:14:00+00:00,6.105,6.16,6.1,6.155,74515
2025-09-02 12:16:00+00:00,6.16,6.2,6.155,6.17,185087
2025-09-02 12:18:00+00:00,6.17,6.2199,6.0,6.03,148167
2025-09-02 12:20:00+00:00,6.02,6.04,5.99,6.02,170628
2025-09-02 12:22:00+00:00,6.02,6.03,6.01,6.02,26265
2025-09-02 12:24:00+00:00,6.02,6.06,6.02,6.04,35612
2025-09-02 12:26:00+00:00,6.04,6.07,6.04,6.05,112613
2025-09-02 12:28:00+00:00,6.05,6.21,6.05,6.19,202385
2025-09-02 12:30:00+00:00,6.19,6.34,6.1,6.24,146200
2025-09-02 12:32:00+00:00,6.2378,6.31,6.2,6.26,97786
2025-09-02 12:34:00+00:00,6.25,6.29,6.18,6.24,141860
2025-09-02 12:36:00+00:00,6.24,6.29,6.23,6.23,75139
2025-09-02 12:38:00+00:00,6.23,6.251,6.21,6.23,62783
2025-09-02 12:40:00+00:00,6.22,6.3202,6.21,6.25,74849
2025-09-02 12:42:00+00:00,6.25,6.27,6.25,6.25,38972
