Datetime,Open,High,Low,Close,Volume
2025-02-05 12:00:00+00:00,7.48,7.48,7.48,7.48,120
2025-02-05 12:14:00+00:00,7.5,7.54,7.5,7.54,502
2025-02-05 13:00:00+00:00,7.9,8.0,7.37,7.85,6511
2025-02-05 13:02:00+00:00,7.8155,7.82,7.81,7.81,595
2025-02-05 13:04:00+00:00,7.819,7.82,7.819,7.82,208
2025-02-05 13:06:00+00:00,7.81,8.0,7.56,7.56,5723
2025-02-05 13:08:00+00:00,7.99,8.1216,7.93,8.0,1772
2025-02-05 13:10:00+00:00,8.14,8.14,7.93,8.01,1402
2025-02-05 13:12:00+00:00,8.08,8.24,8.08,8.15,1744
2025-02-05 13:14:00+00:00,8.14,8.233,7.99,8.233,4542
2025-02-05 13:16:00+00:00,7.99,7.99,7.93,7.93,766
2025-02-05 13:18:00+00:00,8.0,8.0,7.79,7.79,1215
2025-02-05 13:20:00+00:00,8.0,8.0,7.8,7.8,1342
2025-02-05 13:22:00+00:00,8.0,8.0,7.74,8.0,1722
2025-02-05 13:24:00+00:00,7.99,7.99,7.79,7.79,724
2025-02-05 13:26:00+00:00,8.0,8.04,7.99,8.04,5536
2025-02-05 13:28:00+00:00,8.09,8.3,7.95,8.27,8499
2025-02-05 13:30:00+00:00,8.4,8.46,8.1272,8.4,4400
2025-02-05 13:32:00+00:00,8.2,8.39,8.0,8.19,6963
2025-02-05 13:34:00+00:00,8.34,8.34,8.0,8.0,2720
2025-02-05 13:36:00+00:00,8.0,8.2964,8.0,8.2964,1613
2025-02-05 13:38:00+00:00,8.0,8.24,7.99,8.24,927
2025-02-05 13:42:00+00:00,8.19,8.19,8.19,8.19,685
2025-02-05 13:44:00+00:00,8.0,8.0,8.0,8.0,301
2025-02-05 13:46:00+00:00,8.23,8.23,8.23,8.23,141
2025-02-05 13:48:00+00:00,8.1775,8.1775,8.1775,8.1775,311
2025-02-05 13:50:00+00:00,8.1679,8.1679,8.1679,8.1679,414
2025-02-05 13:52:00+00:00,8.1,8.1,8.1,8.1,337
2025-02-05 13:54:00+00:00,8.162,8.162,8.162,8.162,111
2025-02-05 13:56:00+00:00,8.1,8.15,7.89,8.0963,3224
2025-02-05 13:58:00+00:00,8.07,8.07,7.99,7.99,694
2025-02-05 14:00:00+00:00,8.15,8.15,7.98,8.0,1564
2025-02-05 14:02:00+00:00,8.0,8.3,7.96,8.1668,12431
2025-02-05 14:04:00+00:00,8.17,8.17,8.17,8.17,157
2025-02-05 14:08:00+00:00,8.06,8.37,8.06,8.37,2448
2025-02-05 14:10:00+00:00,8.01,8.49,8.01,8.17,5379
2025-02-05 14:12:00+00:00,8.12,8.33,8.0,8.2,3381
2025-02-05 14:14:00+00:00,8.36,8.36,7.99,8.26,2254
2025-02-05 14:16:00+00:00,8.25,8.25,8.25,8.25,106
2025-02-05 14:18:00+00:00,8.0,8.24,7.98,8.23,3164
2025-02-05 14:22:00+00:00,8.06,8.2146,7.99,8.2146,589
2025-02-05 14:24:00+00:00,8.21,8.21,8.21,8.21,300
2025-02-05 14:26:00+00:00,8.2,8.22,8.01,8.2,4301
2025-02-05 14:28:00+00:00,8.12,8.13,8.01,8.01,1261
2025-02-05 14:30:00+00:00,8.2,8.2,7.89,8.0,18605
2025-02-05 14:32:00+00:00,8.0,8.08,7.75,7.75,5166
2025-02-05 14:34:00+00:00,7.8,8.01,7.75,8.0051,13511
2025-02-05 14:36:00+00:00,7.95,8.0077,7.77,7.7797,9961
2025-02-05 14:38:00+00:00,7.9289,7.9289,7.4507,7.5871,19321
2025-02-05 14:40:00+00:00,7.599,7.84,7.46,7.46,12761
2025-02-05 14:42:00+00:00,7.46,7.51,7.45,7.51,7297
2025-02-05 14:44:00+00:00,7.6,7.78,7.6,7.66,3480
2025-02-05 14:46:00+00:00,7.7,7.7214,7.66,7.695,5887
2025-02-05 14:48:00+00:00,7.695,7.7599,7.59,7.68,11197
2025-02-05 14:50:00+00:00,7.658,7.6633,7.45,7.6,11925
2025-02-05 14:52:00+00:00,7.6125,7.6125,7.49,7.49,1306
2025-02-05 14:54:00+00:00,7.45,7.4912,7.45,7.4912,504
2025-02-05 14:56:00+00:00,7.45,7.4501,7.4,7.4,1102
2025-02-05 14:58:00+00:00,7.4817,7.4817,7.25,7.25,9637
2025-02-05 15:00:00+00:00,7.2101,7.7,7.21,7.43,4119
2025-02-05 15:02:00+00:00,7.32,7.59,7.32,7.59,896
2025-02-05 15:04:00+00:00,7.3,7.39,7.29,7.335,3790
2025-02-05 15:06:00+00:00,7.3,7.3299,7.3,7.3019,822
2025-02-05 15:08:00+00:00,7.29,7.32,7.27,7.27,1795
2025-02-05 15:10:00+00:00,7.3592,7.3592,7.29,7.29,2198
2025-02-05 15:12:00+00:00,7.3212,7.3212,7.27,7.27,851
2025-02-05 15:18:00+00:00,7.3492,7.3492,7.29,7.29,518
2025-02-05 15:20:00+00:00,7.3,7.3,7.3,7.3,160
2025-02-05 15:22:00+00:00,7.25,7.25,7.21,7.21,1158
2025-02-05 15:24:00+00:00,7.25,7.25,7.2287,7.2287,1109
2025-02-05 15:26:00+00:00,7.28,7.28,7.24,7.24,1790
2025-02-05 15:28:00+00:00,7.21,7.2492,7.21,7.21,3754
2025-02-05 15:30:00+00:00,7.21,7.21,7.21,7.21,204
2025-02-05 15:32:00+00:00,7.1979,7.2,7.1979,7.2,318
2025-02-05 15:34:00+00:00,7.25,7.25,7.05,7.05,5581
2025-02-05 15:36:00+00:00,7.05,7.1241,6.91,7.0924,13196
2025-02-05 15:38:00+00:00,6.9798,6.9798,6.9798,6.9798,406
2025-02-05 15:40:00+00:00,7.1459,7.1484,7.1459,7.1484,449
2025-02-05 15:42:00+00:00,7.0,7.0,6.9901,6.9901,1510
2025-02-05 15:44:00+00:00,7.0236,7.061,7.0236,7.061,709
2025-02-05 15:46:00+00:00,7.1,7.29,7.072,7.268,26400
2025-02-05 15:48:00+00:00,7.27,7.27,7.27,7.27,1132
2025-02-05 15:52:00+00:00,7.195,7.35,7.1,7.34,7383
2025-02-05 15:54:00+00:00,7.35,7.511,7.01,7.33,28496
2025-02-05 15:56:00+00:00,7.4825,7.4825,7.4825,7.4825,154
2025-02-05 15:58:00+00:00,7.33,7.33,7.33,7.33,200
2025-02-05 16:00:00+00:00,7.4827,7.4827,7.11,7.11,578
2025-02-05 16:02:00+00:00,7.12,7.12,7.12,7.12,268
2025-02-05 16:04:00+00:00,7.5873,7.5873,7.1433,7.1433,1626
