Datetime,Open,High,Low,Close,Volume
2025-02-07 12:54:00+00:00,3.65,3.65,3.65,3.65,200
2025-02-07 14:26:00+00:00,3.97,3.97,3.97,3.97,100
2025-02-07 14:28:00+00:00,3.95,3.95,3.95,3.95,124
2025-02-07 14:30:00+00:00,3.95,3.95,3.95,3.95,523
2025-02-07 14:32:00+00:00,3.93,3.93,3.93,3.93,2548
2025-02-07 14:36:00+00:00,4.0,4.0,4.0,4.0,201
2025-02-07 15:22:00+00:00,3.95,3.95,3.95,3.95,120
2025-02-07 15:32:00+00:00,3.968,3.968,3.968,3.968,100
2025-02-07 16:02:00+00:00,3.915,3.915,3.9,3.9,417
2025-02-07 16:08:00+00:00,3.91,3.91,3.91,3.91,398
2025-02-07 16:12:00+00:00,3.905,3.905,3.905,3.905,150
2025-02-07 16:22:00+00:00,3.93,3.93,3.9299,3.9299,267
2025-02-07 16:40:00+00:00,3.909,3.909,3.909,3.909,250
2025-02-07 17:32:00+00:00,3.8076,3.8076,3.8076,3.8076,725
2025-02-07 18:04:00+00:00,3.855,3.855,3.855,3.855,251
2025-02-07 18:22:00+00:00,3.8334,3.8334,3.8334,3.8334,100
2025-02-07 19:26:00+00:00,3.86,3.87,3.86,3.87,400
2025-02-07 20:06:00+00:00,3.9775,3.9775,3.9775,3.9775,156
2025-02-07 20:58:00+00:00,3.96,3.96,3.96,3.96,185
2025-03-18 08:00:00+00:00,3.44,3.44,3.44,3.44,2048
2025-03-18 08:18:00+00:00,3.63,3.63,3.63,3.63,162
2025-03-18 08:26:00+00:00,3.71,3.71,3.71,3.71,104
2025-03-18 08:28:00+00:00,3.54,3.54,3.54,3.54,101
2025-03-18 10:14:00+00:00,3.51,3.51,3.5,3.5,2000
2025-03-18 11:56:00+00:00,3.64,3.64,3.64,3.64,300
2025-03-18 12:00:00+00:00,3.64,3.64,3.64,3.64,500
2025-03-18 12:02:00+00:00,3.64,3.64,3.64,3.64,360
2025-03-18 12:04:00+00:00,3.65,3.66,3.65,3.66,1200
2025-03-18 12:06:00+00:00,3.66,3.66,3.64,3.64,971
2025-03-18 12:10:00+00:00,3.61,3.61,3.61,3.61,200
2025-03-18 12:26:00+00:00,3.62,3.62,3.62,3.62,110
2025-03-18 12:34:00+00:00,3.55,3.55,3.55,3.55,200
2025-03-18 12:52:00+00:00,3.55,3.55,3.55,3.55,140
2025-03-18 13:18:00+00:00,3.73,3.74,3.73,3.74,470
2025-03-18 13:20:00+00:00,3.74,3.74,3.74,3.74,938
2025-03-18 13:22:00+00:00,3.77,3.77,3.74,3.74,542
2025-03-18 13:36:00+00:00,3.8188,3.8188,3.8188,3.8188,300
2025-03-18 13:38:00+00:00,3.7351,3.7351,3.7351,3.7351,120
2025-03-18 13:40:00+00:00,3.67,3.67,3.67,3.67,200
2025-03-18 13:54:00+00:00,3.75,3.755,3.71,3.755,2192
2025-03-18 13:56:00+00:00,3.69,3.8,3.67,3.8,908
2025-03-18 13:58:00+00:00,3.8,3.8,3.8,3.8,195
2025-03-18 14:06:00+00:00,3.7825,3.7825,3.7395,3.7395,239
2025-03-18 14:12:00+00:00,3.7,3.7,3.7,3.7,100
2025-03-18 14:20:00+00:00,3.78,3.78,3.78,3.78,254
2025-03-18 14:24:00+00:00,3.7,3.7,3.6987,3.6987,501
2025-03-18 14:42:00+00:00,3.73,3.73,3.73,3.73,150
2025-03-18 14:48:00+00:00,3.7748,3.7748,3.7748,3.7748,2017
2025-03-18 15:00:00+00:00,3.78,3.78,3.78,3.78,287
2025-03-18 15:02:00+00:00,3.73,3.73,3.73,3.73,232
2025-03-18 15:06:00+00:00,3.74,3.74,3.74,3.74,600
2025-03-18 15:10:00+00:00,3.73,3.73,3.73,3.73,132
2025-03-18 15:16:00+00:00,3.73,3.73,3.72,3.72,965
2025-03-18 15:20:00+00:00,3.67,3.67,3.67,3.67,200
2025-03-18 15:22:00+00:00,3.7,3.7,3.7,3.7,567
2025-03-18 15:30:00+00:00,3.74,3.74,3.74,3.74,112
2025-03-18 15:38:00+00:00,3.79,3.8,3.79,3.8,250
2025-03-18 15:44:00+00:00,3.7892,3.7892,3.73,3.73,832
2025-03-18 17:46:00+00:00,3.68,3.68,3.68,3.68,103
2025-03-18 18:10:00+00:00,3.6518,3.6518,3.6518,3.6518,703
2025-03-18 18:26:00+00:00,3.65,3.69,3.65,3.69,1847
2025-03-18 19:32:00+00:00,3.74,3.87,3.74,3.87,6394
2025-03-18 19:48:00+00:00,3.9292,3.9292,3.9292,3.9292,500
2025-03-18 19:52:00+00:00,3.97,3.97,3.97,3.97,375
2025-03-18 21:48:00+00:00,4.16,4.16,4.16,4.16,117
2025-07-03 15:08:00+00:00,5.3177,5.3177,5.3177,5.3177,200
2025-07-03 15:40:00+00:00,5.2204,5.2204,5.2204,5.2204,190
2025-07-03 15:46:00+00:00,4.87,4.87,4.87,4.87,100
2025-07-08 08:00:00+00:00,5.11,5.11,5.11,5.11,998
2025-07-08 12:02:00+00:00,5.24,5.25,5.24,5.25,700
2025-07-08 12:42:00+00:00,5.42,5.42,5.42,5.42,500
2025-07-08 13:02:00+00:00,5.4,5.4,5.4,5.4,2200
2025-07-08 13:30:00+00:00,5.52,5.52,5.46,5.46,1774
2025-07-08 13:32:00+00:00,5.49,5.5299,5.49,5.5299,425
2025-07-08 13:40:00+00:00,5.4731,5.4731,5.47,5.47,429
2025-07-08 13:42:00+00:00,5.4218,5.4218,5.4218,5.4218,2021
2025-07-08 13:50:00+00:00,5.4565,5.46,5.4565,5.46,572
2025-07-08 13:52:00+00:00,5.425,5.425,5.425,5.425,100
2025-07-08 13:54:00+00:00,5.44,5.44,5.44,5.44,901
2025-07-08 13:58:00+00:00,5.4698,5.4698,5.4698,5.4698,100
2025-07-08 14:00:00+00:00,5.49,5.49,5.49,5.49,303
2025-07-08 14:08:00+00:00,5.4463,5.48,5.4463,5.48,1010
2025-07-08 14:14:00+00:00,5.4215,5.4215,5.4215,5.4215,301
2025-07-08 14:30:00+00:00,5.45,5.45,5.45,5.45,161
2025-07-08 14:34:00+00:00,5.39,5.39,5.39,5.39,100
2025-07-08 14:38:00+00:00,5.385,5.39,5.385,5.39,407
2025-07-08 14:46:00+00:00,5.3982,5.3982,5.3982,5.3982,427
2025-07-08 14:48:00+00:00,5.39,5.39,5.39,5.39,1416
2025-07-08 15:04:00+00:00,5.48,5.4899,5.48,5.4899,555
2025-07-08 15:08:00+00:00,5.4338,5.4338,5.4338,5.4338,555
2025-07-08 15:22:00+00:00,5.49,5.49,5.49,5.49,172
2025-07-08 15:24:00+00:00,5.48,5.48,5.48,5.48,184
2025-07-08 15:34:00+00:00,5.02,5.02,5.02,5.02,200
2025-07-08 15:40:00+00:00,5.02,5.02,5.02,5.02,184
2025-07-08 17:14:00+00:00,5.25,5.25,5.25,5.25,101
2025-07-08 18:24:00+00:00,5.09,5.09,5.09,5.09,458
2025-07-08 18:28:00+00:00,5.2716,5.2716,5.2716,5.2716,185
2025-07-08 18:36:00+00:00,5.265,5.265,5.0801,5.0801,458
2025-07-08 18:56:00+00:00,5.275,5.275,5.275,5.275,197
2025-07-08 19:42:00+00:00,5.4304,5.4304,5.4304,5.4304,350
2025-07-08 22:24:00+00:00,5.55,5.55,5.5,5.5,800
2025-09-18 08:00:00+00:00,15.01,15.01,12.7,12.7,12779
2025-09-18 08:02:00+00:00,12.81,12.81,12.54,12.8,9525
2025-09-18 08:04:00+00:00,12.8,12.96,12.76,12.87,3984
2025-09-18 08:06:00+00:00,13.23,13.44,13.19,13.44,4423
2025-09-18 08:08:00+00:00,13.15,13.2,12.85,12.96,2934
2025-09-18 08:10:00+00:00,12.97,13.2,12.97,13.2,818
2025-09-18 08:12:00+00:00,12.81,12.81,12.58,12.58,2208
2025-09-18 08:14:00+00:00,12.54,12.6,12.39,12.6,4165
2025-09-18 08:16:00+00:00,12.6,12.6,12.45,12.45,552
2025-09-18 08:24:00+00:00,12.74,12.78,12.74,12.75,1123
2025-09-18 08:30:00+00:00,12.63,12.78,12.63,12.78,2459
2025-09-18 08:32:00+00:00,12.65,12.65,12.65,12.65,326
2025-09-18 08:36:00+00:00,12.64,12.64,12.64,12.64,374
2025-09-18 08:38:00+00:00,12.65,12.65,12.65,12.65,256
2025-09-18 08:40:00+00:00,12.49,12.49,12.48,12.48,619
2025-09-18 08:50:00+00:00,12.62,12.78,12.59,12.78,1643
2025-09-18 08:52:00+00:00,12.76,12.76,12.76,12.76,256
2025-09-18 08:56:00+00:00,12.72,12.75,12.54,12.54,2326
2025-09-18 09:02:00+00:00,12.64,12.64,12.64,12.64,949
2025-09-18 09:04:00+00:00,12.64,12.64,12.64,12.64,306
2025-09-18 09:06:00+00:00,12.61,12.61,12.61,12.61,242
2025-09-18 09:08:00+00:00,12.52,12.52,12.5,12.5,347
2025-09-18 09:10:00+00:00,12.45,12.45,12.45,12.45,239
2025-09-18 09:12:00+00:00,12.45,12.45,12.45,12.45,695
2025-09-18 09:20:00+00:00,12.51,12.51,12.33,12.33,677
2025-09-18 09:24:00+00:00,12.65,12.65,12.65,12.65,104
2025-09-18 09:42:00+00:00,12.57,12.57,12.57,12.57,139
2025-09-18 09:44:00+00:00,12.61,12.61,12.61,12.61,487
2025-09-18 09:58:00+00:00,12.61,12.61,12.61,12.61,267
2025-09-18 10:00:00+00:00,12.78,12.78,12.78,12.78,200
2025-09-18 10:04:00+00:00,12.59,12.59,12.59,12.59,148
2025-09-18 10:06:00+00:00,12.77,12.78,12.77,12.78,296
2025-09-18 10:10:00+00:00,12.78,12.78,12.78,12.78,284
2025-09-18 10:12:00+00:00,12.75,12.75,12.75,12.75,130
2025-09-18 10:28:00+00:00,12.61,12.61,12.61,12.61,1107
2025-09-18 10:36:00+00:00,12.47,12.47,12.47,12.47,540
2025-09-18 10:38:00+00:00,12.52,12.52,12.52,12.52,1404
2025-09-18 10:48:00+00:00,12.33,12.33,12.33,12.33,739
2025-09-18 10:50:00+00:00,12.2,12.2,12.2,12.2,225
2025-09-18 10:54:00+00:00,12.08,12.1,11.93,12.0,2457
2025-09-18 10:56:00+00:00,11.86,11.99,11.86,11.99,2179
2025-09-18 10:58:00+00:00,11.99,12.0,11.99,12.0,963
2025-09-18 11:00:00+00:00,12.4,12.4,12.4,12.4,1546
2025-09-18 11:02:00+00:00,12.4,12.4,12.4,12.4,336
2025-09-18 11:04:00+00:00,12.25,12.4,12.2,12.2,1506
2025-09-18 11:06:00+00:00,12.4,12.4,12.38,12.4,1129
2025-09-18 11:08:00+00:00,12.38,12.4,12.38,12.4,943
2025-09-18 11:10:00+00:00,12.41,12.41,12.41,12.41,1002
2025-09-18 11:14:00+00:00,12.26,12.47,12.26,12.47,961
2025-09-18 11:16:00+00:00,12.49,12.49,12.49,12.49,505
2025-09-18 11:22:00+00:00,12.3,12.3,12.3,12.3,1200
2025-09-18 11:24:00+00:00,12.3,12.3,12.3,12.3,650
2025-09-18 11:26:00+00:00,12.3,12.3,12.3,12.3,101
2025-09-18 11:28:00+00:00,12.39,12.7,12.39,12.7,462
2025-09-18 11:30:00+00:00,12.25,12.25,12.23,12.23,1839
2025-09-18 11:32:00+00:00,12.25,12.25,12.25,12.25,1055
2025-09-18 11:34:00+00:00,12.21,12.21,12.18,12.18,1366
2025-09-18 11:36:00+00:00,12.25,12.98,12.25,12.98,997
2025-09-18 11:38:00+00:00,12.49,12.49,12.49,12.49,100
2025-09-18 11:40:00+00:00,12.21,12.21,12.21,12.21,150
2025-09-18 11:44:00+00:00,12.49,12.49,12.45,12.45,619
2025-09-18 11:46:00+00:00,12.45,12.45,12.45,12.45,513
2025-09-18 11:54:00+00:00,12.45,12.5,12.45,12.5,2319
2025-09-18 11:58:00+00:00,12.71,12.71,12.71,12.71,490
2025-09-18 12:00:00+00:00,12.35,14.8,11.95,12.68,33455
2025-09-18 12:02:00+00:00,12.59,12.59,12.5,12.5,1466
2025-09-18 12:04:00+00:00,12.5,12.5,12.27,12.27,940
2025-09-18 12:06:00+00:00,12.3,12.3,12.2,12.2,435
2025-09-18 12:12:00+00:00,12.5499,12.5499,12.24,12.24,1161
2025-09-18 12:16:00+00:00,12.21,12.21,12.21,12.21,599
2025-09-18 12:18:00+00:00,12.23,12.23,12.23,12.23,464
2025-09-18 12:24:00+00:00,12.41,12.41,12.41,12.41,235
2025-09-18 12:26:00+00:00,12.52,12.52,12.49,12.49,414
2025-09-18 12:28:00+00:00,12.49,12.49,12.49,12.49,700
2025-09-18 12:30:00+00:00,12.49,12.49,12.32,12.32,983
2025-09-18 12:40:00+00:00,12.2,12.2,12.2,12.2,193
2025-09-18 12:46:00+00:00,12.2,12.4584,12.2,12.4584,626
2025-09-18 12:48:00+00:00,12.14,12.14,12.14,12.14,151
2025-09-18 12:50:00+00:00,12.3,12.3,12.13,12.13,1282
2025-09-18 12:56:00+00:00,12.22,12.45,12.22,12.27,1535
2025-09-18 13:00:00+00:00,12.16,12.37,12.16,12.37,233
2025-09-18 13:08:00+00:00,12.16,12.16,12.16,12.16,148
2025-09-18 13:12:00+00:00,12.1805,12.1805,12.1805,12.1805,225
2025-09-18 13:18:00+00:00,12.27,12.27,12.27,12.27,229
2025-09-18 13:20:00+00:00,12.35,12.35,12.35,12.35,100
2025-09-18 13:22:00+00:00,12.35,12.35,12.35,12.35,1002
2025-09-18 13:24:00+00:00,12.45,12.45,12.45,12.45,648
2025-09-18 13:26:00+00:00,12.32,12.33,12.31,12.31,1013
2025-09-18 13:28:00+00:00,12.47,12.5,12.35,12.5,1543
2025-09-18 13:30:00+00:00,12.55,12.7071,12.33,12.33,13586
2025-09-18 13:32:00+00:00,12.3981,12.61,12.3981,12.4219,4981
2025-09-18 13:34:00+00:00,12.5,12.5,12.4,12.4,2706
2025-09-18 13:36:00+00:00,12.4495,12.4495,12.3,12.3,2078
2025-09-18 13:38:00+00:00,12.28,12.365,12.22,12.365,3042
2025-09-18 13:40:00+00:00,12.2401,12.2574,12.12,12.12,4091
2025-09-18 13:42:00+00:00,12.04,12.12,11.78,11.79,6068
2025-09-18 13:44:00+00:00,11.77,11.79,11.67,11.78,4273
2025-09-18 13:46:00+00:00,11.815,11.815,11.815,11.815,138
2025-09-18 13:48:00+00:00,11.81,11.81,11.6178,11.723,3954
2025-09-18 13:50:00+00:00,11.76,11.92,11.76,11.855,1527
2025-09-18 13:52:00+00:00,11.8812,12.27,11.8812,12.015,6496
2025-09-18 13:56:00+00:00,12.14,12.23,12.14,12.2,8325
2025-09-18 13:58:00+00:00,11.91,11.91,11.9,11.9,643
2025-09-18 14:04:00+00:00,12.0523,12.23,12.0523,12.2,4736
