Datetime,Open,High,Low,Close,Volume
2025-06-11 12:00:00+00:00,2.15,2.15,2.0005,2.0005,1200.0
2025-06-11 12:22:00+00:00,2.0005,2.0005,2.0005,2.0005,200.0
2025-06-11 13:18:00+00:00,2.25,2.25,2.25,2.25,100.0
2025-06-11 13:20:00+00:00,2.146,2.146,2.146,2.146,20.0
2025-06-11 13:30:00+00:00,2.3,2.3,2.1255,2.1255,220.8
2025-06-11 13:32:00+00:00,2.16,2.25,2.16,2.25,820.0
2025-06-11 13:34:00+00:00,2.15,2.15,2.15,2.15,80.0
2025-06-11 13:36:00+00:00,2.104,2.104,2.104,2.104,40.0
2025-06-11 13:40:00+00:00,2.25,2.25,2.25,2.25,20.4
2025-06-11 13:42:00+00:00,2.2,2.2,2.2,2.2,40.0
2025-06-11 13:48:00+00:00,2.15,2.15,2.15,2.15,40.0
2025-06-11 13:52:00+00:00,2.1005,2.1005,2.1005,2.1005,102.4
2025-06-11 13:58:00+00:00,2.2,2.2,2.1005,2.1005,290.2
2025-06-11 14:06:00+00:00,2.1,2.1,2.1,2.1,20.0
2025-06-11 14:10:00+00:00,2.198,2.198,2.198,2.198,140.8
2025-06-11 14:12:00+00:00,2.1395,2.1395,2.07,2.07,100.0
2025-06-11 14:14:00+00:00,2.1395,2.1395,2.1395,2.1395,80.0
2025-06-11 14:20:00+00:00,2.07,2.07,2.07,2.07,305.8
2025-06-11 14:22:00+00:00,2.07,2.07,2.07,2.07,100.0
2025-06-11 14:32:00+00:00,2.0005,2.0005,2.0005,2.0005,20.0
2025-06-11 14:48:00+00:00,2.07,2.07,2.0005,2.0005,161.6
2025-06-11 14:54:00+00:00,2.07,2.07,2.07,2.07,41.8
2025-06-11 15:14:00+00:00,2.07,2.07,2.07,2.07,199.0
2025-06-11 15:16:00+00:00,2.07,2.07,2.07,2.07,270.4
2025-06-11 15:20:00+00:00,2.098,2.098,2.098,2.098,200.0
2025-06-11 16:04:00+00:00,2.025,2.05,2.025,2.05,204.2
2025-06-11 16:26:00+00:00,2.095,2.095,2.095,2.095,20.0
2025-06-11 16:28:00+00:00,2.095,2.095,2.095,2.095,20.0
2025-06-11 17:56:00+00:00,2.005,2.005,2.005,2.005,20.0
2025-06-11 18:12:00+00:00,2.05,2.05,2.05,2.05,100.0
2025-06-11 18:14:00+00:00,2.005,2.005,2.005,2.005,160.0
2025-06-11 18:18:00+00:00,2.005,2.005,2.005,2.005,20.0
2025-06-11 18:24:00+00:00,2.005,2.005,2.005,2.005,20.0
2025-06-11 18:48:00+00:00,2.005,2.005,2.005,2.005,50.0
2025-06-11 18:50:00+00:00,2.005,2.005,2.005,2.005,20.0
2025-06-11 19:40:00+00:00,2.01,2.0105,2.01,2.0105,220.0
2025-06-11 19:50:00+00:00,2.005,2.043,2.0,2.043,2233.4
2025-06-11 19:58:00+00:00,2.0475,2.0475,2.0,2.0,163.2
2025-06-11 21:28:00+00:00,2.095,2.095,2.095,2.095,60.0
2025-06-16 13:06:00+00:00,1.68,1.68,1.68,1.68,100.0
2025-06-16 13:08:00+00:00,1.68,1.68,1.68,1.68,740.0
2025-06-16 13:16:00+00:00,1.98,1.98,1.98,1.98,100.0
2025-06-16 13:18:00+00:00,1.89,1.89,1.89,1.89,200.0
2025-06-16 13:20:00+00:00,1.88,1.95,1.82,1.95,1643.0
2025-06-16 13:22:00+00:00,1.98,2.0,1.98,2.0,482.0
2025-06-16 13:24:00+00:00,1.9,2.0,1.837,1.96,2707.0
2025-06-16 13:26:00+00:00,1.98,2.0,1.98,2.0,800.0
2025-06-16 13:28:00+00:00,2.0,2.0101,2.0,2.0101,3414.0
2025-06-16 13:30:00+00:00,2.109,2.26,1.99,2.249,9561.0
2025-06-16 13:32:00+00:00,2.23,2.23,1.9059,1.9059,4758.0
2025-06-16 13:34:00+00:00,1.955,1.955,1.92,1.92,1364.0
2025-06-16 13:36:00+00:00,1.75,1.82,1.75,1.82,5537.0
2025-06-16 13:38:00+00:00,1.82,1.865,1.82,1.865,1468.0
2025-06-16 13:40:00+00:00,1.826,1.826,1.8249,1.8249,374.0
2025-06-16 13:42:00+00:00,1.845,1.845,1.82,1.825,1545.0
2025-06-16 13:44:00+00:00,1.8667,1.8667,1.8667,1.8667,250.0
2025-06-16 13:46:00+00:00,1.837,1.837,1.837,1.837,200.0
2025-06-16 13:48:00+00:00,1.905,1.905,1.905,1.905,102.0
2025-06-16 13:50:00+00:00,1.82,1.82,1.82,1.82,373.0
2025-06-16 13:54:00+00:00,1.82,1.82,1.82,1.82,257.0
2025-06-16 13:58:00+00:00,1.82,1.82,1.82,1.82,2501.0
2025-06-16 14:06:00+00:00,1.78,1.78,1.77,1.77,403.0
2025-06-16 14:08:00+00:00,1.75,1.75,1.75,1.75,350.0
2025-06-16 14:10:00+00:00,1.5519,1.7294,1.5519,1.7294,531.0
2025-06-16 14:12:00+00:00,1.61,1.61,1.605,1.605,683.0
2025-06-16 14:14:00+00:00,1.66,1.8,1.66,1.8,3973.0
2025-06-16 14:18:00+00:00,1.78,1.78,1.78,1.78,803.0
2025-06-16 14:20:00+00:00,1.78,1.78,1.72,1.72,1003.0
2025-06-16 14:24:00+00:00,1.7464,1.7464,1.7464,1.7464,101.0
2025-06-16 14:34:00+00:00,1.74,1.74,1.74,1.74,103.0
2025-06-16 14:36:00+00:00,1.7616,1.7616,1.7616,1.7616,1501.0
2025-06-16 14:38:00+00:00,1.76,1.76,1.76,1.76,134.0
2025-06-16 14:40:00+00:00,1.77,1.78,1.76,1.78,813.0
2025-06-16 14:42:00+00:00,1.76,1.76,1.74,1.74,1232.0
2025-06-16 14:48:00+00:00,1.78,1.78,1.78,1.78,541.0
2025-06-16 14:50:00+00:00,1.75,1.7785,1.75,1.7785,2649.0
2025-06-16 14:54:00+00:00,1.73,1.73,1.73,1.73,1506.0
2025-06-16 14:58:00+00:00,1.78,1.83,1.78,1.83,16458.0
2025-06-16 15:00:00+00:00,1.82,1.97,1.79,1.97,10215.0
2025-06-16 15:04:00+00:00,1.7604,1.7604,1.7604,1.7604,167.0
2025-06-16 15:08:00+00:00,1.83,1.83,1.83,1.83,100.0
2025-06-16 15:12:00+00:00,1.8733,1.8733,1.8733,1.8733,152.0
2025-06-16 15:16:00+00:00,1.84,1.84,1.8,1.8,2005.0
2025-06-16 15:18:00+00:00,1.8,1.8,1.8,1.8,1044.0
2025-06-16 15:26:00+00:00,1.8,1.8,1.8,1.8,100.0
2025-06-16 15:28:00+00:00,1.8,1.8,1.8,1.8,3746.0
2025-06-16 15:32:00+00:00,1.8686,1.8686,1.8686,1.8686,135.0
2025-06-16 15:48:00+00:00,1.88,1.8899,1.88,1.8899,1348.0
2025-06-16 15:56:00+00:00,1.8202,1.8202,1.8202,1.8202,200.0
2025-06-16 16:42:00+00:00,1.82,1.82,1.78,1.78,10900.0
2025-06-16 16:52:00+00:00,1.78,1.82,1.78,1.82,23699.0
2025-06-16 16:54:00+00:00,1.89,1.89,1.89,1.89,701.0
2025-06-16 17:06:00+00:00,1.95,1.95,1.94,1.95,5052.0
2025-06-16 17:08:00+00:00,1.9121,1.9454,1.9121,1.925,3978.0
2025-06-16 17:10:00+00:00,1.95,2.0,1.95,2.0,3399.0
2025-06-16 17:12:00+00:00,1.975,1.975,1.975,1.975,500.0
2025-06-16 17:14:00+00:00,1.97,1.97,1.97,1.97,300.0
2025-06-16 17:16:00+00:00,1.975,1.975,1.9701,1.9701,2568.0
2025-06-16 17:20:00+00:00,1.97,1.97,1.97,1.97,100.0
2025-06-16 17:28:00+00:00,1.96,1.96,1.96,1.96,329.0
2025-06-16 17:30:00+00:00,1.91,1.94,1.91,1.94,1074.0
2025-06-16 17:34:00+00:00,1.98,1.9828,1.98,1.9828,500.0
2025-06-16 17:36:00+00:00,1.945,1.945,1.945,1.945,182.0
2025-06-16 17:42:00+00:00,1.97,1.97,1.97,1.97,1345.0
2025-06-16 18:24:00+00:00,1.98,1.98,1.98,1.98,2378.0
2025-06-16 18:26:00+00:00,1.91,1.9101,1.91,1.9101,1000.0
2025-06-16 18:34:00+00:00,1.93,1.949,1.9204,1.949,1500.0
2025-06-16 18:36:00+00:00,1.9416,1.945,1.94,1.94,3529.0
2025-06-16 18:38:00+00:00,1.95,1.95,1.95,1.95,201.0
2025-06-16 18:42:00+00:00,1.945,1.95,1.9,1.9027,6322.0
2025-06-16 18:46:00+00:00,1.9,1.9,1.81,1.81,3034.0
2025-06-16 18:48:00+00:00,1.8187,1.84,1.8187,1.84,1100.0
2025-06-16 18:58:00+00:00,1.93,1.93,1.93,1.93,100.0
2025-06-16 19:00:00+00:00,1.8756,1.8756,1.8756,1.8756,104.0
2025-06-16 19:14:00+00:00,1.9237,1.9237,1.9237,1.9237,151.0
2025-06-16 19:40:00+00:00,1.9,1.9,1.9,1.9,100.0
2025-06-16 19:42:00+00:00,1.9,1.9,1.9,1.9,101.0
2025-06-16 19:48:00+00:00,1.91,1.91,1.885,1.885,218.0
2025-06-16 19:54:00+00:00,1.875,1.8893,1.875,1.8893,535.0
2025-06-16 19:56:00+00:00,1.89,1.89,1.89,1.89,408.0
2025-06-16 20:00:00+00:00,1.94,1.95,1.94,1.95,310.0
2025-06-16 20:12:00+00:00,1.9,1.9,1.9,1.9,250.0
2025-06-16 20:50:00+00:00,1.98,1.98,1.98,1.98,240.0
2025-06-16 21:24:00+00:00,1.97,1.98,1.97,1.98,1436.0
2025-06-16 21:30:00+00:00,2.0,2.13,2.0,2.13,676.0
2025-06-16 21:32:00+00:00,2.13,2.13,2.0101,2.0101,460.0
2025-06-16 21:34:00+00:00,2.01,2.01,2.01,2.01,262.0
2025-06-16 21:36:00+00:00,2.01,2.01,2.0,2.0,759.0
2025-06-16 21:38:00+00:00,1.9999,1.9999,1.9999,1.9999,1000.0
2025-06-16 21:42:00+00:00,2.0,2.0,1.9601,1.9601,1000.0
2025-06-16 21:48:00+00:00,2.0,2.0,2.0,2.0,100.0
2025-06-16 21:56:00+00:00,1.99,1.99,1.99,1.99,122.0
2025-06-16 22:00:00+00:00,2.0,2.19,1.99,2.19,5330.0
2025-06-16 22:02:00+00:00,2.18,2.2,2.18,2.2,1070.0
2025-06-16 22:06:00+00:00,2.2,2.25,2.16,2.16,5399.0
2025-06-16 22:08:00+00:00,2.16,2.16,1.91,1.92,14252.0
2025-06-16 22:10:00+00:00,2.0,2.0,1.93,1.93,759.0
2025-06-16 22:16:00+00:00,2.0,2.0,2.0,2.0,387.0
2025-06-16 22:18:00+00:00,2.0,2.01,1.95,1.95,4774.0
2025-06-16 22:36:00+00:00,2.01,2.01,1.94,1.94,700.0
2025-06-16 22:40:00+00:00,2.04,2.04,2.04,2.04,279.0
2025-06-16 22:46:00+00:00,2.04,2.04,2.04,2.04,270.0
2025-06-16 22:50:00+00:00,2.04,2.04,2.04,2.04,451.0
2025-06-16 23:06:00+00:00,2.01,2.01,2.01,2.01,100.0
2025-06-16 23:08:00+00:00,1.97,1.97,1.94,1.94,600.0
2025-06-16 23:10:00+00:00,2.0,2.0,1.93,2.0,8333.0
2025-06-16 23:12:00+00:00,2.0,2.0,2.0,2.0,1000.0
2025-06-16 23:34:00+00:00,2.02,2.02,2.02,2.02,178.0
2025-06-16 23:40:00+00:00,2.02,2.02,2.02,2.02,420.0
2025-06-16 23:56:00+00:00,2.04,2.04,2.02,2.02,717.0
2025-09-04 08:00:00+00:00,2.6,2.77,2.4,2.43,95955.0
2025-09-04 08:02:00+00:00,2.45,2.5,2.395,2.4,50607.0
2025-09-04 08:04:00+00:00,2.4,2.4,2.19,2.3,106276.0
