Datetime,Open,High,Low,Close,Volume
2024-01-02 14:34:00+00:00,6.2,6.25,6.2,6.25,206.0
2024-01-02 15:36:00+00:00,6.2987,6.2987,6.2987,6.2987,100.0
2024-01-02 15:42:00+00:00,6.27,6.27,6.27,6.27,396.0
2024-01-02 15:46:00+00:00,6.2001,6.24,6.17,6.22,5688.0
2024-01-02 15:48:00+00:00,6.185,6.185,6.0159,6.0159,8820.0
2024-01-02 15:56:00+00:00,6.1469,6.1469,6.1469,6.1469,300.0
2024-01-02 15:58:00+00:00,6.02,6.02,5.94,5.94,3453.0
2024-01-02 16:04:00+00:00,5.95,5.97,5.95,5.97,900.0
2024-01-02 16:14:00+00:00,5.94,5.94,5.94,5.94,312.0
2024-01-02 16:32:00+00:00,5.98,5.98,5.98,5.98,100.0
2024-01-02 17:00:00+00:00,5.99,5.99,5.99,5.99,100.0
2024-01-02 17:04:00+00:00,5.99,5.99,5.99,5.99,100.0
2024-01-02 17:06:00+00:00,5.98,5.98,5.98,5.98,158.0
2024-01-02 17:20:00+00:00,5.99,5.99,5.99,5.99,558.0
2024-01-02 17:28:00+00:00,5.88,5.88,5.88,5.88,228.0
2024-01-02 17:32:00+00:00,6.0,6.09,5.98,6.09,3371.0
2024-01-02 17:50:00+00:00,6.1,6.1,6.1,6.1,685.0
2024-01-02 18:52:00+00:00,6.15,6.15,6.15,6.15,100.0
2024-01-02 19:16:00+00:00,5.9001,5.9001,5.9001,5.9001,1000.0
2024-01-02 19:56:00+00:00,6.14,6.14,6.14,6.14,100.0
2024-01-02 20:26:00+00:00,6.16,6.17,6.16,6.17,600.0
2024-01-02 20:34:00+00:00,5.9932,5.9932,5.9932,5.9932,100.0
2024-01-02 20:56:00+00:00,6.15,6.15,6.15,6.15,104.0
2024-01-02 20:58:00+00:00,6.11,6.11,6.11,6.11,133.0
2024-01-02 21:00:00+00:00,6.15,6.15,6.15,6.15,136.0
2024-01-03 14:30:00+00:00,6.36,6.36,6.3,6.3,3446.0
2024-01-03 14:38:00+00:00,6.23,6.23,6.16,6.16,802.0
2024-01-03 14:44:00+00:00,6.2002,6.2002,6.2002,6.2002,296.0
2024-01-03 15:02:00+00:00,6.19,6.29,6.1775,6.29,852.0
2024-01-03 15:04:00+00:00,6.255,6.255,6.255,6.255,500.0
2024-01-03 15:10:00+00:00,6.2641,6.2641,6.21,6.2101,3300.0
2024-01-03 15:18:00+00:00,6.2608,6.2608,6.2,6.2,2226.0
2024-01-03 15:50:00+00:00,6.19,6.3,6.19,6.3,400.0
2024-01-03 15:52:00+00:00,6.22,6.22,6.22,6.22,100.0
2024-01-03 16:26:00+00:00,6.29,6.29,6.29,6.29,100.0
2024-01-03 16:32:00+00:00,6.1001,6.1001,6.1001,6.1001,2236.0
2024-01-03 16:46:00+00:00,6.14,6.14,6.0001,6.0001,4019.0
2024-01-03 16:48:00+00:00,6.045,6.045,6.045,6.045,100.0
2024-01-03 16:58:00+00:00,6.0422,6.0422,6.0422,6.0422,1587.0
2024-01-03 17:02:00+00:00,6.08,6.1,6.045,6.1,4332.0
2024-01-03 17:34:00+00:00,6.26,6.26,6.26,6.26,100.0
2024-01-03 18:30:00+00:00,6.165,6.22,6.04,6.0501,7260.0
2024-01-03 18:32:00+00:00,6.0001,6.0001,6.0001,6.0001,400.0
2024-01-03 18:34:00+00:00,6.0,6.0034,5.99,6.0034,3897.0
2024-01-03 18:50:00+00:00,5.93,5.93,5.93,5.93,100.0
2024-01-03 19:06:00+00:00,5.99,5.99,5.99,5.99,100.0
2024-01-03 19:10:00+00:00,5.99,6.03,5.99,6.0034,3265.0
2024-01-03 19:20:00+00:00,6.0125,6.0125,6.0125,6.0125,490.0
2024-01-03 19:54:00+00:00,6.1293,6.1293,6.1293,6.1293,101.0
2024-01-03 20:00:00+00:00,6.14,6.14,6.14,6.14,100.0
2024-01-03 20:50:00+00:00,6.095,6.095,5.985,5.985,818.0
2024-01-03 20:54:00+00:00,5.99,5.99,5.99,5.99,101.0
2024-01-03 20:58:00+00:00,5.99,6.05,5.99,6.05,689.0
2024-01-03 21:00:00+00:00,6.05,6.05,6.05,6.05,1181.0
2024-01-04 14:30:00+00:00,6.12,6.12,6.12,6.12,601.0
2024-01-04 14:36:00+00:00,6.17,6.17,6.17,6.17,185.0
2024-01-04 14:40:00+00:00,6.195,6.195,6.195,6.195,283.0
2024-01-04 14:42:00+00:00,6.2,6.2,6.2,6.2,100.0
2024-01-04 14:44:00+00:00,6.2,6.2,6.18,6.2,864.0
2024-01-04 14:52:00+00:00,6.32,6.32,6.32,6.32,293.0
2024-01-04 14:54:00+00:00,6.335,6.335,6.2,6.2,202.0
