Datetime,Open,High,Low,Close,Volume
2024-01-02 13:10:00+00:00,1.63,1.63,1.63,1.63,1000.0
2024-01-02 13:30:00+00:00,1.5519,1.5519,1.5519,1.5519,200.0
2024-01-02 14:10:00+00:00,1.56,1.56,1.56,1.56,201.0
2024-01-02 14:30:00+00:00,1.58,1.6215,1.58,1.6215,4678.0
2024-01-02 14:34:00+00:00,1.5776,1.6215,1.5776,1.6215,400.0
2024-01-02 14:36:00+00:00,1.59,1.59,1.59,1.59,800.0
2024-01-02 14:38:00+00:00,1.58,1.63,1.58,1.63,1942.0
2024-01-02 14:42:00+00:00,1.62,1.6792,1.62,1.6792,20361.0
2024-01-02 14:44:00+00:00,1.65,1.65,1.5801,1.6494,1820.0
2024-01-02 14:48:00+00:00,1.5801,1.5801,1.5801,1.5801,504.0
2024-01-02 14:50:00+00:00,1.62,1.65,1.5901,1.629,2485.0
2024-01-02 14:54:00+00:00,1.6098,1.62,1.6098,1.62,850.0
2024-01-02 14:56:00+00:00,1.6115,1.6115,1.6115,1.6115,500.0
2024-01-02 14:58:00+00:00,1.62,1.62,1.62,1.62,310.0
2024-01-02 15:04:00+00:00,1.65,1.65,1.65,1.65,200.0
2024-01-02 15:12:00+00:00,1.6125,1.6125,1.6125,1.6125,1000.0
2024-01-02 15:14:00+00:00,1.6394,1.6394,1.6394,1.6394,131.0
2024-01-02 15:22:00+00:00,1.5901,1.5901,1.5901,1.5901,2000.0
2024-01-02 15:24:00+00:00,1.5993,1.64,1.5993,1.64,1196.0
2024-01-02 15:38:00+00:00,1.625,1.625,1.625,1.625,800.0
2024-01-02 15:40:00+00:00,1.625,1.625,1.625,1.625,320.0
2024-01-02 15:46:00+00:00,1.6191,1.6191,1.6191,1.6191,1000.0
2024-01-02 15:48:00+00:00,1.6101,1.6101,1.6101,1.6101,100.0
2024-01-02 16:04:00+00:00,1.625,1.6397,1.625,1.6397,1100.0
2024-01-02 16:06:00+00:00,1.63,1.63,1.63,1.63,400.0
2024-01-02 16:16:00+00:00,1.62,1.62,1.62,1.62,100.0
2024-01-02 16:18:00+00:00,1.61,1.61,1.61,1.61,500.0
2024-01-02 16:22:00+00:00,1.6104,1.615,1.6104,1.615,900.0
2024-01-02 16:24:00+00:00,1.61,1.6101,1.61,1.61,2911.0
2024-01-02 16:26:00+00:00,1.6,1.6,1.6,1.6,1254.0
2024-01-02 16:28:00+00:00,1.5801,1.5805,1.58,1.58,4325.0
2024-01-02 16:38:00+00:00,1.57,1.57,1.57,1.57,150.0
2024-01-02 16:46:00+00:00,1.5853,1.5853,1.57,1.57,1800.0
2024-01-02 16:52:00+00:00,1.57,1.57,1.57,1.57,100.0
2024-01-02 16:58:00+00:00,1.58,1.58,1.58,1.58,594.0
2024-01-02 17:26:00+00:00,1.565,1.565,1.565,1.565,600.0
2024-01-02 17:30:00+00:00,1.58,1.58,1.58,1.58,1500.0
2024-01-02 17:42:00+00:00,1.55,1.55,1.55,1.55,150.0
2024-01-02 17:44:00+00:00,1.5846,1.5846,1.5846,1.5846,222.0
2024-01-02 17:50:00+00:00,1.59,1.59,1.56,1.56,452.0
2024-01-02 17:58:00+00:00,1.575,1.585,1.575,1.585,1100.0
2024-01-02 18:08:00+00:00,1.57,1.57,1.56,1.5636,4000.0
2024-01-02 18:10:00+00:00,1.56,1.5877,1.56,1.5877,1211.0
2024-01-02 18:18:00+00:00,1.58,1.58,1.58,1.58,100.0
2024-01-02 18:26:00+00:00,1.555,1.555,1.55,1.55,1482.0
2024-01-02 18:30:00+00:00,1.53,1.545,1.53,1.545,250.0
2024-01-02 18:46:00+00:00,1.52,1.52,1.52,1.52,100.0
2024-01-02 18:48:00+00:00,1.5402,1.5402,1.5402,1.5402,1000.0
2024-01-02 18:54:00+00:00,1.55,1.55,1.55,1.55,341.0
2024-01-02 19:10:00+00:00,1.52,1.52,1.52,1.52,155.0
2024-01-02 19:14:00+00:00,1.52,1.54,1.52,1.54,1211.0
2024-01-02 19:24:00+00:00,1.5693,1.5693,1.5693,1.5693,1000.0
2024-01-02 19:26:00+00:00,1.54,1.54,1.54,1.54,100.0
2024-01-02 19:32:00+00:00,1.56,1.56,1.56,1.56,100.0
