Datetime,Open,High,Low,Close,Volume
2025-01-03 11:00:00+00:00,6.7,9.03,6.69,9.03,6589
2025-01-03 11:02:00+00:00,8.64,8.79,7.56,8.25,13912
2025-01-03 11:04:00+00:00,8.15,8.15,7.12,7.72,20590
2025-01-03 11:06:00+00:00,7.58,7.98,7.58,7.79,6770
2025-01-03 11:08:00+00:00,7.77,7.78,7.37,7.55,4928
2025-01-03 11:10:00+00:00,7.36,7.46,7.27,7.27,2950
2025-01-03 11:12:00+00:00,7.3,7.3,7.3,7.3,228
2025-01-03 11:14:00+00:00,7.3,7.3,6.84,7.1,13647
2025-01-03 11:18:00+00:00,7.2,7.23,7.2,7.23,856
2025-01-03 11:20:00+00:00,7.2,7.4,7.2,7.39,3062
2025-01-03 11:22:00+00:00,7.4,7.52,7.4,7.49,3051
2025-01-03 11:24:00+00:00,7.52,7.72,7.3,7.3,12825
2025-01-03 11:26:00+00:00,7.31,7.4,7.31,7.4,1404
2025-01-03 11:28:00+00:00,7.21,7.21,7.21,7.21,451
2025-01-03 11:30:00+00:00,7.26,7.39,7.26,7.39,2730
2025-01-03 11:32:00+00:00,7.37,7.38,7.37,7.38,1546
2025-01-03 11:34:00+00:00,7.41,7.41,7.38,7.4,813
2025-01-03 11:36:00+00:00,7.44,7.55,7.44,7.54,2169
2025-01-03 11:38:00+00:00,7.57,7.59,7.39,7.39,3224
2025-01-03 11:40:00+00:00,7.36,7.36,7.27,7.27,589
2025-01-03 11:42:00+00:00,7.27,7.29,7.27,7.29,432
2025-01-03 11:44:00+00:00,7.24,7.24,7.21,7.21,5199
2025-01-03 11:46:00+00:00,7.24,7.25,7.19,7.25,2252
2025-01-03 11:50:00+00:00,7.35,7.49,7.35,7.49,2771
2025-01-03 11:52:00+00:00,7.26,7.26,7.26,7.26,101
2025-01-03 11:54:00+00:00,7.26,7.26,7.14,7.14,856
2025-01-03 11:56:00+00:00,7.19,7.27,7.19,7.27,1050
2025-01-03 11:58:00+00:00,7.27,7.27,7.27,7.27,2135
2025-01-03 12:00:00+00:00,7.34,7.63,7.34,7.63,3859
2025-01-03 12:02:00+00:00,7.62,7.62,7.5,7.5,1314
2025-01-03 12:04:00+00:00,7.55,7.55,7.48,7.48,786
2025-01-03 12:06:00+00:00,7.5,7.79,7.5,7.61,7339
2025-01-03 12:08:00+00:00,7.66,7.69,7.66,7.69,1312
2025-01-03 12:10:00+00:00,7.79,7.79,7.5,7.52,5236
2025-01-03 12:14:00+00:00,7.5,7.5,7.5,7.5,170
2025-01-03 12:16:00+00:00,7.43,7.43,7.43,7.43,570
