Datetime,Open,High,Low,Close,Volume
2025-01-22 09:00:00+00:00,9.29,9.29,8.97,8.97,8472.0
2025-01-22 09:02:00+00:00,8.99,9.02,8.96,9.02,2471.0
2025-01-22 09:04:00+00:00,9.03,9.17,9.02,9.17,5887.0
2025-01-22 09:06:00+00:00,9.16,9.35,9.16,9.35,3903.0
2025-01-22 09:08:00+00:00,9.35,9.35,9.28,9.325,13647.0
2025-01-22 09:10:00+00:00,9.32,9.32,9.25,9.3,4899.0
2025-01-22 09:12:00+00:00,9.3,9.37,9.3,9.36,2277.0
2025-01-22 09:14:00+00:00,9.37,9.44,9.37,9.38,4995.0
2025-01-22 09:16:00+00:00,9.39,9.4,9.38,9.38,3141.0
2025-01-22 09:18:00+00:00,9.38,9.38,9.05,9.27,11599.0
2025-01-22 09:20:00+00:00,9.22,9.22,9.16,9.16,1847.0
2025-01-22 09:22:00+00:00,9.11,9.16,9.06,9.06,2227.0
2025-01-22 09:24:00+00:00,9.13,9.13,9.13,9.13,535.0
2025-01-22 09:26:00+00:00,9.14,9.19,9.14,9.19,4150.0
2025-01-22 09:28:00+00:00,9.19,9.19,9.19,9.19,157.0
2025-01-22 09:32:00+00:00,9.19,9.19,9.17,9.17,792.0
2025-01-22 09:34:00+00:00,9.19,9.19,9.16,9.16,4109.0
2025-01-22 09:36:00+00:00,9.15,9.16,9.14,9.15,1739.0
2025-01-22 09:38:00+00:00,9.12,9.14,9.12,9.14,631.0
2025-01-22 09:40:00+00:00,9.14,9.14,9.14,9.14,507.0
2025-01-22 09:42:00+00:00,9.12,9.12,9.09,9.1,3778.0
2025-01-22 09:44:00+00:00,9.1,9.11,9.1,9.1,1601.0
2025-01-22 09:46:00+00:00,9.09,9.1,9.09,9.1,490.0
2025-01-22 09:48:00+00:00,9.1,9.1,9.1,9.1,656.0
2025-01-22 09:50:00+00:00,9.1,9.1,9.08,9.08,1518.0
2025-01-22 09:54:00+00:00,9.08,9.08,9.07,9.07,1528.0
2025-01-22 09:56:00+00:00,9.09,9.11,9.09,9.11,1132.0
2025-01-22 09:58:00+00:00,9.09,9.09,9.09,9.09,100.0
2025-01-22 10:04:00+00:00,9.1,9.1,9.1,9.1,1041.0
2025-01-22 10:06:00+00:00,9.1,9.1,9.1,9.1,303.0
2025-01-22 10:10:00+00:00,9.11,9.11,9.1,9.1,470.0
2025-01-22 10:12:00+00:00,9.11,9.11,9.1,9.1,415.0
2025-01-22 10:16:00+00:00,9.11,9.11,9.095,9.095,3510.0
2025-01-22 10:18:00+00:00,9.09,9.09,9.09,9.09,4275.0
2025-01-22 10:20:00+00:00,9.08,9.08,9.06,9.06,2467.0
2025-01-22 10:22:00+00:00,9.06,9.06,9.06,9.06,539.0
2025-01-22 10:24:00+00:00,9.06,9.06,9.05,9.05,890.0
2025-01-22 10:26:00+00:00,9.05,9.05,9.05,9.05,423.0
2025-01-22 10:28:00+00:00,9.05,9.05,9.05,9.05,101.0
2025-01-22 10:30:00+00:00,9.05,9.05,9.05,9.05,235.0
2025-01-22 10:32:00+00:00,9.04,9.05,9.04,9.04,2911.0
2025-01-22 10:34:00+00:00,9.04,9.04,9.03,9.03,947.0
2025-01-22 10:36:00+00:00,9.04,9.05,9.04,9.04,857.0
2025-01-22 10:40:00+00:00,9.05,9.05,9.05,9.05,301.0
2025-01-22 10:42:00+00:00,9.06,9.1,9.06,9.1,1353.0
2025-01-22 10:50:00+00:00,9.07,9.07,9.05,9.06,3988.0
2025-01-22 10:52:00+00:00,9.07,9.07,9.05,9.05,611.0
2025-01-22 10:58:00+00:00,9.1,9.1,9.1,9.1,151.0
2025-01-22 11:02:00+00:00,9.09,9.09,9.09,9.09,128.0
2025-01-22 11:04:00+00:00,9.11,9.11,9.11,9.11,364.0
2025-01-22 11:08:00+00:00,9.12,9.12,9.12,9.12,183.0
2025-01-22 11:14:00+00:00,9.11,9.12,9.1,9.12,830.0
2025-01-22 11:16:00+00:00,9.12,9.12,9.12,9.12,169.0
2025-01-22 11:20:00+00:00,9.12,9.12,9.12,9.12,356.0
2025-01-22 11:26:00+00:00,9.13,9.13,9.13,9.13,200.0
2025-01-22 11:28:00+00:00,9.13,9.16,9.13,9.16,4695.0
