Datetime,Open,High,Low,Close,Volume
2025-02-28 10:22:00+00:00,25.55,25.55,25.55,25.55,250
2025-02-28 11:14:00+00:00,25.5,25.5,25.5,25.5,818
2025-02-28 11:48:00+00:00,25.08,25.08,25.08,25.08,100
2025-02-28 12:00:00+00:00,25.0,25.0,24.04,24.09,1101
2025-02-28 12:22:00+00:00,24.6,24.6,24.6,24.6,225
2025-02-28 12:36:00+00:00,24.52,24.52,24.03,24.03,3087
2025-02-28 12:50:00+00:00,24.05,24.05,23.8,23.8,2269
2025-02-28 12:54:00+00:00,23.9,23.9,23.9,23.9,1020
2025-02-28 13:00:00+00:00,24.52,24.6,24.52,24.59,788
2025-02-28 13:16:00+00:00,23.9,24.0885,23.9,24.0885,911
2025-02-28 13:28:00+00:00,23.9999,23.9999,23.9999,23.9999,1004
2025-02-28 13:32:00+00:00,23.9,23.9,23.65,23.65,2630
2025-02-28 13:34:00+00:00,23.65,23.65,23.65,23.65,200
2025-02-28 13:38:00+00:00,23.65,23.65,23.52,23.52,1066
2025-02-28 13:40:00+00:00,23.52,23.52,23.52,23.52,400
2025-02-28 13:54:00+00:00,23.5,23.5,23.5,23.5,1678
2025-02-28 13:56:00+00:00,23.51,23.51,23.51,23.51,873
2025-02-28 14:02:00+00:00,23.81,24.4,23.81,24.4,9805
2025-02-28 14:04:00+00:00,24.15,24.15,24.15,24.15,643
2025-02-28 14:08:00+00:00,24.3,24.3,24.3,24.3,549
2025-02-28 14:12:00+00:00,24.36,24.36,24.35,24.35,1019
2025-02-28 14:16:00+00:00,24.51,24.51,24.51,24.51,250
2025-02-28 14:18:00+00:00,24.51,24.51,24.5,24.5,1525
2025-02-28 14:20:00+00:00,24.71,24.73,24.71,24.73,531
2025-02-28 14:22:00+00:00,24.8,25.2,24.8,25.2,505
2025-02-28 14:26:00+00:00,25.2,25.98,25.2,25.72,1000
2025-02-28 14:28:00+00:00,26.1,27.0,25.97,25.99,6655
2025-02-28 14:30:00+00:00,26.55,26.76,23.66,23.88,177722
2025-02-28 14:32:00+00:00,23.94,24.33,23.475,23.56,73411
2025-02-28 14:34:00+00:00,23.6,24.32,23.57,23.9,152331
2025-02-28 14:36:00+00:00,23.9,23.905,23.07,23.33,230754
2025-02-28 14:38:00+00:00,23.45,23.46,23.0701,23.22,36013
2025-02-28 14:40:00+00:00,23.22,23.25,22.985,23.21,60251
2025-02-28 14:42:00+00:00,23.21,23.44,23.16,23.23,84053
2025-02-28 14:44:00+00:00,23.2,23.33,23.05,23.0834,38986
2025-02-28 14:46:00+00:00,23.055,23.055,22.68,22.775,44545
2025-02-28 14:48:00+00:00,22.76,22.8299,22.42,22.785,70980
2025-02-28 14:50:00+00:00,22.785,23.11,22.75,23.1,66545
2025-02-28 14:52:00+00:00,23.1,23.1949,22.99,23.11,20014
2025-02-28 14:54:00+00:00,23.01,23.2247,22.86,23.085,44573
2025-02-28 14:56:00+00:00,23.06,23.0735,22.97,22.98,23196
2025-02-28 14:58:00+00:00,23.035,23.13,22.99,23.13,23396
2025-02-28 15:00:00+00:00,23.13,23.44,23.13,23.37,39170
2025-02-28 15:02:00+00:00,23.405,23.59,23.39,23.57,59038
2025-02-28 15:04:00+00:00,23.61,23.87,23.61,23.85,38708
2025-02-28 15:06:00+00:00,23.86,24.0,23.77,23.8,49797
2025-02-28 15:08:00+00:00,23.78,23.79,23.54,23.67,29174
2025-02-28 15:10:00+00:00,23.72,23.8,23.695,23.75,24389
2025-02-28 15:12:00+00:00,23.69,23.69,23.54,23.65,25406
2025-02-28 15:14:00+00:00,23.62,23.62,23.23,23.42,83046
2025-02-28 15:16:00+00:00,23.38,23.45,23.29,23.35,28617
2025-02-28 15:18:00+00:00,23.35,23.46,23.35,23.395,26310
2025-02-28 15:20:00+00:00,23.395,23.55,23.395,23.52,39453
2025-02-28 15:22:00+00:00,23.525,23.525,23.33,23.43,16879
2025-02-28 15:24:00+00:00,23.43,23.49,23.29,23.335,13946
2025-02-28 15:26:00+00:00,23.27,23.325,23.16,23.25,81788
2025-02-28 15:28:00+00:00,23.285,23.36,23.1,23.15,19442
2025-02-28 15:30:00+00:00,23.15,23.19,22.86,22.89,60187
2025-02-28 15:32:00+00:00,22.9,22.9,22.82,22.86,17206
2025-02-28 15:34:00+00:00,22.86,22.89,22.61,22.61,46029
2025-02-28 15:36:00+00:00,22.64,22.69,22.52,22.54,30597
2025-02-28 15:38:00+00:00,22.52,22.545,22.26,22.3,42732
2025-02-28 15:40:00+00:00,22.33,22.395,22.1,22.13,39620
2025-02-28 15:42:00+00:00,22.17,22.225,22.14,22.16,43597
2025-02-28 15:44:00+00:00,22.15,22.22,22.07,22.11,21280
2025-02-28 15:46:00+00:00,22.07,22.31,22.07,22.25,20347
2025-02-28 15:48:00+00:00,22.24,22.26,22.17,22.25,15525
2025-02-28 15:50:00+00:00,22.24,22.58,22.24,22.49,34364
2025-02-28 15:52:00+00:00,22.525,22.56,22.39,22.45,22886
2025-02-28 15:54:00+00:00,22.44,22.635,22.44,22.62,21607
2025-02-28 15:56:00+00:00,22.605,22.69,22.5,22.55,109339
2025-02-28 15:58:00+00:00,22.55,22.565,22.43,22.43,31561
2025-02-28 16:00:00+00:00,22.43,22.49,22.36,22.36,17066
2025-02-28 16:02:00+00:00,22.37,22.37,22.24,22.24,12608
2025-02-28 16:04:00+00:00,22.23,22.29,22.17,22.27,14109
2025-02-28 16:06:00+00:00,22.27,22.31,22.26,22.29,9561
2025-02-28 16:08:00+00:00,22.28,22.4,22.21,22.4,19993
2025-02-28 16:10:00+00:00,22.37,22.5,22.37,22.5,8792
2025-02-28 16:12:00+00:00,22.5,22.5,22.39,22.5,10830
2025-02-28 16:14:00+00:00,22.475,22.525,22.46,22.46,11133
2025-02-28 16:16:00+00:00,22.46,22.475,22.36,22.38,12667
