Datetime,Open,High,Low,Close,Volume
2025-11-13 09:06:00+00:00,1.46,1.46,1.46,1.46,215
2025-11-13 09:32:00+00:00,1.47,1.47,1.47,1.47,170
2025-11-13 09:40:00+00:00,1.46,1.46,1.46,1.46,119
2025-11-13 10:30:00+00:00,1.54,1.55,1.54,1.55,648
2025-11-13 12:42:00+00:00,1.53,1.53,1.53,1.53,153
2025-11-13 12:44:00+00:00,1.49,1.49,1.49,1.49,250
2025-11-13 12:50:00+00:00,1.51,1.51,1.51,1.51,115
2025-11-13 13:00:00+00:00,1.53,1.54,1.48,1.48,2188
2025-11-13 13:02:00+00:00,1.4997,1.4997,1.4997,1.4997,135
2025-11-13 13:08:00+00:00,1.495,1.5,1.495,1.5,585
2025-11-13 13:12:00+00:00,1.49,1.5,1.49,1.5,10527
2025-11-13 13:20:00+00:00,1.53,1.53,1.53,1.53,249
2025-11-13 13:28:00+00:00,1.54,1.54,1.54,1.54,283
2025-11-13 13:34:00+00:00,1.5499,1.5499,1.5499,1.5499,500
2025-11-13 13:36:00+00:00,1.55,1.55,1.54,1.5499,1035
2025-11-13 13:38:00+00:00,1.54,1.54,1.54,1.54,583
2025-11-13 13:44:00+00:00,1.5375,1.5375,1.53,1.53,6810
2025-11-13 13:46:00+00:00,1.53,1.54,1.53,1.54,223
2025-11-13 13:52:00+00:00,1.5305,1.5305,1.5305,1.5305,150
2025-11-13 14:00:00+00:00,1.55,1.55,1.55,1.55,340
2025-11-13 14:06:00+00:00,1.57,1.57,1.57,1.57,245
2025-11-13 14:08:00+00:00,1.58,1.58,1.58,1.58,191
2025-11-13 14:10:00+00:00,1.57,1.59,1.57,1.59,3095
2025-11-13 14:14:00+00:00,1.57,1.57,1.57,1.57,2253
2025-11-13 14:16:00+00:00,1.59,1.59,1.59,1.59,2061
2025-11-13 14:20:00+00:00,1.59,1.61,1.59,1.6,25756
2025-11-13 14:22:00+00:00,1.61,1.65,1.6,1.6,9220
2025-11-13 14:26:00+00:00,1.63,1.63,1.62,1.62,720
2025-11-13 14:28:00+00:00,1.62,1.62,1.62,1.62,257
2025-11-13 14:30:00+00:00,1.6,1.64,1.6,1.6301,56952
