Datetime,Open,High,Low,Close,Volume
2025-07-22 12:00:00+00:00,5.25,5.25,5.23,5.23,2100
2025-07-22 12:02:00+00:00,5.22,5.22,5.22,5.22,10000
2025-07-22 12:58:00+00:00,5.33,5.33,5.33,5.33,200
2025-07-22 13:12:00+00:00,5.23,5.23,5.2299,5.23,10761
2025-07-22 13:14:00+00:00,5.23,5.4599,5.23,5.4599,1775
2025-07-22 13:16:00+00:00,5.44,5.92,5.35,5.92,22733
2025-07-22 13:18:00+00:00,5.92,6.99,5.74,6.3,163726
2025-07-22 13:20:00+00:00,6.38,6.49,5.63,5.89,101529
2025-07-22 13:22:00+00:00,5.85,6.56,5.8,6.3,107597
2025-07-22 13:24:00+00:00,6.32,6.46,5.82,6.06,66184
2025-07-22 13:26:00+00:00,6.07,6.29,5.85,6.14,77181
2025-07-22 13:28:00+00:00,6.14,6.14,6.0,6.1,28616
2025-07-22 13:30:00+00:00,6.03,6.7,5.901,6.51,443727
2025-07-22 13:32:00+00:00,6.48,6.54,6.08,6.3308,136834
2025-07-22 13:34:00+00:00,6.2831,6.31,5.81,5.82,206577
2025-07-22 13:36:00+00:00,5.83,6.0,5.71,5.78,84167
2025-07-22 13:38:00+00:00,5.7933,6.2,5.7933,6.095,103777
2025-07-22 13:40:00+00:00,6.13,6.23,6.04,6.08,84140
2025-07-22 13:42:00+00:00,6.0608,6.0902,5.855,5.855,20430
2025-07-22 13:44:00+00:00,5.85,6.0,5.8,5.835,39313
2025-07-22 13:46:00+00:00,5.8174,6.19,5.8086,6.1,72075
2025-07-22 13:48:00+00:00,6.1101,6.1674,5.9311,6.05,55061
2025-07-22 13:50:00+00:00,6.06,6.1,5.94,6.01,30545
2025-07-22 13:52:00+00:00,6.0,6.0135,5.62,5.65,59156
2025-07-22 13:54:00+00:00,5.69,5.73,5.52,5.65,58285
2025-07-22 13:56:00+00:00,5.63,5.735,5.63,5.725,10071
2025-07-22 13:58:00+00:00,5.7,5.85,5.69,5.85,28917
2025-07-22 14:00:00+00:00,5.83,5.9,5.8,5.815,24140
2025-07-22 14:02:00+00:00,5.8,5.9579,5.78,5.9579,48049
2025-07-22 14:04:00+00:00,5.95,5.958,5.85,5.888,17025
2025-07-22 14:06:00+00:00,5.895,5.895,5.855,5.875,9962
2025-07-22 14:08:00+00:00,5.88,5.91,5.86,5.9,6729
2025-07-22 14:10:00+00:00,5.92,5.96,5.82,5.835,20036
2025-07-22 14:12:00+00:00,5.89,6.09,5.88,6.04,34424
2025-07-22 14:14:00+00:00,6.089,6.2,6.06,6.095,75109
2025-07-22 14:16:00+00:00,6.105,6.13,5.92,5.95,61291
2025-07-22 14:18:00+00:00,5.9021,6.0,5.88,5.965,16186
2025-07-22 14:20:00+00:00,5.93,6.02,5.91,6.0,14288
2025-07-22 14:22:00+00:00,6.015,6.0299,5.97,5.9827,14604
2025-07-22 14:24:00+00:00,5.95,5.97,5.91,5.925,8203
2025-07-22 14:26:00+00:00,5.91,6.0,5.91,5.93,8616
2025-07-22 14:28:00+00:00,5.925,5.99,5.908,5.96,6378
2025-07-22 14:30:00+00:00,5.99,6.0,5.8707,5.94,15835
2025-07-22 14:32:00+00:00,5.9,5.93,5.89,5.89,6210
2025-07-22 14:34:00+00:00,5.87,5.9,5.8688,5.8688,1867
2025-07-22 14:36:00+00:00,5.88,6.03,5.88,6.01,12188
2025-07-22 14:38:00+00:00,6.01,6.06,6.01,6.04,5251
2025-07-22 14:40:00+00:00,6.03,6.1545,6.03,6.1483,28207
2025-07-22 14:42:00+00:00,6.15,6.29,6.1,6.1892,128231
2025-07-22 14:44:00+00:00,6.19,6.2,6.11,6.11,22386
2025-07-22 14:46:00+00:00,6.0457,6.1299,6.04,6.09,25548
2025-07-22 14:48:00+00:00,6.06,6.18,6.06,6.18,7990
2025-07-22 14:50:00+00:00,6.1756,6.2468,6.12,6.12,22405
2025-07-22 14:52:00+00:00,6.12,6.14,6.05,6.07,19620
2025-07-22 14:54:00+00:00,6.05,6.08,5.9924,6.02,8273
2025-07-22 14:56:00+00:00,6.06,6.11,6.06,6.06,9729
2025-07-22 14:58:00+00:00,6.1,6.14,6.09,6.12,6797
2025-07-22 15:00:00+00:00,6.11,6.205,6.08,6.18,18656
2025-07-22 15:02:00+00:00,6.1957,6.1957,6.12,6.1212,11052
2025-07-22 15:04:00+00:00,6.08,6.16,6.0727,6.12,7198
2025-07-22 15:06:00+00:00,6.14,6.27,6.11,6.25,28738
2025-07-22 15:08:00+00:00,6.24,6.4,6.2341,6.38,79381
2025-07-22 15:10:00+00:00,6.37,6.47,6.36,6.44,43372
2025-07-22 15:12:00+00:00,6.47,6.48,6.34,6.3423,73821
2025-07-22 15:14:00+00:00,6.3664,6.39,6.2,6.29,50276
2025-07-22 15:16:00+00:00,6.2899,6.2899,6.22,6.2229,9499
2025-07-22 15:18:00+00:00,6.21,6.26,6.18,6.25,22334
2025-07-22 15:20:00+00:00,6.2533,6.2561,6.24,6.2561,3058
2025-07-22 15:22:00+00:00,6.27,6.2878,6.26,6.26,11089
2025-07-22 15:24:00+00:00,6.2596,6.29,6.24,6.26,6643
2025-07-22 15:26:00+00:00,6.27,6.3,6.27,6.27,7464
2025-07-22 15:28:00+00:00,6.285,6.345,6.28,6.33,8106
2025-07-22 15:30:00+00:00,6.346,6.39,6.32,6.38,27115
2025-07-22 15:32:00+00:00,6.37,6.375,6.345,6.345,8397
2025-07-22 15:34:00+00:00,6.3646,6.3646,6.25,6.2657,6228
2025-07-22 15:36:00+00:00,6.28,6.28,6.21,6.24,28416
2025-07-22 15:38:00+00:00,6.25,6.29,6.25,6.26,5010
