Datetime,Open,High,Low,Close,Volume
2025-02-07 14:06:00+00:00,26.1,26.1,26.1,26.1,200
2025-02-07 14:16:00+00:00,26.13,26.13,26.13,26.13,100
2025-02-07 14:18:00+00:00,26.15,26.15,26.15,26.15,160
2025-02-07 14:32:00+00:00,28.83,29.24,28.44,29.23,1040
2025-02-07 14:34:00+00:00,28.81,29.84,27.17,27.95,48452
2025-02-07 14:36:00+00:00,27.765,27.765,27.52,27.55,3829
2025-02-07 14:38:00+00:00,27.63,28.0,27.61,27.88,12164
2025-02-07 14:40:00+00:00,27.805,28.24,27.6,27.66,17067
2025-02-07 14:42:00+00:00,27.49,27.64,27.11,27.11,21101
2025-02-07 14:44:00+00:00,27.31,27.53,27.25,27.33,5869
2025-02-07 14:46:00+00:00,27.5299,27.58,27.37,27.51,7224
2025-02-07 14:48:00+00:00,27.55,27.59,27.22,27.59,8133
2025-02-07 14:50:00+00:00,27.59,27.75,27.52,27.68,6915
2025-02-07 14:52:00+00:00,27.63,27.67,26.77,27.015,26755
2025-02-07 14:54:00+00:00,27.03,27.17,26.79,26.86,59297
2025-02-07 14:56:00+00:00,26.87,27.25,26.65,27.25,18187
2025-02-07 14:58:00+00:00,27.25,27.25,27.08,27.16,5696
2025-02-07 15:00:00+00:00,27.01,27.04,26.87,26.91,4932
2025-02-07 15:02:00+00:00,26.9576,27.25,26.9576,27.0,7147
2025-02-07 15:04:00+00:00,27.04,27.04,26.935,27.0,7204
2025-02-07 15:06:00+00:00,27.08,27.24,26.92,27.19,20324
2025-02-07 15:08:00+00:00,27.24,27.27,27.0,27.135,18884
2025-02-07 15:10:00+00:00,27.135,27.135,26.96,27.005,9284
2025-02-07 15:12:00+00:00,27.005,27.01,26.735,26.75,22022
2025-02-07 15:14:00+00:00,26.81,26.9,26.81,26.825,3129
2025-02-07 15:16:00+00:00,26.83,26.89,26.75,26.885,2886
2025-02-07 15:18:00+00:00,26.93,27.02,26.915,26.94,11701
2025-02-07 15:20:00+00:00,26.89,26.89,26.85,26.88,1449
2025-02-07 15:22:00+00:00,26.92,26.986,26.85,26.9101,10465
2025-02-07 15:24:00+00:00,27.0,27.07,26.95,27.065,14347
2025-02-07 15:26:00+00:00,27.055,27.15,27.055,27.1,3877
2025-02-07 15:28:00+00:00,27.02,27.07,26.96,26.96,6562
2025-02-07 15:30:00+00:00,26.995,26.995,26.88,26.88,1656
2025-02-07 15:32:00+00:00,26.9,26.95,26.9,26.9,1329
2025-02-07 15:34:00+00:00,26.9,27.12,26.885,27.1,4641
2025-02-07 15:36:00+00:00,27.18,27.26,27.17,27.23,2249
2025-02-07 15:38:00+00:00,27.15,27.29,27.08,27.2,5610
2025-02-07 15:40:00+00:00,27.24,27.24,27.2,27.2,544
2025-02-07 15:42:00+00:00,27.215,27.28,27.215,27.245,3561
2025-02-07 15:44:00+00:00,27.24,27.24,27.16,27.16,1930
2025-02-07 15:46:00+00:00,27.16,27.2,27.12,27.2,8920
2025-02-07 15:48:00+00:00,27.22,27.23,27.2,27.2,1498
2025-02-07 15:50:00+00:00,27.2,27.2,26.98,26.98,3010
2025-02-07 15:52:00+00:00,26.99,27.04,26.89,26.9,7689
2025-02-07 15:54:00+00:00,26.89,27.13,26.89,27.13,4729
2025-02-07 15:56:00+00:00,27.075,27.075,26.93,26.95,3902
2025-02-07 15:58:00+00:00,26.97,27.005,26.95,26.97,29290
2025-02-07 16:00:00+00:00,26.97,27.01,26.895,26.975,22983
2025-02-07 16:02:00+00:00,27.01,27.21,27.01,27.09,2403
2025-02-07 16:04:00+00:00,27.14,27.195,27.06,27.085,15716
2025-02-07 16:06:00+00:00,27.09,27.19,27.09,27.18,5196
2025-02-07 16:08:00+00:00,27.2,27.23,27.04,27.065,12078
2025-02-07 16:10:00+00:00,27.01,27.02,26.87,26.94,32050
2025-02-07 16:12:00+00:00,26.94,26.96,26.87,26.94,4354
