Datetime,Open,High,Low,Close,Volume
2025-09-15 08:00:00+00:00,4.94,4.94,4.94,4.94,150
2025-09-15 08:14:00+00:00,4.95,5.08,4.95,5.08,200
2025-09-15 08:16:00+00:00,5.1,5.1,5.1,5.1,961
2025-09-15 08:20:00+00:00,5.51,5.51,5.16,5.4,6276
2025-09-15 08:22:00+00:00,5.3,5.39,5.28,5.36,2392
2025-09-15 08:24:00+00:00,5.24,5.32,5.24,5.3,2443
2025-09-15 08:26:00+00:00,5.26,5.3,5.25,5.3,1807
2025-09-15 08:28:00+00:00,5.26,5.26,5.25,5.25,497
2025-09-15 08:30:00+00:00,5.15,5.16,5.15,5.16,1132
2025-09-15 08:32:00+00:00,5.16,5.26,5.16,5.26,245
2025-09-15 08:38:00+00:00,5.36,5.36,5.24,5.24,613
2025-09-15 08:56:00+00:00,5.09,5.09,5.09,5.09,281
2025-09-15 08:58:00+00:00,5.09,5.09,5.09,5.09,217
2025-09-15 09:00:00+00:00,5.07,5.07,5.06,5.06,953
2025-09-15 09:02:00+00:00,5.03,5.03,5.03,5.03,501
2025-09-15 09:10:00+00:00,5.03,5.03,5.03,5.03,166
2025-09-15 09:18:00+00:00,5.2,5.2,5.2,5.2,147
2025-09-15 09:24:00+00:00,5.21,5.21,5.21,5.21,127
2025-09-15 09:48:00+00:00,5.22,5.22,5.22,5.22,264
2025-09-15 09:54:00+00:00,5.23,5.83,5.23,5.76,19630
2025-09-15 09:56:00+00:00,5.76,5.77,5.35,5.49,21465
2025-09-15 09:58:00+00:00,5.44,5.62,5.31,5.48,13333
2025-09-15 10:00:00+00:00,5.37,5.52,5.37,5.45,4485
2025-09-15 10:02:00+00:00,5.45,5.63,5.4,5.44,12595
2025-09-15 10:04:00+00:00,5.44,5.55,5.33,5.55,13282
2025-09-15 10:06:00+00:00,5.54,5.55,5.48,5.48,4189
2025-09-15 10:08:00+00:00,5.44,5.6,5.38,5.4,5901
2025-09-15 10:10:00+00:00,5.38,5.4,5.19,5.3,17923
2025-09-15 10:12:00+00:00,5.3,5.47,5.29,5.36,4010
2025-09-15 10:16:00+00:00,5.36,5.46,5.36,5.41,2181
2025-09-15 10:18:00+00:00,5.41,5.5,5.37,5.5,3261
2025-09-15 10:20:00+00:00,5.58,5.64,5.49,5.61,2977
2025-09-15 10:22:00+00:00,5.64,6.39,5.59,6.23,88883
2025-09-15 10:24:00+00:00,6.2,6.2,5.57,6.0,147428
2025-09-15 10:26:00+00:00,6.03,6.82,5.95,6.26,247004
2025-09-15 10:28:00+00:00,6.27,7.17,6.25,6.38,461679
2025-09-15 10:30:00+00:00,6.38,6.7,6.21,6.37,273265
2025-09-15 10:32:00+00:00,6.39,6.52,4.855,5.1,397012
2025-09-15 10:34:00+00:00,5.07,5.36,5.07,5.23,182693
2025-09-15 10:36:00+00:00,5.23,5.24,4.87,4.95,168541
2025-09-15 10:38:00+00:00,4.94,5.3,4.87,5.14,110040
2025-09-15 10:40:00+00:00,5.14,5.2,5.04,5.12,68478
2025-09-15 10:42:00+00:00,5.12,5.21,5.09,5.21,27810
2025-09-15 10:44:00+00:00,5.22,5.23,5.09,5.18,36454
2025-09-15 10:46:00+00:00,5.2,5.26,5.13,5.13,35292
2025-09-15 10:48:00+00:00,5.14,5.23,5.02,5.09,45740
2025-09-15 10:50:00+00:00,5.09,5.09,4.94,5.05,44498
2025-09-15 10:52:00+00:00,5.07,5.11,5.0,5.1,26445
2025-09-15 10:54:00+00:00,5.12,5.12,4.97,4.97,21848
2025-09-15 10:56:00+00:00,4.99,5.01,4.825,4.85,39271
2025-09-15 10:58:00+00:00,4.86,5.07,4.76,5.02,47209
2025-09-15 11:00:00+00:00,5.02,5.05,4.8,4.83,62257
2025-09-15 11:02:00+00:00,4.83,4.86,4.71,4.74,55588
2025-09-15 11:04:00+00:00,4.73,4.8,4.68,4.77,22415
2025-09-15 11:06:00+00:00,4.78,4.84,4.74,4.84,18205
2025-09-15 11:08:00+00:00,4.83,4.96,4.82,4.96,28092
2025-09-15 11:10:00+00:00,4.96,4.961,4.91,4.95,15955
2025-09-15 11:12:00+00:00,4.96,4.96,4.9,4.94,20774
2025-09-15 11:14:00+00:00,4.95,4.95,4.86,4.86,16137
2025-09-15 11:16:00+00:00,4.85,4.85,4.77,4.77,23297
2025-09-15 11:18:00+00:00,4.78,4.84,4.77,4.83,6940
