Datetime,Open,High,Low,Close,Volume
2025-02-10 16:08:00+00:00,7.53,7.53,7.53,7.53,113
2025-02-10 17:54:00+00:00,7.09,7.09,7.09,7.09,600
2025-02-10 18:08:00+00:00,6.79,6.79,6.79,6.79,100
2025-02-10 20:24:00+00:00,6.74,6.74,6.74,6.74,100
2025-03-04 15:16:00+00:00,6.95,6.95,6.46,6.46,325
2025-03-04 18:10:00+00:00,6.87,6.87,6.87,6.87,100
2025-03-04 18:16:00+00:00,6.83,6.83,6.83,6.83,100
2025-04-07 13:38:00+00:00,8.8,8.8,8.8,8.8,451
2025-04-07 14:30:00+00:00,8.205,8.49,8.205,8.49,200
2025-04-07 15:38:00+00:00,8.5,8.5,8.5,8.5,176
2025-04-07 17:08:00+00:00,7.5,7.5,7.5,7.5,540
2025-04-07 17:20:00+00:00,7.65,7.65,7.65,7.65,239
2025-04-07 17:22:00+00:00,8.29,8.29,8.29,8.29,106
2025-04-07 18:20:00+00:00,8.5,8.5,8.5,8.5,1693
2025-04-07 18:28:00+00:00,7.66,7.66,7.64,7.6401,907
2025-12-26 15:54:00+00:00,12.6,12.6,12.04,12.04,675
2025-12-26 16:48:00+00:00,11.85,11.85,11.85,11.85,100
2025-12-26 20:58:00+00:00,11.52,11.52,11.52,11.52,158
2026-02-06 09:48:00+00:00,12.55,12.55,12.55,12.55,358
2026-02-06 09:54:00+00:00,17.21,25.06,17.12,25.06,2101
2026-02-06 09:56:00+00:00,34.04,34.96,27.0,27.9,16678
2026-02-06 09:58:00+00:00,27.06,27.06,19.63,20.06,21061
2026-02-06 10:00:00+00:00,18.84,18.84,15.0,16.16,27350
2026-02-06 10:02:00+00:00,16.13,19.0,15.62,18.99,17525
2026-02-06 10:04:00+00:00,18.41,18.41,17.0,17.13,11199
2026-02-06 10:06:00+00:00,18.38,19.41,18.0,19.41,7139
2026-02-06 10:08:00+00:00,19.1,19.54,18.0,18.0,9435
2026-02-06 10:10:00+00:00,17.78,17.78,17.66,17.66,7435
2026-02-06 10:12:00+00:00,17.12,17.12,15.8,16.05,11543
2026-02-06 10:14:00+00:00,16.07,16.48,15.95,15.95,5904
2026-02-06 10:16:00+00:00,15.8,15.8,14.37,14.37,11220
2026-02-06 10:18:00+00:00,14.3,14.41,14.3,14.36,3255
2026-02-06 10:20:00+00:00,15.06,15.06,15.06,15.06,1732
2026-02-06 10:22:00+00:00,16.1,17.83,16.1,16.71,9839
2026-02-06 10:24:00+00:00,16.46,16.76,16.46,16.76,3732
2026-02-06 10:26:00+00:00,16.76,17.7,16.76,17.04,4514
2026-02-06 10:28:00+00:00,17.49,17.49,17.0,17.0,3239
2026-02-06 10:32:00+00:00,16.1,17.42,16.1,17.42,1901
2026-02-06 10:34:00+00:00,17.3,17.49,16.5,17.0,4291
2026-02-06 10:36:00+00:00,16.65,16.65,16.65,16.65,1615
2026-02-06 10:40:00+00:00,16.39,16.5,16.39,16.5,1077
2026-02-06 10:44:00+00:00,17.5,17.5,17.5,17.5,1274
2026-02-06 10:52:00+00:00,16.56,16.56,16.56,16.56,755
2026-02-06 10:54:00+00:00,16.26,16.26,15.66,15.66,2880
2026-02-06 10:56:00+00:00,15.6,15.6,15.6,15.6,1258
2026-02-06 10:58:00+00:00,15.14,15.14,15.14,15.14,649
2026-02-06 11:00:00+00:00,15.0,15.55,15.0,15.55,2746
2026-02-06 11:08:00+00:00,15.08,15.08,15.08,15.08,849
2026-02-06 11:10:00+00:00,14.6,14.85,14.6,14.85,2708
2026-02-06 11:12:00+00:00,14.99,14.99,14.3,14.3,1955
2026-02-06 11:14:00+00:00,14.77,15.26,14.77,15.26,1238
2026-02-06 11:18:00+00:00,14.9,14.9,14.9,14.9,287
2026-02-06 11:20:00+00:00,14.52,14.52,14.2,14.2,1464
2026-02-06 11:28:00+00:00,14.9,14.9,14.9,14.9,571
2026-02-06 11:38:00+00:00,14.9,14.9,14.9,14.9,258
2026-02-06 11:40:00+00:00,14.4,14.4,14.4,14.4,1207
2026-02-06 11:46:00+00:00,14.0,14.0,13.76,13.76,735
2026-02-06 11:48:00+00:00,13.8,14.21,13.8,14.21,1081
2026-02-06 11:50:00+00:00,14.0,14.0,13.54,13.54,1798
2026-02-06 11:52:00+00:00,13.65,13.65,13.65,13.65,482
2026-02-06 12:02:00+00:00,14.95,16.5,14.95,16.39,7742
2026-02-06 12:04:00+00:00,17.0,17.3,15.73,15.73,8686
2026-02-06 12:06:00+00:00,15.24,15.24,15.0,15.0,1561
2026-02-06 12:08:00+00:00,14.55,14.55,14.55,14.55,1209
2026-02-06 12:10:00+00:00,14.82,14.82,14.82,14.82,300
2026-02-06 12:12:00+00:00,14.48,14.48,14.48,14.48,1100
2026-02-06 12:14:00+00:00,14.12,14.4,14.12,14.4,1389
2026-02-06 12:16:00+00:00,14.5,15.34,14.5,15.34,968
2026-02-06 12:18:00+00:00,15.34,15.69,15.34,15.69,1414
2026-02-06 12:20:00+00:00,15.52,15.52,15.52,15.52,1976
2026-02-06 12:22:00+00:00,15.0,15.0,14.67,14.67,1355
2026-02-06 12:28:00+00:00,15.63,16.0,15.63,16.0,1618
2026-02-06 12:32:00+00:00,14.72,14.72,14.72,14.72,693
2026-02-06 12:50:00+00:00,14.41,14.41,14.41,14.41,817
2026-02-06 12:58:00+00:00,15.64,15.83,15.64,15.83,804
2026-02-06 13:00:00+00:00,14.5,19.1,13.3988,15.51,88387
2026-02-06 13:02:00+00:00,18.0,20.1009,15.5,15.5,12266
2026-02-06 13:04:00+00:00,15.0,15.8023,15.0,15.66,2410
2026-02-06 13:06:00+00:00,15.2929,15.2929,15.25,15.25,1865
2026-02-06 13:08:00+00:00,15.0106,34.7616,15.0106,21.3485,10593
2026-02-06 13:10:00+00:00,15.2372,15.2372,15.0,15.0,1262
2026-02-06 13:12:00+00:00,15.81,15.81,15.81,15.81,1566
2026-02-06 13:14:00+00:00,15.65,16.8,15.65,16.8,5487
2026-02-06 13:16:00+00:00,16.6426,17.3,16.5,16.61,12362
2026-02-06 13:18:00+00:00,16.5,16.5,15.8034,16.11,3870
2026-02-06 13:20:00+00:00,16.0,16.31,16.0,16.31,3830
2026-02-06 13:22:00+00:00,15.88,15.9068,15.77,15.9068,1317
2026-02-06 13:24:00+00:00,16.46,16.46,16.11,16.11,1610
2026-02-06 13:26:00+00:00,16.4305,19.2166,16.4305,18.8262,21290
2026-02-06 13:28:00+00:00,19.0,21.1,17.65,19.0,97725
2026-02-06 13:30:00+00:00,19.2,19.2,17.68,17.7,36023
2026-02-06 13:32:00+00:00,17.9895,18.6,17.71,17.71,25078
2026-02-06 13:34:00+00:00,17.7,18.2,16.87,17.14,26197
2026-02-06 13:36:00+00:00,17.46,17.97,17.0287,17.3,18292
2026-02-06 13:38:00+00:00,17.57,17.57,16.73,17.5042,14041
2026-02-06 13:40:00+00:00,17.44,17.44,17.11,17.2,5499
2026-02-06 13:42:00+00:00,17.15,17.1501,16.65,16.65,16425
2026-02-06 13:44:00+00:00,16.51,17.33,15.37,17.33,30155
2026-02-06 13:46:00+00:00,17.3,17.3,16.75,16.86,14255
2026-02-06 13:48:00+00:00,17.08,17.08,16.3256,16.38,7934
2026-02-06 13:50:00+00:00,16.23,16.67,16.23,16.67,4416
2026-02-06 13:52:00+00:00,16.32,16.7,16.0,16.2,6407
2026-02-06 13:54:00+00:00,16.535,17.1,16.535,16.66,8307
2026-02-06 13:56:00+00:00,16.8646,16.8925,16.48,16.48,4420
2026-02-06 13:58:00+00:00,16.48,16.48,16.48,16.48,1695
2026-02-06 14:00:00+00:00,16.45,16.45,16.45,16.45,1241
2026-02-06 14:02:00+00:00,16.37,16.4078,15.5,15.5841,27087
2026-02-06 14:04:00+00:00,16.2649,16.2649,15.4,15.5537,4860
2026-02-06 14:06:00+00:00,15.8867,16.528,15.8867,16.5,6412
2026-02-06 14:08:00+00:00,16.47,16.64,16.239,16.5866,2151
2026-02-06 14:10:00+00:00,16.32,16.44,16.27,16.27,2392
2026-02-06 14:12:00+00:00,16.2,16.4,15.72,16.4,3656
2026-02-06 14:14:00+00:00,16.2462,16.49,16.23,16.49,3084
2026-02-06 14:16:00+00:00,16.3793,16.3793,16.35,16.35,2152
2026-02-06 14:18:00+00:00,16.42,16.7,16.42,16.52,2607
2026-02-06 14:20:00+00:00,16.26,16.5,15.9,15.9,3957
2026-02-06 14:22:00+00:00,16.0,16.347,16.0,16.347,1345
2026-02-06 14:24:00+00:00,16.1645,16.1645,16.1645,16.1645,502
2026-02-06 14:26:00+00:00,16.16,16.16,16.16,16.16,1610
2026-02-06 14:28:00+00:00,16.1,16.1,16.1,16.1,392
2026-02-06 14:30:00+00:00,16.3,17.4,15.5,15.53,25135
2026-02-06 14:32:00+00:00,15.45,15.45,14.97,14.97,5522
2026-02-06 14:42:00+00:00,13.55,15.38,13.55,15.38,27019
2026-02-06 14:52:00+00:00,15.85,16.91,15.38,16.3134,10440
2026-02-06 14:54:00+00:00,16.08,16.14,15.0,15.9899,11677
2026-02-06 14:56:00+00:00,15.675,15.75,15.1707,15.53,4067
2026-02-06 14:58:00+00:00,15.28,15.31,14.5,14.74,9041
2026-02-06 15:00:00+00:00,15.29,15.29,14.68,15.2379,2570
2026-02-06 15:02:00+00:00,14.843,15.25,14.6567,14.9928,3980
2026-02-06 15:04:00+00:00,14.845,14.845,14.49,14.5,4104
2026-02-06 15:06:00+00:00,14.75,15.869,14.75,15.275,5411
2026-02-06 15:08:00+00:00,15.31,16.26,14.96,15.12,9662
2026-02-06 15:10:00+00:00,15.12,15.12,14.5,14.7,6632
2026-02-06 15:12:00+00:00,14.68,14.85,14.37,14.55,3069
2026-02-06 15:14:00+00:00,14.3,14.3,13.78,13.78,4051
2026-02-06 15:16:00+00:00,13.55,13.55,13.26,13.35,9929
2026-02-06 15:18:00+00:00,13.48,13.48,12.31,13.06,8424
2026-02-06 15:20:00+00:00,12.66,13.48,12.31,13.4,9560
2026-02-06 15:22:00+00:00,12.87,12.9,12.87,12.9,1679
2026-02-06 15:24:00+00:00,13.03,13.1257,12.86,12.86,2788
2026-02-06 15:26:00+00:00,12.69,12.83,12.69,12.83,1841
2026-02-06 15:28:00+00:00,12.8762,12.8762,12.8762,12.8762,361
2026-02-06 15:30:00+00:00,12.9,12.9,12.9,12.9,433
2026-02-06 15:32:00+00:00,13.2,13.2,13.0,13.0,432
2026-02-06 15:34:00+00:00,13.02,13.362,13.0104,13.2,2519
2026-02-06 15:36:00+00:00,13.405,13.46,13.405,13.46,1083
2026-02-06 15:38:00+00:00,13.405,13.405,13.4,13.4,1545
2026-02-06 15:40:00+00:00,13.25,14.2547,13.1957,14.2547,2888
2026-02-06 15:42:00+00:00,14.28,14.8448,14.28,14.8,5580
2026-02-06 15:44:00+00:00,14.3,14.6819,14.14,14.14,1778
2026-02-06 15:46:00+00:00,14.6908,14.7225,13.42,13.68,4109
2026-02-06 15:48:00+00:00,13.88,14.105,13.6803,14.105,1449
2026-02-06 15:50:00+00:00,13.67,13.67,13.67,13.67,471
2026-02-06 15:52:00+00:00,13.67,13.67,13.67,13.67,219
2026-02-06 15:54:00+00:00,13.79,13.79,13.49,13.547,857
2026-02-06 15:56:00+00:00,13.55,14.1,13.55,14.1,2154
2026-02-06 15:58:00+00:00,14.09,14.09,13.6303,13.6303,2200
2026-02-06 16:02:00+00:00,13.6307,13.6307,13.6307,13.6307,243
2026-02-06 16:04:00+00:00,14.1,14.1,14.1,14.1,531
2026-02-06 16:06:00+00:00,14.1,14.5,13.99,14.436,3274
2026-02-06 16:12:00+00:00,14.44,15.0606,14.37,14.37,2506
2026-02-06 16:14:00+00:00,14.08,14.08,14.08,14.08,523
2026-02-06 16:22:00+00:00,14.0408,14.505,14.0408,14.505,927
2026-02-06 16:24:00+00:00,14.505,14.505,14.07,14.07,296
2026-02-06 16:28:00+00:00,14.08,14.08,13.86,13.86,1570
2026-02-06 16:30:00+00:00,14.692,14.9,14.38,14.9,1154
2026-02-06 16:34:00+00:00,14.8,14.8,14.8,14.8,566
2026-02-06 16:38:00+00:00,14.36,14.6861,14.0,14.0,839
2026-02-06 16:40:00+00:00,13.9255,13.9255,13.9255,13.9255,129
2026-02-06 16:42:00+00:00,13.74,13.81,13.74,13.81,535
2026-02-06 16:50:00+00:00,14.74,14.74,14.4566,14.6999,2240
2026-02-06 16:54:00+00:00,13.85,13.85,13.85,13.85,402
2026-02-06 16:58:00+00:00,13.9,14.425,13.9,14.15,1020
2026-02-06 17:02:00+00:00,14.136,14.136,14.07,14.07,396
2026-02-06 17:04:00+00:00,14.1,14.1,13.99,13.99,752
2026-02-06 17:06:00+00:00,13.99,14.0,13.9,13.9,2125
2026-02-06 17:08:00+00:00,13.6,13.6,13.55,13.55,2146
2026-02-06 17:10:00+00:00,13.5,13.5,13.5,13.5,402
2026-02-06 17:14:00+00:00,13.5034,13.5034,13.01,13.01,3229
2026-02-06 17:16:00+00:00,13.01,13.01,13.01,13.01,239
2026-02-06 17:18:00+00:00,13.1481,13.1481,13.136,13.136,471
2026-02-06 17:20:00+00:00,13.5178,13.5178,13.5178,13.5178,157
2026-02-06 17:22:00+00:00,13.5815,13.5815,13.325,13.325,742
2026-02-06 17:28:00+00:00,13.28,13.28,13.28,13.28,121
2026-02-06 17:34:00+00:00,13.28,13.28,13.28,13.28,187
2026-02-06 17:36:00+00:00,13.21,13.21,13.21,13.21,633
2026-02-06 17:58:00+00:00,13.24,13.24,13.24,13.24,300
2026-02-06 18:00:00+00:00,13.24,13.24,13.24,13.24,142
2026-02-06 18:02:00+00:00,13.24,13.24,13.24,13.24,313
2026-02-06 18:06:00+00:00,13.32,13.32,13.32,13.32,364
2026-02-06 18:14:00+00:00,13.35,13.64,13.35,13.64,2102
2026-02-06 18:16:00+00:00,14.48,14.48,14.48,14.48,347
2026-02-06 18:20:00+00:00,13.5629,13.5629,13.5629,13.5629,350
2026-02-06 18:22:00+00:00,13.75,13.75,13.75,13.75,291
2026-02-06 18:24:00+00:00,13.65,13.65,13.45,13.45,901
2026-02-06 18:26:00+00:00,13.45,13.45,13.45,13.45,225
2026-02-06 18:30:00+00:00,13.4,13.45,13.4,13.45,617
2026-02-06 18:32:00+00:00,13.25,13.25,13.24,13.24,1158
2026-02-06 18:34:00+00:00,14.2,14.2,13.2401,13.43,826
2026-02-06 18:36:00+00:00,13.4,13.4,13.4,13.4,214
2026-02-06 18:38:00+00:00,13.4,13.4,13.17,13.17,3048
2026-02-06 18:40:00+00:00,13.17,13.17,12.31,12.31,3585
2026-02-06 18:42:00+00:00,12.99,13.0,12.635,12.635,1463
2026-02-06 18:44:00+00:00,12.62,12.62,12.5701,12.5701,452
2026-02-06 18:46:00+00:00,12.5,12.5,12.06,12.29,3935
2026-02-06 18:48:00+00:00,12.2867,12.2867,12.12,12.18,1827
2026-02-06 18:50:00+00:00,11.9305,11.9305,11.8,11.8,1701
2026-02-06 18:52:00+00:00,11.9036,12.03,11.9036,12.03,798
2026-02-06 18:54:00+00:00,11.9,11.9,11.8,11.8,1834
2026-02-06 18:58:00+00:00,11.9,11.9,11.9,11.9,178
2026-02-06 19:02:00+00:00,11.9,11.9,11.9,11.9,1197
2026-02-06 19:10:00+00:00,12.0,12.0,12.0,12.0,116
2026-02-06 19:12:00+00:00,11.93,12.0,11.93,12.0,442
2026-02-06 19:16:00+00:00,11.8601,12.0,11.8601,12.0,308
2026-02-06 19:18:00+00:00,11.972,12.0,11.972,12.0,282
2026-02-06 19:26:00+00:00,12.2,12.25,12.2,12.25,752
2026-02-06 19:34:00+00:00,12.74,12.74,12.74,12.74,464
2026-02-06 19:36:00+00:00,12.8,12.8,12.8,12.8,591
2026-02-06 19:40:00+00:00,12.74,12.74,12.74,12.74,450
2026-02-06 19:44:00+00:00,12.9,12.9,12.9,12.9,590
2026-02-06 19:48:00+00:00,13.26,13.26,13.26,13.26,230
2026-02-06 19:50:00+00:00,13.49,13.54,13.49,13.54,675
2026-02-06 19:54:00+00:00,14.27,14.27,13.98,13.98,1660
2026-02-06 19:56:00+00:00,12.84,12.84,12.84,12.84,847
2026-02-06 19:58:00+00:00,13.02,13.02,13.02,13.02,1187
