Datetime,Open,High,Low,Close,Volume
2025-11-19 12:00:00+00:00,0.902,0.902,0.902,0.902,100
2025-11-19 13:00:00+00:00,0.87,0.888,0.87,0.888,1163
2025-11-19 13:08:00+00:00,0.8843,0.8843,0.8843,0.8843,100
2025-11-19 13:34:00+00:00,0.9057,0.9057,0.9057,0.9057,193
2025-11-19 14:08:00+00:00,0.921,0.9214,0.921,0.9213,1770
2025-11-19 14:16:00+00:00,0.9397,0.9397,0.9397,0.9397,416
2025-11-19 14:18:00+00:00,0.9397,0.9397,0.9397,0.9397,300
2025-11-19 14:20:00+00:00,0.95,0.9598,0.95,0.9598,472
2025-11-19 14:24:00+00:00,0.96,0.96,0.96,0.96,183
2025-11-19 14:28:00+00:00,0.9397,0.9397,0.9397,0.9397,225
2025-11-19 14:30:00+00:00,0.98,0.98,0.9058,0.91,13972
2025-11-19 14:32:00+00:00,0.9183,0.99,0.9183,0.9183,620
2025-11-19 14:34:00+00:00,0.99,0.99,0.99,0.99,111
2025-11-19 14:36:00+00:00,0.937,0.99,0.92,0.9282,14065
2025-11-19 14:38:00+00:00,0.9541,0.9541,0.9,0.9,11265
2025-11-19 14:40:00+00:00,0.9124,0.9124,0.8613,0.8648,30498
2025-11-19 14:42:00+00:00,0.87,0.87,0.8656,0.8656,999
2025-11-19 14:44:00+00:00,0.8795,0.8987,0.8795,0.8986,2966
2025-11-19 14:46:00+00:00,0.8913,0.8913,0.8822,0.8822,12197
2025-11-19 14:48:00+00:00,0.8822,0.8823,0.8258,0.8259,21208
2025-11-19 14:50:00+00:00,0.8314,0.8569,0.8314,0.8331,643
2025-11-19 14:52:00+00:00,0.8314,0.8314,0.8314,0.8314,427
2025-11-19 14:54:00+00:00,0.8548,0.8548,0.8258,0.8259,799
2025-11-19 14:56:00+00:00,0.8258,0.8258,0.8258,0.8258,183
2025-11-19 15:00:00+00:00,0.8402,0.8402,0.8402,0.8402,101
2025-11-19 15:04:00+00:00,0.8829,0.8839,0.862,0.8839,2022
2025-11-19 15:06:00+00:00,0.862,0.862,0.862,0.862,100
2025-11-19 15:08:00+00:00,0.861,0.864,0.861,0.864,2020
2025-11-19 15:12:00+00:00,0.8626,0.88,0.8626,0.88,1741
2025-11-19 15:14:00+00:00,0.854,0.854,0.854,0.854,630
2025-11-19 15:16:00+00:00,0.8457,0.8457,0.8457,0.8457,164
2025-11-19 15:20:00+00:00,0.8543,0.8543,0.8456,0.8456,1111
2025-11-19 15:22:00+00:00,0.8423,0.8647,0.8401,0.8401,2700
2025-11-19 15:24:00+00:00,0.8401,0.8401,0.8401,0.8401,752
2025-11-19 15:28:00+00:00,0.8401,0.8401,0.8401,0.8401,376
2025-11-19 15:30:00+00:00,0.8402,0.858,0.8402,0.858,1250
2025-11-19 15:32:00+00:00,0.8442,0.8442,0.8442,0.8442,670
2025-11-19 15:34:00+00:00,0.8442,0.8442,0.8442,0.8442,530
2025-11-19 15:36:00+00:00,0.8442,0.8442,0.8442,0.8442,239
2025-11-19 15:38:00+00:00,0.8424,0.8425,0.8216,0.8216,13145
2025-11-19 15:40:00+00:00,0.8216,0.8216,0.81,0.81,611
2025-11-19 15:42:00+00:00,0.8366,0.8366,0.8094,0.8094,590
2025-11-19 15:44:00+00:00,0.81,0.81,0.81,0.81,105
2025-11-19 15:46:00+00:00,0.81,0.81,0.81,0.81,210
2025-11-19 15:48:00+00:00,0.8382,0.8382,0.8127,0.8127,527
2025-11-19 15:50:00+00:00,0.8127,0.8127,0.8127,0.8127,210
2025-11-19 15:52:00+00:00,0.8159,0.8159,0.8159,0.8159,420
2025-11-19 15:54:00+00:00,0.818,0.818,0.818,0.818,375
2025-11-19 15:58:00+00:00,0.818,0.818,0.818,0.818,1145
2025-11-19 16:00:00+00:00,0.8409,0.8409,0.819,0.82,1628
2025-11-19 16:04:00+00:00,0.82,0.82,0.82,0.82,190
2025-11-19 16:06:00+00:00,0.8202,0.821,0.8202,0.821,385
2025-11-19 16:10:00+00:00,0.8212,0.8212,0.8212,0.8212,254
2025-11-19 16:12:00+00:00,0.8214,0.8214,0.8214,0.8214,285
2025-11-19 16:14:00+00:00,0.8227,0.8227,0.8227,0.8227,110
2025-11-19 16:20:00+00:00,0.8236,0.8236,0.8236,0.8236,100
2025-11-19 16:24:00+00:00,0.8235,0.8236,0.823,0.823,4079
2025-11-19 16:26:00+00:00,0.8231,0.8231,0.8231,0.8231,1055
2025-11-19 16:28:00+00:00,0.8231,0.8231,0.823,0.823,4329
2025-11-19 16:30:00+00:00,0.82,0.8313,0.8197,0.8197,3450
2025-11-19 16:32:00+00:00,0.82,0.82,0.81,0.81,4565
2025-11-19 16:34:00+00:00,0.8019,0.8019,0.8018,0.8018,690
2025-11-19 16:36:00+00:00,0.801,0.801,0.801,0.801,592
2025-11-19 16:38:00+00:00,0.8011,0.8011,0.8011,0.8011,126
