Datetime,Open,High,Low,Close,Volume
2025-01-15 09:00:00+00:00,9.6,9.78,9.18,9.63,686860.0
2025-01-15 09:02:00+00:00,9.63,9.67,9.54,9.63,254480.0
2025-01-15 09:04:00+00:00,9.63,9.7,9.51,9.56,555486.0
2025-01-15 09:06:00+00:00,9.56,9.6,9.52,9.56,263138.0
2025-01-15 09:08:00+00:00,9.56,9.6,9.55,9.59,181615.0
2025-01-15 09:10:00+00:00,9.6,9.6,9.57,9.59,122376.0
2025-01-15 09:12:00+00:00,9.58,9.6,9.53,9.54,133892.0
2025-01-15 09:14:00+00:00,9.55,9.6,9.54,9.59,76281.0
2025-01-15 09:16:00+00:00,9.59,9.6,9.575,9.58,73332.0
2025-01-15 09:18:00+00:00,9.58,9.58,9.54,9.55,72535.0
2025-01-15 09:20:00+00:00,9.55,9.58,9.54,9.57,58457.0
2025-01-15 09:22:00+00:00,9.57,9.66,9.56,9.66,198635.0
2025-01-15 09:24:00+00:00,9.65,9.7,9.61,9.66,189016.0
2025-01-15 09:26:00+00:00,9.66,9.68,9.64,9.66,150825.0
2025-01-15 09:28:00+00:00,9.66,9.71,9.61,9.65,204754.0
2025-01-15 09:30:00+00:00,9.66,9.7,9.64,9.69,134562.0
2025-01-15 09:32:00+00:00,9.69,9.71,9.66,9.69,139327.0
2025-01-15 09:34:00+00:00,9.7,9.7,9.65,9.67,97133.0
2025-01-15 09:36:00+00:00,9.68,9.69,9.66,9.68,65219.0
2025-01-15 09:38:00+00:00,9.68,9.68,9.58,9.59,159908.0
2025-01-15 09:40:00+00:00,9.59,9.61,9.55,9.61,92390.0
2025-01-15 09:42:00+00:00,9.61,9.64,9.59,9.6,72891.0
2025-01-15 09:44:00+00:00,9.6,9.62,9.56,9.62,63263.0
2025-01-15 09:46:00+00:00,9.62,9.66,9.62,9.64,50067.0
2025-01-15 09:48:00+00:00,9.65,9.68,9.65,9.67,15854.0
2025-01-15 09:50:00+00:00,9.69,9.69,9.64,9.66,49638.0
2025-01-15 09:52:00+00:00,9.66,9.71,9.66,9.69,175432.0
2025-01-15 09:54:00+00:00,9.69,9.71,9.67,9.7,78037.0
