Datetime,Open,High,Low,Close,Volume
2025-01-24 12:22:00+00:00,2.46,2.46,2.46,2.46,985
2025-01-24 14:30:00+00:00,2.47,2.47,2.47,2.47,5959
2025-01-24 14:42:00+00:00,2.423,2.423,2.423,2.423,448
2025-01-24 14:48:00+00:00,2.3,2.31,2.22,2.31,1141
2025-01-24 14:54:00+00:00,2.31,2.31,2.31,2.31,300
2025-01-24 15:18:00+00:00,2.3,2.37,2.3,2.37,454
2025-01-24 15:30:00+00:00,2.28,2.28,2.28,2.28,100
2025-01-24 15:36:00+00:00,2.2702,2.2702,2.2702,2.2702,5000
2025-01-24 15:44:00+00:00,2.27,2.27,2.15,2.17,2628
2025-01-24 16:02:00+00:00,2.19,2.19,2.19,2.19,125
2025-01-24 16:22:00+00:00,2.185,2.185,2.17,2.18,917
2025-01-24 16:42:00+00:00,2.1945,2.1945,2.1945,2.1945,100
2025-01-24 16:48:00+00:00,2.185,2.185,2.185,2.185,100
2025-01-24 16:52:00+00:00,2.185,2.2,2.185,2.2,552
2025-01-24 17:00:00+00:00,2.19,2.19,2.19,2.19,120
2025-01-24 17:04:00+00:00,2.19,2.19,2.19,2.19,125
2025-01-24 17:12:00+00:00,2.2,2.2,2.2,2.2,300
2025-01-24 17:16:00+00:00,2.2899,2.2899,2.2899,2.2899,1000
2025-01-24 17:54:00+00:00,2.28,2.28,2.28,2.28,100
2025-01-24 18:30:00+00:00,2.235,2.235,2.235,2.235,500
2025-01-24 18:32:00+00:00,2.235,2.235,2.18,2.18,200
2025-01-24 18:40:00+00:00,2.28,2.28,2.28,2.28,100
2025-01-24 18:48:00+00:00,2.28,2.28,2.28,2.28,500
2025-01-24 18:52:00+00:00,2.23,2.23,2.23,2.23,1500
2025-01-24 19:14:00+00:00,2.25,2.25,2.25,2.25,250
2025-01-24 19:16:00+00:00,2.2,2.2,2.2,2.2,150
2025-01-24 19:26:00+00:00,2.26,2.26,2.26,2.26,100
2025-01-24 19:38:00+00:00,2.212,2.22,2.21,2.22,4930
2025-01-24 20:06:00+00:00,2.24,2.24,2.24,2.24,380
2025-01-24 20:12:00+00:00,2.24,2.24,2.24,2.24,227
2025-01-24 20:38:00+00:00,2.23,2.23,2.23,2.23,139
2025-01-24 20:50:00+00:00,2.1738,2.21,2.1738,2.21,537
2025-01-24 20:52:00+00:00,2.195,2.195,2.195,2.195,325
2025-01-24 20:54:00+00:00,2.2,2.2,2.2,2.2,200
2025-01-24 20:56:00+00:00,2.195,2.195,2.195,2.195,102
2025-01-24 21:06:00+00:00,2.2,2.24,2.2,2.24,1000
