Datetime,Open,High,Low,Close,Volume
2025-10-15 08:00:00+00:00,11.85,15.0,11.64,14.56,365951
2025-10-15 08:02:00+00:00,14.56,15.4,14.38,14.44,319389
2025-10-15 08:04:00+00:00,14.41,14.6,13.15,13.8,233330
2025-10-15 08:06:00+00:00,13.75,13.8,12.95,13.34,177630
2025-10-15 08:08:00+00:00,13.33,14.26,13.31,13.95,248503
2025-10-15 08:10:00+00:00,13.9,14.5,13.65,13.9,190855
2025-10-15 08:12:00+00:00,14.0,14.22,13.2,13.33,166546
2025-10-15 08:14:00+00:00,13.38,13.6,13.02,13.41,121578
2025-10-15 08:16:00+00:00,13.4,14.3,13.23,14.24,142549
2025-10-15 08:18:00+00:00,14.22,15.1,14.05,14.88,320445
2025-10-15 08:20:00+00:00,14.96,15.24,13.74,14.04,235469
2025-10-15 08:22:00+00:00,14.03,14.84,13.76,14.67,206611
2025-10-15 08:24:00+00:00,14.67,15.88,14.4,15.8,349063
2025-10-15 08:26:00+00:00,15.75,16.1,15.4,15.7,351135
2025-10-15 08:28:00+00:00,15.71,16.59,15.53,16.05,258535
2025-10-15 08:30:00+00:00,16.08,16.13,15.52,15.86,143146
2025-10-15 08:32:00+00:00,15.86,16.8,15.51,16.69,217655
2025-10-15 08:34:00+00:00,16.72,16.91,16.45,16.86,235911
2025-10-15 08:36:00+00:00,16.87,17.3,16.54,16.83,239162
2025-10-15 08:38:00+00:00,16.83,16.92,15.86,16.66,170555
2025-10-15 08:40:00+00:00,16.66,16.72,14.62,14.93,247618
2025-10-15 08:42:00+00:00,14.98,15.27,14.28,14.37,157693
2025-10-15 08:44:00+00:00,14.35,15.04,14.32,14.71,105279
2025-10-15 08:46:00+00:00,14.7,15.02,14.63,14.9,43226
2025-10-15 08:48:00+00:00,14.85,15.22,14.54,14.72,82192
2025-10-15 08:50:00+00:00,14.72,14.72,13.6,13.6,125847
2025-10-15 08:52:00+00:00,13.61,14.12,13.58,14.03,62573
2025-10-15 08:54:00+00:00,14.05,14.57,13.99,14.37,64066
2025-10-15 08:56:00+00:00,14.29,14.5,13.8,13.85,41811
2025-10-15 08:58:00+00:00,13.91,13.97,13.58,13.6,31844
2025-10-15 09:00:00+00:00,13.56,14.21,13.56,14.03,34099
2025-10-15 09:02:00+00:00,14.03,14.19,13.75,14.19,15842
2025-10-15 09:04:00+00:00,14.16,14.32,14.0,14.27,17703
2025-10-15 09:06:00+00:00,14.27,14.27,13.85,13.97,17498
2025-10-15 09:08:00+00:00,13.9,14.03,13.37,13.37,38900
2025-10-15 09:10:00+00:00,13.35,13.57,13.07,13.18,53019
2025-10-15 09:12:00+00:00,13.25,13.32,13.1,13.1,22574
2025-10-15 09:14:00+00:00,13.18,13.55,13.12,13.23,26177
2025-10-15 09:16:00+00:00,13.25,13.42,13.16,13.22,12565
2025-10-15 09:18:00+00:00,13.21,13.41,13.18,13.36,12426
2025-10-15 09:20:00+00:00,13.39,13.39,12.76,12.77,36252
2025-10-15 09:22:00+00:00,12.71,12.8,11.68,12.2,69043
2025-10-15 09:24:00+00:00,12.15,12.57,12.0,12.35,40700
2025-10-15 09:26:00+00:00,12.32,12.8,12.29,12.61,30611
2025-10-15 09:28:00+00:00,12.58,12.79,12.5,12.5,19994
2025-10-15 09:30:00+00:00,12.5,12.79,12.2,12.7,17392
2025-10-15 09:32:00+00:00,12.65,12.73,12.53,12.6,8993
2025-10-15 09:34:00+00:00,12.59,12.59,12.14,12.28,17304
2025-10-15 09:36:00+00:00,12.24,12.78,12.24,12.78,18490
2025-10-15 09:38:00+00:00,12.75,12.9,12.22,12.24,30211
2025-10-15 09:40:00+00:00,12.28,12.5,12.27,12.5,6628
2025-10-15 09:42:00+00:00,12.47,12.47,12.25,12.25,6019
2025-10-15 09:44:00+00:00,12.3,12.86,12.3,12.61,12344
2025-10-15 09:46:00+00:00,12.67,12.73,12.01,12.01,32435
2025-10-15 09:48:00+00:00,12.0,12.17,11.8,12.17,36873
2025-10-15 09:50:00+00:00,12.08,12.1,11.75,11.81,18877
2025-10-15 09:52:00+00:00,11.87,12.03,11.77,11.78,18328
2025-10-15 09:54:00+00:00,11.83,12.05,11.83,12.04,11421
2025-10-15 09:56:00+00:00,12.05,12.05,11.89,11.97,7937
2025-10-15 09:58:00+00:00,11.97,11.97,11.77,11.8,14439
2025-10-15 10:00:00+00:00,11.86,11.91,11.19,11.45,44760
2025-10-15 10:02:00+00:00,11.41,11.58,11.36,11.38,19411
2025-10-15 10:04:00+00:00,11.37,11.53,11.25,11.4,21775
2025-10-15 10:06:00+00:00,11.43,11.43,11.22,11.26,10722
2025-10-15 10:08:00+00:00,11.31,11.89,11.3,11.69,29475
2025-10-15 10:10:00+00:00,11.78,12.3,11.78,12.05,56305
2025-10-15 10:12:00+00:00,11.98,12.12,11.8,12.02,26099
2025-10-15 10:14:00+00:00,12.02,12.13,11.95,12.04,12469
2025-10-15 10:16:00+00:00,12.04,12.2,12.01,12.06,14997
