Datetime,Open,High,Low,Close,Volume
2024-01-02 14:30:00+00:00,6.0,6.0,5.73,5.865,4706.0
2024-01-02 14:34:00+00:00,5.95,5.95,5.95,5.95,125.0
2024-01-02 14:36:00+00:00,5.91,5.91,5.91,5.91,429.0
2024-01-02 14:46:00+00:00,5.99,6.0,5.99,6.0,673.0
2024-01-02 14:56:00+00:00,5.99,5.99,5.99,5.99,100.0
2024-01-02 15:02:00+00:00,6.135,6.2499,6.135,6.21,805.0
2024-01-02 15:10:00+00:00,6.3759,6.3759,6.3759,6.3759,239.0
2024-01-02 15:12:00+00:00,6.3783,6.3783,6.3783,6.3783,300.0
2024-01-02 15:14:00+00:00,6.25,6.31,6.25,6.31,424.0
2024-01-02 15:16:00+00:00,6.31,6.31,6.31,6.31,200.0
2024-01-02 15:24:00+00:00,6.23,6.23,6.23,6.23,100.0
2024-01-02 15:30:00+00:00,6.31,6.31,6.28,6.31,705.0
2024-01-02 15:32:00+00:00,6.31,6.31,6.31,6.31,201.0
2024-01-02 15:44:00+00:00,6.31,6.39,6.31,6.385,10114.0
2024-01-02 15:46:00+00:00,6.35,6.35,6.35,6.35,201.0
2024-01-02 15:48:00+00:00,6.36,6.36,6.36,6.36,100.0
2024-01-02 15:56:00+00:00,6.36,6.36,6.36,6.36,101.0
2024-01-02 15:58:00+00:00,6.3188,6.3188,6.3188,6.3188,1020.0
2024-01-02 16:00:00+00:00,6.35,6.35,6.35,6.35,101.0
2024-01-02 16:02:00+00:00,6.335,6.335,6.335,6.335,100.0
2024-01-02 16:04:00+00:00,6.28,6.28,6.28,6.28,105.0
2024-01-02 16:16:00+00:00,6.38,6.38,6.38,6.38,112.0
2024-01-02 16:18:00+00:00,6.375,6.375,6.37,6.37,200.0
2024-01-02 16:22:00+00:00,6.305,6.305,6.305,6.305,1036.0
2024-01-02 16:24:00+00:00,6.26,6.26,6.26,6.26,125.0
2024-01-02 16:26:00+00:00,6.345,6.35,6.345,6.35,200.0
2024-01-02 16:28:00+00:00,6.345,6.345,6.345,6.345,100.0
2024-01-02 16:36:00+00:00,6.2876,6.2876,6.2876,6.2876,100.0
2024-01-02 16:46:00+00:00,6.3,6.3,6.27,6.27,202.0
2024-01-02 17:04:00+00:00,6.352,6.352,6.352,6.352,159.0
2024-01-02 17:10:00+00:00,6.37,6.37,6.37,6.37,372.0
2024-01-02 17:12:00+00:00,6.37,6.37,6.3,6.3,386.0
2024-01-02 17:22:00+00:00,6.315,6.4,6.315,6.395,3461.0
2024-01-02 17:32:00+00:00,6.36,6.36,6.36,6.36,174.0
2024-01-02 17:44:00+00:00,6.48,6.48,6.48,6.48,100.0
2024-01-02 17:46:00+00:00,6.4279,6.4279,6.4279,6.4279,200.0
2024-01-02 17:50:00+00:00,6.48,6.48,6.48,6.48,100.0
2024-01-02 17:54:00+00:00,6.475,6.475,6.475,6.475,140.0
2024-01-02 18:02:00+00:00,6.4,6.41,6.4,6.41,404.0
2024-01-02 18:14:00+00:00,6.38,6.38,6.38,6.38,100.0
2024-01-02 18:24:00+00:00,6.465,6.465,6.465,6.465,100.0
2024-01-02 18:32:00+00:00,6.3603,6.4,6.3603,6.4,700.0
2024-01-02 18:48:00+00:00,6.39,6.39,6.39,6.39,222.0
2024-01-02 18:50:00+00:00,6.39,6.39,6.39,6.39,137.0
2024-01-02 18:52:00+00:00,6.3,6.3,6.3,6.3,350.0
2024-01-02 18:56:00+00:00,6.26,6.26,6.26,6.26,628.0
2024-01-02 19:00:00+00:00,6.23,6.31,6.23,6.23,969.0
2024-01-02 19:02:00+00:00,6.16,6.242,6.15,6.242,3355.0
2024-01-02 19:10:00+00:00,6.055,6.055,6.0323,6.055,300.0
2024-01-02 19:12:00+00:00,6.0,6.01,5.945,5.99,664.0
2024-01-02 19:18:00+00:00,6.0,6.0,6.0,6.0,201.0
2024-01-02 19:20:00+00:00,5.9629,6.06,5.9629,6.06,896.0
2024-01-02 19:22:00+00:00,6.2,6.2,6.15,6.15,370.0
2024-01-02 19:24:00+00:00,6.14,6.14,6.14,6.14,100.0
2024-01-02 19:28:00+00:00,6.1,6.12,6.09,6.12,1047.0
2024-01-02 19:30:00+00:00,6.19,6.19,6.19,6.19,100.0
2024-01-02 19:36:00+00:00,5.96,6.155,5.96,6.155,246.0
