Datetime,Open,High,Low,Close,Volume
2025-04-28 13:30:00+00:00,4.76,4.76,4.76,4.76,101
2025-04-28 15:58:00+00:00,4.54,4.54,4.54,4.54,331
2025-04-28 17:32:00+00:00,4.52,4.52,4.52,4.52,255
2025-04-28 17:34:00+00:00,4.64,4.64,4.64,4.64,100
2025-04-28 17:42:00+00:00,4.55,4.55,4.55,4.55,400
2025-06-23 14:26:00+00:00,2.47,2.47,2.47,2.47,100
2025-06-23 14:54:00+00:00,2.0398,2.0398,2.0398,2.0398,250
2025-06-23 15:12:00+00:00,2.04,2.04,2.04,2.04,100
2025-07-15 13:42:00+00:00,4.4,4.4,4.4,4.4,500
2025-07-15 13:56:00+00:00,4.263,4.263,4.263,4.263,200
2025-07-15 15:50:00+00:00,4.01,4.01,4.01,4.01,100
2025-07-15 17:34:00+00:00,3.76,3.94,3.57,3.94,1188
2025-09-16 11:00:00+00:00,3.7,4.8,3.7,4.8,1573
2025-09-16 11:10:00+00:00,4.11,4.26,4.11,4.26,200
2025-09-16 11:20:00+00:00,3.81,3.81,3.81,3.81,396
2025-09-16 11:30:00+00:00,4.24,4.24,4.24,4.24,100
2025-09-16 12:00:00+00:00,3.8896,4.26,3.8803,4.25,553
2025-09-16 12:02:00+00:00,4.24,4.24,4.24,4.24,100
2025-09-16 12:08:00+00:00,4.26,4.26,4.26,4.26,663
2025-09-16 12:42:00+00:00,4.26,4.26,4.18,4.18,319
2025-09-16 12:44:00+00:00,4.18,4.18,4.18,4.18,201
2025-09-16 13:24:00+00:00,4.22,4.22,4.22,4.22,101
2025-09-16 13:30:00+00:00,4.25,4.64,4.25,4.5,11313
2025-09-16 13:32:00+00:00,4.4,4.4,4.4,4.4,132
2025-09-16 13:34:00+00:00,4.2781,4.2781,4.2781,4.2781,200
2025-09-16 13:36:00+00:00,4.3,4.3,4.25,4.25,2099
2025-09-16 13:46:00+00:00,4.1015,4.1015,4.1015,4.1015,500
2025-09-16 14:20:00+00:00,4.204,4.204,4.204,4.204,100
2025-09-16 14:24:00+00:00,4.1304,4.1304,4.1304,4.1304,1000
2025-09-16 14:36:00+00:00,4.25,4.25,4.25,4.25,200
2025-09-16 14:38:00+00:00,4.245,4.245,4.245,4.245,1055
2025-09-16 14:40:00+00:00,4.44,4.5,4.44,4.48,403
2025-09-16 14:42:00+00:00,4.51,4.63,4.5,4.63,931
2025-09-16 14:44:00+00:00,4.572,4.572,4.572,4.572,260
2025-09-16 14:46:00+00:00,4.63,4.63,4.63,4.63,110
2025-09-16 14:48:00+00:00,4.87,4.87,4.87,4.87,113
2025-09-16 14:50:00+00:00,4.87,4.87,4.7841,4.7841,441
2025-09-16 14:52:00+00:00,4.78,4.78,4.7552,4.7552,458
2025-09-16 14:54:00+00:00,4.776,4.776,4.776,4.776,236
2025-09-16 14:56:00+00:00,4.78,4.85,4.75,4.8,648
2025-09-16 14:58:00+00:00,4.88,4.88,4.855,4.855,3647
2025-09-16 15:00:00+00:00,4.8528,4.88,4.8528,4.88,772
2025-09-16 15:04:00+00:00,4.87,4.87,4.87,4.87,157
2025-09-16 15:06:00+00:00,4.88,4.95,4.879,4.95,3220
2025-09-16 15:08:00+00:00,4.9997,5.4082,4.9997,5.4082,10437
2025-09-16 15:10:00+00:00,5.41,5.65,5.41,5.65,4328
2025-09-16 15:14:00+00:00,5.78,5.78,5.76,5.78,8115
2025-09-16 15:16:00+00:00,5.7726,5.7726,5.2953,5.5123,10255
2025-09-16 15:18:00+00:00,5.532,6.26,5.532,6.26,27275
2025-09-16 15:20:00+00:00,6.26,6.3,5.53,5.6459,22321
2025-09-16 15:22:00+00:00,5.6411,5.66,5.22,5.22,11125
2025-09-16 15:28:00+00:00,5.01,5.2199,4.56,4.56,9155
2025-09-16 15:30:00+00:00,4.56,4.99,4.33,4.9799,7997
2025-09-16 15:32:00+00:00,4.816,4.95,4.54,4.54,2857
2025-09-16 15:34:00+00:00,4.82,4.82,4.6,4.6101,2271
2025-09-16 15:36:00+00:00,4.6132,4.7,4.6101,4.65,1688
2025-09-16 15:38:00+00:00,4.9,4.9,4.75,4.75,2362
2025-09-16 15:40:00+00:00,4.75,4.88,4.75,4.88,1085
2025-09-16 15:42:00+00:00,4.85,4.85,4.7655,4.7655,1488
2025-09-16 15:44:00+00:00,4.7452,4.7452,4.73,4.73,505
2025-09-16 15:46:00+00:00,4.87,4.88,4.87,4.88,1219
2025-09-16 15:48:00+00:00,5.01,5.4,5.01,5.4,736
2025-09-16 15:54:00+00:00,5.18,5.21,5.0988,5.0988,2147
2025-09-16 15:56:00+00:00,4.995,4.995,4.995,4.995,221
2025-09-16 15:58:00+00:00,4.9,4.98,4.9,4.98,2783
2025-09-16 16:00:00+00:00,4.96,5.09,4.96,4.98,1121
2025-09-16 16:02:00+00:00,5.045,5.045,5.045,5.045,768
2025-09-16 16:04:00+00:00,5.04,5.0586,5.04,5.04,970
2025-09-16 16:10:00+00:00,5.05,5.05,5.03,5.05,576
2025-09-16 16:12:00+00:00,4.9633,5.05,4.9501,4.96,1395
2025-09-16 16:14:00+00:00,5.01,5.01,4.8105,4.82,9127
2025-09-16 16:18:00+00:00,5.1,5.1,4.8418,4.8418,734
2025-09-16 16:20:00+00:00,5.1,5.2099,5.09,5.1999,2111
2025-09-16 16:24:00+00:00,5.0101,5.0101,5.01,5.01,483
2025-09-16 16:26:00+00:00,5.06,5.06,5.06,5.06,167
2025-09-16 16:30:00+00:00,5.103,5.19,5.1,5.1,577
2025-09-16 16:34:00+00:00,4.98,4.98,4.98,4.98,148
2025-09-16 16:44:00+00:00,4.98,4.98,4.97,4.97,388
2025-09-16 16:58:00+00:00,5.1,5.1,5.1,5.1,1942
2025-09-16 17:00:00+00:00,5.1,5.18,5.1,5.18,3652
2025-09-16 17:04:00+00:00,5.3,5.3,5.25,5.25,230
2025-09-16 17:16:00+00:00,5.19,5.19,5.1,5.1,294
2025-09-16 17:22:00+00:00,5.19,5.19,5.19,5.19,109
2025-09-16 17:24:00+00:00,5.11,5.15,5.1,5.15,1330
2025-09-16 17:34:00+00:00,5.225,5.225,5.225,5.225,200
2025-09-16 17:44:00+00:00,5.285,5.3,5.28,5.28,1145
2025-09-16 17:48:00+00:00,5.34,5.34,5.34,5.34,252
2025-09-16 17:50:00+00:00,5.4,5.4,5.4,5.4,258
2025-09-16 17:52:00+00:00,5.39,5.39,5.39,5.39,178
2025-09-16 17:56:00+00:00,5.21,5.21,5.103,5.103,438
2025-09-16 18:06:00+00:00,5.3,5.39,5.3,5.39,376
2025-09-16 18:10:00+00:00,5.38,5.38,5.38,5.38,143
2025-09-16 18:18:00+00:00,5.2624,5.3993,5.2624,5.39,1077
2025-09-16 18:22:00+00:00,5.4,5.457,5.38,5.457,1212
2025-09-16 18:28:00+00:00,5.462,5.47,5.46,5.47,1271
2025-09-16 18:34:00+00:00,5.46,5.46,5.46,5.46,119
2025-09-16 18:38:00+00:00,5.55,5.55,5.55,5.55,200
2025-09-16 19:04:00+00:00,5.3,5.66,5.2797,5.66,3792
2025-09-16 19:06:00+00:00,5.75,5.9978,5.56,5.56,5124
2025-09-16 19:08:00+00:00,5.6199,5.9,5.4274,5.7372,5526
2025-09-16 19:10:00+00:00,5.53,5.53,5.53,5.53,1008
2025-09-16 19:12:00+00:00,5.62,5.63,5.55,5.55,1288
2025-09-16 19:14:00+00:00,5.57,5.63,5.57,5.63,280
2025-09-16 19:18:00+00:00,5.69,5.69,5.69,5.69,222
2025-09-16 19:30:00+00:00,5.85,5.9,5.85,5.9,4191
2025-09-16 19:32:00+00:00,5.9,5.9,5.54,5.54,1430
2025-09-16 19:34:00+00:00,5.55,5.73,5.54,5.54,702
2025-09-16 19:40:00+00:00,5.59,5.6,5.59,5.6,447
2025-09-16 19:44:00+00:00,5.43,5.43,5.43,5.43,370
2025-09-16 19:46:00+00:00,5.47,5.54,5.47,5.5,575
2025-09-16 19:58:00+00:00,5.49,5.5,5.455,5.5,1937
2025-09-16 20:28:00+00:00,5.31,5.31,5.31,5.31,427
2025-09-16 20:30:00+00:00,5.31,5.31,5.31,5.31,110
2025-09-16 20:40:00+00:00,5.31,5.31,5.31,5.31,459
2025-09-16 21:58:00+00:00,5.31,5.31,5.31,5.31,143
