Datetime,Open,High,Low,Close,Volume
2026-01-06 13:00:00+00:00,2.39,2.45,2.39,2.44,5800
2026-01-06 13:02:00+00:00,2.4499,2.62,2.4356,2.58,20453
2026-01-06 13:04:00+00:00,2.5,2.55,2.45,2.45,15746
2026-01-06 13:06:00+00:00,2.4,2.49,2.4,2.463,4868
2026-01-06 13:08:00+00:00,2.45,2.45,2.42,2.44,5256
2026-01-06 13:10:00+00:00,2.4599,2.61,2.45,2.6,42843
2026-01-06 13:12:00+00:00,2.6,2.61,2.53,2.53,8278
2026-01-06 13:14:00+00:00,2.55,2.55,2.53,2.53,6458
2026-01-06 13:16:00+00:00,2.5468,2.55,2.53,2.55,5790
2026-01-06 13:20:00+00:00,2.58,2.6094,2.53,2.55,22562
2026-01-06 13:22:00+00:00,2.5737,2.58,2.53,2.53,19502
2026-01-06 13:24:00+00:00,2.57,2.58,2.53,2.53,22636
2026-01-06 13:26:00+00:00,2.5783,2.5783,2.5783,2.5783,100
2026-01-06 13:28:00+00:00,2.5799,2.5799,2.53,2.53,12600
2026-01-06 13:30:00+00:00,2.53,2.535,2.5,2.5,18259
2026-01-06 13:34:00+00:00,2.51,2.5175,2.5,2.5,6638
2026-01-06 13:36:00+00:00,2.51,2.51,2.5,2.5,1302
2026-01-06 13:38:00+00:00,2.51,2.56,2.51,2.53,17908
2026-01-06 13:40:00+00:00,2.54,2.54,2.54,2.54,868
2026-01-06 13:42:00+00:00,2.54,2.62,2.54,2.6,1866
2026-01-06 13:44:00+00:00,2.6,2.6,2.6,2.6,100
2026-01-06 13:46:00+00:00,2.61,2.61,2.52,2.57,16521
2026-01-06 13:48:00+00:00,2.6,2.6,2.6,2.6,102
2026-01-06 13:52:00+00:00,2.62,2.62,2.57,2.62,6016
2026-01-06 13:54:00+00:00,2.63,2.63,2.62,2.63,1606
2026-01-06 13:56:00+00:00,2.64,2.64,2.61,2.635,3206
2026-01-06 13:58:00+00:00,2.65,2.67,2.61,2.63,16294
2026-01-06 14:00:00+00:00,2.65,2.67,2.65,2.6694,4905
2026-01-06 14:02:00+00:00,2.67,2.71,2.67,2.71,14756
2026-01-06 14:04:00+00:00,2.69,2.7,2.66,2.66,9612
2026-01-06 14:06:00+00:00,2.69,2.69,2.66,2.67,2617
2026-01-06 14:08:00+00:00,2.67,2.67,2.66,2.67,7769
2026-01-06 14:10:00+00:00,2.67,2.68,2.66,2.67,1931
2026-01-06 14:12:00+00:00,2.66,2.67,2.66,2.66,5174
2026-01-06 14:14:00+00:00,2.67,2.68,2.66,2.68,3310
2026-01-06 14:16:00+00:00,2.68,2.68,2.67,2.67,806
2026-01-06 14:18:00+00:00,2.67,2.68,2.67,2.68,1940
2026-01-06 14:20:00+00:00,2.685,2.69,2.68,2.69,4771
2026-01-06 14:24:00+00:00,2.6889,2.69,2.65,2.65,4271
2026-01-06 14:26:00+00:00,2.67,2.68,2.65,2.65,17541
2026-01-06 14:28:00+00:00,2.64,2.6696,2.6,2.64,10802
2026-01-06 14:30:00+00:00,2.66,2.7,2.6,2.675,104979
2026-01-06 14:32:00+00:00,2.675,2.7,2.62,2.63,28169
2026-01-06 14:34:00+00:00,2.63,2.68,2.63,2.6699,85688
2026-01-06 14:36:00+00:00,2.68,2.7399,2.68,2.705,48768
2026-01-06 14:38:00+00:00,2.71,2.75,2.68,2.7,102461
2026-01-06 14:40:00+00:00,2.685,2.7,2.66,2.7,33647
2026-01-06 14:42:00+00:00,2.69,2.7099,2.68,2.7,20835
2026-01-06 14:44:00+00:00,2.7,2.7268,2.69,2.71,111263
2026-01-06 14:46:00+00:00,2.7192,2.72,2.685,2.69,23651
2026-01-06 14:48:00+00:00,2.69,2.715,2.688,2.708,21411
2026-01-06 14:50:00+00:00,2.71,2.755,2.705,2.735,134257
2026-01-06 14:52:00+00:00,2.735,2.766,2.7313,2.7578,49915
