Datetime,Open,High,Low,Close,Volume
2025-01-07 09:00:00+00:00,2.94,3.485,2.66,2.87,16317.5
2025-01-07 09:02:00+00:00,2.875,3.005,2.83,3.005,15768.92
2025-01-07 09:04:00+00:00,2.995,3.02,2.81,2.85,27985.16
2025-01-07 09:06:00+00:00,2.85,2.875,2.675,2.76,8463.0
2025-01-07 09:08:00+00:00,2.76,2.875,2.74,2.85,5192.48
2025-01-07 09:10:00+00:00,2.87,2.955,2.845,2.88,1954.5
2025-01-07 09:12:00+00:00,2.88,3.0,2.88,2.965,11811.56
2025-01-07 09:14:00+00:00,2.985,3.0,2.88,2.92,21149.78
2025-01-07 09:16:00+00:00,2.91,2.995,2.85,2.995,5592.92
2025-01-07 09:18:00+00:00,2.96,3.165,2.9,2.97,37565.94
2025-01-07 09:20:00+00:00,2.955,3.0,2.89,2.995,18729.68
2025-01-07 09:22:00+00:00,2.995,3.0,2.755,2.84,16296.58
2025-01-07 09:24:00+00:00,2.755,2.85,2.75,2.75,7508.66
2025-01-07 09:26:00+00:00,2.75,2.795,2.54,2.61,28729.96
2025-01-07 09:28:00+00:00,2.61,2.635,2.56,2.565,9834.72
2025-01-07 09:30:00+00:00,2.56,2.6,2.56,2.595,3042.6
2025-01-07 09:32:00+00:00,2.6,2.635,2.59,2.63,4997.4800000000005
2025-01-07 09:34:00+00:00,2.63,2.635,2.595,2.635,3840.58
2025-01-07 09:36:00+00:00,2.63,2.72,2.63,2.65,10357.42
2025-01-07 09:38:00+00:00,2.675,2.695,2.675,2.68,3969.38
2025-01-07 09:40:00+00:00,2.67,2.7,2.625,2.64,4445.76
2025-01-07 09:42:00+00:00,2.64,2.64,2.585,2.63,3271.86
2025-01-07 09:44:00+00:00,2.615,2.65,2.6,2.65,2880.44
2025-01-07 09:46:00+00:00,2.645,2.645,2.615,2.645,853.5
2025-01-07 09:48:00+00:00,2.62,2.62,2.62,2.62,201.46
2025-01-07 09:50:00+00:00,2.62,2.67,2.62,2.63,1477.72
2025-01-07 09:52:00+00:00,2.655,2.675,2.655,2.675,367.4
