Datetime,Open,High,Low,Close,Volume
2025-05-06 11:14:00+00:00,40.5,41.0,40.5,41.0,279
2025-05-06 11:20:00+00:00,40.51,40.98,40.51,40.98,212
2025-05-06 11:38:00+00:00,40.99,40.99,40.99,40.99,500
2025-05-06 11:58:00+00:00,40.82,40.82,40.82,40.82,200
2025-05-06 12:46:00+00:00,40.83,40.83,40.66,40.74,4557
2025-05-06 13:14:00+00:00,41.06,41.44,41.06,41.44,483
2025-05-06 13:16:00+00:00,41.92,42.0,41.86,42.0,2132
2025-05-06 13:18:00+00:00,41.67,41.67,41.67,41.67,403
2025-05-06 13:24:00+00:00,42.49,42.5,42.49,42.5,2424
2025-05-06 13:26:00+00:00,42.6,43.0,42.6,42.81,1210
2025-05-06 13:28:00+00:00,44.0,44.51,44.0,44.5,1460
2025-05-06 13:30:00+00:00,44.41,44.5,42.64,42.64,61269
2025-05-06 13:32:00+00:00,42.75,43.345,41.42,41.5,59856
2025-05-06 13:34:00+00:00,41.5,41.75,41.5,41.555,7540
2025-05-06 13:36:00+00:00,41.51,42.41,41.51,42.04,30118
2025-05-06 13:38:00+00:00,42.04,42.2745,41.8,42.15,56030
2025-05-06 13:40:00+00:00,42.2281,42.2281,41.985,42.03,6262
2025-05-06 13:42:00+00:00,42.03,42.28,41.66,41.925,37523
2025-05-06 13:44:00+00:00,41.92,42.72,41.595,42.33,20650
2025-05-06 13:46:00+00:00,42.28,42.39,41.99,41.99,7102
2025-05-06 13:48:00+00:00,42.04,42.105,41.77,41.885,10417
2025-05-06 13:50:00+00:00,41.88,42.035,41.38,41.54,14279
2025-05-06 13:52:00+00:00,41.65,41.8397,41.28,41.3,16669
2025-05-06 13:54:00+00:00,41.29,41.44,41.2432,41.345,20165
2025-05-06 13:56:00+00:00,41.345,41.345,41.0,41.285,23104
2025-05-06 13:58:00+00:00,41.28,41.31,41.1268,41.23,12389
2025-05-06 14:00:00+00:00,41.23,41.6965,41.23,41.55,30126
2025-05-06 14:02:00+00:00,41.5,41.7,41.33,41.39,11640
2025-05-06 14:04:00+00:00,41.415,41.52,41.32,41.46,6842
2025-05-06 14:06:00+00:00,41.46,41.58,41.28,41.36,8705
2025-05-06 14:08:00+00:00,41.3675,41.51,41.33,41.51,6601
2025-05-06 14:10:00+00:00,41.47,41.59,41.43,41.59,13448
2025-05-06 14:12:00+00:00,41.55,41.77,41.55,41.74,13055
2025-05-06 14:14:00+00:00,41.7,41.74,41.505,41.65,29720
2025-05-06 14:16:00+00:00,41.71,41.89,41.64,41.89,17355
2025-05-06 14:18:00+00:00,41.842,41.8997,41.64,41.755,15492
2025-05-06 14:20:00+00:00,41.73,41.85,41.66,41.66,12732
2025-05-06 14:22:00+00:00,41.72,41.74,41.55,41.55,3929
2025-05-06 14:24:00+00:00,41.555,41.71,41.32,41.59,12537
2025-05-06 14:26:00+00:00,41.54,41.595,41.28,41.38,12476
2025-05-06 14:28:00+00:00,41.346,41.5128,41.346,41.49,3886
2025-05-06 14:30:00+00:00,41.5,41.6492,41.47,41.57,6156
2025-05-06 14:32:00+00:00,41.58,41.86,41.58,41.72,8441
2025-05-06 14:34:00+00:00,41.775,42.0273,41.775,41.93,5921
2025-05-06 14:36:00+00:00,42.14,42.1699,41.97,42.1148,7112
2025-05-06 14:38:00+00:00,42.02,42.245,42.0,42.245,28887
2025-05-06 14:40:00+00:00,42.21,42.27,42.13,42.13,10197
2025-05-06 14:42:00+00:00,42.195,42.195,42.04,42.04,2708
2025-05-06 14:44:00+00:00,42.0204,42.095,41.915,41.945,6407
2025-05-06 14:46:00+00:00,41.945,41.945,41.82,41.82,3412
2025-05-06 14:48:00+00:00,41.85,41.97,41.69,41.69,7325
2025-05-06 14:50:00+00:00,41.65,41.73,41.4,41.4,5025
2025-05-06 14:52:00+00:00,41.27,41.549,41.27,41.525,4357
2025-05-06 14:54:00+00:00,41.59,41.61,41.46,41.485,6145
2025-05-06 14:56:00+00:00,41.5397,41.63,41.47,41.52,2184
2025-05-06 14:58:00+00:00,41.66,41.67,41.59,41.665,6840
2025-05-06 15:00:00+00:00,41.7,41.75,41.58,41.61,6424
2025-05-06 15:02:00+00:00,41.635,41.705,41.63,41.705,4192
2025-05-06 15:04:00+00:00,41.81,41.81,41.72,41.77,2000
2025-05-06 15:06:00+00:00,41.71,41.8148,41.67,41.67,3403
2025-05-06 15:08:00+00:00,41.65,41.685,41.6,41.6,3118
2025-05-06 15:10:00+00:00,41.56,41.56,41.5,41.51,4269
2025-05-06 15:12:00+00:00,41.5,41.56,41.5,41.56,3138
2025-05-06 15:14:00+00:00,41.595,41.6106,41.46,41.5012,3247
2025-05-06 15:16:00+00:00,41.37,41.3841,41.23,41.2984,6309
2025-05-06 15:18:00+00:00,41.22,41.3181,41.19,41.22,2753
2025-05-06 15:20:00+00:00,41.23,41.25,41.13,41.13,2544
2025-05-06 15:22:00+00:00,41.235,41.25,41.11,41.11,4732
2025-05-06 15:24:00+00:00,41.195,41.2,41.12,41.185,1730
2025-05-06 15:26:00+00:00,41.19,41.3,41.16,41.23,3201
2025-05-06 15:28:00+00:00,41.235,41.34,41.235,41.265,3248
2025-05-06 15:30:00+00:00,41.275,41.275,41.17,41.22,8239
2025-05-06 15:32:00+00:00,41.22,41.22,41.07,41.17,3152
2025-05-06 15:34:00+00:00,41.17,41.2,41.17,41.2,2740
2025-05-06 15:36:00+00:00,41.26,41.26,41.17,41.22,2258
2025-05-06 15:38:00+00:00,41.23,41.46,41.23,41.46,17265
2025-05-06 15:40:00+00:00,41.46,41.46,41.35,41.36,2310
2025-05-06 15:42:00+00:00,41.37,41.37,41.33,41.33,772
2025-05-06 15:44:00+00:00,41.31,41.355,41.3,41.3,5702
2025-05-06 15:46:00+00:00,41.34,41.44,41.3,41.4,7184
2025-05-06 15:48:00+00:00,41.45,41.6744,41.45,41.6,7203
2025-05-06 15:50:00+00:00,41.53,41.58,41.4,41.4,4079
2025-05-06 15:52:00+00:00,41.455,41.4577,41.38,41.38,1911
2025-05-06 15:54:00+00:00,41.48,41.57,41.48,41.56,2822
2025-05-06 15:56:00+00:00,41.57,41.595,41.502,41.56,2261
2025-05-06 15:58:00+00:00,41.52,41.545,41.44,41.44,2531
2025-05-06 16:00:00+00:00,41.445,41.54,41.39,41.51,5577
2025-05-06 16:02:00+00:00,41.54,41.54,41.51,41.51,1498
2025-05-06 16:04:00+00:00,41.51,41.76,41.51,41.73,14305
