Datetime,Open,High,Low,Close,Volume
2025-10-09 13:12:00+00:00,0.1777,0.25,0.1777,0.25,2500
2025-10-09 13:30:00+00:00,0.2275,0.2275,0.2275,0.2275,100
2025-10-09 13:32:00+00:00,0.2275,0.2275,0.2255,0.2255,200
2025-10-09 13:38:00+00:00,0.2255,0.23,0.2255,0.23,2000
2025-10-09 13:44:00+00:00,0.2275,0.23,0.2275,0.2275,2714
2025-10-09 13:46:00+00:00,0.2275,0.2275,0.2275,0.2275,400
2025-10-09 13:48:00+00:00,0.2155,0.2155,0.2155,0.2155,500
2025-10-09 13:54:00+00:00,0.22,0.22,0.2035,0.2035,300
2025-10-09 14:02:00+00:00,0.22,0.22,0.22,0.22,100
2025-10-09 14:16:00+00:00,0.22,0.22,0.22,0.22,1138
2025-10-09 14:22:00+00:00,0.215,0.22,0.215,0.22,705
2025-10-09 14:28:00+00:00,0.22,0.235,0.22,0.235,4779
2025-10-09 14:30:00+00:00,0.2391,0.24,0.2391,0.24,1500
2025-10-09 14:32:00+00:00,0.2481,0.25,0.2471,0.2497,27637
2025-10-09 14:34:00+00:00,0.2425,0.2425,0.2425,0.2425,200
2025-10-09 14:36:00+00:00,0.2475,0.25,0.2475,0.2475,5916
2025-10-09 14:40:00+00:00,0.237,0.237,0.237,0.237,600
2025-10-09 14:42:00+00:00,0.2326,0.2326,0.2326,0.2326,500
2025-10-09 14:54:00+00:00,0.2373,0.2373,0.2373,0.2373,100
2025-10-09 14:56:00+00:00,0.2373,0.2495,0.2373,0.2495,480
2025-10-09 15:00:00+00:00,0.2314,0.24,0.23,0.24,455
2025-10-09 15:04:00+00:00,0.2495,0.2495,0.2495,0.2495,100
2025-10-09 15:06:00+00:00,0.24,0.2495,0.24,0.2493,3200
2025-10-09 15:08:00+00:00,0.2495,0.2495,0.2493,0.2493,5000
2025-10-09 15:10:00+00:00,0.2495,0.2495,0.241,0.2453,2702
2025-10-09 15:22:00+00:00,0.2463,0.2463,0.2402,0.2403,1600
2025-10-09 15:26:00+00:00,0.24,0.24,0.24,0.24,200
2025-10-09 15:38:00+00:00,0.2495,0.2495,0.2495,0.2495,700
2025-10-09 15:40:00+00:00,0.24,0.25,0.24,0.25,43764
2025-10-09 15:42:00+00:00,0.25,0.27,0.247,0.27,17232
2025-10-09 15:44:00+00:00,0.2772,0.2772,0.2771,0.2771,8000
2025-10-09 16:02:00+00:00,0.2795,0.2795,0.2794,0.2794,1900
2025-10-09 16:04:00+00:00,0.2795,0.2795,0.2794,0.2795,1209
2025-10-09 16:14:00+00:00,0.28,0.28,0.28,0.28,100
2025-10-09 16:20:00+00:00,0.28,0.2975,0.28,0.2945,4676
2025-10-09 16:22:00+00:00,0.294,0.2975,0.294,0.2968,5017
2025-10-09 16:26:00+00:00,0.2975,0.3,0.2892,0.3,38506
2025-10-09 16:28:00+00:00,0.3,0.3012,0.2998,0.2999,49600
2025-10-09 16:30:00+00:00,0.2999,0.2999,0.23,0.23,4401
2025-10-09 16:32:00+00:00,0.2369,0.2561,0.2261,0.2561,8207
2025-10-09 16:40:00+00:00,0.2561,0.2561,0.2561,0.2561,500
2025-10-09 16:50:00+00:00,0.2855,0.2858,0.2855,0.2858,700
2025-10-09 17:02:00+00:00,0.266,0.27,0.266,0.269,4400
2025-10-09 17:10:00+00:00,0.26,0.26,0.26,0.26,870
2025-10-09 17:16:00+00:00,0.2363,0.2363,0.236,0.2363,2750
2025-10-09 17:18:00+00:00,0.26,0.2882,0.26,0.2863,17049
2025-10-09 17:34:00+00:00,0.2894,0.2894,0.2795,0.2795,200
2025-10-09 18:02:00+00:00,0.2695,0.2695,0.2694,0.2694,1800
2025-10-09 18:06:00+00:00,0.241,0.241,0.241,0.241,250
2025-10-09 18:08:00+00:00,0.241,0.241,0.241,0.241,1000
2025-10-09 18:12:00+00:00,0.2392,0.2392,0.2392,0.2392,200
2025-10-09 18:14:00+00:00,0.2459,0.2459,0.2459,0.2459,500
2025-10-09 18:24:00+00:00,0.2489,0.2489,0.2489,0.2489,300
2025-10-09 18:26:00+00:00,0.239,0.239,0.239,0.239,341
2025-10-09 18:28:00+00:00,0.239,0.239,0.239,0.239,490
2025-10-09 18:30:00+00:00,0.239,0.239,0.239,0.239,110
2025-10-09 18:36:00+00:00,0.237,0.237,0.235,0.235,1250
2025-10-09 18:38:00+00:00,0.234,0.234,0.2307,0.231,4056
2025-10-09 18:40:00+00:00,0.258,0.2625,0.2404,0.2404,480
2025-10-09 18:54:00+00:00,0.2413,0.2413,0.2413,0.2413,200
2025-10-09 18:58:00+00:00,0.2624,0.2624,0.25,0.25,1300
2025-10-09 19:02:00+00:00,0.2506,0.2506,0.25,0.25,50000
2025-10-09 19:10:00+00:00,0.2668,0.2668,0.2668,0.2668,200
2025-10-09 19:12:00+00:00,0.2668,0.2668,0.2668,0.2668,725
2025-10-09 19:14:00+00:00,0.267,0.267,0.267,0.267,165
2025-10-09 19:26:00+00:00,0.2601,0.2601,0.259,0.259,2800
2025-10-09 19:40:00+00:00,0.259,0.259,0.259,0.259,100
2025-10-09 19:44:00+00:00,0.26,0.26,0.26,0.26,200
2025-10-09 19:46:00+00:00,0.2668,0.2668,0.2623,0.2623,2290
2025-10-09 19:48:00+00:00,0.251,0.2795,0.25,0.26,41300
2025-10-09 19:50:00+00:00,0.2658,0.295,0.26,0.295,32398
2025-10-09 19:54:00+00:00,0.2729,0.2729,0.2658,0.2658,289
2025-10-09 19:56:00+00:00,0.265,0.265,0.265,0.265,590
