Datetime,Open,High,Low,Close,Volume
2025-12-09 11:44:00+00:00,3.89,4.09,3.87,4.09,6665.0
2025-12-09 11:46:00+00:00,3.99,4.09,3.99,3.99,2751.0
2025-12-09 11:48:00+00:00,3.99,3.99,3.99,3.99,110.0
2025-12-09 11:50:00+00:00,4.0,4.0,4.0,4.0,2436.0
2025-12-09 11:52:00+00:00,4.02,4.02,4.02,4.02,595.0
2025-12-09 11:54:00+00:00,4.0,4.14,4.0,4.09,4561.0
2025-12-09 11:58:00+00:00,4.19,4.19,4.09,4.09,5788.0
2025-12-09 12:00:00+00:00,4.08,4.08,4.01,4.03,13499.0
2025-12-09 12:04:00+00:00,4.07,4.08,4.02,4.02,4000.0
2025-12-09 12:06:00+00:00,4.02,4.02,4.02,4.02,261.0
2025-12-09 12:08:00+00:00,4.05,4.21,4.05,4.21,10777.0
2025-12-09 12:10:00+00:00,4.245,4.31,4.2,4.31,5976.0
2025-12-09 12:12:00+00:00,4.31,4.31,4.25,4.26,5976.0
2025-12-09 12:16:00+00:00,4.26,4.26,4.26,4.26,100.0
2025-12-09 12:18:00+00:00,4.25,4.26,4.25,4.26,7764.0
2025-12-09 12:20:00+00:00,4.26,4.41,4.26,4.41,10388.0
2025-12-09 12:22:00+00:00,4.42,4.43,4.31,4.31,8370.0
2025-12-09 12:24:00+00:00,4.39,4.39,4.36,4.38,2842.0
2025-12-09 12:26:00+00:00,4.33,4.33,4.33,4.33,368.0
2025-12-09 12:28:00+00:00,4.33,4.35,4.33,4.35,450.0
2025-12-09 12:30:00+00:00,4.35,4.35,4.35,4.35,126.0
2025-12-09 12:32:00+00:00,4.31,4.31,4.31,4.31,2140.0
2025-12-09 12:36:00+00:00,4.27,4.27,4.25,4.25,1168.0
2025-12-09 12:40:00+00:00,4.31,4.31,4.27,4.27,301.0
2025-12-09 12:44:00+00:00,4.35,4.4,4.35,4.36,3955.0
2025-12-09 12:46:00+00:00,4.35,4.36,4.35,4.35,964.0
2025-12-09 12:48:00+00:00,4.39,4.44,4.39,4.44,3832.0
2025-12-09 12:50:00+00:00,4.4,4.48,4.4,4.48,8466.0
2025-12-09 12:52:00+00:00,4.48,4.62,4.47,4.61,10551.0
2025-12-09 12:54:00+00:00,4.65,4.69,4.49,4.49,22807.0
2025-12-09 12:56:00+00:00,4.5,4.52,4.475,4.475,2408.0
2025-12-09 12:58:00+00:00,4.45,4.48,4.44,4.46,9516.0
2025-12-09 13:00:00+00:00,4.02,4.7465,3.7508,4.44,125989.0
2025-12-09 13:02:00+00:00,4.0997,4.65,4.0997,4.36,16341.0
2025-12-09 13:04:00+00:00,4.37,4.41,4.31,4.41,5138.0
2025-12-09 13:06:00+00:00,4.4052,4.44,4.35,4.43,2205.0
2025-12-09 13:08:00+00:00,4.43,4.43,4.3509,4.4,5696.0
2025-12-09 13:10:00+00:00,4.39,4.39,4.3548,4.38,1820.0
2025-12-09 13:12:00+00:00,4.3899,4.3899,4.3899,4.3899,1395.0
2025-12-09 13:14:00+00:00,4.39,4.44,4.39,4.44,14542.0
2025-12-09 13:16:00+00:00,4.42,4.48,4.41,4.48,16971.0
2025-12-09 13:18:00+00:00,4.47,4.51,4.47,4.49,17713.0
2025-12-09 13:20:00+00:00,4.5,4.51,4.49,4.51,14254.0
2025-12-09 13:22:00+00:00,4.4087,4.4899,4.4,4.4,8309.0
2025-12-09 13:24:00+00:00,4.45,4.51,4.45,4.46,1060.0
2025-12-09 13:26:00+00:00,4.465,4.48,4.465,4.48,342.0
2025-12-09 13:28:00+00:00,4.45,4.49,4.45,4.49,7259.0
2025-12-09 13:30:00+00:00,4.49,4.49,4.45,4.48,1749.0
2025-12-09 13:32:00+00:00,4.44,4.49,4.44,4.48,4394.0
2025-12-09 13:34:00+00:00,4.4891,4.49,4.4831,4.4831,680.0
2025-12-09 13:36:00+00:00,4.44,4.48,4.4,4.41,5645.0
2025-12-09 13:38:00+00:00,4.42,4.5,4.4,4.5,25916.0
2025-12-09 13:40:00+00:00,4.54,4.74,4.5009,4.57,47839.0
2025-12-09 13:42:00+00:00,4.5631,4.74,4.53,4.6793,30212.0
2025-12-09 13:44:00+00:00,4.69,4.7497,4.51,4.7291,42751.0
2025-12-09 13:46:00+00:00,4.72,4.87,4.66,4.67,71321.0
2025-12-09 13:48:00+00:00,4.64,4.78,4.6209,4.63,57736.0
2025-12-09 13:50:00+00:00,4.63,4.78,4.534,4.68,40614.0
2025-12-09 13:52:00+00:00,4.67,4.8185,4.64,4.65,46258.0
2025-12-09 13:54:00+00:00,4.6335,4.74,4.63,4.68,14168.0
2025-12-09 13:56:00+00:00,4.7,4.74,4.67,4.67,6586.0
2025-12-09 13:58:00+00:00,4.6548,4.72,4.63,4.66,10661.0
2025-12-09 14:00:00+00:00,4.72,4.72,4.63,4.63,13189.0
2025-12-09 14:02:00+00:00,4.65,4.67,4.63,4.64,12623.0
2025-12-09 14:04:00+00:00,4.65,4.66,4.63,4.6334,13118.0
