Datetime,Open,High,Low,Close,Volume
2025-02-04 09:38:00+00:00,0.448,0.448,0.448,0.448,299
2025-02-04 09:42:00+00:00,0.4599,0.4599,0.4599,0.4599,101
2025-02-04 10:16:00+00:00,0.4226,0.4226,0.4226,0.4226,100
2025-02-04 13:00:00+00:00,0.46,0.46,0.4567,0.46,6801
2025-02-04 13:46:00+00:00,0.448,0.448,0.448,0.448,200
2025-02-04 13:54:00+00:00,0.448,0.448,0.448,0.448,300
2025-02-04 14:00:00+00:00,0.423,0.5099,0.3703,0.4153,62061
2025-02-04 14:02:00+00:00,0.4052,0.49,0.4052,0.42,22200
2025-02-04 14:04:00+00:00,0.42,0.42,0.42,0.42,1000
2025-02-04 14:06:00+00:00,0.4396,0.4396,0.4396,0.4396,1000
2025-02-04 14:08:00+00:00,0.45,0.45,0.4204,0.44,36960
2025-02-04 14:10:00+00:00,0.449,0.45,0.448,0.448,1888
2025-02-04 14:12:00+00:00,0.4899,0.5099,0.47,0.4728,30190
2025-02-04 14:14:00+00:00,0.47,0.5,0.47,0.4759,41767
2025-02-04 14:16:00+00:00,0.4759,0.49,0.422,0.44,33784
2025-02-04 14:18:00+00:00,0.44,0.4531,0.44,0.45,10765
2025-02-04 14:20:00+00:00,0.45,0.45,0.4364,0.4364,3103
2025-02-04 14:22:00+00:00,0.4364,0.4364,0.4364,0.4364,2544
2025-02-04 14:24:00+00:00,0.45,0.47,0.45,0.4656,8149
2025-02-04 14:26:00+00:00,0.47,0.485,0.47,0.4701,65381
2025-02-04 14:28:00+00:00,0.47,0.47,0.47,0.47,4166
2025-02-04 14:30:00+00:00,0.475,0.475,0.45,0.45,108866
2025-02-04 14:32:00+00:00,0.4508,0.46,0.44,0.46,35200
2025-02-04 14:36:00+00:00,0.44,0.45,0.44,0.442,24499
2025-02-04 14:38:00+00:00,0.445,0.45,0.44,0.44,42500
2025-02-04 14:40:00+00:00,0.4499,0.4499,0.4417,0.4441,4670
2025-02-04 14:42:00+00:00,0.4441,0.45,0.44,0.45,19148
2025-02-04 14:44:00+00:00,0.4595,0.4595,0.45,0.45,8244
2025-02-04 14:50:00+00:00,0.44,0.44,0.44,0.44,127608
2025-02-04 14:52:00+00:00,0.4334,0.4334,0.42,0.421,15120
2025-02-04 14:54:00+00:00,0.4305,0.4399,0.421,0.4235,47301
2025-02-04 14:56:00+00:00,0.4299,0.43,0.4299,0.4299,2896
2025-02-04 14:58:00+00:00,0.44,0.44,0.44,0.44,89645
2025-02-04 15:00:00+00:00,0.4305,0.44,0.4215,0.4364,89896
2025-02-04 15:02:00+00:00,0.4364,0.4364,0.4329,0.4329,9787
2025-02-04 15:04:00+00:00,0.44,0.44,0.44,0.44,201
2025-02-04 15:06:00+00:00,0.44,0.44,0.4329,0.4389,45503
2025-02-04 15:08:00+00:00,0.4448,0.453,0.4448,0.453,5142
2025-02-04 15:10:00+00:00,0.4595,0.4595,0.4595,0.4595,17100
2025-02-04 15:12:00+00:00,0.45,0.45,0.45,0.45,5304
2025-02-04 15:14:00+00:00,0.4462,0.4462,0.4396,0.4396,2900
2025-02-04 15:16:00+00:00,0.44,0.46,0.44,0.46,114261
2025-02-04 15:18:00+00:00,0.4647,0.4699,0.46,0.4601,19891
2025-02-04 15:20:00+00:00,0.46,0.46,0.4329,0.444,5935
2025-02-04 15:22:00+00:00,0.4556,0.4672,0.444,0.444,6708
2025-02-04 15:24:00+00:00,0.4462,0.4462,0.4366,0.4403,161003
2025-02-04 15:26:00+00:00,0.44,0.44,0.44,0.44,1200
2025-02-04 15:28:00+00:00,0.4404,0.4404,0.434,0.434,2306
2025-02-04 15:30:00+00:00,0.441,0.441,0.4341,0.4379,6600
2025-02-04 15:32:00+00:00,0.4342,0.44,0.4342,0.44,2400
2025-02-04 15:36:00+00:00,0.4342,0.44,0.4342,0.44,2834
2025-02-04 15:38:00+00:00,0.44,0.44,0.44,0.44,3300
2025-02-04 15:40:00+00:00,0.4356,0.4356,0.4351,0.4353,28700
2025-02-04 15:42:00+00:00,0.4352,0.45,0.4352,0.45,23142
2025-02-04 15:46:00+00:00,0.4499,0.4499,0.44,0.4498,26646
2025-02-04 15:50:00+00:00,0.4465,0.45,0.445,0.4462,22209
2025-02-04 15:52:00+00:00,0.4462,0.4523,0.4462,0.4463,9613
2025-02-04 15:54:00+00:00,0.4463,0.4463,0.4403,0.4463,17868
2025-02-04 15:56:00+00:00,0.4463,0.4463,0.4463,0.4463,4400
2025-02-04 15:58:00+00:00,0.4463,0.45,0.4425,0.4426,9410
