Datetime,Open,High,Low,Close,Volume
2026-02-12 12:32:00+00:00,30.38,31.0,30.38,31.0,301
2026-02-12 12:36:00+00:00,30.9,31.2,30.9,31.01,7453
2026-02-12 12:46:00+00:00,31.16,31.16,31.16,31.16,520
2026-02-12 13:00:00+00:00,30.0,32.4,30.0,32.4,254
2026-02-12 13:04:00+00:00,32.68,32.68,32.68,32.68,409
2026-02-12 13:08:00+00:00,32.75,32.75,32.75,32.75,124
2026-02-12 13:10:00+00:00,32.7,32.7,32.7,32.7,150
2026-02-12 13:32:00+00:00,33.18,34.86,33.18,34.86,802
2026-02-12 13:34:00+00:00,35.0,35.0,32.3501,33.0,11981
2026-02-12 13:36:00+00:00,35.0,35.0,35.0,35.0,231
2026-02-12 13:38:00+00:00,33.05,33.05,32.99,33.0,4035
2026-02-12 13:40:00+00:00,34.54,34.54,34.54,34.54,524
2026-02-12 13:44:00+00:00,33.68,33.68,33.68,33.68,105
2026-02-12 13:48:00+00:00,33.69,33.69,33.69,33.69,100
2026-02-12 13:56:00+00:00,34.4999,34.4999,34.4999,34.4999,353
2026-02-12 14:08:00+00:00,34.11,34.5001,34.11,34.5,2106
2026-02-12 14:18:00+00:00,34.77,34.77,34.77,34.77,1101
2026-02-12 14:24:00+00:00,34.11,34.11,34.11,34.11,500
2026-02-12 14:28:00+00:00,34.0,34.0,34.0,34.0,25091
2026-02-12 14:30:00+00:00,33.81,33.99,33.0,33.38,37943
2026-02-12 14:32:00+00:00,33.25,33.25,31.0,31.0,42537
2026-02-12 14:34:00+00:00,31.0,33.4999,31.0,31.32,10503
2026-02-12 14:36:00+00:00,31.51,32.095,31.0,31.23,23154
2026-02-12 14:38:00+00:00,31.32,32.0,31.0,31.11,50782
2026-02-12 14:40:00+00:00,31.11,31.11,31.0,31.0,6536
2026-02-12 14:42:00+00:00,31.0,31.04,30.42,30.675,26788
2026-02-12 14:44:00+00:00,30.39,30.675,29.1,29.36,36870
2026-02-12 14:46:00+00:00,29.36,29.36,27.615,27.68,32534
2026-02-12 14:48:00+00:00,27.925,28.09,27.11,28.09,15430
2026-02-12 14:50:00+00:00,27.68,28.401,27.62,28.195,11856
2026-02-12 14:52:00+00:00,28.195,28.195,27.05,27.545,42788
2026-02-12 14:54:00+00:00,27.3,27.62,26.38,26.78,42131
2026-02-12 14:56:00+00:00,26.6853,27.42,26.11,26.835,28429
2026-02-12 14:58:00+00:00,26.74,26.79,26.2674,26.535,15772
2026-02-12 15:00:00+00:00,26.66,26.67,24.88,25.31,22498
2026-02-12 15:02:00+00:00,25.255,25.6199,25.08,25.37,27728
2026-02-12 15:04:00+00:00,25.3,25.8507,25.1301,25.59,9548
2026-02-12 15:06:00+00:00,25.665,26.77,25.5134,26.77,42938
2026-02-12 15:08:00+00:00,26.9,27.21,26.77,26.955,7854
2026-02-12 15:10:00+00:00,26.955,27.35,26.62,27.35,11676
2026-02-12 15:12:00+00:00,27.06,27.95,27.06,27.94,6732
2026-02-12 15:14:00+00:00,27.485,28.1,27.06,27.76,7583
2026-02-12 15:16:00+00:00,28.22,28.31,27.03,27.04,19731
2026-02-12 15:18:00+00:00,26.925,27.62,26.925,27.4,17208
2026-02-12 15:20:00+00:00,27.52,27.66,27.48,27.63,4155
2026-02-12 15:22:00+00:00,27.825,28.01,27.69,27.93,5050
2026-02-12 15:24:00+00:00,27.93,28.05,27.58,27.69,16550
2026-02-12 15:26:00+00:00,27.59,28.12,27.59,27.92,14284
2026-02-12 15:28:00+00:00,27.86,28.0,27.82,27.97,6605
2026-02-12 15:30:00+00:00,28.0,28.26,27.5212,27.795,72058
2026-02-12 15:32:00+00:00,27.915,29.0,27.91,28.545,11587
2026-02-12 15:34:00+00:00,28.5425,28.96,28.5425,28.87,30081
2026-02-12 15:36:00+00:00,28.64,28.77,28.27,28.28,6865
2026-02-12 15:38:00+00:00,28.27,28.51,28.05,28.48,15689
2026-02-12 15:40:00+00:00,28.315,28.87,28.25,28.495,16467
2026-02-12 15:42:00+00:00,28.495,28.525,28.23,28.515,3103
2026-02-12 15:44:00+00:00,28.54,29.48,28.54,29.245,44429
2026-02-12 15:46:00+00:00,29.305,29.37,28.99,29.35,18627
2026-02-12 15:48:00+00:00,29.28,29.5115,29.1,29.14,4221
2026-02-12 15:50:00+00:00,29.14,29.355,28.845,29.09,30643
2026-02-12 15:52:00+00:00,28.86,29.0,28.7,28.785,27784
2026-02-12 15:54:00+00:00,28.79,28.85,28.48,28.54,10120
2026-02-12 15:56:00+00:00,28.61,28.92,28.47,28.48,8367
2026-02-12 15:58:00+00:00,28.47,28.64,28.32,28.59,6885
2026-02-12 16:00:00+00:00,28.5125,28.545,28.26,28.26,5493
2026-02-12 16:02:00+00:00,28.26,28.46,28.26,28.28,1535
2026-02-12 16:04:00+00:00,28.26,28.45,28.25,28.32,3138
2026-02-12 16:06:00+00:00,28.33,28.55,28.27,28.435,3563
2026-02-12 16:08:00+00:00,28.43,28.53,28.43,28.43,1060
2026-02-12 16:10:00+00:00,28.3,28.43,28.28,28.43,8838
2026-02-12 16:12:00+00:00,28.43,28.43,28.3,28.41,1349
2026-02-12 16:14:00+00:00,28.34,28.34,28.0,28.01,26210
2026-02-12 16:16:00+00:00,28.08,28.23,28.0,28.16,4851
2026-02-12 16:18:00+00:00,28.23,28.24,28.145,28.16,7771
2026-02-12 16:20:00+00:00,28.17,28.34,28.16,28.339,6578
2026-02-12 16:22:00+00:00,28.28,28.28,28.17,28.18,1099
2026-02-12 16:24:00+00:00,28.275,28.275,28.16,28.16,1710
2026-02-12 16:26:00+00:00,28.195,28.22,28.08,28.09,2405
2026-02-12 16:28:00+00:00,28.145,28.2,28.07,28.07,4394
2026-02-12 16:30:00+00:00,28.08,28.11,28.05,28.11,5734
2026-02-12 16:32:00+00:00,28.1,28.24,28.05,28.2,7607
2026-02-12 16:34:00+00:00,28.32,28.32,28.19,28.19,236
2026-02-12 16:36:00+00:00,28.2025,28.34,28.19,28.3,1883
2026-02-12 16:38:00+00:00,28.26,28.33,28.21,28.28,3806
2026-02-12 16:40:00+00:00,28.265,28.28,28.265,28.28,1645
2026-02-12 16:42:00+00:00,28.345,28.345,28.29,28.345,1419
2026-02-12 16:44:00+00:00,28.345,28.345,28.345,28.345,219
2026-02-12 16:46:00+00:00,28.345,28.4,28.32,28.32,1649
2026-02-12 16:48:00+00:00,28.355,28.36,28.31,28.36,752
2026-02-12 16:50:00+00:00,28.31,28.345,28.3,28.345,1373
2026-02-12 16:52:00+00:00,28.29,28.29,28.22,28.22,4261
2026-02-12 16:54:00+00:00,28.2,28.215,28.185,28.185,1370
2026-02-12 16:56:00+00:00,28.125,28.21,28.0,28.155,53495
2026-02-12 16:58:00+00:00,28.16,28.49,28.16,28.43,7802
2026-02-12 17:00:00+00:00,28.3101,28.3101,28.295,28.295,377
2026-02-12 17:02:00+00:00,28.305,28.305,28.305,28.305,309
2026-02-12 17:04:00+00:00,28.48,28.52,28.46,28.51,2301
2026-02-12 17:06:00+00:00,28.51,28.63,28.51,28.51,503
2026-02-12 17:08:00+00:00,28.5,28.62,28.5,28.515,454
2026-02-12 17:10:00+00:00,28.515,28.515,28.515,28.515,403
2026-02-12 17:12:00+00:00,28.48,28.48,28.39,28.3995,790
2026-02-12 17:14:00+00:00,28.465,28.465,28.33,28.425,4083
2026-02-12 17:16:00+00:00,28.3812,28.445,28.3812,28.445,473
2026-02-12 17:18:00+00:00,28.445,28.53,28.36,28.52,2270
2026-02-12 17:20:00+00:00,28.57,28.9,28.38,28.9,2406
2026-02-12 17:22:00+00:00,29.02,29.165,28.915,29.165,4719
2026-02-12 17:24:00+00:00,29.23,29.23,29.23,29.23,251
2026-02-12 17:26:00+00:00,29.1,29.265,29.1,29.155,1896
2026-02-12 17:28:00+00:00,29.325,29.34,29.155,29.16,1996
2026-02-12 17:30:00+00:00,29.16,29.16,28.98,29.12,2321
2026-02-12 17:32:00+00:00,29.14,29.15,28.85,28.88,2878
2026-02-12 17:34:00+00:00,28.88,28.88,28.88,28.88,394
2026-02-12 17:36:00+00:00,28.98,29.06,28.97,29.06,1074
2026-02-12 17:38:00+00:00,28.9675,29.07,28.9675,29.07,934
