Datetime,Open,High,Low,Close,Volume
2025-08-13 08:00:00+00:00,13.15,13.88,13.1,13.35,29239
2025-08-13 08:02:00+00:00,13.27,13.27,12.81,12.83,26893
2025-08-13 08:04:00+00:00,12.82,13.1,12.82,13.04,14549
2025-08-13 08:06:00+00:00,12.98,12.99,12.88,12.88,1900
2025-08-13 08:08:00+00:00,12.88,13.01,12.88,13.01,3755
2025-08-13 08:10:00+00:00,13.0,13.05,13.0,13.0,19777
2025-08-13 08:12:00+00:00,12.98,13.0,12.97,13.0,5893
2025-08-13 08:14:00+00:00,12.99,13.0,12.98,13.0,2013
2025-08-13 08:16:00+00:00,12.95,12.95,12.81,12.82,4587
2025-08-13 08:20:00+00:00,12.82,12.83,12.82,12.82,2193
2025-08-13 08:22:00+00:00,12.81,12.85,12.73,12.8,8369
2025-08-13 08:24:00+00:00,12.8,12.87,12.8,12.87,1322
2025-08-13 08:28:00+00:00,12.92,13.01,12.91,13.0,8286
2025-08-13 08:30:00+00:00,12.99,13.0,12.92,12.92,2550
2025-08-13 08:34:00+00:00,12.92,12.92,12.9,12.9,1030
2025-08-13 08:36:00+00:00,12.86,12.86,12.86,12.86,234
2025-08-13 08:38:00+00:00,12.88,12.9,12.88,12.9,3734
2025-08-13 08:42:00+00:00,12.89,12.9,12.89,12.9,400
2025-08-13 08:46:00+00:00,12.85,12.85,12.85,12.85,199
2025-08-13 08:52:00+00:00,12.9,12.9,12.9,12.9,511
2025-08-13 08:54:00+00:00,12.9,12.95,12.9,12.95,893
2025-08-13 08:56:00+00:00,12.88,12.94,12.88,12.94,759
2025-08-13 09:00:00+00:00,12.98,13.11,12.98,13.09,11091
2025-08-13 09:02:00+00:00,13.12,13.2,13.12,13.17,4259
2025-08-13 09:04:00+00:00,13.11,13.11,13.05,13.05,1469
2025-08-13 09:08:00+00:00,13.03,13.03,13.0,13.0,699
2025-08-13 09:10:00+00:00,13.02,13.11,13.02,13.11,1173
2025-08-13 09:12:00+00:00,13.12,13.57,13.12,13.52,26404
2025-08-13 09:14:00+00:00,13.52,13.52,13.45,13.45,4551
2025-08-13 09:16:00+00:00,13.27,13.34,13.27,13.27,2597
2025-08-13 09:20:00+00:00,13.18,13.27,13.1,13.15,3749
2025-08-13 09:22:00+00:00,13.13,13.13,13.13,13.13,1282
2025-08-13 09:24:00+00:00,13.13,13.13,13.13,13.13,581
2025-08-13 09:26:00+00:00,13.12,13.16,13.12,13.15,1293
2025-08-13 09:28:00+00:00,13.15,13.15,13.15,13.15,1214
2025-08-13 09:30:00+00:00,13.17,13.18,13.17,13.17,907
2025-08-13 09:32:00+00:00,13.18,13.18,13.18,13.18,275
2025-08-13 09:34:00+00:00,13.23,13.23,13.23,13.23,514
2025-08-13 09:42:00+00:00,13.13,13.2,13.13,13.18,1383
2025-08-13 09:44:00+00:00,13.2,13.21,13.2,13.21,1045
2025-08-13 09:46:00+00:00,13.2,13.25,13.2,13.25,2537
2025-08-13 09:48:00+00:00,13.27,13.27,13.26,13.26,986
2025-08-13 09:50:00+00:00,13.26,13.27,13.26,13.27,700
2025-08-13 09:52:00+00:00,13.27,13.27,13.26,13.26,441
2025-08-13 09:54:00+00:00,13.26,13.26,13.26,13.26,163
2025-08-13 09:56:00+00:00,13.25,13.26,13.25,13.26,801
2025-08-13 09:58:00+00:00,13.26,13.26,13.26,13.26,393
2025-08-13 10:00:00+00:00,13.26,13.27,13.23,13.23,887
2025-08-13 10:02:00+00:00,13.26,13.26,13.23,13.23,622
2025-08-13 10:04:00+00:00,13.12,13.12,12.95,12.95,4843
2025-08-13 10:06:00+00:00,12.95,12.95,12.71,12.73,22764
2025-08-13 10:08:00+00:00,12.73,12.79,12.73,12.79,5666
2025-08-13 10:10:00+00:00,12.75,12.79,12.71,12.75,3885
2025-08-13 10:12:00+00:00,12.76,12.76,12.73,12.73,358
2025-08-13 10:14:00+00:00,12.74,12.74,12.67,12.73,7238
2025-08-13 10:16:00+00:00,12.72,12.76,12.7,12.76,2837
2025-08-13 10:18:00+00:00,12.73,12.83,12.72,12.83,2873
2025-08-13 10:22:00+00:00,12.85,12.85,12.83,12.83,1604
2025-08-13 10:26:00+00:00,12.91,12.95,12.7,12.86,9516
2025-08-13 10:28:00+00:00,12.81,12.81,12.76,12.76,2198
2025-08-13 10:30:00+00:00,12.72,12.72,12.72,12.72,389
2025-08-13 10:32:00+00:00,12.71,12.71,12.66,12.69,5750
2025-08-13 10:34:00+00:00,12.69,12.69,12.64,12.68,2903
2025-08-13 10:36:00+00:00,12.76,12.76,12.76,12.76,187
2025-08-13 10:40:00+00:00,12.84,12.85,12.77,12.77,664
2025-08-13 10:42:00+00:00,12.85,12.85,12.85,12.85,1425
2025-08-13 10:44:00+00:00,12.86,12.86,12.86,12.86,870
2025-08-13 10:50:00+00:00,12.83,12.9,12.79,12.9,10668
2025-08-13 10:52:00+00:00,12.94,12.95,12.94,12.95,2610
2025-08-13 10:54:00+00:00,12.81,12.81,12.81,12.81,253
2025-08-13 10:56:00+00:00,12.83,12.83,12.82,12.82,326
2025-08-13 10:58:00+00:00,12.71,12.71,12.71,12.71,533
2025-08-13 11:00:00+00:00,12.7,12.75,12.7,12.71,3471
2025-08-13 11:02:00+00:00,12.71,12.71,12.65,12.69,3117
2025-08-13 11:06:00+00:00,12.73,12.75,12.73,12.75,1017
2025-08-13 11:08:00+00:00,12.8,12.8,12.75,12.79,1564
2025-08-13 11:10:00+00:00,12.75,12.75,12.75,12.75,681
2025-08-13 11:12:00+00:00,12.76,12.76,12.75,12.75,1549
2025-08-13 11:14:00+00:00,12.76,12.76,12.76,12.76,640
2025-08-13 11:16:00+00:00,12.79,12.79,12.79,12.79,109
2025-08-13 11:18:00+00:00,12.74,12.74,12.74,12.74,315
2025-08-13 11:20:00+00:00,12.75,12.75,12.75,12.75,241
2025-08-13 11:22:00+00:00,12.69,12.69,12.37,12.37,25350
2025-08-13 11:24:00+00:00,12.34,12.35,12.06,12.1,16744
2025-08-13 11:26:00+00:00,12.17,12.4,12.15,12.4,10119
2025-08-13 11:28:00+00:00,12.41,12.44,12.0,12.06,21062
2025-08-13 11:30:00+00:00,12.2,12.2,12.2,12.2,1639
2025-08-13 11:32:00+00:00,12.2,12.24,12.19,12.22,2749
2025-08-13 11:34:00+00:00,12.23,12.23,12.22,12.22,858
2025-08-13 11:36:00+00:00,12.2,12.23,12.2,12.2,3345
2025-08-13 11:38:00+00:00,12.25,12.39,12.25,12.39,1142
2025-08-13 11:40:00+00:00,12.35,12.36,12.25,12.35,6730
2025-08-13 11:42:00+00:00,12.3,12.37,12.3,12.37,4453
2025-08-13 11:44:00+00:00,12.25,12.25,12.25,12.25,1319
2025-08-13 11:46:00+00:00,12.3,12.3,12.29,12.29,558
2025-08-13 11:48:00+00:00,12.25,12.25,12.25,12.25,1840
2025-08-13 11:50:00+00:00,12.26,12.26,12.25,12.25,894
2025-08-13 11:52:00+00:00,12.25,12.26,12.25,12.25,1856
2025-08-13 11:54:00+00:00,12.25,12.25,12.25,12.25,790
2025-08-13 11:58:00+00:00,12.26,12.3,12.25,12.26,4824
2025-08-13 12:00:00+00:00,12.7,13.69,12.01,12.34,124044
2025-08-13 12:02:00+00:00,12.34,12.34,11.9,11.95,29495
2025-08-13 12:04:00+00:00,11.95,11.98,11.8143,11.96,8498
2025-08-13 12:06:00+00:00,11.9693,11.9693,11.9,11.92,7350
2025-08-13 12:08:00+00:00,11.93,12.0,11.9,11.9647,5602
2025-08-13 12:10:00+00:00,12.0,12.168,12.0,12.07,2677
2025-08-13 12:12:00+00:00,12.05,12.2399,12.04,12.22,8297
2025-08-13 12:14:00+00:00,12.24,12.26,12.18,12.26,12560
