Datetime,Open,High,Low,Close,Volume
2025-07-18 08:00:00+00:00,0.837,0.837,0.75,0.8282,22265
2025-07-18 08:02:00+00:00,0.8197,0.82,0.7703,0.7839,7561
2025-07-18 08:04:00+00:00,0.7839,0.8381,0.7839,0.8381,12971
2025-07-18 08:06:00+00:00,0.8299,0.8299,0.7718,0.82,14809
2025-07-18 08:08:00+00:00,0.81,0.8136,0.8,0.8136,1715
2025-07-18 08:10:00+00:00,0.817,0.8199,0.8,0.817,3839
2025-07-18 08:12:00+00:00,0.81,0.817,0.805,0.805,24493
2025-07-18 08:14:00+00:00,0.8095,0.81,0.8,0.8079,4357
2025-07-18 08:16:00+00:00,0.8,0.8064,0.77,0.7711,15582
2025-07-18 08:18:00+00:00,0.7716,0.7769,0.7688,0.7688,4484
2025-07-18 08:20:00+00:00,0.75,0.7699,0.75,0.7699,725
2025-07-18 08:22:00+00:00,0.7699,0.77,0.7535,0.77,1023
2025-07-18 08:24:00+00:00,0.7695,0.7695,0.7531,0.7531,1192
2025-07-18 08:26:00+00:00,0.7715,0.772,0.76,0.7699,4851
2025-07-18 08:30:00+00:00,0.7695,0.77,0.7695,0.77,495
2025-07-18 08:32:00+00:00,0.77,0.7716,0.77,0.7716,1881
2025-07-18 08:34:00+00:00,0.7722,0.7722,0.7722,0.7722,334
2025-07-18 08:38:00+00:00,0.7799,0.7799,0.7799,0.7799,100
2025-07-18 08:40:00+00:00,0.775,0.775,0.77,0.77,6468
2025-07-18 08:42:00+00:00,0.771,0.78,0.771,0.78,11895
2025-07-18 08:46:00+00:00,0.7888,0.79,0.7888,0.79,1252
2025-07-18 08:48:00+00:00,0.7899,0.79,0.78,0.7898,5900
2025-07-18 08:50:00+00:00,0.7889,0.79,0.7889,0.7899,5300
2025-07-18 08:52:00+00:00,0.7899,0.79,0.7806,0.79,4102
2025-07-18 08:58:00+00:00,0.7899,0.79,0.7899,0.79,200
2025-07-18 09:00:00+00:00,0.783,0.783,0.783,0.783,100
2025-07-18 09:02:00+00:00,0.7899,0.79,0.7899,0.79,1850
2025-07-18 09:04:00+00:00,0.79,0.79,0.787,0.787,433
2025-07-18 09:06:00+00:00,0.7899,0.79,0.7899,0.79,2571
2025-07-18 09:08:00+00:00,0.7899,0.7899,0.7899,0.7899,200
2025-07-18 09:22:00+00:00,0.79,0.79,0.79,0.79,4000
2025-07-18 09:24:00+00:00,0.7842,0.7842,0.772,0.782,7600
2025-07-18 09:30:00+00:00,0.789,0.8,0.788,0.7905,28982
2025-07-18 09:34:00+00:00,0.7999,0.7999,0.7999,0.7999,164
2025-07-18 09:36:00+00:00,0.7998,0.7998,0.7852,0.79,3159
2025-07-18 09:38:00+00:00,0.79,0.79,0.7835,0.7835,1076
2025-07-18 09:40:00+00:00,0.7835,0.7835,0.7835,0.7835,597
2025-07-18 09:42:00+00:00,0.7893,0.79,0.7893,0.7897,3885
2025-07-18 09:44:00+00:00,0.7898,0.79,0.7835,0.79,3623
2025-07-18 09:46:00+00:00,0.7899,0.79,0.7899,0.79,3542
2025-07-18 09:48:00+00:00,0.79,0.79,0.7899,0.7899,5323
2025-07-18 09:50:00+00:00,0.7899,0.7902,0.7899,0.7902,509
2025-07-18 09:52:00+00:00,0.7899,0.7899,0.7899,0.7899,3990
2025-07-18 09:54:00+00:00,0.7898,0.7899,0.7835,0.7839,3772
2025-07-18 09:58:00+00:00,0.7897,0.7897,0.7895,0.7895,1414
2025-07-18 10:00:00+00:00,0.7835,0.7878,0.783,0.7878,919
2025-07-18 10:02:00+00:00,0.789,0.7899,0.789,0.789,533
2025-07-18 10:04:00+00:00,0.7899,0.7899,0.7895,0.7899,812
2025-07-18 10:06:00+00:00,0.7895,0.7895,0.7836,0.7837,3325
2025-07-18 10:08:00+00:00,0.785,0.785,0.782,0.7849,4161
2025-07-18 10:10:00+00:00,0.7822,0.7822,0.782,0.7821,3316
2025-07-18 10:14:00+00:00,0.788,0.7886,0.788,0.788,362
2025-07-18 10:16:00+00:00,0.7886,0.7886,0.7886,0.7886,100
2025-07-18 10:18:00+00:00,0.7886,0.7886,0.7821,0.7824,1601
2025-07-18 10:20:00+00:00,0.782,0.7821,0.782,0.782,1697
2025-07-18 10:22:00+00:00,0.7876,0.7884,0.7876,0.7884,5000
2025-07-18 10:24:00+00:00,0.7883,0.7883,0.7883,0.7883,140
2025-07-18 10:26:00+00:00,0.7883,0.7883,0.7883,0.7883,501
2025-07-18 10:28:00+00:00,0.7883,0.7895,0.7883,0.7895,9795
2025-07-18 10:30:00+00:00,0.7895,0.79,0.7895,0.79,10449
2025-07-18 10:32:00+00:00,0.7899,0.79,0.7899,0.79,4042
2025-07-18 10:34:00+00:00,0.7895,0.7895,0.783,0.783,1867
2025-07-18 10:36:00+00:00,0.79,0.79,0.79,0.79,600
2025-07-18 10:42:00+00:00,0.789,0.789,0.7799,0.7799,7487
2025-07-18 10:46:00+00:00,0.7799,0.7799,0.7799,0.7799,381
2025-07-18 10:48:00+00:00,0.78,0.78,0.78,0.78,922
2025-07-18 10:50:00+00:00,0.78,0.78,0.78,0.78,100
2025-07-18 10:52:00+00:00,0.78,0.78,0.78,0.78,1408
2025-07-18 10:54:00+00:00,0.7754,0.7754,0.77,0.77,6406
2025-07-18 10:56:00+00:00,0.7705,0.7705,0.77,0.77,7166
2025-07-18 10:58:00+00:00,0.77,0.77,0.77,0.77,150
2025-07-18 11:00:00+00:00,0.771,0.789,0.771,0.7815,35290
2025-07-18 11:02:00+00:00,0.7885,0.7885,0.7885,0.7885,246
2025-07-18 11:06:00+00:00,0.785,0.79,0.7844,0.79,25000
2025-07-18 11:08:00+00:00,0.7811,0.7899,0.7811,0.7895,2771
2025-07-18 11:10:00+00:00,0.7899,0.79,0.7812,0.7821,22019
2025-07-18 11:12:00+00:00,0.789,0.79,0.7818,0.7818,5437
2025-07-18 11:14:00+00:00,0.7886,0.7899,0.7806,0.782,7197
2025-07-18 11:16:00+00:00,0.789,0.7899,0.789,0.7899,3702
2025-07-18 11:22:00+00:00,0.7821,0.7825,0.77,0.775,311795
2025-07-18 11:24:00+00:00,0.77,0.77,0.77,0.77,9421
2025-07-18 11:26:00+00:00,0.77,0.77,0.76,0.76,29527
2025-07-18 11:28:00+00:00,0.7553,0.7553,0.7553,0.7553,192
2025-07-18 11:32:00+00:00,0.755,0.7699,0.7531,0.7699,7701
2025-07-18 11:36:00+00:00,0.769,0.769,0.75,0.75,2729
2025-07-18 11:38:00+00:00,0.75,0.75,0.74,0.74,9181
2025-07-18 11:40:00+00:00,0.73,0.739,0.73,0.7352,6926
2025-07-18 11:42:00+00:00,0.73,0.73,0.7199,0.7199,7772
2025-07-18 11:44:00+00:00,0.7199,0.7249,0.7155,0.7249,4553
2025-07-18 11:46:00+00:00,0.7249,0.7296,0.7199,0.7296,3211
2025-07-18 11:48:00+00:00,0.7249,0.7296,0.7249,0.7296,1207
2025-07-18 11:50:00+00:00,0.7298,0.7305,0.7298,0.7305,9599
2025-07-18 11:52:00+00:00,0.739,0.74,0.739,0.74,1001
2025-07-18 11:54:00+00:00,0.74,0.74,0.7305,0.74,1179
2025-07-18 11:56:00+00:00,0.7305,0.738,0.73,0.738,2700
2025-07-18 12:00:00+00:00,0.7809,0.865,0.7,0.77,320715
2025-07-18 12:02:00+00:00,0.77,0.77,0.7391,0.7391,46985
2025-07-18 12:04:00+00:00,0.749,0.749,0.73,0.74,25428
2025-07-18 12:06:00+00:00,0.7399,0.74,0.73,0.74,6305
2025-07-18 12:08:00+00:00,0.7399,0.74,0.7399,0.74,7999
2025-07-18 12:10:00+00:00,0.74,0.74,0.7399,0.74,5842
2025-07-18 12:12:00+00:00,0.75,0.75,0.7401,0.7401,3936
2025-07-18 12:14:00+00:00,0.75,0.769,0.75,0.769,2322
2025-07-18 12:16:00+00:00,0.7689,0.7689,0.7689,0.7689,1091
2025-07-18 12:18:00+00:00,0.75,0.77,0.75,0.7662,4603
2025-07-18 12:20:00+00:00,0.7687,0.7687,0.755,0.755,1634
2025-07-18 12:22:00+00:00,0.7554,0.7554,0.7554,0.7554,6000
2025-07-18 12:24:00+00:00,0.7555,0.7555,0.7322,0.7322,25440
2025-07-18 12:26:00+00:00,0.7322,0.7552,0.7321,0.75,20881
2025-07-18 12:28:00+00:00,0.7399,0.7499,0.7399,0.7402,12639
2025-07-18 12:30:00+00:00,0.75,0.75,0.75,0.75,5440
2025-07-18 12:32:00+00:00,0.7499,0.75,0.74,0.74,15017
2025-07-18 12:34:00+00:00,0.75,0.75,0.7402,0.7499,8847
2025-07-18 12:36:00+00:00,0.7499,0.7688,0.7401,0.7687,38192
2025-07-18 12:38:00+00:00,0.7628,0.7686,0.7587,0.7601,6774
2025-07-18 12:40:00+00:00,0.7677,0.78,0.75,0.75,10508
2025-07-18 12:42:00+00:00,0.7698,0.78,0.7698,0.7701,9155
2025-07-18 12:44:00+00:00,0.7701,0.78,0.7701,0.78,24176
2025-07-18 12:46:00+00:00,0.78,0.78,0.7787,0.78,8115
2025-07-18 12:48:00+00:00,0.7845,0.7845,0.77,0.78,14444
2025-07-18 12:50:00+00:00,0.78,0.78,0.7707,0.775,1481
2025-07-18 12:52:00+00:00,0.775,0.787,0.775,0.787,1026
2025-07-18 12:54:00+00:00,0.787,0.787,0.7867,0.7867,4194
2025-07-18 12:56:00+00:00,0.777,0.7871,0.773,0.773,4361
2025-07-18 12:58:00+00:00,0.7847,0.7848,0.784,0.784,1600
2025-07-18 13:00:00+00:00,0.78,0.7801,0.7719,0.78,3731
2025-07-18 13:02:00+00:00,0.7806,0.7838,0.78,0.7838,833
2025-07-18 13:04:00+00:00,0.773,0.7825,0.7726,0.7823,8584
2025-07-18 13:06:00+00:00,0.7749,0.7844,0.7749,0.775,1991
2025-07-18 13:08:00+00:00,0.775,0.7845,0.7749,0.7749,22529
2025-07-18 13:10:00+00:00,0.7743,0.7839,0.765,0.765,26358
2025-07-18 13:12:00+00:00,0.7799,0.7799,0.76,0.7708,8677
2025-07-18 13:14:00+00:00,0.7697,0.77,0.76,0.76,7650
2025-07-18 13:16:00+00:00,0.7698,0.7698,0.76,0.7689,11107
2025-07-18 13:18:00+00:00,0.7691,0.77,0.76,0.77,3541
2025-07-18 13:20:00+00:00,0.77,0.77,0.7699,0.77,6149
2025-07-18 13:22:00+00:00,0.7699,0.77,0.7662,0.77,3201
2025-07-18 13:24:00+00:00,0.77,0.77,0.7656,0.7699,14359
2025-07-18 13:26:00+00:00,0.77,0.7799,0.7699,0.7702,7276
2025-07-18 13:28:00+00:00,0.7794,0.79,0.77,0.78,91832
2025-07-18 13:30:00+00:00,0.7919,0.7944,0.772,0.7838,781451
2025-07-18 13:32:00+00:00,0.785,0.8,0.74,0.7516,637736
2025-07-18 13:34:00+00:00,0.7538,0.77,0.7489,0.7567,172018
2025-07-18 13:36:00+00:00,0.7501,0.77,0.7401,0.77,181016
2025-07-18 13:38:00+00:00,0.767,0.7853,0.7617,0.765,120570
2025-07-18 13:40:00+00:00,0.77,0.7743,0.76,0.76,94265
2025-07-18 13:42:00+00:00,0.7633,0.7742,0.76,0.7602,158062
2025-07-18 13:44:00+00:00,0.7626,0.78,0.7626,0.7701,141748
2025-07-18 13:46:00+00:00,0.7701,0.7701,0.7615,0.7615,91338
2025-07-18 13:48:00+00:00,0.76,0.768,0.755,0.7632,197925
2025-07-18 13:50:00+00:00,0.7664,0.7664,0.747,0.7542,132386
2025-07-18 13:52:00+00:00,0.7506,0.7598,0.7401,0.7478,35282
2025-07-18 13:54:00+00:00,0.7478,0.7499,0.74,0.7449,59820
2025-07-18 13:56:00+00:00,0.7499,0.76,0.7498,0.75,39930
