Datetime,Open,High,Low,Close,Volume
2025-06-24 08:00:00+00:00,3.45,3.45,3.45,3.45,105.0
2025-06-24 08:02:00+00:00,3.57,3.57,3.15,3.15,689.0
2025-06-24 08:04:00+00:00,3.15,3.52,3.15,3.52,1461.0
2025-06-24 08:06:00+00:00,3.52,3.91,3.45,3.83,21590.0
2025-06-24 08:08:00+00:00,3.83,3.84,3.03,3.14,43187.0
2025-06-24 08:10:00+00:00,3.1,3.17,3.1,3.17,3241.0
2025-06-24 08:12:00+00:00,3.19,3.29,3.19,3.29,1751.0
2025-06-24 08:14:00+00:00,3.2,3.2,3.16,3.17,4653.0
2025-06-24 08:16:00+00:00,3.17,3.37,3.12,3.37,4794.0
2025-06-24 08:18:00+00:00,3.31,3.39,3.25,3.25,6098.0
2025-06-24 08:20:00+00:00,3.28,3.28,3.22,3.22,2804.0
2025-06-24 08:22:00+00:00,3.22,3.28,3.22,3.25,1847.0
2025-06-24 08:24:00+00:00,3.24,3.24,3.24,3.24,355.0
2025-06-24 08:26:00+00:00,3.22,3.24,3.22,3.22,1067.0
2025-06-24 08:28:00+00:00,3.23,3.23,3.23,3.23,211.0
2025-06-24 08:30:00+00:00,3.23,3.23,3.18,3.18,894.0
2025-06-24 08:32:00+00:00,3.19,3.19,3.19,3.19,593.0
2025-06-24 08:34:00+00:00,3.19,3.19,3.19,3.19,150.0
2025-06-24 08:36:00+00:00,3.2,3.2,3.12,3.12,2189.0
2025-06-24 08:38:00+00:00,3.1,3.13,3.1,3.1,1147.0
2025-06-24 08:40:00+00:00,3.19,3.19,3.06,3.06,1758.0
2025-06-24 08:42:00+00:00,3.06,3.06,3.05,3.05,761.0
2025-06-24 08:46:00+00:00,3.01,3.02,2.41,2.5,13842.0
2025-06-24 08:48:00+00:00,2.56,2.6,2.49,2.6,4234.0
2025-06-24 08:50:00+00:00,2.59,2.63,2.59,2.63,556.0
2025-06-24 08:52:00+00:00,2.63,2.67,2.63,2.67,1990.0
2025-06-24 08:54:00+00:00,2.66,2.66,2.66,2.66,210.0
2025-06-24 08:56:00+00:00,2.66,2.66,2.66,2.66,305.0
2025-06-24 08:58:00+00:00,2.59,2.59,2.59,2.59,153.0
2025-06-24 09:00:00+00:00,2.59,2.59,2.59,2.59,1274.0
2025-06-24 09:12:00+00:00,2.57,2.57,2.57,2.57,347.0
2025-06-24 09:14:00+00:00,2.6,2.6,2.6,2.6,142.0
2025-06-24 09:16:00+00:00,2.6,2.6,2.6,2.6,711.0
2025-06-24 09:32:00+00:00,2.66,2.8,2.66,2.8,1544.0
2025-06-24 09:34:00+00:00,2.72,2.72,2.72,2.72,130.0
2025-06-24 09:38:00+00:00,2.7,2.7,2.66,2.66,309.0
2025-06-24 09:56:00+00:00,2.69,2.69,2.69,2.69,158.0
2025-06-24 10:24:00+00:00,2.84,2.84,2.84,2.84,200.0
2025-06-24 10:26:00+00:00,2.86,2.87,2.86,2.87,501.0
2025-06-24 10:38:00+00:00,2.87,2.95,2.8,2.95,1623.0
2025-06-24 10:42:00+00:00,2.97,2.97,2.97,2.97,400.0
2025-06-24 10:50:00+00:00,2.93,2.93,2.91,2.91,400.0
2025-06-24 10:52:00+00:00,3.0,3.01,3.0,3.01,891.0
2025-06-24 10:56:00+00:00,3.0,3.0,3.0,3.0,225.0
2025-06-24 11:00:00+00:00,3.01,3.12,3.01,3.12,1392.0
2025-06-24 11:04:00+00:00,3.15,3.15,3.15,3.15,1069.0
2025-06-24 11:06:00+00:00,3.16,3.16,3.16,3.16,308.0
2025-06-24 11:08:00+00:00,3.12,3.12,3.12,3.12,288.0
2025-06-24 11:36:00+00:00,3.07,3.07,3.07,3.07,200.0
2025-06-24 11:38:00+00:00,3.1,3.1,3.07,3.07,380.0
2025-06-24 11:44:00+00:00,3.1,3.15,3.09,3.15,1362.0
2025-06-24 11:46:00+00:00,3.14,3.14,3.14,3.14,150.0
2025-06-24 12:00:00+00:00,3.0504,3.17,3.0504,3.12,6680.0
2025-06-24 12:10:00+00:00,3.15,3.29,3.15,3.29,3086.0
2025-06-24 12:12:00+00:00,3.31,3.31,3.25,3.31,1232.0
2025-06-24 12:14:00+00:00,3.28,3.31,3.25,3.31,2550.0
2025-06-24 12:16:00+00:00,3.31,3.3154,3.31,3.3154,1884.0
2025-06-24 12:20:00+00:00,3.11,3.11,3.11,3.11,139.0
2025-06-24 12:22:00+00:00,3.29,3.42,3.15,3.42,3700.0
2025-06-24 12:24:00+00:00,3.38,3.38,3.38,3.38,165.0
2025-06-24 12:26:00+00:00,3.26,3.26,3.19,3.2,1486.0
2025-06-24 12:28:00+00:00,3.16,3.18,3.16,3.18,217.0
2025-06-24 12:32:00+00:00,3.17,3.17,3.15,3.15,380.0
2025-06-24 12:36:00+00:00,3.2,3.31,3.2,3.31,850.0
2025-06-24 12:40:00+00:00,3.18,3.18,3.18,3.18,156.0
2025-06-24 12:42:00+00:00,3.17,3.17,3.14,3.14,1626.0
2025-06-24 12:44:00+00:00,3.15,3.15,3.15,3.15,200.0
2025-06-24 12:46:00+00:00,3.19,3.24,3.19,3.24,1002.0
2025-06-24 13:02:00+00:00,3.1971,3.31,3.15,3.31,3029.0
2025-06-24 13:04:00+00:00,3.32,3.4,3.32,3.34,2966.0
2025-06-24 13:06:00+00:00,3.35,3.38,3.34,3.38,821.0
2025-06-24 13:08:00+00:00,3.38,3.3999,3.37,3.3999,1151.0
2025-06-24 13:10:00+00:00,3.399,3.399,3.399,3.399,213.0
2025-06-24 13:12:00+00:00,3.38,3.38,3.3,3.33,2959.0
2025-06-24 13:16:00+00:00,3.3,3.3488,3.3,3.34,1196.0
2025-06-24 13:18:00+00:00,3.3,3.35,3.19,3.35,4299.0
2025-06-24 13:20:00+00:00,3.35,3.35,3.18,3.18,841.0
2025-06-24 13:22:00+00:00,3.29,3.32,3.29,3.32,321.0
2025-06-24 13:24:00+00:00,3.3199,3.32,3.31,3.32,1147.0
2025-06-24 13:26:00+00:00,3.39,3.39,3.39,3.39,204.0
2025-06-24 13:28:00+00:00,3.31,3.31,3.3,3.3,1351.0
2025-06-24 13:30:00+00:00,3.28,3.35,2.92,2.92,21228.0
2025-06-24 13:32:00+00:00,2.86,2.9,2.83,2.9,4449.0
2025-06-24 13:34:00+00:00,2.94,2.98,2.91,2.96,5853.0
2025-06-24 13:36:00+00:00,2.91,2.9496,2.86,2.8963,3143.0
2025-06-24 13:38:00+00:00,3.01,3.095,2.98,3.055,3264.0
2025-06-24 13:40:00+00:00,3.1096,3.1275,3.1096,3.1275,1058.0
2025-06-24 13:42:00+00:00,3.049,3.1056,3.049,3.05,2378.0
2025-06-24 13:44:00+00:00,3.07,3.07,3.07,3.07,1439.0
2025-06-24 13:48:00+00:00,3.0,3.0,2.95,2.9648,1033.0
2025-06-24 13:50:00+00:00,3.01,3.01,2.96,2.96,1157.0
2025-06-24 13:58:00+00:00,2.9984,2.9984,2.95,2.95,1565.0
2025-06-24 14:00:00+00:00,3.0,3.0,3.0,3.0,580.0
2025-06-24 14:04:00+00:00,2.97,2.97,2.96,2.96,314.0
2025-06-24 14:06:00+00:00,2.97,3.04,2.97,3.04,751.0
2025-06-24 14:08:00+00:00,3.0336,3.0336,3.0336,3.0336,102.0
2025-06-24 14:10:00+00:00,3.0,3.05,3.0,3.03,2388.0
2025-06-24 14:12:00+00:00,3.0863,3.0863,3.0863,3.0863,198.0
2025-06-24 14:14:00+00:00,3.04,3.04,3.04,3.04,500.0
2025-06-24 14:16:00+00:00,3.0658,3.0667,3.0658,3.0667,2001.0
2025-06-24 14:18:00+00:00,3.0751,3.09,3.0751,3.09,1130.0
2025-06-24 14:20:00+00:00,2.9706,3.0815,2.9706,3.0815,1367.0
2025-06-24 14:22:00+00:00,3.03,3.03,3.03,3.03,249.0
2025-06-24 14:24:00+00:00,3.066,3.066,3.066,3.066,200.0
2025-06-24 14:26:00+00:00,3.01,3.01,2.65,2.705,13088.0
2025-06-24 14:28:00+00:00,2.705,2.74,2.705,2.7144,2276.0
2025-06-24 14:30:00+00:00,2.8,2.89,2.8,2.81,2063.0
2025-06-24 14:32:00+00:00,2.8437,2.8437,2.8,2.8,630.0
2025-06-24 14:34:00+00:00,2.85,2.85,2.85,2.85,102.0
2025-06-24 14:36:00+00:00,2.8,2.845,2.8,2.8,552.0
2025-06-24 14:50:00+00:00,2.852,2.852,2.852,2.852,500.0
2025-06-24 14:52:00+00:00,2.8839,2.8839,2.835,2.835,638.0
2025-06-24 14:56:00+00:00,2.85,2.85,2.85,2.85,400.0
2025-06-24 14:58:00+00:00,2.875,2.875,2.86,2.86,1319.0
2025-06-24 15:02:00+00:00,2.8,2.8,2.8,2.8,1000.0
2025-06-24 15:04:00+00:00,2.86,2.87,2.86,2.87,350.0
