Datetime,Open,High,Low,Close,Volume
2025-10-10 08:00:00+00:00,15.97,21.5,15.85,17.87,60831.0
2025-10-10 08:02:00+00:00,17.87,19.2,16.99,19.19,43736.0
2025-10-10 08:04:00+00:00,19.47,20.5,18.75,20.5,47810.0
2025-10-10 08:06:00+00:00,20.85,21.29,19.5,20.14,54980.0
2025-10-10 08:08:00+00:00,20.0,21.5,18.5,19.0,77409.0
2025-10-10 08:10:00+00:00,19.33,19.34,18.5,18.77,36035.0
2025-10-10 08:12:00+00:00,18.6,18.78,17.44,17.44,49462.0
2025-10-10 08:14:00+00:00,17.4,17.52,15.44,15.44,61943.0
2025-10-10 08:16:00+00:00,15.38,15.44,12.27,12.41,100092.0
2025-10-10 08:18:00+00:00,12.4,12.84,9.8,10.05,175788.0
2025-10-10 08:20:00+00:00,10.22,10.3,8.61,9.0,164298.0
2025-10-10 08:22:00+00:00,8.77,9.53,8.4,8.97,113777.0
2025-10-10 08:24:00+00:00,8.93,9.2,8.5,8.88,54454.0
2025-10-10 08:26:00+00:00,8.81,9.37,8.81,9.0,65416.0
2025-10-10 08:28:00+00:00,8.98,9.2,8.85,8.85,35911.0
2025-10-10 08:30:00+00:00,8.9,9.3,8.85,9.1,22708.0
2025-10-10 08:32:00+00:00,9.01,9.06,8.73,8.8,43336.0
2025-10-10 08:34:00+00:00,8.71,8.8,7.53,7.54,73894.0
2025-10-10 08:36:00+00:00,7.52,7.54,5.8,5.89,182390.0
2025-10-10 08:38:00+00:00,5.9,6.79,5.9,6.75,97965.0
2025-10-10 08:40:00+00:00,6.73,7.21,6.55,6.9,61895.0
2025-10-10 08:42:00+00:00,6.85,7.4,6.8,7.19,50369.0
2025-10-10 08:44:00+00:00,7.11,7.29,7.0,7.25,14366.0
2025-10-10 08:46:00+00:00,7.25,7.27,6.89,6.97,18576.0
2025-10-10 08:48:00+00:00,6.97,7.1,6.69,6.7,18229.0
2025-10-10 08:50:00+00:00,6.78,7.16,6.64,7.16,20364.0
2025-10-10 08:52:00+00:00,7.0,7.17,7.0,7.11,7375.0
2025-10-10 08:54:00+00:00,7.11,7.11,6.89,6.93,9850.0
2025-10-10 08:56:00+00:00,6.95,7.13,6.95,7.12,8606.0
2025-10-10 08:58:00+00:00,7.2,7.22,7.11,7.13,7025.0
2025-10-10 09:00:00+00:00,7.1,7.35,7.1,7.34,10524.0
2025-10-10 09:02:00+00:00,7.24,7.55,7.2,7.5,21128.0
2025-10-10 09:04:00+00:00,7.55,7.77,7.36,7.7,32793.0
2025-10-10 09:06:00+00:00,7.68,7.91,7.61,7.77,31995.0
2025-10-10 09:08:00+00:00,7.74,8.1,7.62,8.0,45298.0
2025-10-10 09:10:00+00:00,8.0,8.38,7.94,8.31,61825.0
2025-10-10 09:12:00+00:00,8.38,8.42,7.71,8.2,60264.0
2025-10-10 09:14:00+00:00,8.2,8.34,7.91,8.07,27732.0
2025-10-10 09:16:00+00:00,8.03,8.1,7.72,7.72,18017.0
2025-10-10 09:18:00+00:00,7.72,8.17,7.68,8.05,11763.0
2025-10-10 09:20:00+00:00,7.98,8.34,7.98,8.34,29534.0
2025-10-10 09:22:00+00:00,8.36,8.36,8.0,8.05,10034.0
2025-10-10 09:24:00+00:00,8.0,8.3,8.0,8.09,12094.0
2025-10-10 09:26:00+00:00,8.18,8.26,8.18,8.25,4692.0
2025-10-10 09:28:00+00:00,8.3,8.3,8.05,8.05,10148.0
2025-10-10 09:30:00+00:00,8.02,8.11,7.83,8.06,19978.0
2025-10-10 09:32:00+00:00,8.16,8.16,7.84,7.84,8337.0
2025-10-10 09:34:00+00:00,7.8,7.92,7.74,7.88,9975.0
2025-10-10 09:36:00+00:00,7.83,7.9,7.66,7.9,11377.0
2025-10-10 09:38:00+00:00,7.8,7.93,7.74,7.87,5476.0
2025-10-10 09:40:00+00:00,7.87,8.19,7.87,8.19,11900.0
2025-10-10 09:42:00+00:00,8.19,8.24,7.96,8.0,16049.0
2025-10-10 09:44:00+00:00,8.0,8.05,8.0,8.05,1495.0
2025-10-10 09:46:00+00:00,8.15,8.25,8.09,8.15,21394.0
2025-10-10 09:48:00+00:00,8.03,8.03,7.44,7.68,21681.0
2025-10-10 09:50:00+00:00,7.68,7.75,7.48,7.75,19744.0
2025-10-10 09:52:00+00:00,7.75,7.75,7.66,7.66,4050.0
2025-10-10 09:54:00+00:00,7.67,7.72,7.6,7.61,7489.0
2025-10-10 09:56:00+00:00,7.6,7.6,7.4,7.52,15827.0
2025-10-10 09:58:00+00:00,7.52,7.6,7.46,7.51,5214.0
2025-10-10 10:00:00+00:00,7.55,7.7,7.4,7.41,14422.0
2025-10-10 10:02:00+00:00,7.38,7.38,7.32,7.34,3883.0
2025-10-10 10:04:00+00:00,7.3,7.48,7.22,7.48,10412.0
2025-10-10 10:06:00+00:00,7.46,7.6,7.46,7.47,5731.0
2025-10-10 10:08:00+00:00,7.47,7.5,7.45,7.5,3812.0
2025-10-10 10:10:00+00:00,7.55,7.67,7.55,7.6,7914.0
2025-10-10 10:12:00+00:00,7.5,7.5,7.4,7.4,5356.0
2025-10-10 10:14:00+00:00,7.41,7.42,7.4,7.4,2394.0
2025-10-10 10:16:00+00:00,7.44,7.44,7.44,7.44,258.0
2025-10-10 10:18:00+00:00,7.4,7.4,7.4,7.4,1719.0
2025-10-10 10:20:00+00:00,7.48,7.61,7.48,7.61,2022.0
2025-10-10 10:22:00+00:00,7.65,7.79,7.65,7.67,6907.0
2025-10-10 10:24:00+00:00,7.78,7.84,7.61,7.65,8763.0
2025-10-10 10:26:00+00:00,7.65,7.83,7.53,7.75,8007.0
2025-10-10 10:28:00+00:00,7.76,7.79,7.75,7.78,6311.0
2025-10-10 10:30:00+00:00,7.77,7.79,7.7,7.79,4648.0
2025-10-10 10:32:00+00:00,7.76,7.76,7.76,7.76,1139.0
2025-10-10 10:34:00+00:00,7.76,7.76,7.63,7.63,3348.0
2025-10-10 10:36:00+00:00,7.63,7.65,7.5,7.65,3762.0
2025-10-10 10:38:00+00:00,7.66,7.66,7.61,7.61,811.0
2025-10-10 10:40:00+00:00,7.51,7.72,7.51,7.72,3496.0
2025-10-10 10:42:00+00:00,7.73,8.16,7.73,8.15,29860.0
2025-10-10 10:44:00+00:00,8.09,8.14,7.93,8.14,6762.0
2025-10-10 10:46:00+00:00,8.12,8.33,7.99,8.03,39566.0
2025-10-10 10:48:00+00:00,7.99,7.99,7.61,7.75,7727.0
2025-10-10 10:50:00+00:00,7.75,7.83,7.7,7.83,6657.0
2025-10-10 10:52:00+00:00,7.94,8.04,7.87,8.04,8548.0
2025-10-10 10:54:00+00:00,8.03,8.1,7.94,7.97,5877.0
2025-10-10 10:56:00+00:00,7.83,7.88,7.79,7.83,3675.0
2025-10-10 10:58:00+00:00,7.81,7.88,7.81,7.83,3910.0
2025-10-10 11:00:00+00:00,7.84,9.98,7.84,9.63,223619.0
2025-10-10 11:02:00+00:00,9.59,10.59,9.28,9.86,263233.0
2025-10-10 11:04:00+00:00,9.89,9.97,9.14,9.6,153207.0
2025-10-10 11:06:00+00:00,9.64,9.64,8.54,8.7,132237.0
2025-10-10 11:08:00+00:00,8.69,8.85,8.2,8.81,130173.0
2025-10-10 11:10:00+00:00,8.79,8.85,8.47,8.79,49149.0
2025-10-10 11:12:00+00:00,8.8,9.16,8.7,8.78,116407.0
2025-10-10 11:14:00+00:00,8.88,8.93,8.52,8.75,32997.0
2025-10-10 11:16:00+00:00,8.72,8.88,8.67,8.83,21657.0
2025-10-10 11:18:00+00:00,8.87,9.08,8.1,8.25,56214.0
2025-10-10 11:20:00+00:00,8.3,8.4,7.8,8.4,68995.0
